detection_id,B,G,R,nB,nG,nR,Compactness
430772813,8.1399,10.3307,19.0004,0.1756,0.2409,0.391,0.07903061153879146
430772814,8.3301,12.0463,21.3546,0.0518,0.1225,0.2303,0.08377203058083679
430772815,12.5212,17.1422,29.9815,0.1332,0.2041,0.3714,0.05790830079919458
430772818,7.8624,6.6986,8.3416,0.1501,0.1315,0.1143,0.10052442674077641
430772837,7.8999,6.7284,7.9843,0.1293,0.1134,0.0949,0.1038470904936626
430772844,7.1234,6.297,11.1517,0.0516,0.0467,0.0521,0.07305779571290515
430772848,10.4287,9.5642,11.8924,0.2289,0.212,0.1819,0.08321729873508964
430772864,21.5832,21.3172,26.5686,0.2061,0.1933,0.2174,0.07391723900466864
430772866,16.6072,16.4135,21.1249,0.2074,0.1996,0.2323,0.08106994029334431
430772867,20.5322,20.1999,25.8732,0.3062,0.3052,0.3361,0.06220821570931003
430772872,15.1381,15.7006,21.629,0.2515,0.2634,0.2924,0.06444121395927624
430772874,14.7595,14.6191,19.1324,0.1316,0.1242,0.1476,0.06792432131461863
430772876,21.8457,20.9086,25.4739,0.1992,0.1718,0.1836,0.05511459098459456
430772878,21.7905,21.1155,26.3984,0.1616,0.1363,0.1687,0.05737948033237819
430772880,18.261,18.55,24.4464,0.2512,0.2355,0.2515,0.06283026644890574
430772882,14.3756,14.7257,20.3123,0.1576,0.1558,0.1935,0.0815963233535219
430772887,16.7272,17.6626,23.742,0.164,0.1898,0.2441,0.07479714303071543
430772888,22.4491,22.7345,26.8944,0.3339,0.3379,0.3317,0.07180546030797123
430772889,15.2955,17.5952,26.9391,0.0936,0.1492,0.2772,0.05535737701133239
430772890,21.108,21.4611,26.3541,0.3608,0.3708,0.3746,0.0595549083537657
430772894,18.19,17.6065,22.0971,0.3232,0.3008,0.2967,0.06378702284985524
430772896,14.2907,14.3468,19.8672,0.2631,0.2523,0.2773,0.06684048540909966
430772898,16.2418,17.2346,24.662,0.2521,0.2451,0.2762,0.05511459098459456
430772900,24.2112,24.6649,31.5588,0.6374,0.6271,0.6885,0.06100034753906654
430772902,28.1945,29.9316,38.9994,0.4552,0.4509,0.5146,0.06220821570931003
430772906,36.019,40.2286,52.7333,0.6373,0.6411,0.7528,0.05463535211139932
430772918,1.3509,2.0327,11.2469,0.0,0.0,0.0249,0.05463535211139932
430772935,0.9208,1.6494,9.7329,0.0,0.0,0.0247,0.05347294092237722
430772948,2.3492,2.9369,11.6683,0.0017,0.0018,0.0258,0.05764267775279962
430772949,1.9966,2.9074,9.9134,0.0041,0.0041,0.0246,0.06981099120988524
430772952,1.5981,1.7209,7.5919,0.0085,0.009,0.031,0.07305779571290515
430772953,1.5047,1.5063,7.0443,0.0,0.0,0.0206,0.08055030487456037
430772955,1.6308,1.3718,6.2429,0.0003,0.0003,0.0158,0.09307904275505513
430772957,1.276,1.3463,6.0081,0.0,0.0,0.0151,0.09105580497377844
430772962,1.325,1.4073,7.1292,0.0,0.0,0.0184,0.07479714303071543
430772963,0.9995,1.0658,6.2369,0.0,0.0,0.0179,0.08106994029334431
430772972,2.335,1.8769,6.6254,0.0,0.0,0.0125,0.09894156757337469
430773014,24.3005,22.9208,24.5699,0.3293,0.2891,0.2442,0.046541470193173916
430773015,29.9209,29.1788,31.3944,0.3029,0.2956,0.2478,0.04688878485347726
430773024,19.2748,18.9769,25.9718,0.1936,0.1897,0.2198,0.056098740702361524
430773041,21.6387,23.7831,36.3103,0.3625,0.4567,0.6804,0.05535737701133239
430773042,21.4432,24.4771,37.0596,0.3502,0.4519,0.676,0.06100034753906654
430773043,21.8916,24.949,37.1877,0.3829,0.4952,0.7593,0.0661369411690469
430773044,22.6536,24.8573,34.465,0.2782,0.3215,0.4471,0.06510896233025722
