detection_id,B,G,R,nB,nG,nR,Compactness
35246246,9.0145,10.6284,7.197,0.4039,0.476,0.24,0.14781870195462177
35246248,8.8004,10.3978,6.962,0.1694,0.1984,0.1078,0.14610036423614817
35246250,8.8783,10.4993,6.9974,0.0613,0.0721,0.0436,0.14610036423614817
35246252,7.4433,8.7836,6.193,0.3189,0.3734,0.194,0.15322506464696445
35246255,7.272,8.5403,6.3175,0.6798,0.7868,0.4232,0.14610036423614817
35246259,10.6038,12.4637,8.45,0.3931,0.456,0.2514,0.12199187159268324
35246263,18.1674,21.3786,14.7866,0.0854,0.1215,0.0694,0.06411244968272661
35246265,22.599,26.5591,17.9415,0.2201,0.2818,0.1517,0.05635029433027713
35246267,29.5675,34.7846,21.2734,0.415,0.5044,0.2649,0.05983849013957345
35246271,34.8286,41.0258,23.9158,0.6931,0.8381,0.4253,0.06220821570931003
35246288,24.5357,28.9432,18.6941,0.1887,0.2612,0.1313,0.059274001684944774
35246290,23.5927,27.9637,18.0453,0.0258,0.0847,0.0347,0.05737948033237819
35246294,18.3965,21.6901,15.4244,0.0087,0.0248,0.0251,0.05872006370526449
35246296,20.3015,23.9387,16.0815,0.0609,0.0862,0.0561,0.06251769380643689
35246302,14.7656,17.3776,13.6317,0.2232,0.2647,0.1492,0.057118675464029094
35246312,14.6445,17.0557,12.6926,0.2571,0.3046,0.1671,0.06829345312829196
35246320,16.1289,18.718,13.324,0.4159,0.49,0.2641,0.07348500463068167
35246324,4.9003,5.627,4.9444,0.3159,0.3675,0.1995,0.15904183716398032
35246326,13.9575,16.1959,11.5272,0.4752,0.5508,0.3002,0.08911864874469005
35246328,15.3559,17.6947,11.8051,0.5636,0.6444,0.3528,0.10299600257653854
35246330,14.8837,17.2243,11.3205,0.5691,0.6587,0.3425,0.1021587506273488
35246334,9.8202,11.3615,7.9789,0.5619,0.6536,0.3351,0.12821464331793822
35246336,7.3592,8.5521,6.0235,0.6429,0.7531,0.3856,0.1721088567938853
35246338,6.3651,7.4242,6.2056,0.0808,0.0941,0.0585,0.11423011752805243
35246351,5.6516,6.5196,5.5763,0.5451,0.63,0.328,0.13657449043501094
35246353,6.814,7.9135,6.6483,0.3563,0.4159,0.2221,0.11423011752805243
35246355,5.3397,6.3529,5.0292,0.0,0.0223,0.009,0.13657449043501094
35246357,5.1396,6.105,4.7977,0.0,0.021,0.0085,0.14442151192814084
35246360,8.5515,10.0911,6.5599,0.0,0.0,0.0082,0.1495779344429456
35246364,13.8202,16.7342,10.8076,0.0479,0.1,0.0163,0.08911864874469005
35246368,8.5653,10.2386,7.4443,0.024,0.0556,0.0119,0.1038470904936626
35246371,6.5435,7.8189,5.4556,0.0121,0.0425,0.0082,0.1495779344429456
35246379,11.1006,13.109,9.3766,0.0,0.0539,0.0134,0.09239471398211957
35246387,15.602,18.7299,12.9435,0.0483,0.1044,0.0201,0.06220821570931003
35246403,10.0424,11.3669,9.9737,0.7389,0.8365,0.5155,0.09972671719555438
35246405,8.6731,9.8569,8.3992,0.3717,0.4209,0.2679,0.12318763468639518
