detection_id,B,G,R,nB,nG,nR,Compactness
432528010,8.6942,6.6537,5.636,0.107,0.0758,0.0262,0.07020097205976435
432528016,10.9529,8.5918,6.4142,0.7477,0.6009,0.2062,0.08003728818317192
432528022,4.7619,12.4526,13.1125,0.0576,0.2411,0.0824,0.038546784180377484
432528025,3.5648,3.889,4.2333,0.0265,0.0314,0.0228,0.10739689511380088
432528026,3.3003,3.9925,4.1099,0.0461,0.0533,0.026,0.10739689511380088
432528027,3.7939,3.8836,3.5421,0.0368,0.0446,0.0209,0.11219063124580061
432528028,4.7497,4.7772,3.6472,0.0561,0.0572,0.0265,0.11527791973048969
432528031,5.8871,7.5443,4.8799,0.0661,0.0703,0.0268,0.1021587506273488
432528032,7.7207,10.75,7.3478,0.0843,0.1122,0.049,0.08266986501266944
432528033,6.2805,8.7038,5.7748,0.0706,0.1081,0.0425,0.08849111644335216
432528034,6.5676,8.7279,6.2242,0.0914,0.1251,0.0534,0.08266986501266944
432528035,5.8076,7.3737,5.7371,0.0664,0.0918,0.0393,0.09105580497377844
432528036,5.6625,7.4236,4.9925,0.0809,0.0999,0.0437,0.10133499999681532
432528040,1.712,1.396,4.4058,0.0492,0.0141,0.0216,0.07348500463068167
432528041,2.2898,2.0187,4.2758,0.0108,0.0132,0.0187,0.07615699026400004
432528042,2.9128,2.3479,3.9227,0.0011,0.0031,0.015,0.08266986501266944
432528043,3.0848,2.3966,3.8515,0.0003,0.0007,0.0147,0.08433420746488306
432528044,2.8751,2.3813,3.4875,0.0082,0.0065,0.0136,0.0937735836449438
432528045,4.0322,4.1719,4.321,0.0466,0.0522,0.0257,0.0937735836449438
432528046,4.835,4.9585,5.0829,0.0711,0.078,0.0377,0.0937735836449438
432528047,7.8916,8.0247,7.2956,0.1247,0.1297,0.0565,0.06829345312829196
432528048,7.6369,9.0975,7.5206,0.1138,0.1548,0.0672,0.07348500463068167
432528049,9.9387,11.3322,9.3654,0.1631,0.2009,0.0987,0.05872006370526449
432528050,10.1877,12.2035,9.8875,0.2036,0.2747,0.1213,0.05511459098459456
432528059,0.1004,0.3585,4.0771,0.001,0.0174,0.0182,0.07903061153879146
432528077,4.439,7.5782,9.7548,0.0368,0.0955,0.0621,0.06544805286939072
432528078,2.9453,5.7615,8.2879,0.0517,0.1333,0.0775,0.06283026644890574
432528097,2.4234,1.458,4.4288,0.0579,0.0296,0.0342,0.0752449975094086
432528098,0.4031,0.2446,3.8016,0.0147,0.0089,0.0221,0.08490398027194407
432528099,0.2713,0.1661,3.5173,0.0121,0.003,0.0194,0.09105580497377844
432528100,1.7602,2.4093,3.999,0.0003,0.008,0.0154,0.08106994029334431
432528101,2.021,2.2692,3.8283,0.0046,0.0086,0.0157,0.08433420746488306
432528102,1.9743,2.0728,4.1325,0.0037,0.0144,0.016,0.07903061153879146
432528103,2.0693,2.0558,3.3924,0.0024,0.0135,0.013,0.09665858053229819
432528104,2.4105,1.78,3.5513,0.0205,0.0258,0.0174,0.0937735836449438
432528106,3.7909,2.5528,3.909,0.0506,0.0485,0.0264,0.08975514439115811
432528107,3.9769,2.3232,3.8063,0.029,0.0186,0.0207,0.08911864874469005
432528109,3.5806,2.0565,3.5628,0.0066,0.0034,0.014,0.09447856694680049
432528110,3.7007,2.1746,3.5599,0.0059,0.0032,0.014,0.09519422993221213
432528111,3.627,2.4939,3.5848,0.0578,0.0485,0.0261,0.09592081711552267
432528112,3.0272,1.8753,3.1193,0.0123,0.0086,0.0136,0.10648688664370398
432528134,8.3293,12.7291,11.0917,0.1519,0.2425,0.1466,0.09040079679516942
