detection_id,B,G,R,nB,nG,nR,Compactness
432611434,14.142,16.1243,22.9354,0.1427,0.159,0.1987,0.06942531913488556
432611440,5.8292,6.3819,12.267,0.0183,0.0233,0.0659,0.07479714303071543
432611445,18.1844,18.0855,29.6631,0.5925,0.5818,0.8493,0.06283026644890574
432611446,3.8589,3.8994,10.4606,0.266,0.2701,0.3728,0.059274001684944774
432611449,2.9548,3.2018,5.3037,0.0471,0.0541,0.0706,0.20262892686416292
432611451,3.1664,3.342,4.8662,0.0489,0.0521,0.0593,0.2093793437612272
432611453,5.6543,5.9774,8.3994,0.077,0.0827,0.0923,0.1336693370934263
432611454,12.7605,13.2054,17.3941,0.2895,0.3017,0.3242,0.09592081711552267
432611456,8.0053,8.2841,11.6743,0.5804,0.6083,0.6335,0.09740778003073822
432611458,5.2112,5.6443,7.4273,0.1818,0.1989,0.2051,0.18475840065665078
432611459,4.4667,4.8258,6.4513,0.1279,0.1378,0.1442,0.19941430995731257
432611460,4.1594,4.4919,6.12,0.1608,0.1743,0.1825,0.19941430995731257
