detection_id,B,G,R,nB,nG,nR,Compactness
427820221,5.6248,5.6991,11.944,0.032,0.0303,0.0599,0.07435458803139107
427820222,13.1957,11.1582,14.6702,0.0846,0.0488,0.0601,0.0815963233535219
427820236,9.0039,8.3761,13.9419,0.2547,0.242,0.3175,0.07662132709270902
427820237,10.0247,9.1435,15.8779,0.1037,0.0902,0.148,0.07263552511680024
427820238,20.1498,18.619,28.5075,0.3183,0.2894,0.4034,0.051500646728563054
427820239,20.9005,19.2656,29.9755,0.3378,0.3037,0.4325,0.047419586082077345
427820240,20.8446,19.3242,29.5076,0.3449,0.3165,0.4394,0.05046653131091824
427820241,18.4722,17.4057,27.3944,0.3845,0.3616,0.5002,0.0492729006515406
427820242,19.4262,18.1161,26.9309,0.3515,0.3196,0.4481,0.06444121395927624
427820243,20.1557,18.6788,27.7359,0.3339,0.2999,0.4299,0.06220821570931003
427820244,19.8272,18.4068,27.1476,0.3343,0.2971,0.4219,0.06444121395927624
427820245,19.172,17.6242,26.1174,0.3835,0.3401,0.4749,0.06792432131461863
427820246,19.0769,17.7115,25.5037,0.3549,0.3135,0.4166,0.07059533429497317
427820247,18.4305,16.9158,24.6278,0.2796,0.2487,0.3436,0.07180546030797123
427820248,14.6222,13.5509,20.9745,0.2604,0.2382,0.3198,0.06648685222060789
427820257,19.532,17.3026,16.4267,0.4365,0.3846,0.301,0.11527791973048969
427820258,8.7937,7.9112,12.2126,0.3891,0.3397,0.4277,0.11423011752805243
427820259,19.5939,17.2573,16.5005,0.3852,0.335,0.2654,0.11423011752805243
427820260,9.2934,8.6652,12.6667,0.3865,0.3643,0.4272,0.11219063124580061
427820261,18.5518,16.4338,16.0629,0.3573,0.31,0.2451,0.11119795425652645
427820264,23.4047,21.5139,31.2765,1.0291,0.9552,1.2015,0.0595549083537657
427820265,54.4318,51.9028,50.7628,0.5172,0.4654,0.4181,0.0589957324588329
427820266,24.181,22.4192,33.8098,0.7622,0.736,0.9844,0.049086630312145024
427820267,23.4218,21.3811,31.3584,0.5982,0.5603,0.7461,0.05487392523583279
427820268,23.157,21.1922,29.7062,0.4488,0.402,0.5484,0.06444121395927624
427820269,22.5753,20.5303,29.2144,0.3807,0.3348,0.4702,0.0607056738604871
427820270,13.9871,13.5612,22.9353,0.2077,0.2012,0.3028,0.0595549083537657
427820271,10.4549,9.9806,17.1834,0.1651,0.1546,0.2495,0.08606693785815557
427820272,8.747,8.5032,15.0073,0.137,0.1317,0.2027,0.08490398027194407
427820273,9.2824,8.8501,15.7626,0.1519,0.1502,0.2415,0.08212958633865283
427820275,8.3027,8.2383,14.1942,0.133,0.1336,0.2077,0.09307904275505513
427820282,8.2416,8.152,14.175,0.1383,0.1358,0.2034,0.08106994029334431
427820284,10.9507,10.7366,17.8292,0.2261,0.218,0.3238,0.07569824722699373
427820285,11.1555,10.8217,18.025,0.2311,0.2213,0.3361,0.07569824722699373
427820288,9.3776,8.7182,15.4226,0.1658,0.1634,0.2504,0.07569824722699373
427820289,12.8243,12.0925,19.6164,0.2713,0.2663,0.3848,0.07569824722699373
427820306,6.3858,5.8788,11.7232,0.0095,0.0123,0.0303,0.07435458803139107
427820308,17.4196,16.7644,25.5722,0.1815,0.1778,0.2282,0.05535737701133239
427820310,22.7301,20.4201,33.7521,0.1781,0.1714,0.2612,0.03890479695236772
427820320,30.5149,27.8728,31.3656,1.0911,0.9884,0.909,0.051712576293637055
427820321,22.9141,21.0941,24.4302,0.5189,0.5082,0.4672,0.05560231145909046
427820322,30.8949,28.9222,29.3148,1.023,0.9442,0.704,0.04393781784522013
427820323,36.3989,33.8554,31.2655,2.1356,1.9621,1.4451,0.049668666921834095
427820326,11.8558,10.5588,12.1613,0.3773,0.3252,0.2702,0.07756719641593564
427820327,23.7962,21.6048,17.666,0.2899,0.2386,0.1516,0.09172037375316221
427820328,32.0088,29.2393,22.9141,0.3785,0.3265,0.1838,0.07903061153879146
427820329,36.6191,33.0912,26.1974,0.4749,0.3947,0.2428,0.07569824722699373
427820330,37.466,34.1399,26.9048,0.5079,0.4282,0.2752,0.07615699026400004
427820331,36.6636,33.3646,26.6229,0.6288,0.5382,0.3813,0.07662132709270902
427820332,36.1155,32.6027,26.447,0.6343,0.5638,0.4183,0.08055030487456037
427820334,34.1274,30.7212,25.5893,0.6971,0.6286,0.4648,0.08266986501266944
427820335,33.7241,30.2909,25.727,0.9971,0.8963,0.67,0.08106994029334431
427820336,32.5647,28.7937,24.8551,0.9331,0.8183,0.6197,0.08377203058083679
427820337,32.4818,28.6513,25.069,1.0208,0.8984,0.6821,0.08377203058083679
427820338,32.3746,28.6253,25.4609,2.0878,1.8384,1.4082,0.08377203058083679
427820344,44.6448,41.7316,40.6166,0.9329,0.8092,0.6821,0.06041383338136221
427820349,31.0285,27.3347,27.3914,0.7259,0.6089,0.5439,0.07903061153879146
427820350,30.0681,26.2048,26.7168,0.6907,0.5824,0.5128,0.07662132709270902
427820351,28.5926,25.0689,25.7408,0.7228,0.6086,0.5361,0.07569824722699373
427820352,24.3022,22.0076,22.1101,0.7842,0.6652,0.5755,0.10299600257653854
427820353,24.6017,22.8552,23.2774,0.5103,0.438,0.3917,0.10299600257653854
427820354,19.5259,16.7833,17.6856,0.448,0.387,0.3464,0.10648688664370398
427820355,18.692,16.2412,16.9799,0.5247,0.4546,0.4067,0.10926437976474195
427820356,17.542,15.1872,16.2379,0.4254,0.3654,0.3354,0.10832258979485408
427820357,17.3097,15.127,16.1876,0.3955,0.3388,0.3101,0.10471236017896915
427820358,18.5562,16.3451,18.0918,0.536,0.4609,0.4259,0.08911864874469005
427820359,15.1949,12.9384,15.0339,0.3942,0.3317,0.3255,0.09592081711552267
427820360,14.2924,12.3419,14.2711,0.3302,0.2819,0.2707,0.10471236017896915
427820361,19.5843,17.8332,21.3373,0.134,0.1163,0.1288,0.06314598028335774
427820362,30.4704,28.581,31.5842,0.1427,0.1188,0.1365,0.06159836113714365
427820389,15.8102,14.2915,26.1945,0.3295,0.2837,0.4705,0.05660411406725943
427820390,15.3029,13.8934,25.5836,0.3409,0.2934,0.4935,0.05686023067241032
427820391,15.3749,13.7837,25.5424,0.3735,0.3096,0.5272,0.05764267775279962
427820395,10.1978,9.7815,18.3379,0.2133,0.2036,0.3203,0.07221810771057427
427820403,4.5875,4.0533,9.4574,0.0711,0.0663,0.1099,0.09816868357674101
427820405,5.5514,5.2058,9.7081,0.149,0.1433,0.1918,0.11527791973048969
427820407,6.5848,6.2785,11.592,0.0607,0.0585,0.0896,0.09665858053229819
427820416,21.5277,18.1656,19.868,0.124,0.0497,0.0532,0.08548150399146558
427820420,24.3868,20.9635,21.8943,0.5046,0.4277,0.4046,0.0937735836449438
427820421,24.2711,20.9381,21.5216,0.6672,0.5741,0.5189,0.09519422993221213
427820422,23.5678,20.3056,21.0503,0.5683,0.4912,0.4451,0.09592081711552267
427820478,9.9752,9.6707,16.4784,0.2096,0.2048,0.282,0.0752449975094086
427820479,18.3335,16.2097,15.425,0.2764,0.2374,0.1882,0.11853991327830876
427820480,18.4729,16.3453,15.5681,0.3364,0.2924,0.2274,0.11423011752805243
427820481,18.6827,16.4682,15.9476,0.3238,0.2791,0.2223,0.10832258979485408
427820482,18.2381,16.2937,15.041,0.7353,0.6507,0.4911,0.11527791973048969
427820484,20.475,18.1892,16.279,1.2688,1.1119,0.8339,0.11022268844923072
427820486,19.497,17.3904,15.4757,0.8588,0.7637,0.5549,0.11219063124580061
427820487,19.008,16.9586,15.1626,1.0706,0.9434,0.6988,0.11423011752805243
427820488,18.6477,16.7002,14.8593,0.9656,0.8579,0.6239,0.11634512054520679
427820489,19.5587,17.3576,15.9816,0.8428,0.7478,0.5548,0.10739689511380088
427820490,18.6547,16.5953,15.0294,0.7819,0.6961,0.5082,0.11527791973048969
427820493,18.156,16.363,14.7971,0.7126,0.6417,0.4609,0.10926437976474195
427820494,19.3527,17.4332,15.5138,0.6651,0.5977,0.4335,0.11119795425652645
427820496,19.4227,17.4617,15.2555,0.8407,0.7534,0.541,0.1132011898318306
427820498,18.1473,16.3042,14.3302,0.6752,0.6079,0.4314,0.11853991327830876
427820507,21.8779,19.7275,16.5751,0.8312,0.7452,0.5281,0.10471236017896915
427820508,21.644,19.5174,16.3016,0.5858,0.5284,0.3701,0.10648688664370398
