detection_id,B,G,R,nB,nG,nR,Compactness
427612973,7.2832,15.1066,10.7212,0.114,0.2979,0.141,0.10739689511380088
427612974,6.9092,14.5272,10.5754,0.1273,0.3253,0.1504,0.10739689511380088
427612975,7.6361,16.9868,11.8488,0.1374,0.3887,0.1868,0.09894156757337469
427612976,7.6441,17.191,12.1867,0.1113,0.3639,0.1679,0.09239471398211957
427612977,8.5178,18.541,12.9514,0.128,0.4175,0.1995,0.09239471398211957
427612978,9.3477,21.0412,14.265,0.1396,0.4109,0.1929,0.08849111644335216
427612979,9.2894,20.7087,14.2172,0.1443,0.4015,0.1856,0.08975514439115811
427612980,9.534,21.2162,14.5927,0.169,0.4492,0.2113,0.08666044549832956
427612981,10.1821,21.6466,15.0779,0.1959,0.4969,0.2466,0.08849111644335216
427612982,9.6301,20.7584,14.4946,0.1642,0.4259,0.1949,0.08787235948346774
427612983,10.2179,20.9463,14.5387,0.1872,0.4858,0.2209,0.08266986501266944
427612984,8.6852,20.7868,14.3354,0.1356,0.4151,0.1956,0.08212958633865283
427612985,8.933,19.9555,13.9798,0.1239,0.3733,0.1708,0.08433420746488306
427612986,8.7454,19.1871,13.2237,0.1396,0.401,0.1884,0.08606693785815557
427612987,9.0155,18.9658,12.9754,0.1289,0.3586,0.1681,0.08849111644335216
427612988,8.9183,19.522,12.798,0.1475,0.4237,0.1767,0.09239471398211957
427612989,8.1221,17.5602,11.905,0.149,0.421,0.1921,0.09740778003073822
427612990,8.3433,19.2033,13.1744,0.0958,0.3565,0.1678,0.09040079679516942
427612991,8.0514,17.8374,12.3742,0.1523,0.4868,0.2179,0.09519422993221213
427612992,7.248,16.3342,11.7474,0.1523,0.4344,0.208,0.09740778003073822
427612993,6.8653,18.082,13.0263,0.1364,0.4423,0.223,0.08666044549832956
427612994,5.8308,17.8145,12.8677,0.1147,0.37,0.1757,0.08433420746488306
427612995,5.8448,17.5484,13.0097,0.1227,0.4063,0.2062,0.08666044549832956
427612996,8.0414,23.4231,16.7115,0.1702,0.5016,0.2641,0.07221810771057427
427612997,7.2162,22.6677,17.1088,0.1454,0.4564,0.2544,0.06648685222060789
427612998,6.3435,21.3833,16.3038,0.1256,0.4339,0.2592,0.07139750161301212
427612999,7.2088,22.7455,17.7302,0.1433,0.4792,0.2857,0.06792432131461863
427613000,7.4734,25.3548,20.0505,0.1254,0.4227,0.2515,0.05584942297118333
427613001,7.5947,25.2547,20.0334,0.1876,0.5613,0.3464,0.05686023067241032
427613002,7.8951,24.5792,20.3546,0.1671,0.516,0.3179,0.051500646728563054
427613003,7.3158,22.4672,18.1906,0.1585,0.4714,0.2807,0.0595549083537657
427613007,7.7805,23.6807,19.8121,0.1241,0.4088,0.2587,0.057118675464029094
427613012,9.7866,29.5194,26.5225,0.1974,0.66,0.4305,0.043331793643939145
427613015,6.6409,22.0548,20.8254,0.1113,0.395,0.2733,0.05214171140333059
427613016,4.8809,16.2409,15.772,0.095,0.3583,0.2422,0.06579069379816853
427613017,6.188,23.6742,23.7603,0.0813,0.432,0.2925,0.04120076930564869
427613018,5.9429,26.3716,24.7426,0.084,0.4541,0.3016,0.04671448198421
427613019,5.1031,25.2575,23.847,0.055,0.3786,0.2585,0.04778018079289879
427613020,3.8893,20.7205,20.5932,0.0351,0.2848,0.2017,0.050670018704328156
427613021,0.9479,16.0838,14.343,0.0745,0.3266,0.2106,0.05635029433027713
427613022,4.3546,19.8303,18.3757,0.087,0.3964,0.2574,0.06251769380643689
427613024,2.1243,11.694,12.1829,0.0435,0.2006,0.1466,0.07756719641593564
427613025,0.8251,13.6712,12.1353,0.0465,0.2066,0.1317,0.07180546030797123
427613027,0.8528,16.3346,18.9117,0.0381,0.5826,0.4768,0.05535737701133239
427613028,1.4452,22.0424,25.1869,0.0607,0.5145,0.4047,0.0406674373693737
427613029,3.7658,16.9406,16.881,0.1485,0.5675,0.3969,0.05560231145909046
427613030,6.8074,31.1402,30.9567,0.1595,0.8881,0.6237,0.033687786818625394
427613031,9.4942,36.6945,34.3298,0.2244,1.2222,0.8393,0.03580133342376613
427613032,8.8719,35.1915,32.2719,0.1706,1.0569,0.7136,0.03926952226654826
427613033,7.4576,25.9042,23.5972,0.1647,0.928,0.6154,0.05487392523583279
427613037,15.9654,30.7931,18.7881,0.3157,0.7335,0.3328,0.06378702284985524
427613040,15.5405,27.6475,18.0071,0.3884,0.7915,0.3304,0.06477336728387235
427613041,13.3963,26.8403,17.5624,0.4167,0.9976,0.4454,0.06579069379816853
427613045,7.8178,12.7229,8.6765,0.2425,0.4678,0.1979,0.10052442674077641
427613048,3.2548,10.0302,8.8463,0.0016,0.0061,0.0208,0.06220821570931003
427613055,1.0445,9.3512,9.6474,0.0032,0.0149,0.0285,0.0539319190680174
427613056,0.6025,6.554,6.3473,0.0,0.0139,0.0166,0.07479714303071543
427613057,0.6319,6.453,6.3681,0.0,0.0137,0.0168,0.07391723900466864
427613058,0.8619,7.7822,8.2606,0.0,0.0031,0.0218,0.057118675464029094
427613059,0.6794,9.0809,8.2921,0.0,0.0015,0.0201,0.06190178642991358
427613060,1.6409,13.6571,11.1426,0.0,0.0012,0.0249,0.05006442052760694
427613061,1.3313,14.5322,11.6342,0.0,0.0039,0.0247,0.05046653131091824
427613066,1.3974,8.3549,7.2432,0.0,0.008,0.0194,0.06411244968272661
427613068,0.7312,11.9866,12.0665,0.0,0.0324,0.0281,0.044403578072467774
427613070,5.1868,7.9307,5.158,0.0535,0.0688,0.0267,0.10832258979485408
427613071,5.2922,8.1817,5.3648,0.0831,0.1154,0.0407,0.10471236017896915
427613072,5.7387,8.4096,5.577,0.0736,0.1,0.0418,0.10471236017896915
427613073,5.6426,8.4909,5.8243,0.0487,0.0689,0.0301,0.10299600257653854
427613074,6.5172,8.0084,5.4574,0.0533,0.0585,0.03,0.09816868357674101
