detection_id,B,G,R,nB,nG,nR,Compactness
427570770,2.9044,10.101,5.5742,0.0,0.0701,0.0204,0.06100034753906654
427570771,1.9466,7.2136,4.9147,0.0,0.0913,0.0186,0.06684048540909966
427570794,3.2563,8.2814,7.8201,0.0503,0.1322,0.054,0.05844695914181379
427570795,8.4027,13.1038,7.1091,0.1887,0.3035,0.0757,0.09105580497377844
427570796,4.3635,8.2232,6.8942,0.0543,0.1467,0.0637,0.08548150399146558
427570801,3.5594,4.8162,4.1675,0.0149,0.0303,0.0178,0.08377203058083679
427570802,3.082,4.7686,4.0614,0.0052,0.0317,0.0157,0.08548150399146558
427570803,3.6669,5.498,4.4964,0.02,0.0419,0.0206,0.08003728818317192
427570804,3.5851,5.4669,4.5779,0.0168,0.0366,0.0195,0.08055030487456037
427570805,3.1772,5.484,4.7163,0.0159,0.0415,0.0228,0.07853670966610296
427570806,2.9174,4.566,4.2826,0.0162,0.0426,0.0242,0.08433420746488306
427570807,2.6714,4.8696,4.3492,0.0212,0.0534,0.0242,0.08321729873508964
427570808,2.4348,4.4219,4.1682,0.0,0.0279,0.0144,0.08606693785815557
427570809,1.3365,4.0689,3.0603,0.0,0.0158,0.0113,0.10926437976474195
427570810,1.3678,4.0012,3.0931,0.0,0.0177,0.0115,0.10739689511380088
427570811,1.6405,4.4,3.4044,0.0,0.0155,0.0122,0.10133499999681532
427570812,1.6659,4.5331,3.363,0.0,0.0174,0.0122,0.10133499999681532
427570813,1.6297,4.6847,3.3555,0.0,0.023,0.0122,0.10133499999681532
427570814,1.5614,4.7807,3.3384,0.0,0.0232,0.0122,0.10133499999681532
427570817,1.7568,5.222,3.7627,0.0,0.0201,0.0128,0.09665858053229819
427570819,1.6225,5.4029,3.8453,0.0,0.0244,0.0131,0.09447856694680049
427570821,1.7441,5.3854,3.8474,0.0,0.023,0.013,0.09519422993221213
427570822,1.6248,5.2693,3.6987,0.0,0.0243,0.013,0.09519422993221213
427570823,1.5969,4.9681,3.5344,0.0,0.0168,0.0124,0.09972671719555438
427570824,1.5826,5.215,3.6396,0.0,0.0273,0.0127,0.09740778003073822
427570825,1.709,5.279,3.7144,0.0,0.0212,0.013,0.09519422993221213
427570829,1.5022,5.194,3.657,0.0,0.0273,0.0129,0.09592081711552267
427570831,1.5374,5.1065,3.6312,0.0,0.0213,0.013,0.09519422993221213
427570832,1.9705,5.7636,4.1807,0.0,0.0254,0.0148,0.08377203058083679
427570835,1.7882,5.7726,3.9972,0.0034,0.033,0.0162,0.08787235948346774
427570836,1.5556,5.5293,3.7233,0.0,0.0344,0.0135,0.09172037375316221
427570837,1.6212,5.5721,3.9167,0.0,0.0332,0.0143,0.08666044549832956
427570838,1.6702,5.7072,4.011,0.0,0.0407,0.0148,0.08377203058083679
