detection_id,B,G,R,nB,nG,nR,Compactness
428782322,19.9728,17.7154,22.6479,0.2333,0.2087,0.2355,0.08106994029334431
428782324,14.8477,14.6538,16.6622,0.0,0.0,0.0191,0.06510896233025722
428782331,33.8213,31.2635,39.1992,0.4359,0.3812,0.4409,0.05324636892277132
428782332,19.1807,18.1222,22.911,0.1992,0.1893,0.2148,0.0815963233535219
428782347,16.2047,14.9459,21.0111,0.6662,0.6008,0.6776,0.06719790044098876
428782348,14.134,13.3716,18.8762,0.2353,0.2179,0.2494,0.06544805286939072
428782350,14.9173,13.6848,20.6007,0.3734,0.338,0.3813,0.048331474165630606
428782351,31.5568,30.487,40.062,0.5945,0.5801,0.6464,0.04106612917780369
428782356,18.249,16.4263,22.2263,0.3501,0.3043,0.3286,0.05635029433027713
428782363,17.2218,15.4779,19.8174,0.2467,0.213,0.2443,0.09172037375316221
428782377,18.3572,19.0102,25.2094,0.3402,0.3481,0.3793,0.06100034753906654
428782380,16.3936,14.7957,18.959,0.2598,0.2264,0.2565,0.09447856694680049
428782402,19.6202,20.4625,27.5471,1.0968,1.1555,1.2971,0.06544805286939072
428782411,13.1212,12.1253,18.563,0.2666,0.2446,0.2921,0.0589957324588329
428782417,30.8303,31.4444,42.783,1.5813,1.6213,1.8886,0.04759920052280796
428782418,15.8349,14.5379,20.9765,0.3667,0.3346,0.3839,0.0595549083537657
428782419,34.2227,31.7148,39.6474,0.6867,0.6352,0.7066,0.05584942297118333
428782420,22.0745,21.78,27.5034,0.1163,0.1144,0.1358,0.07615699026400004
428782424,29.0187,28.414,37.1605,0.8715,0.8567,0.9814,0.05347294092237722
428782425,15.4562,15.8077,21.636,0.1024,0.105,0.151,0.08606693785815557
428782439,30.6812,31.1568,40.0945,0.3979,0.4016,0.4699,0.05257802831020273
428782440,4.8543,5.4674,10.5609,0.0062,0.0068,0.0257,0.0675591583065621
428782446,17.0925,17.2246,22.4492,0.0902,0.0958,0.0946,0.05257802831020273
428782447,16.6014,17.4933,21.7197,0.0582,0.069,0.0784,0.05764267775279962
428782448,2.5233,4.3257,16.099,0.0089,0.0047,0.0419,0.047962542530693694
428782454,7.6763,8.9619,15.1576,0.1082,0.1411,0.1973,0.08212958633865283
428782456,12.7152,13.1524,16.9022,0.0714,0.0734,0.089,0.08606693785815557
428782466,6.6339,8.7524,23.3974,0.1029,0.1302,0.2194,0.0393926217787257
428782470,9.0667,9.418,15.0468,0.1502,0.1546,0.1891,0.06829345312829196
428782472,11.6754,12.313,18.131,0.0507,0.0507,0.0717,0.059274001684944774
428782473,43.111,44.4219,55.977,0.205,0.2075,0.2395,0.043331793643939145
428782475,28.9919,28.1886,36.9019,0.4553,0.4465,0.537,0.06904388481989716
428782480,17.1105,17.8584,30.4773,0.6217,0.6479,0.7713,0.03118186812429165
428782481,24.4601,23.8386,29.3145,0.8049,0.793,0.8537,0.07479714303071543
428782482,22.5276,23.9593,30.2582,0.1122,0.1137,0.1388,0.07853670966610296
428782519,51.7913,51.8767,58.2492,2.2601,2.267,2.0976,0.03342096078058902
428782520,10.5395,10.7442,16.2463,0.196,0.1986,0.2147,0.051712576293637055
428782522,15.4169,15.9876,25.8373,0.3522,0.3761,0.4548,0.03717828391924453
428782523,23.7026,24.2248,31.2975,0.9512,0.9707,1.101,0.07139750161301212
428782531,17.3604,17.6824,24.0474,0.3509,0.3577,0.4179,0.07263552511680024
428782532,14.5303,14.5386,19.7214,0.4175,0.4162,0.4796,0.09172037375316221
428782533,20.4007,20.3859,27.7168,0.1463,0.1458,0.1787,0.06190178642991358
428782534,17.7589,16.0082,20.9475,0.2897,0.2571,0.2861,0.07180546030797123
428782535,27.1153,27.0177,33.81,0.1423,0.1432,0.1687,0.077091360650504
428782536,17.532,17.7215,23.6123,0.0808,0.0809,0.0962,0.08266986501266944
428782538,14.9859,14.935,21.7047,0.5536,0.5492,0.629,0.0589957324588329
428782540,18.5181,19.8171,26.8275,0.2239,0.2612,0.3112,0.050670018704328156
428782542,71.5797,74.1125,93.0046,0.611,0.6314,0.7555,0.03785016842433463
428782544,9.0111,9.4567,14.3452,0.1408,0.1481,0.1884,0.08726219508235135
428782553,11.2752,13.4124,22.1005,0.0,0.0,0.0339,0.036851207943492725
428782558,12.5835,15.9594,25.115,0.0,0.0,0.0285,0.043784728166320654
428782566,3.3737,4.1788,12.1951,0.0,0.0,0.0251,0.049668666921834095
428782567,21.0956,22.3994,27.8514,0.0996,0.0996,0.1128,0.09447856694680049
428782575,13.1628,12.5735,13.1093,0.2126,0.2002,0.1543,0.0752449975094086
428782576,10.3679,9.911,12.8025,0.6387,0.5926,0.5528,0.08212958633865283
428782577,7.6734,7.7486,10.0874,0.1742,0.1721,0.1497,0.09816868357674101
428782578,15.7584,15.6829,21.1946,0.0843,0.0857,0.1089,0.07435458803139107
428782579,12.1236,12.3544,17.0308,0.053,0.0542,0.0718,0.08666044549832956
428782583,21.4752,22.0345,26.0094,0.0926,0.0926,0.1064,0.08975514439115811
428782585,8.8743,9.452,14.8242,0.5155,0.555,0.65,0.07756719641593564
428782587,9.1517,9.741,14.8283,0.9073,0.9777,1.1042,0.0815963233535219
428782589,14.0741,14.6711,24.115,0.3921,0.4096,0.5077,0.04363270157106099
