detection_id,B,G,R,nB,nG,nR,Compactness
428078204,12.376,15.0899,22.1606,0.1674,0.2075,0.2649,0.06719790044098876
428078208,7.6755,9.5315,16.4934,0.057,0.081,0.1316,0.07662132709270902
428078210,8.3081,10.2896,17.7178,0.0654,0.0895,0.1409,0.07348500463068167
428078211,10.0321,12.3442,20.5972,0.0934,0.1118,0.1892,0.07020097205976435
428078212,9.031,11.3309,18.4275,0.0941,0.1216,0.1815,0.07569824722699373
428078213,8.164,10.1686,16.657,0.0847,0.1055,0.1591,0.08266986501266944
428078214,7.5006,9.4931,15.7472,0.0791,0.1034,0.1525,0.08212958633865283
428078225,9.1145,10.3287,14.0437,0.074,0.0894,0.1008,0.0815963233535219
428078226,8.7921,9.9227,13.354,0.0745,0.0885,0.0995,0.08666044549832956
428078227,9.2871,10.3396,13.9464,0.184,0.2087,0.2146,0.09105580497377844
428078230,8.3068,9.2941,12.6775,0.2839,0.3183,0.3094,0.09040079679516942
428078231,33.52,37.3576,45.0283,0.1399,0.156,0.2029,0.05370144932732833
428078232,25.7632,28.4206,35.9566,0.4956,0.5413,0.6081,0.05487392523583279
428078234,30.8214,34.2463,39.9809,0.802,0.8982,0.9627,0.06378702284985524
428078235,29.0116,32.1793,39.7262,0.9066,0.9957,1.1077,0.06012478543760053
428078236,26.0792,28.7437,36.3914,0.9747,1.0668,1.1751,0.06159836113714365
428078237,26.52,30.1373,38.0207,1.0615,1.2216,1.3463,0.06411244968272661
428078238,29.5576,33.3106,42.3467,0.6861,0.7764,0.8671,0.05872006370526449
428078239,33.181,36.9777,45.8678,0.6293,0.6775,0.7533,0.05737948033237819
428078240,29.4113,32.1752,41.8503,1.2794,1.4026,1.5484,0.0589957324588329
428078241,31.0553,33.908,43.8223,1.0916,1.178,1.3352,0.05844695914181379
428078242,32.7167,38.5029,45.4789,0.1618,0.2269,0.2663,0.057118675464029094
428078243,29.4462,33.6998,42.7433,0.5677,0.6355,0.7231,0.05983849013957345
428078246,26.5162,29.7489,39.9465,0.6977,0.7764,0.898,0.057118675464029094
428078247,29.8348,33.2494,44.4312,0.7241,0.7916,0.918,0.05686023067241032
428078249,25.1236,28.982,38.3595,1.0385,1.1975,1.3926,0.06378702284985524
428078250,23.5606,26.6224,34.2799,0.3101,0.3319,0.367,0.06579069379816853
428078259,19.2126,22.4554,29.9202,0.0482,0.0502,0.0857,0.06444121395927624
428078262,32.8147,36.3069,50.8719,0.753,0.8445,1.0727,0.04851807655625124
428078263,30.6876,34.3271,48.6684,0.064,0.0782,0.195,0.04870612541107282
428078264,21.2306,24.2879,35.2475,0.0,0.0086,0.1035,0.05790830079919458
428078265,16.351,18.8833,25.9657,0.0,0.0173,0.0777,0.07221810771057427
