detection_id,B,G,R,nB,nG,nR,Compactness
428160314,0.8393,1.59,6.3445,0.0,0.0004,0.019,0.08377203058083679
428160315,1.0426,1.8889,7.6975,0.0,0.0001,0.021,0.07099415216660818
428160325,1.5264,2.2876,8.0112,0.0083,0.007,0.0315,0.08666044549832956
428160327,1.1077,1.8212,6.875,0.0,0.0,0.0169,0.09105580497377844
428160341,8.9913,9.6463,10.4008,0.2767,0.296,0.2382,0.10832258979485408
428160348,8.3373,9.73,12.5788,0.2087,0.2265,0.2037,0.08212958633865283
428160350,8.049,8.8363,11.8221,0.244,0.2582,0.2426,0.08787235948346774
428160353,10.0341,10.9048,13.7105,0.3511,0.374,0.3549,0.08911864874469005
428160354,9.6111,10.3034,12.8819,0.3352,0.3576,0.3375,0.09447856694680049
428160355,10.3222,11.0093,13.6987,0.3219,0.3427,0.3327,0.0937735836449438
428160364,12.3432,12.7629,13.9362,0.0182,0.0292,0.0119,0.10739689511380088
428160366,12.6051,12.9901,14.6245,0.0,0.0,0.0114,0.10832258979485408
428160368,12.1502,12.4831,14.3498,0.0,0.0,0.0111,0.11119795425652645
428160377,13.6006,14.0792,16.9482,0.0,0.0,0.0124,0.09972671719555438
428160378,14.0327,14.5343,17.5149,0.0,0.0,0.0128,0.09665858053229819
428160379,15.7049,16.2409,19.2896,0.0,0.0,0.0129,0.09592081711552267
428160380,17.4359,18.1694,21.2941,0.0,0.0,0.0138,0.08975514439115811
428160381,14.8429,15.4526,18.171,0.0,0.0001,0.0123,0.10052442674077641
428160382,12.1326,12.666,15.21,0.0,0.0,0.0116,0.10648688664370398
428160383,12.103,12.3749,13.4601,0.0726,0.0757,0.0659,0.11022268844923072
428160385,13.3337,13.6304,14.7537,0.1056,0.1082,0.0985,0.1038470904936626
428160392,14.5006,14.6509,16.0189,0.1533,0.1553,0.1324,0.09307904275505513
428160393,14.4698,14.6518,15.9904,0.13,0.1322,0.1219,0.09592081711552267
428160397,13.7907,13.9658,15.4101,0.1184,0.1223,0.1068,0.09740778003073822
428160398,13.9367,14.1205,15.621,0.1272,0.1308,0.1164,0.09592081711552267
428160400,13.6055,13.7392,15.1959,0.1009,0.1025,0.0906,0.09972671719555438
428160401,13.9959,14.106,15.8209,0.1025,0.1043,0.0934,0.09172037375316221
428160402,12.2654,12.3347,14.0996,0.0839,0.0851,0.0782,0.1021587506273488
428160403,12.1471,12.2169,14.0571,0.0835,0.0845,0.0784,0.09972671719555438
428160404,11.4133,11.5013,13.2419,0.0796,0.0808,0.0731,0.10471236017896915
428160405,10.8143,10.8962,12.566,0.0694,0.0711,0.0625,0.11119795425652645
428160406,11.0746,11.169,12.8468,0.0692,0.0708,0.0604,0.10926437976474195
428160420,8.2786,8.1727,11.6585,0.0,0.0,0.017,0.07305779571290515
428160421,8.3198,8.1857,11.6275,0.0,0.0,0.0165,0.0752449975094086
428160425,13.1602,13.214,16.8764,0.5874,0.5879,0.6242,0.10133499999681532
428160427,15.0267,15.1288,18.8603,0.5611,0.5611,0.5985,0.10133499999681532
428160428,14.4684,14.5954,18.3214,0.6846,0.6862,0.7269,0.10052442674077641
428160429,13.6582,13.7692,17.3702,0.7052,0.7082,0.7519,0.10471236017896915
428160430,13.7619,13.9003,17.3631,0.6066,0.6099,0.6473,0.10832258979485408
428160431,13.4532,13.3591,16.9765,0.3282,0.3256,0.3597,0.11022268844923072
428160432,13.0279,12.9628,16.6043,0.2615,0.2606,0.2899,0.10832258979485408
428160433,12.7539,12.634,16.1172,0.2039,0.202,0.2266,0.11219063124580061
428160434,13.5131,13.4208,16.8807,0.1055,0.1044,0.1226,0.10471236017896915
428160435,14.1677,14.0163,17.5606,0.0907,0.0904,0.1079,0.1038470904936626
428160436,13.9314,13.8174,17.1722,0.1403,0.1407,0.1605,0.10926437976474195
428160437,13.4863,13.4157,16.6376,0.0971,0.097,0.1145,0.1132011898318306
428160438,13.1146,13.0944,16.2885,0.0581,0.0578,0.0727,0.11119795425652645
428160439,12.994,12.958,16.1512,0.1335,0.1328,0.1529,0.11119795425652645
