detection_id,B,G,R,nB,nG,nR,Compactness
427905717,13.169,13.0375,12.6071,0.6017,0.5881,0.3741,0.0752449975094086
427905832,17.8207,20.9504,31.0091,0.4613,0.5528,0.6524,0.04456103357379679
427905839,17.7823,20.9064,29.9975,0.4512,0.5364,0.6564,0.05370144932732833
427905858,11.4679,13.9277,25.4516,0.0978,0.1206,0.2296,0.06444121395927624
427905866,5.0394,6.2801,13.2168,0.0499,0.0568,0.0954,0.08003728818317192
427905920,6.0231,7.3891,14.6627,0.0469,0.0588,0.1035,0.07615699026400004
427905921,6.448,7.8,15.1041,0.0506,0.0646,0.114,0.07853670966610296
427905930,21.4279,24.8579,42.6347,0.3912,0.4689,0.7798,0.05192625725187585
427905931,21.9691,25.5777,43.9304,0.339,0.4068,0.7118,0.05279893651282317
427905933,5.6499,6.2568,11.7615,0.1477,0.1654,0.1762,0.051712576293637055
427905935,6.4445,5.9693,11.3075,0.1711,0.1576,0.1712,0.05439884443645084
427905936,20.2223,23.4915,39.8282,0.2256,0.2742,0.4643,0.05686023067241032
427905937,7.6713,8.3557,13.4806,0.2311,0.2508,0.2485,0.05463535211139932
427905938,21.0041,25.0336,46.6688,0.2636,0.3351,0.596,0.03989283543241531
427905939,7.7915,8.366,14.2108,0.2859,0.3028,0.3079,0.049668666921834095
427905940,18.1134,21.4937,38.637,0.2464,0.3117,0.5066,0.05006442052760694
427905941,6.3309,6.6659,13.37,0.1975,0.2105,0.2264,0.04471960971181389
427905942,18.0318,21.4264,38.2719,0.1285,0.162,0.3006,0.04586205110904071
427905943,6.3965,6.7143,13.651,0.1611,0.1802,0.1943,0.04363270157106099
427905944,10.699,13.0139,24.345,0.0612,0.0733,0.1538,0.058176383157876974
427905945,5.8068,6.0846,10.9007,0.2051,0.2087,0.2263,0.06346488289866778
427905947,7.0326,7.4252,12.3369,0.1853,0.1978,0.2191,0.06378702284985524
427905957,10.0039,10.7075,15.4006,0.0772,0.0839,0.0926,0.07221810771057427
427905958,2.909,3.2844,8.0388,0.1187,0.1301,0.1582,0.07263552511680024
427905959,9.7166,11.1214,17.9219,0.0768,0.0858,0.1043,0.06684048540909966
427905960,3.3137,3.5272,8.7546,0.1422,0.148,0.1748,0.06477336728387235
427905961,10.2226,12.2306,20.8329,0.0836,0.0923,0.1205,0.06378702284985524
427905962,3.8021,4.4748,9.5453,0.2594,0.3019,0.3076,0.06041383338136221
427905963,10.406,13.082,25.7697,0.0664,0.0827,0.1479,0.06041383338136221
427905964,11.394,14.481,29.109,0.1057,0.1369,0.2729,0.05983849013957345
427905965,4.1614,4.75,9.9721,0.2586,0.2861,0.3063,0.059274001684944774
427906019,10.1607,13.6818,29.7339,0.0644,0.0856,0.187,0.058176383157876974
427906029,4.7724,5.8736,12.9825,0.0913,0.1183,0.2273,0.07139750161301212
427906030,4.6683,5.6659,12.83,0.0794,0.1069,0.2017,0.07221810771057427
427906031,6.0627,6.9577,12.8886,0.0128,0.0213,0.024,0.06792432131461863
427906033,6.5426,7.3827,13.2074,0.0361,0.0438,0.0467,0.06220821570931003
427906034,7.4871,8.3986,13.5582,0.0269,0.0347,0.0318,0.06904388481989716
427906048,11.9072,15.1379,30.4626,0.1313,0.1911,0.379,0.06041383338136221
427906049,11.7776,15.3421,32.7505,0.2092,0.2595,0.4941,0.05214171140333059
427906050,10.2958,13.8101,29.2259,0.165,0.2071,0.4086,0.058176383157876974
427906054,3.8161,4.6233,12.0068,0.0426,0.0559,0.1143,0.07263552511680024
427906055,5.5258,7.0829,14.4482,0.0508,0.0773,0.1427,0.07435458803139107
427906057,34.7732,45.9702,80.1513,0.531,0.6713,1.2345,0.05302170881884524
427906058,34.7149,44.1522,82.6636,0.3756,0.484,0.9848,0.049086630312145024
427906063,33.408,44.624,83.9622,0.453,0.6926,1.4088,0.04927912092245134
427906118,26.5957,34.8952,63.8529,0.3652,0.5074,0.9567,0.047962542530693694
427906119,25.5449,33.5413,62.2397,0.4405,0.5903,1.1143,0.04603003942056844
427906123,25.6214,32.3069,55.6356,0.2461,0.3218,0.6259,0.0595549083537657
427906124,25.5172,31.5805,54.7942,0.4551,0.5528,0.9405,0.0589957324588329
427906125,24.0113,30.0369,52.5883,0.4397,0.5277,0.932,0.05872006370526449
427906126,23.3513,29.8021,51.5745,0.2508,0.3246,0.6009,0.05872006370526449
427906127,22.8692,28.712,50.1994,0.2513,0.3233,0.6157,0.05660411406725943
427906128,20.419,24.8975,40.6763,0.2807,0.3368,0.5489,0.07139750161301212
427906130,20.6417,24.8658,39.6793,0.1942,0.2393,0.4108,0.07662132709270902
427906131,20.0803,24.2517,39.0553,0.2418,0.2933,0.485,0.07305779571290515
427906132,20.1412,24.7782,39.8936,0.2337,0.2955,0.4734,0.0661369411690469
427906133,20.5549,25.0371,40.3595,0.2021,0.2567,0.4201,0.06942531913488556
427906134,22.0307,25.9551,43.1115,0.2696,0.3136,0.5442,0.07221810771057427
427906135,23.1119,27.9017,46.4285,0.2904,0.3696,0.597,0.06012478543760053
427906137,25.5304,33.6837,56.3138,0.7284,0.9253,1.4619,0.04889563761385481
427906138,23.9069,31.5512,52.242,0.6006,0.7781,1.2378,0.05844695914181379
427906140,23.2801,27.7734,45.9905,0.5261,0.6236,0.9579,0.06378702284985524
427906142,19.6057,23.6154,39.7805,0.5291,0.6186,0.9442,0.059274001684944774
427906143,18.5218,23.5304,38.073,0.4729,0.5798,0.8525,0.06346488289866778
427906144,17.817,21.3418,36.8249,0.4295,0.5229,0.8058,0.06477336728387235
427906145,17.5342,20.5368,36.1791,0.4151,0.4908,0.7802,0.06510896233025722
427906146,14.2283,17.0848,29.6718,0.3654,0.4286,0.6508,0.06792432131461863
427906147,12.4409,15.7144,26.5583,0.2827,0.3634,0.5281,0.07305779571290515
427906148,8.1191,9.6217,19.5439,0.1443,0.1719,0.289,0.07059533429497317
427906150,6.7335,7.781,16.0351,0.1113,0.1257,0.2019,0.07903061153879146
427906155,10.1593,11.9522,21.2418,0.1644,0.2072,0.3144,0.06444121395927624
427906156,11.3022,13.0192,22.9765,0.1959,0.2301,0.3529,0.06190178642991358
427906157,11.6882,13.2391,23.6241,0.2099,0.2439,0.3837,0.06220821570931003
427906159,22.6944,23.8011,29.6653,0.124,0.134,0.1636,0.06904388481989716
427906162,21.4451,22.3719,27.8571,0.1196,0.1257,0.145,0.0661369411690469
427906163,29.3236,30.765,36.9862,0.098,0.1073,0.1305,0.06684048540909966
427906164,29.2317,31.1012,37.3603,0.0999,0.1129,0.1348,0.06190178642991358
427906165,30.8177,32.7114,39.6964,0.1128,0.1295,0.1594,0.05790830079919458
427906217,29.3943,30.6483,39.1872,0.0675,0.0752,0.1215,0.03663633579132449
427906218,11.6675,14.0579,29.3709,0.1415,0.1954,0.4311,0.03807955914588565
427906219,35.9392,38.021,45.5909,0.1729,0.1824,0.2123,0.06159836113714365
427906228,21.7106,26.1568,46.1181,0.2317,0.3113,0.6494,0.06190178642991358
427906229,43.3503,45.9339,54.3858,0.1639,0.1872,0.236,0.05302170881884524
427906237,33.8647,35.2659,39.0267,0.115,0.127,0.1307,0.05790830079919458
427906239,58.623,60.4676,65.9668,0.2156,0.223,0.2592,0.051500646728563054
427906260,45.8842,47.6863,51.5545,0.1636,0.1819,0.1936,0.0396411506922282
427906261,36.0715,37.34,40.8802,0.1303,0.1387,0.1637,0.04778018079289879
427906262,17.687,18.2256,22.624,0.1197,0.1258,0.1301,0.06129789587454133
427906263,13.1981,13.8165,17.5927,0.1503,0.1594,0.1528,0.07099415216660818
427906264,11.8909,12.3491,16.44,0.0776,0.0794,0.086,0.08266986501266944
427906266,24.2509,25.359,30.0937,0.5666,0.5815,0.6289,0.07020097205976435
427906317,24.2839,24.8149,28.7113,0.2623,0.2785,0.2786,0.07263552511680024
427906318,24.7762,24.945,29.3117,0.3212,0.329,0.3156,0.07221810771057427
427906320,32.969,33.65,38.5216,0.4218,0.4289,0.4057,0.0607056738604871
427906321,37.7536,39.3348,46.0659,0.4482,0.4618,0.4892,0.05686023067241032
427906322,37.824,39.6542,46.5286,0.4739,0.4923,0.5239,0.05584942297118333
427906419,8.7729,10.7773,18.9824,0.1335,0.1548,0.2272,0.059274001684944774
427906421,11.5956,13.2466,22.8347,0.1954,0.2359,0.3987,0.07662132709270902
427906428,2.5299,3.7276,12.4495,0.0,0.0,0.0222,0.05764267775279962
427906444,4.6415,5.9369,11.4123,0.002,0.002,0.0187,0.07305779571290515
427906445,4.6325,5.8473,11.3147,0.0,0.0,0.0163,0.07615699026400004
