detection_id,B,G,R,nB,nG,nR,Compactness
429849052,13.5259,12.9574,16.7346,0.1071,0.1065,0.1035,0.06100034753906654
429849055,24.9028,23.6299,28.3604,0.1883,0.1724,0.1563,0.04889563761385481
429849057,25.9476,24.7274,28.5458,0.1423,0.0948,0.0709,0.05635029433027713
429849059,18.4939,17.0951,19.049,0.0,0.0,0.014,0.08849111644335216
429849060,23.1248,21.3571,23.2136,0.0,0.0,0.0153,0.08106994029334431
429849061,26.3523,24.3372,26.2515,0.0,0.0,0.0167,0.07435458803139107
429849062,33.2056,30.697,32.5292,0.0,0.0,0.0192,0.06477336728387235
429849065,29.5544,27.5698,29.5664,0.0,0.0,0.0186,0.06684048540909966
429849070,24.4614,22.6341,25.7423,0.4473,0.4169,0.4112,0.06866661880204716
429849077,39.7759,35.9707,39.7431,0.7323,0.6643,0.6635,0.058176383157876974
429849078,40.8694,37.0537,40.5498,0.6041,0.5476,0.5547,0.0595549083537657
429849079,40.7133,37.0528,45.6785,1.352,1.2293,1.253,0.03539794461097376
429849080,39.3217,35.8954,44.2009,2.0506,1.8576,1.8816,0.038784722731202766
429849081,20.4129,18.8498,24.2212,1.1742,1.0905,1.0994,0.05872006370526449
429849082,23.9736,22.0415,26.8507,0.2272,0.2048,0.2218,0.06411244968272661
429849093,17.0908,16.3902,21.7725,0.0,0.0,0.0219,0.05686023067241032
429849098,17.7796,16.9939,21.5495,0.1372,0.1204,0.1116,0.05511459098459456
429849108,17.6714,16.8654,20.6823,0.1446,0.1438,0.1443,0.06283026644890574
429849115,28.7005,27.5339,33.0849,0.2452,0.2391,0.2369,0.04424723137071616
429849121,26.7374,24.8382,26.3788,0.0,0.0,0.0185,0.06719790044098876
429849122,46.588,43.4432,44.2078,0.0,0.0,0.0239,0.05214171140333059
429849124,62.7844,58.1755,58.0825,0.0,0.0,0.0264,0.047241322067509035
429849125,67.128,62.1477,61.8219,0.0,0.0,0.0267,0.04671448198421
429849126,65.4907,60.4909,60.4171,0.0,0.0,0.026,0.047962542530693694
429849127,42.4245,39.3493,39.8834,0.0,0.0,0.0205,0.0607056738604871
429849129,21.1551,19.6328,21.4495,0.0,0.0,0.0158,0.07853670966610296
