detection_id,B,G,R,nB,nG,nR,Compactness
427672996,17.3914,17.0825,15.6403,0.5294,0.5151,0.392,0.07139750161301212
427672997,19.2172,18.5894,17.373,0.9153,0.8941,0.6086,0.0675591583065621
427673004,14.4378,14.1368,14.9266,0.2021,0.2019,0.1592,0.08548150399146558
427673016,17.8095,17.6676,18.6206,0.2581,0.2503,0.198,0.08266986501266944
427673017,15.8013,15.7303,16.7079,0.218,0.2135,0.164,0.08911864874469005
427673021,10.4252,10.1946,9.8835,0.1351,0.1322,0.0925,0.1132011898318306
427673024,10.6418,10.2333,9.9651,0.1295,0.125,0.0858,0.11527791973048969
427673031,18.2867,17.8364,17.591,0.266,0.2547,0.1828,0.0815963233535219
427673041,9.0512,10.1696,16.1544,0.1158,0.125,0.2028,0.09105580497377844
427673044,10.5469,11.19,16.1262,0.4754,0.5244,0.6293,0.09239471398211957
427673045,12.2292,12.9793,17.8384,0.7117,0.765,0.832,0.07903061153879146
427673046,12.3868,13.3128,17.4507,0.8067,0.884,0.8282,0.07099415216660818
427673057,7.1685,8.1601,12.1707,0.0387,0.0373,0.0489,0.09816868357674101
427673061,4.7787,5.9343,9.8472,0.0,0.0,0.0124,0.09972671719555438
427673076,14.4661,14.093,14.4409,0.0939,0.0892,0.0207,0.08106994029334431
427673082,9.9954,10.0994,10.7114,0.0937,0.0963,0.0796,0.11966865507387159
427673083,10.1458,10.267,10.983,0.0909,0.0939,0.0835,0.11966865507387159
427673084,10.8074,10.8344,11.9277,0.0971,0.0969,0.0903,0.11423011752805243
427673085,10.9149,10.9544,11.9955,0.0965,0.0994,0.0907,0.11423011752805243
427673088,10.1935,10.4139,11.2304,0.1181,0.1239,0.1074,0.11423011752805243
427673091,11.0711,11.1853,12.1711,0.2027,0.2085,0.1716,0.10559216905199818
427673095,10.7757,11.1378,13.0981,0.1984,0.2129,0.1941,0.10299600257653854
427673096,10.7759,11.6263,14.4536,0.1618,0.1799,0.1884,0.09894156757337469
427673110,42.2951,48.2997,67.7202,0.3519,0.4617,0.6977,0.043784728166320654
427673112,42.508,48.3522,68.6418,0.2823,0.3604,0.5885,0.04536536335524013
427673113,39.3395,44.5088,62.6201,1.0329,1.1313,1.5431,0.047241322067509035
427673115,24.4671,24.0522,23.8209,0.1101,0.1075,0.0916,0.05006442052760694
427673117,13.2537,12.8115,13.0284,0.1421,0.1351,0.0999,0.1021587506273488
427673124,10.6704,10.447,10.76,0.1615,0.1578,0.1129,0.11119795425652645
427673127,10.6159,10.4374,10.4759,0.2278,0.2261,0.1542,0.10739689511380088
427673128,10.2606,9.9323,10.4177,0.1549,0.149,0.1144,0.11119795425652645
427673130,10.4559,10.4063,10.1697,0.0925,0.0975,0.068,0.12081909724428652
427673131,14.1338,14.1633,13.0904,0.1282,0.1322,0.0852,0.10133499999681532
427673132,14.6947,14.6247,13.8878,0.1284,0.1311,0.0963,0.09665858053229819
427673133,12.7297,12.5801,12.342,0.1073,0.1067,0.0776,0.10471236017896915
427673134,15.1915,17.215,26.6762,0.5176,0.5877,0.8305,0.08433420746488306
427673144,22.8482,23.74,29.001,0.011,0.0118,0.0342,0.06544805286939072
427673148,19.3545,19.5112,21.6904,0.3145,0.3195,0.2816,0.07435458803139107
427673162,55.3143,53.7812,44.7184,0.1234,0.1156,0.1065,0.046541470193173916
427673164,21.4852,21.0858,19.5681,0.0991,0.0977,0.0809,0.07348500463068167
427673165,10.0828,10.851,15.8983,0.0294,0.045,0.0815,0.10559216905199818
427673166,11.4967,12.5653,18.3461,0.1759,0.1972,0.2964,0.10559216905199818
427673167,9.8935,10.7933,15.8454,0.1796,0.2131,0.257,0.10832258979485408
427673168,10.9448,12.1,17.7888,0.1295,0.1429,0.2215,0.11743226366213184
427673170,19.4699,21.0496,34.3731,0.6498,0.7152,1.0065,0.05844695914181379
427673171,22.6147,23.5117,38.4723,0.668,0.6885,1.0852,0.07139750161301212
427673173,20.2363,22.4413,36.4238,0.0711,0.0783,0.198,0.05584942297118333
427673174,14.9418,16.8473,28.3952,0.1752,0.2045,0.3814,0.07479714303071543
427673175,16.0496,18.4029,30.2725,0.451,0.5354,0.8169,0.07263552511680024
427673176,16.9181,19.11,31.8695,0.6466,0.7483,1.1245,0.06942531913488556
427673177,10.4557,12.435,20.5643,0.3108,0.3625,0.5525,0.08055030487456037
427673178,12.6836,14.7426,23.5057,0.5709,0.6433,0.9198,0.07569824722699373
427673179,15.2935,16.9915,26.7486,0.6816,0.7554,1.0308,0.07139750161301212
427673180,10.4881,10.2081,9.7746,0.2651,0.2595,0.1746,0.11743226366213184
427673181,11.912,11.5479,10.7615,0.3039,0.2981,0.1952,0.11119795425652645
427673184,14.9371,14.5416,14.3768,0.2436,0.2341,0.1668,0.09307904275505513
427673187,14.2551,13.9547,14.4892,0.1327,0.1318,0.1183,0.09894156757337469
427673188,13.3138,13.112,13.9409,0.1211,0.1211,0.1082,0.09894156757337469
427673190,12.7799,12.9238,13.8374,0.0982,0.0995,0.078,0.10133499999681532
427673193,13.7445,13.7512,14.0846,0.1317,0.132,0.1091,0.09665858053229819
427673195,14.0012,13.8709,14.2392,0.1593,0.159,0.1261,0.09519422993221213
427673196,14.2568,14.1221,14.2772,0.1738,0.1737,0.1344,0.09592081711552267
427673197,14.5777,14.4157,14.7,0.1858,0.1847,0.1403,0.08911864874469005
427673199,13.7689,13.6403,14.1033,0.2509,0.2492,0.1855,0.08548150399146558
427673200,11.264,11.1785,11.8541,0.0995,0.0999,0.0961,0.10832258979485408
427673201,11.298,11.1745,12.0986,0.0948,0.0945,0.0944,0.1021587506273488
427673202,11.0746,10.9941,11.988,0.1402,0.1399,0.1132,0.09447856694680049
427673203,10.3821,10.3052,11.2506,0.1414,0.1417,0.1107,0.09740778003073822
427673204,9.9363,9.7097,11.0839,0.1102,0.1067,0.0929,0.10299600257653854
427673208,11.6322,11.1393,11.607,0.1512,0.1427,0.1099,0.09972671719555438
427673211,10.8025,10.3756,10.7546,0.1042,0.0987,0.0869,0.11527791973048969
427673219,10.6642,10.4134,11.4381,0.1488,0.145,0.1124,0.10832258979485408
427673220,10.6006,10.3727,11.3319,0.1751,0.1693,0.1282,0.10926437976474195
427673225,11.7952,11.5628,14.278,0.0278,0.026,0.0239,0.1021587506273488
427673231,10.783,10.4314,12.184,0.112,0.107,0.0841,0.11119795425652645
427673241,8.4202,8.047,8.3943,0.3697,0.35,0.2472,0.10739689511380088
427673245,10.1947,9.8573,9.6745,0.204,0.1909,0.1312,0.1132011898318306
427673246,10.1095,9.7132,9.6174,0.1738,0.1656,0.1123,0.11527791973048969
427673248,10.1267,9.7741,10.1306,0.1156,0.1086,0.0935,0.11853991327830876
427673259,13.441,15.1622,24.5194,0.5915,0.6599,0.8788,0.06283026644890574
427673263,42.454,47.8377,74.516,1.2182,1.3855,2.0608,0.04259737366383495
427673268,32.4496,36.4176,55.4157,1.1873,1.3287,1.9156,0.06129789587454133
427673276,22.3478,23.5539,38.1197,0.5394,0.5614,0.8201,0.0607056738604871
427673309,8.8884,9.9753,15.5252,0.0984,0.1139,0.1739,0.1021587506273488
427673312,12.1343,13.5387,19.783,0.173,0.203,0.2646,0.08911864874469005
427673322,14.3987,15.0745,18.8153,0.8033,0.8647,0.8753,0.08055030487456037
427673324,14.3278,14.8228,17.47,1.1908,1.2639,1.1916,0.08433420746488306
427673327,12.3493,12.5197,14.1851,0.6932,0.6926,0.5893,0.08666044549832956
427673329,11.4621,11.3586,13.2049,0.6528,0.6437,0.5468,0.08849111644335216
427673333,55.607,55.0166,47.8159,0.3839,0.3823,0.33,0.03539794461097376
427673342,13.4396,13.1053,12.3517,0.8944,0.8689,0.6198,0.09519422993221213
427673344,13.6004,13.1566,12.9071,0.9705,0.9409,0.6832,0.09239471398211957
427673347,10.8451,10.4198,11.0876,0.3923,0.3794,0.2635,0.10133499999681532
427673349,21.2101,21.5759,26.6893,0.3082,0.3131,0.3634,0.07263552511680024
427673362,17.4123,18.9547,23.5044,0.0122,0.0226,0.0393,0.077091360650504
427673363,17.0929,18.3432,23.103,0.0229,0.0427,0.0652,0.08433420746488306
427673367,27.1811,27.226,32.8882,1.4157,1.4177,1.4954,0.06829345312829196
427673368,26.6977,26.7053,32.5559,1.1242,1.1176,1.1899,0.06346488289866778
427673369,15.6812,16.4635,20.073,0.4367,0.453,0.4716,0.08212958633865283
427673372,11.8699,12.3339,15.8963,0.0,0.0,0.0138,0.08975514439115811
427673379,8.9602,9.2044,11.0361,0.329,0.3461,0.3268,0.11119795425652645
427673395,10.0441,9.9693,10.9431,0.1202,0.1181,0.1045,0.10926437976474195
427673396,9.7201,9.7274,10.6314,0.0987,0.1,0.0912,0.10739689511380088
427673398,11.9622,12.2824,13.8216,0.0237,0.0287,0.0151,0.11219063124580061
427673399,13.3067,13.552,15.3068,0.0405,0.0499,0.0305,0.09447856694680049
427673411,11.9369,13.1609,16.4941,0.4755,0.5342,0.5408,0.09307904275505513
427673413,13.1795,13.229,15.2439,1.3322,1.3204,1.1856,0.08606693785815557
427673424,7.733,7.5642,9.4456,0.1617,0.1592,0.142,0.10299600257653854
427673435,10.2226,9.7868,10.4151,0.1327,0.1256,0.1044,0.11743226366213184
427673437,9.2966,8.7786,9.4204,0.316,0.2955,0.221,0.11743226366213184
427673443,7.0229,7.2131,8.963,0.0855,0.0852,0.0805,0.10832258979485408
427673445,5.9497,6.2344,7.7705,0.0405,0.0396,0.0429,0.11119795425652645
427673446,4.4031,4.5829,7.3074,0.04,0.0382,0.0477,0.09592081711552267
427673447,4.0091,4.3592,6.9761,0.0143,0.0137,0.0253,0.09665858053229819
427673449,6.988,6.9716,7.861,0.1714,0.1707,0.1376,0.11853991327830876
427673450,7.1895,7.1939,8.155,0.1409,0.1403,0.112,0.11219063124580061
427673453,7.682,8.8065,13.5607,0.3795,0.441,0.57,0.11119795425652645
