detection_id,B,G,R,nB,nG,nR
432578509,5.4159,5.6555,8.1846,0.0004,0.0011,0.0114
432578510,7.2358,7.5051,10.4746,0.0,0.0,0.01
432578511,4.8249,4.9907,7.0496,0.0,0.0,0.0069
432578512,5.0214,5.1801,7.2965,0.0033,0.0034,0.0105
432578513,4.8588,4.9544,6.9627,0.0172,0.0173,0.024
432578514,4.4895,4.5954,6.4733,0.017,0.0174,0.0238
432578515,3.5123,3.5883,5.0309,0.0401,0.0404,0.0448
432578516,3.1124,3.1868,4.5274,0.0043,0.0043,0.0095
432578518,6.457,6.6081,8.4855,0.0332,0.0338,0.0404
432578519,7.3878,7.354,9.558,0.0065,0.0071,0.0145
432578520,6.398,6.4534,8.4741,0.0263,0.0262,0.0322
432578521,6.2656,6.341,8.4599,0.0,0.0,0.008
432578522,4.352,4.4077,6.1295,0.0044,0.0043,0.0107
432578523,4.0132,4.0959,5.6188,0.0503,0.0506,0.0542
432578524,3.9534,4.0839,5.5071,0.0589,0.0596,0.0624
432578525,3.9686,4.0617,5.5024,0.154,0.1546,0.1528
432578526,4.2432,4.3596,5.8178,0.1157,0.1172,0.1169
432578527,4.4253,4.4859,5.9948,0.1595,0.1591,0.1589
432578528,4.1508,4.2302,5.7589,0.3626,0.3688,0.3683
432578529,4.3482,4.0706,5.2381,0.0424,0.0409,0.0426
432578530,2.4426,2.4529,3.7448,0.0068,0.0073,0.0106
432578531,6.4343,6.0644,7.3664,0.0554,0.0538,0.058
432578532,2.5384,2.5605,3.8309,0.0022,0.0032,0.0077
432578533,3.6952,3.4628,4.6142,0.0981,0.0914,0.0934
432578534,3.7919,3.962,5.6662,0.0,0.0,0.0061
432578535,5.1143,4.8252,6.2692,0.2781,0.263,0.2635
432578536,3.6712,3.7354,5.3387,0.0053,0.0066,0.0134
432578537,4.7537,4.8537,6.6224,0.0843,0.089,0.0941
432578538,4.291,4.0773,5.4499,0.2429,0.2305,0.2362
432578539,3.0109,3.0637,4.6326,0.065,0.067,0.0698
432578540,3.685,3.739,5.3184,0.1068,0.1072,0.1118
432578541,5.5687,5.3278,6.8714,0.406,0.3915,0.3925
432578542,3.4095,3.4889,5.1989,0.0217,0.0219,0.0277
432578543,5.0347,5.114,6.9616,0.1241,0.1252,0.1304
432578544,5.4513,5.2619,6.6851,0.3247,0.3133,0.3145
432578545,2.8875,2.9494,4.3987,0.0,0.0,0.0053
432578546,2.283,2.2641,3.3216,0.0176,0.0175,0.0194
432578547,2.4665,2.4177,3.5043,0.0188,0.0186,0.0208
432578548,2.3154,2.2503,3.3357,0.0243,0.0237,0.0242
432578552,11.4594,11.5068,15.8185,0.0745,0.0753,0.0978
432578553,7.5294,7.5536,10.8521,0.0422,0.0429,0.059
432578554,2.7707,2.7635,4.7293,0.0116,0.0115,0.0217
432578558,1.7153,1.9681,4.2279,0.118,0.1376,0.1937
432578559,1.6954,1.9669,4.1123,0.1409,0.1658,0.2278
432578560,2.0133,2.334,4.8294,0.1242,0.1472,0.2038
432578561,2.1145,2.5034,4.9462,0.1275,0.1549,0.2068
432578562,2.4332,2.853,5.5778,0.129,0.1566,0.212
432578563,1.9817,2.3128,4.7226,0.0427,0.0523,0.0769
432578564,1.6647,1.9114,3.9357,0.0326,0.0411,0.0595
