detection_id,B,G,R,nB,nG,nR,Compactness
432372952,8.1889,8.5188,13.0687,0.0376,0.0423,0.0613,0.03989283543241531
432372953,0.6581,0.6363,2.3503,0.0,0.0,0.0084,0.14610036423614817
432372954,0.5134,0.3771,2.0931,0.0,0.0,0.0072,0.16978395275546265
432372955,1.1847,1.068,2.6723,0.0,0.0,0.008,0.15322506464696445
432372975,1.953,2.1957,6.4154,0.0418,0.0448,0.0658,0.08003728818317192
432372977,2.9372,2.8117,5.6905,0.0064,0.0069,0.0191,0.10648688664370398
432372978,6.9638,7.0632,9.0975,0.0801,0.0842,0.0816,0.10832258979485408
432372980,6.8278,7.5996,10.2454,0.0071,0.0298,0.0149,0.08321729873508964
432372985,3.5683,3.749,5.0188,0.0,0.0,0.0064,0.1903544897796419
432372986,2.3714,2.0597,3.9314,0.0414,0.0378,0.0471,0.17695501477362918
432372988,20.035,20.2007,26.7893,0.2959,0.2947,0.3419,0.06378702284985524
432373001,5.545,5.7114,10.3177,0.0367,0.0323,0.0428,0.06129789587454133
432373011,4.3904,5.1235,8.4197,0.0912,0.1104,0.1629,0.17695501477362918
432373015,2.5381,2.7413,5.8526,0.0041,0.0045,0.0166,0.09972671719555438
432373017,7.0776,7.3155,10.5887,0.103,0.1057,0.1172,0.09239471398211957
432373026,4.1173,4.4263,6.1636,0.0,0.0017,0.0084,0.14610036423614817
432373027,9.2497,9.1447,11.2293,0.0,0.0,0.0108,0.11423011752805243
432373029,17.3765,17.1486,20.3985,0.2812,0.2788,0.286,0.07953076456813789
432373033,2.584,2.4573,3.8581,0.0056,0.0039,0.0088,0.19941430995731257
432373041,7.9681,7.3,9.3647,0.1464,0.1338,0.1376,0.1336693370934263
432373044,6.6973,6.4083,8.2962,0.0386,0.0255,0.0242,0.12821464331793822
432373054,1.653,1.5607,2.6967,0.0228,0.0212,0.0227,0.1794818739290955
432373065,2.7966,2.6961,4.6803,0.0283,0.0273,0.0361,0.16108014280507627
432373075,3.3554,4.5418,7.4977,0.0378,0.06,0.075,0.11853991327830876
432373084,2.7821,2.7092,5.0012,0.0505,0.0493,0.0657,0.15705446369492315
432373085,1.8317,1.6929,3.2882,0.0359,0.0322,0.0432,0.224325293611701
432373090,10.6193,10.0884,16.2359,0.1875,0.1786,0.2423,0.07435458803139107
432373098,6.2109,6.2837,9.7475,0.1491,0.1534,0.1849,0.11743226366213184
432373101,10.765,11.805,15.429,0.1281,0.1407,0.1485,0.08106994029334431
432373103,7.1904,6.9447,11.3893,1.0759,1.0165,0.8604,0.05686023067241032
432373111,8.1675,7.805,10.1342,0.1177,0.1145,0.1136,0.08106994029334431
432373112,4.2069,3.9422,5.0991,0.0562,0.0547,0.0524,0.12953615542145414
432373116,1.8854,1.9141,3.7507,0.008,0.0086,0.0152,0.13226261511265314
432373117,1.8126,1.8243,2.5876,0.0112,0.012,0.0131,0.2129260181386661
432373124,7.3082,7.3956,9.4033,0.1211,0.1256,0.1261,0.12440706908215582
432373125,8.0412,8.2124,10.1482,0.12,0.1232,0.1245,0.12199187159268324
432373130,4.8188,5.0627,6.5251,0.0599,0.0645,0.0656,0.16317136358672749
432373136,7.9417,8.2281,10.0647,0.017,0.0176,0.031,0.07903061153879146
432373137,26.7403,27.0369,30.3699,0.3139,0.3179,0.3238,0.07305779571290515
432373138,9.2335,9.2435,12.5908,0.1316,0.1244,0.1383,0.06648685222060789
432373141,16.9051,17.7657,21.047,0.1438,0.1497,0.1718,0.04851807655625124
432373145,7.3468,7.948,9.6884,0.1227,0.1398,0.1335,0.12440706908215582
432373153,10.0526,10.4352,12.2202,0.215,0.2247,0.2126,0.11022268844923072
432373155,9.7317,9.9513,11.5834,0.165,0.1707,0.1631,0.11634512054520679
432373159,9.6707,9.7636,11.3933,0.1489,0.1512,0.1443,0.11743226366213184
432373164,9.2363,9.4722,11.0538,0.1827,0.1862,0.1733,0.11853991327830876
432373165,8.9863,9.2256,10.699,0.1991,0.2041,0.1887,0.12081909724428652
432373166,8.9603,9.2112,10.8855,0.1733,0.1752,0.1674,0.11966865507387159
432373167,8.535,8.7501,10.4052,0.1505,0.1536,0.1463,0.12440706908215582
432373168,8.6433,8.8968,10.6227,0.1371,0.1402,0.1354,0.12081909724428652
432373169,8.4949,8.7733,10.3471,0.1614,0.1666,0.1541,0.11966865507387159
432373170,8.0655,8.3233,10.0023,0.1352,0.1402,0.1321,0.11853991327830876
432373171,7.9324,8.2346,9.9888,0.1604,0.1679,0.1602,0.12199187159268324
432373172,7.5131,7.8076,9.6941,0.0874,0.0911,0.0905,0.11634512054520679
432373173,7.3658,7.5548,9.4258,0.0973,0.0992,0.0987,0.11743226366213184
432373174,7.0932,7.1992,9.0242,0.0963,0.0972,0.0959,0.12081909724428652
432373175,7.0194,7.1593,8.9644,0.0852,0.088,0.0863,0.12081909724428652
432373176,6.7032,6.9841,8.8834,0.0927,0.0963,0.0968,0.12199187159268324
432373177,6.6329,6.87,8.8094,0.1076,0.1111,0.1108,0.12318763468639518
432373178,6.1632,6.3591,8.6468,0.0881,0.0891,0.0931,0.11022268844923072
432373180,6.1523,6.3308,8.6521,0.1047,0.106,0.1084,0.11022268844923072
432373181,5.9312,6.1639,8.4901,0.0807,0.0843,0.0897,0.11219063124580061
432373185,3.6134,3.8052,4.9848,0.076,0.0851,0.08,0.19941430995731257
432373194,5.9282,6.3186,8.1175,0.0672,0.073,0.0726,0.12821464331793822
432373197,6.9132,7.1159,8.8663,0.0952,0.0988,0.0971,0.13088518977836702
432373198,6.8858,7.1231,8.8249,0.1283,0.1334,0.1274,0.1336693370934263
432373199,6.9439,7.1706,8.9033,0.1679,0.1762,0.1694,0.13226261511265314
432373200,6.9757,7.1922,8.9441,0.2382,0.2467,0.236,0.13226261511265314
432373201,6.8301,7.0042,8.715,0.1738,0.1803,0.1703,0.13088518977836702
432373202,6.8099,7.0019,8.602,0.1636,0.1681,0.1585,0.1336693370934263
432373203,6.618,6.8409,8.5091,0.1369,0.1391,0.1324,0.13088518977836702
432373204,6.5462,6.7442,8.4276,0.1397,0.1437,0.1387,0.13226261511265314
432373205,5.7553,5.9501,7.7984,0.1138,0.1215,0.1173,0.12691981982432735
432373206,5.5448,5.7369,7.5585,0.1452,0.1498,0.1431,0.12821464331793822
432373207,5.2726,5.4818,7.318,0.0529,0.0543,0.056,0.12691981982432735
432373220,1.4754,1.4702,2.2912,0.0,0.0,0.006,0.20262892686416292
432373221,11.3441,11.0589,12.9078,0.1265,0.1247,0.1264,0.08212958633865283
432373222,13.8615,13.3891,13.511,0.0486,0.0461,0.0598,0.06220821570931003
432373223,5.3652,5.142,7.4058,0.0634,0.0578,0.069,0.08377203058083679
432373224,9.8191,9.1171,9.4304,0.0296,0.0259,0.0368,0.08490398027194407
432373225,8.0859,7.8879,10.1209,0.0401,0.0386,0.051,0.06510896233025722
432373227,4.438,4.5544,6.2791,0.0465,0.0487,0.0558,0.18208192715442573
432373229,5.3468,5.5359,7.5855,0.0473,0.0486,0.058,0.16317136358672749
432373232,9.4953,9.4284,10.4286,0.058,0.0519,0.0608,0.07903061153879146
432373235,15.3787,14.1831,13.4117,0.0496,0.0482,0.0592,0.06378702284985524
432373236,20.3315,19.2255,18.8162,0.0818,0.0802,0.0938,0.04851807655625124
432373241,16.3386,15.0205,16.5802,0.0718,0.0685,0.0793,0.051500646728563054
432373242,15.4497,14.0609,15.1973,0.0649,0.0616,0.0722,0.058176383157876974
432373243,13.654,12.4657,13.6814,0.0557,0.0537,0.0632,0.06378702284985524
432373244,7.1632,6.4054,8.7727,0.0249,0.0256,0.0412,0.07180546030797123
432373245,8.5659,7.6856,10.1853,0.0326,0.0301,0.0435,0.06981099120988524
432373247,12.8797,11.9692,16.3329,0.1692,0.1768,0.2067,0.051500646728563054
432373249,2.044,1.8144,2.7782,0.0,0.0,0.0059,0.2059488517353309
432373250,4.9439,4.5672,5.8257,0.0,0.0,0.0106,0.11634512054520679
432373251,5.7042,5.2731,6.6138,0.0,0.0,0.0116,0.10648688664370398
432373254,5.6619,5.6094,7.2823,0.1771,0.1687,0.1505,0.13226261511265314
432373256,3.6943,3.6273,5.8019,0.0141,0.0146,0.0221,0.08975514439115811
432373258,11.9732,11.0026,13.7823,0.1308,0.1321,0.1421,0.06283026644890574
432373260,6.2155,5.9511,7.5564,0.1105,0.1095,0.1031,0.1038470904936626
432373263,3.4161,3.3009,4.5305,0.0584,0.0569,0.0505,0.13657449043501094
432373264,4.1526,4.1195,5.5919,0.0696,0.0688,0.0704,0.18475840065665078
432373265,3.4926,3.4803,4.9278,0.0945,0.0947,0.0932,0.18751471302418415
432373266,3.1217,3.1066,4.5138,0.0613,0.0604,0.0652,0.2059488517353309
432373267,2.906,2.9061,4.3103,0.0675,0.0673,0.0718,0.2059488517353309
432373268,3.1901,3.2169,4.6691,0.0645,0.0645,0.0689,0.1903544897796419
432373269,3.0839,3.1055,4.5365,0.0591,0.0595,0.0629,0.1963000700655754
