detection_id,B,G,R,nB,nG,nR,Compactness
433026310,19.3305,19.665,13.6286,1.1702,1.1232,0.4823,0.0595549083537657
433026313,23.7204,26.9721,15.1274,0.6008,0.6731,0.2661,0.05279893651282317
433026316,10.9635,16.555,12.5162,0.0,0.0,0.0215,0.05790830079919458
433026344,6.7895,8.6048,7.3762,0.0789,0.0898,0.0646,0.09519422993221213
433026357,14.3225,19.4724,15.4379,0.0976,0.1398,0.0365,0.05635029433027713
433026358,4.5245,8.2787,10.519,0.0957,0.1629,0.1787,0.08849111644335216
433026359,5.0247,6.1683,9.7521,0.0711,0.0785,0.0818,0.09447856694680049
433026362,8.2811,10.044,10.9492,0.1733,0.2113,0.1594,0.09040079679516942
433026366,15.7869,17.4811,16.6317,0.4519,0.5096,0.3366,0.05872006370526449
433026367,8.1019,9.8071,13.2055,0.1674,0.1878,0.1937,0.05872006370526449
433026372,13.2692,16.0459,18.4171,0.2443,0.3076,0.2557,0.05324636892277132
433026375,9.5115,12.1844,12.2512,0.1116,0.1548,0.1142,0.0937735836449438
433026376,11.2383,11.5404,12.0417,0.096,0.1,0.0644,0.09972671719555438
433026387,1.96,3.6689,11.1642,0.0,0.0,0.0344,0.03631868507741698
433026392,19.3435,22.0914,20.7767,0.2369,0.2821,0.1904,0.06129789587454133
