detection_id,B,G,R,nB,nG,nR,Compactness
27376955,22.9453,25.0275,30.242,0.2756,0.3008,0.3167,0.05560231145909046
27376957,17.7568,19.563,23.8466,0.1881,0.2159,0.2268,0.05983849013957345
27376958,18.7859,20.8078,26.3846,0.2509,0.2942,0.3097,0.04947312713553582
27376959,18.711,20.5788,25.7687,0.245,0.2852,0.298,0.05302170881884524
27376970,13.5395,14.7221,17.8558,0.2748,0.3014,0.2667,0.06220821570931003
27377040,26.936,29.9605,36.9725,0.2129,0.2299,0.2589,0.0502646717369248
27377041,27.305,30.375,36.6651,0.3085,0.3263,0.3503,0.05108195634991484
27377042,26.2367,28.4248,33.7089,0.2326,0.2446,0.2649,0.06100034753906654
27377043,22.7284,24.636,29.8448,0.219,0.2268,0.2453,0.06012478543760053
27377114,23.0923,24.0556,27.8648,0.2829,0.2971,0.2826,0.05463535211139932
27377116,22.8835,23.8473,27.5843,0.2913,0.3111,0.2911,0.05535737701133239
27377117,23.8526,24.4583,28.0898,0.3096,0.3156,0.2847,0.05584942297118333
27377118,20.5003,19.4994,18.6953,1.798,1.6771,1.1471,0.06477336728387235
27377120,18.0309,17.0166,17.4026,0.42,0.3908,0.2847,0.07059533429497317
27377121,17.2388,16.3102,17.8239,0.3874,0.3594,0.2674,0.05764267775279962
27377122,24.0082,25.8236,31.7517,0.3133,0.3389,0.3759,0.05129044711249124
27377123,25.7905,26.6951,31.4307,0.197,0.2066,0.2014,0.042886611017227017
27377124,22.4096,21.1602,21.1546,0.2072,0.1883,0.1339,0.06866661880204716
27377125,25.2359,23.6487,23.3502,0.175,0.1642,0.0747,0.06866661880204716
27377126,25.2463,23.6173,23.1482,0.1532,0.1426,0.0541,0.06904388481989716
27377127,25.9797,24.2067,24.1959,0.1939,0.1822,0.0858,0.06346488289866778
27377128,25.3173,23.5452,23.7283,0.1675,0.1571,0.0639,0.06314598028335774
27377129,26.0496,24.3051,24.1388,0.1797,0.1693,0.0837,0.06444121395927624
27377130,27.1665,25.2667,25.1637,0.1763,0.1633,0.0766,0.06411244968272661
27377131,25.2251,23.7703,22.9757,0.2193,0.2118,0.1275,0.06942531913488556
27377132,18.0942,19.799,23.5231,0.0911,0.1299,0.1288,0.06866661880204716
27377161,17.6809,19.8624,23.523,0.1003,0.1293,0.1438,0.07615699026400004
27377174,42.2367,47.056,58.8606,0.7491,0.8626,0.9348,0.030500718986314672
27377180,21.4781,24.4333,30.1362,0.1357,0.1745,0.197,0.06041383338136221
27377186,21.9547,24.4979,29.2416,0.1881,0.2046,0.2247,0.06579069379816853
27377188,17.7933,19.8746,24.3215,0.1102,0.136,0.1538,0.07479714303071543
27377197,16.2771,18.4415,22.2545,0.0808,0.1138,0.1281,0.08548150399146558
27377199,21.1247,24.1075,28.7668,0.1276,0.1646,0.1834,0.06904388481989716
27377213,26.2404,29.0252,34.8158,0.6907,0.7835,0.7681,0.051712576293637055
27377214,24.2802,26.8071,32.4389,0.7577,0.8467,0.8388,0.05235148789830772
27377215,19.4221,20.8602,27.2846,0.2965,0.3202,0.3415,0.04552483014500364
27377216,17.7901,17.7149,19.3458,0.1176,0.1173,0.1045,0.08849111644335216
27377218,22.788,23.5043,25.7497,0.1636,0.1685,0.1714,0.07020097205976435
27377219,23.6514,24.219,26.7246,0.168,0.1726,0.1799,0.07020097205976435
27377221,24.6367,25.6348,28.1281,0.2097,0.2162,0.1958,0.0675591583065621
27377222,27.4285,28.775,32.5044,0.2629,0.2753,0.278,0.06012478543760053
27377235,17.0963,17.4063,19.9852,0.2478,0.247,0.2144,0.06942531913488556
27377253,37.8187,40.7262,46.9713,1.8924,2.0273,1.8695,0.04133629519476816
27377254,38.156,41.1484,47.4168,1.9557,2.0857,1.908,0.03878359820796782
27377255,40.2421,43.2455,49.3058,1.7941,1.9134,1.7513,0.03951649547848519
27377256,40.1281,43.4241,49.2192,1.7119,1.8118,1.6386,0.03819530033179143
27377269,27.7257,27.0852,31.7317,0.2495,0.2484,0.2354,0.04552972625896745
27377295,23.6942,25.3848,31.8911,0.3641,0.4009,0.4099,0.041886015290418396
27377329,18.0662,17.3452,17.6123,1.1428,1.074,0.7999,0.07953076456813789
27377341,18.7757,18.5554,19.987,1.7561,1.6881,1.3583,0.06942531913488556
27377353,19.1092,18.9844,20.0391,0.9812,0.9819,0.8061,0.07391723900466864
27377361,24.0392,24.4715,24.4499,0.9391,0.9733,0.7932,0.059274001684944774
27377372,14.5624,15.8332,20.3157,1.2165,1.2904,1.1289,0.05487392523583279
