detection_id,B,G,R,nB,nG,nR,Compactness
430784108,5.9183,4.4632,7.0748,0.0381,0.0292,0.0364,0.10739689511380088
430784113,6.6109,5.24,7.5428,0.0804,0.0664,0.0697,0.10648688664370398
430784118,3.8025,3.9395,9.8736,0.0039,0.0041,0.0205,0.0815963233535219
430784119,7.0447,6.4076,11.6223,0.0728,0.0644,0.0807,0.09105580497377844
430784120,9.2557,8.4158,14.7323,0.0626,0.0573,0.0836,0.07615699026400004
430784121,9.4258,8.4205,14.6597,0.062,0.0529,0.0803,0.07569824722699373
430784122,9.5941,8.6988,14.6023,0.0553,0.0509,0.0643,0.0752449975094086
430784126,12.8282,11.5035,18.4737,0.0834,0.0741,0.0842,0.06648685222060789
430784318,7.3352,6.103,8.5553,0.1789,0.149,0.1439,0.09592081711552267
430784319,7.1968,5.9927,8.1647,0.1944,0.1589,0.1581,0.10559216905199818
430784320,6.8281,5.6286,8.3281,0.1339,0.1092,0.119,0.09816868357674101
430784324,7.309,5.9842,9.0372,0.0542,0.0458,0.0531,0.0937735836449438
430784325,7.4321,6.1192,9.263,0.0565,0.047,0.0554,0.09172037375316221
430784344,6.985,5.6007,8.5894,0.0133,0.0101,0.0236,0.0937735836449438
430784349,1.3267,1.5747,5.8837,0.0007,0.0008,0.0147,0.09172037375316221
430784350,1.4575,1.3984,6.4105,0.0,0.0,0.015,0.08321729873508964
430784351,1.3364,1.1852,6.2865,0.0,0.0,0.016,0.07953076456813789
430784352,1.1977,1.0741,6.3679,0.0,0.0,0.0158,0.07953076456813789
430784408,4.8115,4.8738,12.7414,0.0029,0.0031,0.0289,0.05129044711249124
430784430,8.0735,7.4486,17.8028,0.0066,0.0063,0.034,0.05535737701133239
430784528,7.239,7.1763,13.1764,0.2281,0.2251,0.3367,0.09519422993221213
430784529,8.4484,8.6606,16.0201,0.3037,0.314,0.4624,0.07953076456813789
430784531,9.8508,10.5358,20.0448,0.2425,0.2562,0.3936,0.06829345312829196
430784536,3.5731,2.3922,3.9663,0.0,0.0,0.0118,0.10471236017896915
430784537,3.6302,4.3202,10.1286,0.0056,0.0058,0.0208,0.1021587506273488
430784550,6.482,5.1965,7.5103,0.1271,0.1048,0.1004,0.10739689511380088
430784556,7.6888,6.0611,8.2305,0.0992,0.0813,0.0797,0.10832258979485408
430784557,7.6463,6.1761,8.4133,0.1208,0.1015,0.0978,0.10648688664370398
430784608,7.8405,6.2949,8.5868,0.1348,0.111,0.1105,0.10739689511380088
430784609,8.1532,6.6667,9.4309,0.1468,0.1213,0.1251,0.09172037375316221
430784610,5.7017,4.0185,6.0117,0.0065,0.0047,0.0157,0.10832258979485408
430784616,9.6337,8.065,10.5443,0.3314,0.2791,0.2677,0.09740778003073822
430784624,6.962,5.8585,7.4155,0.1233,0.107,0.0839,0.10832258979485408
430784627,8.8755,7.0284,9.1988,0.0906,0.0771,0.0724,0.09592081711552267
430784636,7.7801,6.3542,8.3689,0.0943,0.0798,0.0782,0.10052442674077641
430784640,8.4958,6.4799,9.2503,0.225,0.175,0.1776,0.10133499999681532
430784653,6.5507,5.9788,17.1187,0.0006,0.0008,0.0297,0.048331474165630606
430784718,4.1597,5.7312,18.6277,0.0246,0.0236,0.086,0.04636973518878762
430784722,2.1968,2.7412,14.7301,0.0092,0.0085,0.1172,0.04569528448132631
430784727,13.0769,11.1508,15.4122,0.2915,0.2456,0.2746,0.0815963233535219
430784728,12.4161,10.6382,14.3307,0.3143,0.2726,0.3009,0.08266986501266944
430784729,12.7787,10.7578,14.4881,0.6112,0.4848,0.5468,0.08321729873508964
430784730,12.5425,10.5298,13.5236,0.292,0.2444,0.2411,0.08212958633865283
430784731,12.1783,10.08,13.0446,0.1752,0.1431,0.1614,0.08377203058083679
430784733,11.1847,8.2555,10.7797,0.0815,0.0669,0.069,0.07953076456813789
430784734,10.9357,7.838,11.2167,0.0746,0.059,0.0619,0.07804894248762141
430784735,2.6158,3.1321,9.0536,0.0188,0.0219,0.047,0.07953076456813789
430784738,10.9518,8.5999,11.1856,0.0609,0.0549,0.0491,0.07756719641593564
430784819,7.3352,6.3595,9.2711,0.0215,0.0159,0.026,0.08003728818317192
430784821,12.7195,11.0605,15.0319,0.0892,0.0726,0.0641,0.05235896091135454
430784823,27.2287,24.0676,23.6305,0.2042,0.1781,0.0894,0.058176383157876974
430784825,14.886,13.0012,15.6183,0.118,0.1,0.0775,0.06041383338136221
430784831,5.8694,4.9457,7.9402,0.0551,0.0474,0.05,0.08548150399146558
430784841,12.2725,11.3331,19.6069,0.1886,0.1813,0.2547,0.04927912092245134
430784842,11.7147,10.6623,18.7183,0.1522,0.1423,0.1892,0.047962542530693694
430784843,9.7998,9.5324,18.8337,0.1838,0.1839,0.2627,0.04927912092245134
430784844,10.6148,9.8207,17.3831,0.2173,0.2026,0.2535,0.05439884443645084
430784849,5.9042,5.5712,11.6812,0.0955,0.0941,0.1303,0.06190178642991358
430784857,4.1732,4.9095,14.631,0.0335,0.0379,0.0779,0.050875153686925724
430784908,3.6831,4.3364,13.6838,0.0313,0.0354,0.0681,0.05214171140333059
430784915,1.1817,1.8794,8.7234,0.0216,0.0247,0.0666,0.06159836113714365
430784916,1.1791,2.019,8.6745,0.0056,0.0066,0.0364,0.06477336728387235
430784923,6.8138,5.6809,8.3462,0.0677,0.058,0.0578,0.09105580497377844
430784931,9.7988,8.6546,10.6164,0.2707,0.2396,0.1985,0.08548150399146558
430784933,9.1334,7.8732,9.8485,0.1361,0.1166,0.1109,0.09239471398211957
430784934,8.0826,7.0544,8.8807,0.1518,0.133,0.121,0.09972671719555438
430784939,8.4483,6.8737,9.3749,0.1589,0.1273,0.1356,0.09894156757337469
430784940,8.7926,7.1673,9.6813,0.2534,0.2017,0.2063,0.09972671719555438
430784941,8.7881,7.1497,9.5155,0.2097,0.166,0.1752,0.09816868357674101
430784942,8.5663,7.0201,9.1524,0.1605,0.1307,0.1292,0.1021587506273488
430784943,8.9132,7.3398,9.4767,0.1089,0.088,0.0867,0.09665858053229819
430784944,8.9519,7.4985,9.4247,0.0961,0.0813,0.078,0.09592081711552267
430784945,9.2575,7.7297,9.5904,0.1267,0.1082,0.0928,0.09592081711552267
430784948,9.3171,7.8019,10.2066,0.2635,0.2217,0.2245,0.10471236017896915
430784949,8.9739,7.515,9.6935,0.2667,0.2268,0.2205,0.10832258979485408
430784950,9.0138,7.5957,9.8465,0.2668,0.2259,0.2267,0.10471236017896915
430784951,8.3891,6.9594,8.982,0.168,0.1441,0.1233,0.09972671719555438
430784952,8.5526,7.0684,9.0501,0.1204,0.1032,0.0906,0.09740778003073822
430784954,8.4959,6.9249,8.9311,0.115,0.0988,0.0842,0.09592081711552267
430784957,7.7793,6.4389,8.1617,0.0788,0.0695,0.0612,0.10299600257653854
430785008,7.4448,6.2154,7.8778,0.1072,0.0942,0.0806,0.10471236017896915
430785009,8.0512,6.5566,8.408,0.0929,0.0809,0.0704,0.09894156757337469
430785010,7.7328,6.1786,8.3436,0.0733,0.0627,0.0581,0.10052442674077641
430785011,7.9844,6.3472,8.4981,0.0983,0.0826,0.0748,0.09740778003073822
430785012,8.0105,6.3779,8.4413,0.0595,0.0507,0.049,0.09972671719555438
430785013,7.5755,6.0663,8.1247,0.0634,0.0551,0.0521,0.10052442674077641
430785015,6.8505,5.7454,7.4368,0.0877,0.0791,0.0697,0.10471236017896915
430785020,7.3452,6.1781,8.3327,0.0823,0.0719,0.0647,0.09972671719555438
430785021,8.1541,6.7897,8.905,0.1072,0.0929,0.0836,0.09665858053229819
430785023,8.5029,7.2701,9.0834,0.1217,0.1085,0.0903,0.09665858053229819
430785025,8.7578,7.4481,9.1298,0.0954,0.0844,0.0781,0.09447856694680049
430785026,8.5956,7.367,8.6427,0.1109,0.0986,0.0827,0.09665858053229819
430785039,6.8819,5.6953,7.9144,0.0959,0.0837,0.079,0.10739689511380088
430785042,8.6094,7.0602,9.9003,0.0806,0.0696,0.0727,0.08726219508235135
430785047,6.2065,4.8074,7.2471,0.1087,0.0907,0.0872,0.11219063124580061
430785049,6.3607,5.1122,7.3691,0.0399,0.0345,0.0391,0.10471236017896915
430785055,1.2163,1.377,9.5676,0.0022,0.0025,0.0396,0.056098740702361524
430785120,5.4002,4.4982,7.1507,0.0,0.0,0.0123,0.10052442674077641
430785122,5.5462,4.4308,7.1682,0.0,0.0,0.0127,0.09740778003073822
430785123,5.3603,4.2968,7.0073,0.0,0.0,0.0125,0.09894156757337469
