detection_id,B,G,R,nB,nG,nR,Compactness
602522145,1.5301,2.373,5.336,0.0384,0.0573,0.1049,0.2093793437612272
602522146,2.3558,2.5628,5.6524,0.0257,0.0293,0.0507,0.1336693370934263
602522158,1.5727,1.7669,4.2943,0.0173,0.0204,0.0337,0.15322506464696445
602522160,2.8991,3.3326,4.7782,0.0161,0.0185,0.0239,0.1794818739290955
602522161,1.3588,1.5412,4.7044,0.0409,0.0482,0.0709,0.11966865507387159
602522163,3.0347,2.778,4.3942,0.0113,0.0115,0.0186,0.16317136358672749
602522164,1.0476,1.2206,3.6283,0.0148,0.017,0.0295,0.16108014280507627
602522166,1.0982,1.3079,3.4123,0.0127,0.0152,0.0238,0.1963000700655754
602522168,1.7439,1.6421,3.1797,0.0134,0.0129,0.019,0.17695501477362918
602522169,2.3044,1.9595,3.8618,0.0179,0.0175,0.0248,0.1396087127968195
602522171,1.9112,1.976,4.6967,0.0439,0.0456,0.0639,0.13226261511265314
602522172,1.2011,0.9259,2.4989,0.0,0.0,0.0071,0.1721088567938853
602522175,2.9921,3.6236,5.4025,0.0377,0.045,0.0562,0.18751471302418415
602522176,5.8767,5.7739,8.9022,0.8726,0.8522,0.7781,0.08726219508235135
602522177,7.5527,9.7351,19.4414,0.1047,0.1501,0.2625,0.06477336728387235
602522179,10.779,10.1486,11.937,0.2842,0.2368,0.2055,0.10052442674077641
602522182,5.3932,4.7974,6.9101,0.2214,0.1843,0.1617,0.11219063124580061
602522183,3.2275,3.5058,5.3744,0.0673,0.0744,0.0899,0.19328157927359077
602522185,3.6007,3.9063,6.9145,0.034,0.0379,0.0516,0.1132011898318306
602522187,7.0646,6.4947,8.1414,0.1373,0.1143,0.1011,0.12953615542145414
602522188,1.6259,1.607,3.5633,0.0052,0.0063,0.0148,0.15705446369492315
602522190,2.8586,2.5059,3.9353,0.1187,0.0971,0.0838,0.16752101074657041
602522229,3.3514,3.9746,7.377,0.0758,0.0907,0.1127,0.10133499999681532
602522242,2.8384,3.5471,6.6503,0.0646,0.089,0.1431,0.16752101074657041
602522245,4.3359,4.6801,7.3486,0.0337,0.0398,0.0574,0.15511613727099602
602522246,4.1497,4.6273,7.8387,0.0986,0.1123,0.1473,0.12691981982432735
602522247,6.8076,8.0132,12.4921,0.1278,0.1398,0.1737,0.10648688664370398
602522251,7.5732,7.9593,12.1674,0.1463,0.1598,0.2223,0.09592081711552267
602522252,3.5222,4.1581,5.962,0.0402,0.0436,0.0517,0.17449830252036147
602522253,3.0448,4.0406,5.6984,0.0317,0.0438,0.0512,0.19328157927359077
602522255,2.1996,2.2832,3.9627,0.0211,0.022,0.0288,0.1794818739290955
602522256,2.5575,2.9296,5.8059,0.0219,0.0362,0.065,0.12821464331793822
602522257,3.6221,4.3124,7.7446,0.0413,0.0528,0.0791,0.11966865507387159
602522258,1.7031,1.8905,3.2828,0.0396,0.0516,0.0686,0.21659487670178934
602522259,4.3554,5.0943,7.313,0.0471,0.0529,0.0629,0.14610036423614817
602522260,5.9349,6.9016,10.0077,0.0718,0.0869,0.0937,0.09816868357674101
602522262,3.0106,3.1534,6.0273,0.0323,0.0371,0.0596,0.13088518977836702
602522268,4.4176,4.5118,8.9037,0.069,0.0774,0.1189,0.10471236017896915
602522272,4.6146,5.0947,8.0091,0.0678,0.0777,0.0967,0.13088518977836702
602522276,4.5775,4.6919,11.4096,0.038,0.043,0.0717,0.057118675464029094
602522277,3.6474,3.9342,6.7105,0.0377,0.0409,0.0584,0.1427807996875266
602522278,4.8193,4.7894,12.4722,0.0449,0.0507,0.0886,0.04851807655625124
602522283,1.4409,1.7164,4.2883,0.0427,0.0517,0.0812,0.1653175867489029
602522287,3.6787,4.395,5.6812,0.0388,0.0495,0.0502,0.18475840065665078
