detection_id,B,G,R,nB,nG,nR,Compactness
432866647,2.8383,3.0558,4.773,0.0,0.0,0.0062,0.1963000700655754
432866650,2.7054,2.9277,4.6109,0.0,0.0,0.0063,0.19328157927359077
432866659,3.9527,6.2366,10.7794,0.0806,0.1395,0.2071,0.11966865507387159
432866661,4.2603,4.6342,8.7579,0.0853,0.0969,0.1308,0.09040079679516942
432866666,8.0472,8.946,12.6601,0.281,0.2979,0.3521,0.12199187159268324
432866667,10.3201,11.3638,15.4975,0.2568,0.2828,0.3365,0.10648688664370398
432866668,9.5826,10.5752,14.5599,0.2378,0.2649,0.3157,0.10926437976474195
432866669,9.0071,9.7152,13.6459,0.2249,0.2329,0.2812,0.11219063124580061
432866670,8.8785,9.4405,13.023,0.1807,0.1926,0.229,0.10739689511380088
432866671,8.459,8.9387,12.283,0.1842,0.1891,0.2166,0.10832258979485408
432866672,4.6466,4.8112,6.7327,0.057,0.0548,0.0648,0.16317136358672749
432866674,4.8981,5.6206,8.3398,0.1321,0.1589,0.2011,0.15904183716398032
432866675,7.1119,8.1919,11.2537,0.1565,0.1855,0.2211,0.1396087127968195
432866676,6.444,7.6206,10.7736,0.0996,0.1244,0.1526,0.1351063003197879
432866678,5.6034,7.1249,10.1706,0.0603,0.0794,0.1034,0.1396087127968195
432866680,5.9294,7.6319,10.7318,0.0978,0.1252,0.1523,0.13088518977836702
432866681,6.4205,8.1799,12.4009,0.1299,0.1763,0.2266,0.10471236017896915
432866692,8.5666,10.2602,15.0883,0.1608,0.1949,0.2516,0.10052442674077641
432866696,10.7965,12.8832,18.571,0.2843,0.373,0.4908,0.08548150399146558
432866698,3.3013,4.2444,6.7844,0.0544,0.0718,0.0951,0.18208192715442573
432866705,8.3883,10.0079,15.5619,0.0897,0.1098,0.1542,0.08212958633865283
432866706,8.7438,10.411,15.752,0.1203,0.1412,0.1855,0.08266986501266944
432866707,7.862,9.5767,14.6773,0.0987,0.1265,0.18,0.08849111644335216
432866709,6.8608,8.5569,13.176,0.0829,0.1063,0.1433,0.09740778003073822
432866710,5.9005,7.48,12.0288,0.072,0.0965,0.1367,0.09816868357674101
