detection_id,B,G,R,nB,nG,nR,Compactness
428996980,6.6593,7.253,13.6871,0.2356,0.2617,0.397,0.09239471398211957
428996981,8.3155,9.2923,17.4064,0.2318,0.255,0.3984,0.07139750161301212
428996982,8.4991,9.2975,17.348,0.3287,0.3584,0.5247,0.07263552511680024
428996983,9.3058,10.1213,18.1689,0.3962,0.4383,0.6074,0.06829345312829196
428996984,8.9467,9.5449,17.3464,0.4155,0.4568,0.6334,0.07020097205976435
428996988,9.0485,9.5905,17.5904,0.457,0.4775,0.7217,0.07569824722699373
428996999,24.6209,20.9369,20.4581,0.7699,0.6363,0.5061,0.08266986501266944
428997001,36.9083,32.2293,29.8845,0.5704,0.4817,0.3742,0.048146301614186766
428997054,5.1896,5.817,11.8003,0.0,0.0,0.0159,0.07804894248762141
428997057,16.1392,13.3042,11.2928,0.0956,0.0339,0.0251,0.11219063124580061
428997059,11.8457,9.8758,13.5845,0.0678,0.0472,0.0622,0.08433420746488306
428997061,24.3826,21.8185,28.2226,0.935,0.8325,0.905,0.06346488289866778
428997064,40.0132,35.6804,46.3557,0.6482,0.5595,0.6706,0.043784728166320654
428997066,26.3261,23.9811,30.7796,0.1219,0.088,0.1273,0.057118675464029094
428997068,14.6948,13.4236,17.1851,0.0405,0.0166,0.0346,0.09307904275505513
428997069,14.2644,13.0776,16.7061,0.0445,0.0265,0.0422,0.0937735836449438
428997070,12.1949,10.9454,14.6976,0.0599,0.0477,0.0647,0.09447856694680049
428997071,8.4191,8.0876,12.4566,0.2276,0.2184,0.2583,0.09105580497377844
428997075,8.8006,8.1083,12.3731,0.2262,0.2037,0.244,0.09239471398211957
428997086,21.6766,18.0495,16.5249,0.1446,0.1119,0.092,0.09519422993221213
428997087,20.5833,19.2133,25.7857,0.3539,0.3195,0.4027,0.08975514439115811
428997088,21.1715,17.6774,15.6089,0.1152,0.054,0.0475,0.08975514439115811
428997091,17.9506,14.7755,13.7504,0.1405,0.101,0.0813,0.09592081711552267
428997092,15.457,14.3641,20.1993,0.3129,0.2864,0.3635,0.09894156757337469
428997093,22.7149,19.7261,17.9361,0.2215,0.1845,0.1368,0.06684048540909966
428997094,19.4695,16.6764,15.4276,0.1099,0.0879,0.0651,0.07263552511680024
428997098,16.0296,14.8017,21.6891,0.291,0.2644,0.3411,0.07569824722699373
428997099,18.131,16.7696,24.7139,0.2122,0.1909,0.2603,0.06579069379816853
428997100,19.1946,18.2661,25.8951,0.2766,0.2631,0.3433,0.07435458803139107
428997101,20.0833,18.97,26.7023,0.2905,0.2754,0.367,0.07479714303071543
428997152,18.9096,17.7573,25.2382,0.234,0.2181,0.2905,0.07662132709270902
428997157,15.8574,15.4721,22.6278,0.2538,0.2437,0.3317,0.08055030487456037
428997159,19.1033,18.5454,25.7717,0.3569,0.3385,0.4391,0.08548150399146558
428997160,14.3968,13.3159,17.9317,0.4925,0.4504,0.5275,0.10052442674077641
428997161,14.7832,13.9118,19.1172,0.3222,0.3024,0.3637,0.09307904275505513
428997162,15.4727,14.5077,20.0612,0.3555,0.336,0.4041,0.08911864874469005
428997163,7.6185,6.7495,10.642,0.2585,0.2214,0.2805,0.10133499999681532
428997164,11.3553,10.1734,15.7613,0.2573,0.2215,0.286,0.07479714303071543
428997173,10.0103,8.9025,14.1742,0.2491,0.2182,0.2782,0.08433420746488306
428997185,17.8568,15.2006,11.9884,0.1692,0.1073,0.073,0.11119795425652645
428997193,26.3773,21.569,17.0404,0.2169,0.1257,0.067,0.08911864874469005
428997194,28.8125,23.6168,18.3741,0.2851,0.1784,0.0969,0.08911864874469005
428997195,29.6462,24.3677,19.0461,0.2486,0.1538,0.0733,0.08606693785815557
428997196,30.4021,25.049,19.6683,0.3613,0.2509,0.1323,0.08433420746488306
428997197,27.0302,22.4242,19.9003,0.3105,0.2444,0.128,0.0752449975094086
428997198,24.0263,20.0101,17.8814,0.2429,0.1887,0.0905,0.08003728818317192
