detection_id,B,G,R,nB,nG,nR,Compactness
391648686,9.7929,9.9892,13.0869,0.0674,0.0692,0.089,0.11966865507387159
391648944,14.9994,15.0236,19.128,0.0898,0.0897,0.1147,0.09307904275505513
391648950,15.9218,15.9293,20.8719,0.0357,0.0381,0.0832,0.08787235948346774
391648951,15.7035,15.6592,20.6141,0.0286,0.0301,0.0755,0.08975514439115811
391648952,15.6857,15.6181,20.8176,0.0594,0.0604,0.1098,0.08975514439115811
391648953,15.5526,15.6198,20.6506,0.0375,0.037,0.0809,0.09172037375316221
391648954,13.8893,13.9468,18.6537,0.0422,0.0433,0.0669,0.09519422993221213
391649253,45.0484,45.0617,54.048,0.4592,0.4561,0.5464,0.0607056738604871
391649254,35.7529,35.6334,42.7132,0.3235,0.3182,0.3715,0.07139750161301212
391649255,27.0921,27.1881,33.2148,0.2541,0.2544,0.2899,0.08003728818317192
391649256,19.1343,19.1309,23.9221,0.1564,0.1556,0.1804,0.09307904275505513
391649257,14.8074,14.6701,18.9816,0.1027,0.0985,0.1214,0.1021587506273488
391649258,16.6041,16.5915,21.4805,0.1216,0.1237,0.1562,0.09105580497377844
391649259,16.272,16.4938,20.8728,0.1573,0.1635,0.1981,0.09105580497377844
391649262,12.0477,11.8759,12.9605,0.6866,0.6777,0.5904,0.1021587506273488
391649263,10.3411,10.0545,11.6997,0.3929,0.3829,0.328,0.09239471398211957
391649264,9.0381,8.9463,10.5612,0.357,0.3411,0.3146,0.09519422993221213
391649265,8.4685,8.5802,10.2847,0.3613,0.3585,0.3071,0.0937735836449438
391649266,9.7122,9.9722,12.2292,0.0924,0.0942,0.0953,0.10648688664370398
391649267,9.7729,10.0948,12.5056,0.1067,0.1086,0.1122,0.10559216905199818
391649268,11.5867,12.1541,14.0517,0.1088,0.1112,0.1086,0.09894156757337469
391649271,8.9035,9.0407,10.5232,0.1723,0.175,0.147,0.10739689511380088
391649272,9.1057,9.5316,10.7722,0.1989,0.2088,0.1838,0.10926437976474195
391649273,9.1853,9.4581,11.2114,0.1896,0.1963,0.1786,0.10739689511380088
391649274,9.1915,9.4538,11.3926,0.2147,0.2223,0.1979,0.10299600257653854
391649275,9.3416,9.5301,11.5479,0.2502,0.2551,0.2269,0.10299600257653854
391649276,7.8738,8.2364,10.4852,0.4198,0.4434,0.39,0.10299600257653854
391649277,8.2482,8.6672,10.736,0.4987,0.5291,0.4699,0.10648688664370398
391649278,8.0051,8.2625,9.9352,0.203,0.2092,0.1862,0.10471236017896915
391649282,9.1084,9.7077,12.0726,0.2064,0.2133,0.2143,0.08911864874469005
391649543,12.6276,13.64,16.74,0.4854,0.5261,0.4987,0.0752449975094086
391649544,11.4224,12.2511,15.3421,0.4816,0.515,0.4859,0.07569824722699373
391649546,11.7868,12.8225,15.6197,0.2777,0.301,0.2884,0.07059533429497317
391649547,11.5568,12.4518,14.994,0.3229,0.3474,0.3193,0.0752449975094086
391649550,13.1038,14.1432,16.0573,0.5101,0.5512,0.4846,0.0815963233535219
391649553,14.7049,15.39,18.2503,0.6865,0.7146,0.6906,0.08003728818317192
391649556,17.057,18.0795,22.258,0.8053,0.8588,0.8682,0.0661369411690469
391649559,17.2723,18.029,22.1804,0.7886,0.8335,0.8327,0.06719790044098876
391649561,16.8844,17.5991,22.317,0.7776,0.8279,0.8657,0.06981099120988524
391649564,12.0808,12.6768,17.0245,0.5189,0.551,0.5619,0.07756719641593564
391649567,8.7159,8.8467,12.5485,0.2127,0.2203,0.2369,0.09519422993221213
391649568,7.2222,7.1914,10.3379,0.3778,0.3712,0.3808,0.08849111644335216
391649569,9.7005,9.5075,12.2721,0.5902,0.5726,0.5687,0.09447856694680049
391649570,10.5459,10.4136,13.1277,0.6909,0.677,0.661,0.08911864874469005
391649571,12.713,12.9459,15.3026,0.4384,0.4532,0.4073,0.0752449975094086
391649572,12.6293,12.6045,15.9443,0.4544,0.4547,0.441,0.07479714303071543
391649573,13.2867,13.377,16.4783,0.4693,0.4712,0.4526,0.0752449975094086
391649574,13.2935,13.6326,16.4678,0.4429,0.4533,0.421,0.07479714303071543
391649575,12.1054,12.3354,15.1119,0.6122,0.6111,0.5888,0.08106994029334431
391649576,11.342,11.4716,14.1999,0.6368,0.6407,0.6143,0.08433420746488306
391649577,9.2813,9.535,12.0441,0.5041,0.5158,0.4995,0.09040079679516942
391649578,8.1494,8.3617,10.8146,0.452,0.4636,0.4395,0.09447856694680049
391649579,10.1934,10.2197,10.8636,0.5896,0.5885,0.4678,0.10471236017896915
391649580,10.4758,10.3581,11.7306,0.4797,0.4716,0.4067,0.09894156757337469
391649581,11.5481,11.4502,12.8525,0.5294,0.5236,0.4378,0.08787235948346774
391649582,10.7931,10.9715,12.4135,0.522,0.5268,0.428,0.08321729873508964
391649583,10.2413,10.5399,11.8436,0.4923,0.5008,0.4118,0.08606693785815557
391649584,9.5357,9.8612,11.0019,0.4618,0.4695,0.3807,0.09239471398211957
391649585,9.1053,9.5775,10.7333,0.142,0.1487,0.1255,0.12199187159268324
391649586,9.4138,9.9212,11.5057,0.1404,0.1469,0.1351,0.11966865507387159
391649587,10.3274,10.8732,12.4419,0.1681,0.1761,0.1658,0.11119795425652645
391649589,13.7379,14.1068,15.9785,0.4238,0.4387,0.3828,0.08490398027194407
391649590,13.359,13.6633,15.8114,0.3957,0.4085,0.3707,0.08490398027194407
391649591,13.3438,13.6005,15.6769,0.4296,0.4426,0.3967,0.08548150399146558
391649592,13.1846,13.4494,15.4834,0.461,0.4724,0.4189,0.08606693785815557
391649843,13.0468,13.4367,15.1489,0.5045,0.5225,0.4461,0.08666044549832956
391649844,13.4197,13.6997,15.5265,0.5994,0.624,0.5245,0.08433420746488306
391649845,14.6638,14.9138,16.9715,0.5174,0.5343,0.4677,0.08321729873508964
391649846,14.5337,14.6927,16.9712,0.4254,0.4342,0.3864,0.08212958633865283
391649847,14.7087,14.788,17.1294,0.4056,0.408,0.3674,0.08266986501266944
391649848,14.8173,14.8859,17.5025,0.4309,0.4371,0.3939,0.08055030487456037
391649849,14.7557,14.697,17.606,0.3663,0.3611,0.3373,0.08106994029334431
391649850,14.9783,14.9764,17.7876,0.3548,0.353,0.3285,0.08055030487456037
391649851,14.8772,14.8892,17.5928,0.3157,0.3115,0.293,0.08106994029334431
391649852,14.8351,14.8677,17.558,0.3116,0.3128,0.2854,0.08055030487456037
391649853,14.7478,14.5651,17.6224,0.2282,0.223,0.2159,0.08321729873508964
391649855,14.769,14.5592,17.8114,0.1939,0.1861,0.188,0.08606693785815557
391649857,14.6112,14.5681,17.9203,0.1738,0.171,0.1753,0.08266986501266944
391649858,14.2779,14.2753,17.5651,0.1646,0.1637,0.169,0.08606693785815557
391649859,14.4566,14.3653,17.7112,0.1789,0.1774,0.1824,0.08849111644335216
391649864,14.9404,14.8822,13.7728,0.8727,0.8608,0.5446,0.08377203058083679
391650160,9.2755,9.2516,9.3155,0.223,0.2234,0.146,0.1132011898318306
391650161,11.1854,10.9191,11.8412,0.1694,0.1635,0.1151,0.08849111644335216
391650162,9.6417,9.7487,9.911,0.1407,0.1443,0.1018,0.11423011752805243
391650163,9.312,9.2591,9.7718,0.1426,0.1423,0.1056,0.11423011752805243
391650164,9.3999,9.3418,9.8663,0.1381,0.1403,0.1022,0.11119795425652645
391650171,10.2228,10.2163,11.2052,0.0765,0.0768,0.0779,0.11119795425652645
391650186,12.4727,12.647,16.2137,0.0639,0.0668,0.0946,0.09665858053229819
391650187,12.7983,12.9524,16.6382,0.0725,0.0755,0.1041,0.09519422993221213
391650189,12.9409,13.1608,16.9943,0.0937,0.0976,0.1224,0.09447856694680049
391650191,12.8783,13.2164,17.0647,0.0881,0.093,0.1179,0.09040079679516942
391650428,11.4958,12.2589,15.8668,0.1086,0.1163,0.1346,0.09105580497377844
391650429,11.7072,12.3604,16.032,0.1306,0.1384,0.1545,0.09105580497377844
391650430,11.4452,12.2904,15.4111,0.1091,0.1189,0.1342,0.10559216905199818
391650431,11.205,11.8818,15.5901,0.1294,0.1414,0.1565,0.10133499999681532
391650432,14.625,15.141,18.8668,0.2738,0.2786,0.271,0.07853670966610296
391650433,12.8608,13.0691,16.6018,0.2625,0.2646,0.2555,0.08377203058083679
391650434,11.4779,11.6078,14.7466,0.2183,0.2182,0.2163,0.09239471398211957
391650440,6.8784,7.7906,11.1006,0.1882,0.2068,0.2146,0.09592081711552267
391650441,6.9109,7.5974,10.8235,0.0938,0.102,0.1124,0.09816868357674101
391650442,6.6328,7.3317,10.5536,0.0766,0.0807,0.0893,0.09592081711552267
391650443,6.2765,6.812,10.0238,0.0691,0.0727,0.0805,0.09894156757337469
391650444,6.0232,6.6281,9.6675,0.0413,0.0442,0.0519,0.1021587506273488
391650445,6.2202,6.8172,9.8954,0.0662,0.0698,0.0779,0.1021587506273488
391650446,7.0797,7.4709,10.6095,0.112,0.1124,0.112,0.10133499999681532
391650448,7.8156,8.0232,11.2279,0.1883,0.1852,0.1808,0.10133499999681532
391650449,8.1699,8.6059,11.322,0.1972,0.2055,0.1974,0.1021587506273488
391650450,8.364,8.8479,11.4224,0.1951,0.2021,0.1879,0.09816868357674101
391650451,8.0013,8.8749,11.512,0.1831,0.2024,0.1837,0.09740778003073822
391650452,8.8011,9.3725,11.5065,0.3682,0.3841,0.3481,0.09740778003073822
391650453,8.6586,9.1888,11.1311,0.3343,0.3497,0.3116,0.1038470904936626
391650454,8.8687,9.1997,11.1665,0.3109,0.3151,0.2939,0.1038470904936626
391650455,8.9963,9.2225,11.4267,0.3894,0.3988,0.3766,0.10559216905199818
391650456,9.1531,9.4606,11.6728,0.3161,0.3231,0.3071,0.10052442674077641
391650475,7.7556,8.5475,11.2181,0.2705,0.2804,0.2857,0.09740778003073822
391650692,7.7734,7.8883,9.6941,0.5465,0.5525,0.5029,0.11219063124580061
391650697,8.8234,9.0409,10.8588,0.1723,0.1759,0.1587,0.11119795425652645
391650707,17.3628,17.2956,23.8098,0.6473,0.644,0.7856,0.09519422993221213
391650934,12.0461,12.4521,16.4676,0.0011,0.0022,0.0192,0.11119795425652645
391650955,20.124,20.6999,25.0998,0.1686,0.1791,0.1988,0.08106994029334431
391650957,23.3536,24.9996,28.5716,0.6101,0.6532,0.627,0.06684048540909966
391650958,23.4006,24.1046,28.3882,1.0193,1.0517,1.0385,0.06190178642991358
391650959,22.9103,23.9402,27.4622,1.3008,1.3603,1.3253,0.06041383338136221
391650960,22.9068,24.3201,27.9469,1.4037,1.5354,1.504,0.0607056738604871
391650961,21.5765,22.514,26.1542,0.9304,0.9704,0.9794,0.06129789587454133
391650962,20.013,21.2861,24.6607,0.8103,0.8426,0.8463,0.056098740702361524
391650963,20.5004,21.5823,24.7151,0.5861,0.6032,0.6004,0.05584942297118333
391650964,18.7557,20.2698,23.3088,0.444,0.4679,0.4403,0.05560231145909046
391650965,17.4595,18.7847,21.7427,0.3261,0.3413,0.3246,0.059274001684944774
391650966,12.4061,13.4908,16.9981,0.1042,0.1105,0.1036,0.06904388481989716
391650967,11.7467,12.882,15.7535,0.0835,0.0869,0.0828,0.0675591583065621
391650968,4.966,5.3125,7.6546,0.0276,0.0281,0.0373,0.11966865507387159
391650969,6.1155,6.2615,8.4891,0.0241,0.0258,0.0353,0.10739689511380088
391650970,6.3483,6.5406,8.8394,0.0292,0.0299,0.041,0.10739689511380088
391650971,6.3629,6.6079,8.5586,0.026,0.0264,0.0336,0.10648688664370398
391650972,6.2973,6.4818,8.1597,0.0377,0.0395,0.0406,0.11022268844923072
391650973,6.5271,6.6534,8.3454,0.0497,0.0509,0.0521,0.10832258979485408
391650974,6.79,6.9436,8.5332,0.0719,0.0733,0.0691,0.10926437976474195
391650976,7.3722,7.5557,9.1543,0.0561,0.0576,0.0558,0.10299600257653854
391651180,9.5328,9.7094,11.1851,0.2869,0.2959,0.2529,0.09239471398211957
391651182,8.4911,8.4903,10.0073,0.7039,0.7008,0.5992,0.10133499999681532
391651183,8.473,8.4838,9.9877,0.7482,0.7447,0.6307,0.10133499999681532
391651184,8.2604,8.3186,10.0537,0.8025,0.7998,0.7071,0.1038470904936626
391651187,8.6325,8.499,10.2636,0.6942,0.6808,0.5976,0.10471236017896915
391651188,8.7832,8.7504,10.4758,0.683,0.6716,0.5887,0.10471236017896915
391651189,9.4251,9.3572,11.0323,0.568,0.5617,0.4879,0.10133499999681532
391651190,9.7355,9.6246,11.4576,0.5489,0.5401,0.4771,0.10052442674077641
391651191,9.8882,9.9281,11.4909,0.6278,0.6281,0.5352,0.10052442674077641
391651193,9.9317,9.8185,11.019,0.7069,0.7002,0.5661,0.09894156757337469
391651194,9.1941,9.1276,10.5084,0.6476,0.645,0.5318,0.10133499999681532
391651195,9.0163,8.8765,10.3622,0.299,0.2964,0.2526,0.11022268844923072
391651196,9.1264,9.0022,10.8468,0.1311,0.129,0.123,0.11966865507387159
391651197,9.3259,9.1376,11.1884,0.1367,0.1325,0.1258,0.11743226366213184
391651203,15.9565,16.0523,20.7174,0.1231,0.1259,0.1513,0.08377203058083679
391651211,25.3461,24.8458,33.0786,0.6512,0.632,0.7698,0.07569824722699373
391651212,20.967,20.7105,27.781,0.7753,0.7657,0.9122,0.08666044549832956
391651213,16.5635,16.3091,22.5001,0.7732,0.7561,0.9093,0.0937735836449438
391651220,16.823,16.9969,20.4418,0.1508,0.1578,0.1609,0.08212958633865283
391651226,13.2271,12.8321,17.5618,0.1858,0.1801,0.2138,0.08849111644335216
391651428,13.3773,12.969,17.5543,0.2605,0.2523,0.2957,0.0937735836449438
391651430,13.8995,13.4419,17.9152,0.4867,0.4696,0.534,0.09816868357674101
391651431,14.4374,13.9339,18.7505,0.536,0.5164,0.5918,0.09307904275505513
391651439,10.8095,10.9584,14.1035,0.1464,0.1512,0.1582,0.10052442674077641
391651447,17.5222,17.3671,24.9093,0.08,0.08,0.0995,0.06378702284985524
391651456,6.4878,6.6273,9.4524,0.2107,0.2168,0.1999,0.09665858053229819
391651458,7.8566,7.8386,10.6391,0.5493,0.5426,0.4926,0.09239471398211957
391651460,8.1886,8.2161,11.2395,0.6143,0.6066,0.5586,0.08849111644335216
391651464,8.4263,8.4984,11.3819,0.5929,0.5972,0.5502,0.09172037375316221
391651471,9.0366,8.9597,11.5605,0.587,0.574,0.523,0.09239471398211957
391651472,8.7159,8.5564,11.1631,0.5659,0.5462,0.5104,0.09447856694680049
391651474,8.8426,8.9166,11.5638,0.6473,0.6409,0.5839,0.09105580497377844
391651475,8.9512,8.9842,11.6855,0.604,0.5914,0.537,0.09105580497377844
391651476,8.8243,8.8778,11.5457,0.5417,0.5347,0.485,0.09307904275505513
391651684,9.0878,9.3303,11.8781,0.5921,0.6012,0.5403,0.08606693785815557
391651685,8.7139,8.9169,11.4398,0.605,0.6089,0.5465,0.08849111644335216
391651686,9.0359,9.2134,11.8361,0.5431,0.5412,0.4968,0.08726219508235135
391651687,9.0548,9.1412,11.8732,0.5511,0.5451,0.5114,0.08911864874469005
391651688,9.1682,9.149,12.0872,0.6037,0.5965,0.5717,0.08849111644335216
391651689,9.1962,9.068,12.1238,0.6566,0.6448,0.6222,0.08726219508235135
391651690,9.1859,9.2031,12.0758,0.5405,0.5378,0.5081,0.08606693785815557
391651691,9.2516,9.1056,12.0334,0.5139,0.5004,0.484,0.08666044549832956
391651692,9.4765,9.3272,12.293,0.4357,0.4271,0.4094,0.08548150399146558
391651693,9.5156,9.4027,12.2618,0.4749,0.4676,0.4438,0.08666044549832956
391651694,9.4264,9.2687,12.4363,0.5673,0.561,0.5231,0.08548150399146558
391651695,9.4176,9.3609,12.3837,0.5655,0.5572,0.5267,0.08548150399146558
391651696,9.4108,9.3677,12.4215,0.5664,0.5622,0.5285,0.08606693785815557
391651700,9.2833,9.3614,12.3223,0.3541,0.3546,0.3329,0.08490398027194407
391651701,9.4244,9.3823,12.546,0.4113,0.4104,0.3879,0.08548150399146558
391651702,9.1303,9.1526,12.131,0.3148,0.3186,0.2955,0.08787235948346774
391651703,9.0509,8.9362,12.177,0.4011,0.3977,0.3833,0.08606693785815557
391651704,9.1294,9.0469,12.2725,0.4083,0.4035,0.3869,0.08490398027194407
391651705,8.8354,8.7548,11.801,0.2868,0.2843,0.2749,0.08726219508235135
391651706,8.6664,8.6626,11.6811,0.3216,0.3207,0.3039,0.08787235948346774
391651707,8.7238,8.653,11.7015,0.3303,0.3282,0.3108,0.08911864874469005
