detection_id,B,G,R,nB,nG,nR,Compactness
432394812,18.7689,16.7871,19.0392,0.7024,0.6284,0.5639,0.07139750161301212
432394813,17.623,15.6166,17.8602,0.6041,0.5249,0.4712,0.0752449975094086
432394819,3.8961,5.2507,16.126,0.0302,0.0329,0.111,0.05324636892277132
432394820,1.9744,3.0523,9.84,0.0155,0.021,0.0454,0.07435458803139107
432394830,12.1549,11.2992,9.8118,0.0905,0.0841,0.0267,0.09816868357674101
432394831,13.8041,13.2354,10.1735,0.1013,0.0982,0.0204,0.08490398027194407
432394832,13.6584,12.9925,10.2888,0.0994,0.0923,0.0184,0.08003728818317192
432394833,14.3119,13.7167,10.5133,0.0919,0.0908,0.0154,0.08321729873508964
432394834,13.5662,13.069,10.0106,0.0817,0.076,0.0165,0.08490398027194407
432394835,12.1459,11.9023,9.691,0.0737,0.0682,0.0172,0.0815963233535219
432394836,13.6399,12.2289,14.8644,0.1802,0.1665,0.1508,0.08055030487456037
432394837,18.0095,15.1311,16.1556,0.2405,0.1832,0.1637,0.07953076456813789
432394838,44.2304,39.0323,36.9466,0.2094,0.194,0.2062,0.05129044711249124
432394839,11.9876,9.6277,10.9112,0.3039,0.2374,0.188,0.09040079679516942
432394840,11.7504,10.0361,11.1452,0.9569,0.8262,0.5799,0.09665858053229819
432394842,0.6085,0.5827,3.9463,0.0009,0.0014,0.0149,0.10133499999681532
432394847,6.4371,6.1181,12.1702,0.0561,0.0533,0.0757,0.06190178642991358
