detection_id,B,G,R,nB,nG,nR,Compactness
432665452,17.5536,31.905,20.7072,0.3977,0.7561,0.3227,0.04520218287170602
432665457,6.7127,13.0022,9.994,0.1997,0.4065,0.1916,0.07804894248762141
432665458,6.9937,13.3346,10.1238,0.2037,0.4049,0.1912,0.07804894248762141
432665459,4.8278,8.7275,6.8343,0.0282,0.0552,0.0372,0.09105580497377844
432665460,5.3376,9.4591,6.9822,0.0453,0.0833,0.0497,0.09239471398211957
432665461,5.2161,9.0879,7.274,0.0404,0.073,0.047,0.08212958633865283
432665462,22.1382,35.3444,19.365,0.443,0.7646,0.292,0.07391723900466864
432665467,4.2421,11.4904,7.3485,0.0628,0.1257,0.0719,0.06829345312829196
432665469,12.729,27.642,18.8395,0.3474,0.8128,0.365,0.06719790044098876
432665471,9.4973,7.1434,3.0135,0.0789,0.0628,0.0125,0.10739689511380088
432665472,10.8611,8.4398,3.4466,0.2347,0.1879,0.0167,0.09519422993221213
432665473,11.8358,9.0641,3.4419,0.242,0.1914,0.0167,0.09519422993221213
432665474,13.0981,10.3202,3.7825,0.3073,0.2581,0.0188,0.08849111644335216
432665475,14.6927,11.0368,3.8531,0.2569,0.2095,0.0175,0.08726219508235135
432665476,15.0162,11.8994,3.881,0.2462,0.2041,0.0166,0.08606693785815557
