detection_id,B,G,R,nB,nG,nR,Compactness
427862000,7.1936,7.4018,12.3382,0.1159,0.122,0.1595,0.07615699026400004
427862001,6.5707,7.1227,11.9872,0.0242,0.0246,0.0455,0.06942531913488556
427862011,26.6056,30.2845,44.4951,0.5619,0.6582,0.897,0.04520218287170602
427862012,14.1978,15.9199,27.8941,0.2395,0.2792,0.4078,0.04147271561468917
427862013,36.0407,38.1273,45.7061,0.172,0.1751,0.2026,0.0661369411690469
427862022,6.7796,9.013,22.5307,0.0059,0.0068,0.0464,0.03289603153365219
427862033,19.9113,20.427,27.9972,0.3623,0.3679,0.4708,0.07020097205976435
427862037,14.9046,16.5275,23.6629,0.158,0.1755,0.2317,0.07221810771057427
427862046,11.7047,13.0808,20.1766,0.2987,0.3354,0.457,0.08490398027194407
427862067,4.479,5.5701,9.7863,0.0675,0.0873,0.1058,0.08548150399146558
427862079,27.059,29.3173,37.2425,0.2085,0.2188,0.2658,0.05560231145909046
427862080,21.3593,23.4735,29.151,0.116,0.122,0.1457,0.07479714303071543
427862086,36.1992,33.9898,37.227,0.7954,0.733,0.6953,0.05257802831020273
427862087,18.2885,17.0665,19.1222,0.4012,0.3675,0.3521,0.08726219508235135
427862088,16.5014,15.4606,17.5536,0.3564,0.3287,0.3118,0.08666044549832956
427862089,24.8624,22.8434,24.602,1.4621,1.341,1.2313,0.08212958633865283
427862090,37.1611,34.2001,35.9445,2.368,2.1698,1.9747,0.06159836113714365
427862091,33.644,30.8491,32.9803,2.2001,2.0058,1.8306,0.06129789587454133
427862093,6.3707,5.6291,10.8303,0.0207,0.0245,0.0477,0.07305779571290515
427862095,17.6703,17.2784,26.1191,0.2261,0.2312,0.3139,0.05324636892277132
427862096,52.5415,48.6995,50.5216,3.9126,3.6446,3.2856,0.05006442052760694
427862097,3.8732,3.1816,6.8113,0.0,0.0,0.0141,0.08787235948346774
427862101,5.7231,5.6699,11.5488,0.0158,0.0162,0.0373,0.06129789587454133
427862102,21.9273,20.5972,22.1455,1.035,0.9706,0.8762,0.08433420746488306
427862103,23.0084,21.4148,22.8123,0.7521,0.6944,0.6302,0.08548150399146558
427862105,4.477,3.736,8.4253,0.0008,0.0008,0.0173,0.0752449975094086
427862106,4.5246,3.7798,8.4551,0.0062,0.006,0.0225,0.0752449975094086
427862107,5.0868,4.3689,9.5368,0.0,0.0,0.0188,0.0661369411690469
427862109,7.8422,6.5222,12.8435,0.0023,0.0021,0.0253,0.05370144932732833
427862110,7.2155,5.7444,11.858,0.0034,0.0033,0.0256,0.05584942297118333
427862111,5.6466,4.3815,9.1825,0.0,0.0,0.0178,0.06981099120988524
427862112,5.6911,4.3742,9.0092,0.0,0.0,0.0173,0.07180546030797123
427862114,5.2921,4.08,7.8118,0.0,0.0,0.0154,0.08055030487456037
427862115,4.9863,3.8921,7.1961,0.0,0.0,0.014,0.08849111644335216
427862116,5.1097,4.018,8.0089,0.0,0.0,0.0167,0.07435458803139107
427862118,4.5781,3.4262,6.8705,0.0,0.0,0.0149,0.08321729873508964
427862119,3.9757,3.0876,6.0545,0.0,0.0,0.0134,0.09239471398211957
427862124,7.5383,5.976,9.3345,0.0,0.0,0.0183,0.06792432131461863
427862125,7.591,6.233,9.5025,0.0,0.0,0.0194,0.06411244968272661
427862127,7.2075,5.9188,9.0933,0.0,0.0,0.0194,0.06411244968272661
427862144,18.1651,15.8149,18.3111,0.9623,0.8372,0.8089,0.09665858053229819
427862152,9.6705,8.2425,10.6078,0.1689,0.1443,0.1389,0.0937735836449438
427862157,10.1959,8.8053,11.9311,0.5984,0.5021,0.4952,0.08490398027194407
427862158,9.7104,8.4018,11.4177,0.5076,0.4265,0.422,0.08787235948346774
427862159,9.4327,8.16,10.6505,0.57,0.478,0.4669,0.10299600257653854
427862160,5.2438,4.3761,7.6202,0.0,0.0,0.0124,0.09972671719555438
427862163,10.8762,8.8703,12.6043,0.0343,0.0296,0.0417,0.07756719641593564
427862164,12.1864,10.288,13.505,0.4125,0.3488,0.3434,0.0815963233535219
427862165,12.8351,10.8385,13.7358,0.3857,0.3308,0.3197,0.08666044549832956
427862166,12.7164,10.8715,13.7423,0.6605,0.5563,0.5251,0.08490398027194407
