detection_id,B,G,R,nB,nG,nR,Compactness
427701620,25.6999,28.1461,39.3649,0.3346,0.3723,0.4831,0.0607056738604871
427701621,15.1386,17.0711,26.7241,0.0149,0.018,0.0756,0.07020097205976435
427701623,13.0696,15.0117,24.1132,0.0103,0.0175,0.1053,0.0675591583065621
427701625,13.5227,15.539,24.9389,0.0241,0.0323,0.1321,0.06684048540909966
427701628,15.3622,17.0687,26.8594,0.0611,0.0665,0.1548,0.06579069379816853
427701636,21.9882,24.3462,31.7097,0.27,0.3008,0.3623,0.07099415216660818
427701647,22.3194,24.7438,32.3006,0.3052,0.3429,0.408,0.07059533429497317
427701659,20.4804,25.9719,30.9315,0.3531,0.3896,0.4066,0.07305779571290515
427701706,15.1073,16.8864,23.492,0.1,0.1096,0.1395,0.07615699026400004
427701708,14.6868,16.5053,22.9051,0.1116,0.1235,0.1604,0.08003728818317192
427701709,12.5196,14.3284,20.491,0.0992,0.1153,0.152,0.08055030487456037
427701711,17.1191,19.2415,26.4347,0.1444,0.1639,0.2034,0.0752449975094086
427701720,35.3456,39.8222,51.71,0.267,0.3032,0.395,0.05983849013957345
427701754,13.2617,13.428,19.2858,0.044,0.0458,0.0814,0.07139750161301212
427701762,12.9922,12.556,17.1007,0.2037,0.1957,0.2346,0.08787235948346774
427701764,13.5091,13.0661,18.1073,0.3586,0.3507,0.4089,0.08490398027194407
427701773,15.4576,15.4472,20.1207,0.0352,0.0362,0.0574,0.08726219508235135
427701775,14.0754,14.8845,21.0622,0.1154,0.1202,0.1654,0.07263552511680024
427701808,13.5506,14.693,21.4422,0.1806,0.2013,0.2622,0.07756719641593564
427701812,18.1649,19.7185,27.5113,0.1279,0.1337,0.1821,0.08003728818317192
427701815,18.1805,20.1257,28.2656,0.1242,0.1308,0.1824,0.077091360650504
427701816,18.2699,20.223,28.5197,0.1343,0.1427,0.1944,0.07569824722699373
427701817,17.9184,20.2255,28.704,0.134,0.1437,0.1975,0.07305779571290515
427701818,20.4225,19.5604,20.2929,0.4194,0.4012,0.3242,0.0661369411690469
427701819,32.7309,31.1491,31.0075,0.8499,0.7976,0.6413,0.0502646717369248
427701821,45.5036,43.2545,39.8918,1.3834,1.2948,1.0149,0.05370144932732833
427701822,48.2425,45.9212,42.7841,1.67,1.5677,1.2197,0.046199262889625364
427701823,55.6353,52.7095,48.219,1.8442,1.733,1.3549,0.04471960971181389
427701824,54.9677,51.9367,47.5253,2.1761,2.0341,1.5806,0.04552972625896745
427701825,44.7752,42.5088,40.3575,1.9657,1.8463,1.4376,0.04363270157106099
427701828,29.0798,27.6115,27.4056,1.1671,1.0985,0.8665,0.05302170881884524
427701829,18.8771,21.1083,28.6448,0.1391,0.1517,0.1984,0.08321729873508964
427701831,20.3092,21.8289,28.6943,0.1145,0.1184,0.1485,0.08106994029334431
427701833,23.1331,22.3042,22.9791,0.2499,0.2386,0.1991,0.06159836113714365
427701835,31.721,30.8802,29.8795,0.4404,0.4193,0.3546,0.07615699026400004
427701837,52.5623,51.1794,47.1922,1.1009,1.0553,0.822,0.06684048540909966
427701841,54.3474,51.9329,45.9826,0.8872,0.8295,0.633,0.05192625725187585
427701842,53.8746,51.489,44.6793,1.073,1.0022,0.7421,0.05046653131091824
427701843,52.2808,50.5767,44.6821,0.7164,0.6672,0.5083,0.05302170881884524
427701844,51.0481,49.6001,44.4729,0.6048,0.5701,0.4422,0.05108195634991484
427701845,50.8972,49.4626,45.4022,0.6491,0.6125,0.4711,0.049086630312145024
427701846,37.8112,36.8684,35.377,0.5803,0.5571,0.442,0.05790830079919458
427701847,33.2328,32.2248,31.7502,0.6057,0.5735,0.4528,0.05463535211139932
427701848,20.7504,20.3548,22.5172,0.2221,0.214,0.1978,0.07180546030797123
427701849,21.2178,20.4468,22.4236,0.6889,0.6632,0.5448,0.05790830079919458
427701850,20.971,20.2339,21.8062,0.6839,0.6546,0.5311,0.05535737701133239
427701860,19.1895,21.4838,30.7256,0.3605,0.4013,0.527,0.07479714303071543
427701861,26.4307,29.6943,41.3923,0.4823,0.5408,0.7345,0.06792432131461863
427701862,26.8143,30.0631,41.7159,0.4656,0.5242,0.7061,0.06904388481989716
427701868,28.4517,27.1449,30.3458,0.6499,0.6189,0.5799,0.04778018079289879
427701871,33.9732,32.3297,33.0187,0.5265,0.5139,0.4716,0.05511459098459456
427701881,49.235,47.5787,40.5711,1.7471,1.6748,1.252,0.058176383157876974
427701882,51.0645,49.7819,42.6731,1.7423,1.6781,1.2511,0.05560231145909046
427701883,51.4169,50.225,42.3893,2.6062,2.5275,1.8104,0.05560231145909046
427701885,49.3214,48.0456,41.1299,1.8112,1.756,1.2541,0.05279893651282317
427701886,43.7168,42.7178,37.4053,1.0735,1.0517,0.751,0.05463535211139932
427701889,20.8943,20.1478,18.8342,0.1877,0.1768,0.1414,0.08606693785815557
427701890,19.7322,19.0345,17.9306,0.1422,0.1316,0.1129,0.08975514439115811
427701894,25.4755,28.1749,37.1768,0.2906,0.3177,0.4172,0.07756719641593564
427701898,17.8549,19.7002,26.8794,0.1861,0.1937,0.261,0.07804894248762141
427701899,15.9768,17.6495,24.3175,0.1355,0.1428,0.1992,0.08106994029334431
427701906,8.5348,8.7988,12.8276,0.2401,0.2496,0.2631,0.07569824722699373
427701912,12.0969,12.2573,15.5152,0.3394,0.3434,0.3055,0.0675591583065621
427701914,14.04,14.2142,17.0215,0.427,0.4367,0.3742,0.06346488289866778
427701915,10.6187,10.8174,15.0097,0.2957,0.303,0.2491,0.05108195634991484
427701916,10.1586,10.2996,11.5124,0.3979,0.4036,0.3104,0.09894156757337469
427701918,13.0462,13.3685,15.8264,0.7244,0.742,0.6188,0.06444121395927624
427701919,13.458,13.6852,16.1576,0.8891,0.8975,0.7374,0.06444121395927624
427701920,12.0232,12.3223,14.853,0.6668,0.6805,0.5615,0.06544805286939072
427701921,12.1589,12.4106,14.953,0.7178,0.7309,0.6065,0.06684048540909966
427701922,12.1634,12.1901,14.958,0.5832,0.5872,0.4958,0.06648685222060789
427701925,14.0211,14.2239,18.2795,0.3812,0.3925,0.3701,0.06129789587454133
427701928,10.3604,10.4775,14.5331,0.3381,0.3456,0.3209,0.06159836113714365
427701931,12.7935,13.4,18.346,0.2599,0.2742,0.2774,0.06159836113714365
427701933,11.6924,11.8819,14.9042,0.2719,0.2785,0.2493,0.0752449975094086
427701938,26.2432,28.9911,38.6335,0.5252,0.5817,0.6602,0.0430350075951413
427701941,9.1995,9.4867,11.541,0.3192,0.3256,0.2819,0.09040079679516942
427701970,20.7466,23.9094,32.1854,0.3965,0.4576,0.5721,0.06829345312829196
427701974,18.9073,21.5371,29.4987,0.366,0.4237,0.5383,0.0675591583065621
427701978,11.9873,13.5422,18.7111,0.2746,0.3128,0.3793,0.09665858053229819
427701983,27.3926,30.4192,37.8678,0.2298,0.2493,0.3052,0.07263552511680024
427701984,7.263,6.7814,12.0338,0.1603,0.1452,0.1556,0.05369338093502542
427701988,13.8452,13.0422,15.7714,0.1629,0.1458,0.1341,0.0752449975094086
427701989,15.3145,14.5872,16.7834,0.2425,0.2243,0.1955,0.07435458803139107
427701990,15.9926,15.1508,18.2164,0.2491,0.2296,0.2062,0.06190178642991358
427701992,12.1083,11.392,13.4996,0.235,0.2176,0.1978,0.08975514439115811
427701994,15.7794,16.2112,18.196,0.151,0.1564,0.1337,0.07139750161301212
427701996,18.184,18.4772,21.5713,0.1305,0.1336,0.1116,0.0541643755046309
427701997,18.3378,18.5331,21.9431,0.1567,0.1614,0.1456,0.05046653131091824
427702008,10.8783,11.0186,12.7152,0.1167,0.1216,0.1013,0.09972671719555438
427702009,14.1504,14.5366,16.1672,0.1285,0.1341,0.1137,0.08666044549832956
427702010,32.215,32.0784,35.9083,0.7575,0.7483,0.6284,0.03866538740700744
427702016,25.4853,25.3341,28.4699,0.2368,0.233,0.1977,0.0541643755046309
427702018,23.5426,23.3256,26.3211,0.2233,0.2189,0.1764,0.056098740702361524
427702019,20.736,20.5047,22.8041,0.1287,0.1238,0.0896,0.06477336728387235
427702020,19.7469,19.5686,22.0458,0.1236,0.12,0.0848,0.06159836113714365
427702021,16.8277,16.942,18.1269,0.1382,0.1415,0.0959,0.07953076456813789
427702022,15.6482,15.7402,16.9551,0.1136,0.1158,0.0712,0.08321729873508964
427702025,15.4221,15.3811,17.1165,0.1296,0.1303,0.0915,0.0752449975094086
427702027,16.412,15.8506,17.4167,0.1592,0.145,0.1036,0.08266986501266944
427702031,24.6028,24.7858,26.5498,0.243,0.2487,0.1963,0.0661369411690469
427702033,24.4273,23.7996,25.2135,0.3216,0.311,0.2645,0.06719790044098876
427702035,37.226,37.4376,43.4624,0.3527,0.3581,0.3289,0.03539794461097376
427702036,34.1803,34.0058,38.9314,0.3528,0.3522,0.3178,0.03621402203509902
427702037,31.047,30.8561,33.4807,0.3071,0.3075,0.2447,0.044403578072467774
427702038,33.0242,32.4834,36.0928,0.3293,0.322,0.2682,0.03751121781510277
427702040,26.2266,25.9539,30.3831,0.3409,0.3405,0.3156,0.0396411506922282
427702041,24.0632,23.2504,28.0376,0.2195,0.2114,0.1907,0.04001988008125082
427702043,27.7334,26.9204,29.6688,0.3146,0.3048,0.2644,0.049668666921834095
427702044,22.208,21.5497,24.3987,0.2917,0.2853,0.2626,0.051712576293637055
427702045,27.387,27.0356,29.7959,0.3294,0.3274,0.2893,0.050875153686925724
427702051,28.1645,28.2624,31.1177,0.4063,0.4112,0.3658,0.05006442052760694
427702053,26.049,26.0011,30.1904,0.2981,0.2999,0.2845,0.044879318492720414
427702054,26.0386,25.9894,30.3942,0.3321,0.333,0.3119,0.04288813389916635
427702055,24.064,24.1205,28.1851,0.2861,0.2876,0.2667,0.04393781784522013
427702056,24.248,24.3368,28.2788,0.3387,0.3439,0.3113,0.04409198179755562
427702057,24.8895,24.7586,28.8996,0.2859,0.2847,0.2632,0.04288813389916635
427702059,23.358,23.1151,27.4649,0.2084,0.2058,0.1964,0.04671448198421
427702060,12.8362,12.718,16.4602,0.1105,0.1085,0.0951,0.05347294092237722
427702072,19.294,21.3155,28.6531,0.103,0.1031,0.1342,0.0752449975094086
427702080,24.9697,22.8654,20.9131,1.064,0.954,0.6049,0.058176383157876974
427702082,19.394,18.2049,17.1232,0.1526,0.1432,0.092,0.08787235948346774
427702083,20.4956,19.2462,18.1024,0.1598,0.1467,0.0952,0.08266986501266944
427702089,25.6483,24.1122,22.8048,0.2153,0.1986,0.1353,0.0675591583065621
427702091,29.3885,27.8004,26.2181,0.5031,0.4671,0.3415,0.06190178642991358
427702094,17.8504,16.7793,16.2132,0.3862,0.363,0.252,0.07662132709270902
427702095,16.6011,15.8396,15.4094,0.3734,0.3567,0.2441,0.07953076456813789
427702096,14.4184,13.6608,13.5065,0.3839,0.361,0.2503,0.08266986501266944
427702102,16.987,19.1625,27.5492,0.2886,0.3224,0.4137,0.07221810771057427
