detection_id,B,G,R,nB,nG,nR,Compactness
432669387,15.8958,20.582,15.3408,0.2734,0.3898,0.2153,0.09894156757337469
432669388,8.768,13.4126,11.1176,0.1379,0.2241,0.1155,0.06981099120988524
432669389,13.8833,19.2614,13.2582,0.167,0.2156,0.0997,0.04671448198421
432669390,16.1798,23.0414,13.91,0.193,0.2715,0.1146,0.05302170881884524
432669391,21.0944,26.0833,14.4635,0.3008,0.3821,0.1542,0.05463535211139932
432669401,16.491,22.4999,16.0501,0.2294,0.3446,0.1641,0.06866661880204716
432669402,12.4099,15.8797,12.0323,0.2161,0.2893,0.1561,0.077091360650504
432669403,9.918,10.566,5.7692,0.1691,0.1865,0.0674,0.1038470904936626
432669412,2.1192,7.495,4.6989,0.0023,0.024,0.0177,0.07953076456813789
432669414,1.6896,8.1851,5.1421,0.0086,0.0507,0.026,0.07756719641593564
432669416,2.7945,11.1136,6.5831,0.059,0.1755,0.078,0.07099415216660818
432669417,2.6177,10.0176,6.7092,0.0157,0.087,0.0341,0.06942531913488556
432669418,2.17,7.4104,5.8734,0.0489,0.1512,0.0614,0.07435458803139107
432669419,1.6581,5.7832,4.5476,0.0231,0.0797,0.033,0.08787235948346774
432669429,8.7773,21.8642,10.2071,0.1361,0.3535,0.1062,0.06866661880204716
432669430,4.695,7.3571,7.58,0.0499,0.1049,0.0454,0.0541643755046309
432669431,3.5098,6.7282,8.8962,0.0333,0.161,0.0466,0.04259737366383495
432669456,6.3204,10.2698,4.1827,0.0853,0.1357,0.0301,0.0937735836449438
432669457,7.0536,11.2044,4.5744,0.0874,0.1378,0.0324,0.08606693785815557
432669458,7.9999,11.9852,4.5811,0.1369,0.2236,0.0478,0.09447856694680049
432669460,10.3258,17.0288,8.4692,0.2511,0.4606,0.1693,0.1038470904936626
432669463,11.935,21.2044,11.083,0.2619,0.5013,0.2074,0.08975514439115811
432669464,13.0325,23.5654,12.6557,0.3178,0.6304,0.2682,0.09172037375316221
432669465,10.0274,18.3899,11.4627,0.2419,0.5077,0.2187,0.08055030487456037
432669466,8.5483,16.446,10.5707,0.1714,0.3729,0.1597,0.09894156757337469
432669467,6.9662,7.4577,4.1742,0.1121,0.1229,0.0409,0.10739689511380088
432669468,7.1281,7.6772,4.1479,0.1761,0.1892,0.0535,0.10648688664370398
432669469,7.7548,8.945,4.9978,0.1439,0.1801,0.0575,0.10052442674077641
432669470,8.8382,10.8592,6.3679,0.1543,0.1954,0.071,0.09239471398211957
432669471,11.6973,17.8869,10.1747,0.2203,0.3833,0.1904,0.08726219508235135
432669472,11.8867,18.499,11.5597,0.121,0.2094,0.1094,0.09519422993221213
432669473,11.0218,16.8895,11.0427,0.1809,0.2886,0.1472,0.1021587506273488
