detection_id,B,G,R,nB,nG,nR,Compactness
429375912,15.3968,14.143,11.7788,0.2532,0.2292,0.1576,0.11743226366213184
429375913,16.0231,14.7328,12.1928,0.2769,0.2572,0.1739,0.11527791973048969
429375914,16.7969,15.4868,12.6785,0.1973,0.1823,0.1311,0.1132011898318306
429375915,17.152,15.7758,12.7955,0.4511,0.4225,0.2851,0.11527791973048969
429375917,8.0097,7.2698,11.2246,0.2822,0.2601,0.299,0.10052442674077641
429375918,8.207,7.4674,11.4486,0.3552,0.3263,0.3674,0.09816868357674101
429375919,8.5165,7.6382,11.5438,0.3214,0.2909,0.3206,0.09665858053229819
429375920,8.2044,7.3606,11.3727,0.3368,0.3053,0.3413,0.0937735836449438
429375935,11.3939,10.3271,15.1917,0.0885,0.0776,0.1125,0.09040079679516942
429375936,12.5498,11.0968,16.7423,0.0796,0.0674,0.0988,0.07615699026400004
429375937,12.5336,11.1542,16.9214,0.0871,0.0741,0.1126,0.07435458803139107
429375938,12.7643,11.3497,17.0395,0.0887,0.0735,0.1119,0.07435458803139107
429375939,11.0241,9.9036,14.4614,0.0619,0.0454,0.0738,0.09519422993221213
429375940,12.3227,11.244,16.2982,0.0842,0.0653,0.1009,0.08606693785815557
429375941,13.2475,12.2028,17.3893,0.1363,0.1141,0.1526,0.08106994029334431
429375942,12.4571,11.4282,16.5611,0.1047,0.0808,0.1234,0.08377203058083679
429375943,12.2435,11.2374,16.7083,0.0814,0.0652,0.1064,0.07804894248762141
429375944,19.2707,17.022,25.0877,0.1333,0.1027,0.1573,0.05487392523583279
429375946,25.1951,22.4712,29.2103,0.2327,0.2022,0.2383,0.0607056738604871
429375948,26.3823,23.6969,31.0343,0.2187,0.2012,0.2418,0.06100034753906654
429375950,24.7813,22.1666,28.8523,0.2078,0.1867,0.2253,0.06510896233025722
429375952,19.458,17.0647,22.8864,0.1558,0.1387,0.1645,0.06904388481989716
429375954,13.1136,11.2856,17.4126,0.1266,0.114,0.1398,0.06041383338136221
429375955,5.8672,6.0607,13.3553,0.2088,0.2149,0.345,0.06866661880204716
429375956,11.999,10.4073,15.1196,0.0875,0.0845,0.1018,0.07804894248762141
429375957,12.0697,10.3853,15.0831,0.0894,0.0873,0.1044,0.07853670966610296
429375958,16.8189,15.4928,21.7974,0.1349,0.1227,0.1591,0.059274001684944774
429376009,23.6302,22.9943,30.5741,0.1834,0.1724,0.2157,0.05983849013957345
429376010,24.1014,23.5689,30.7875,0.1779,0.1661,0.2074,0.06283026644890574
429376011,27.1663,26.315,34.3375,0.1912,0.1811,0.2224,0.05872006370526449
429376012,29.9509,29.2115,37.3731,0.1732,0.1675,0.2028,0.06251769380643689
429376013,26.875,26.2942,33.6124,0.1503,0.1391,0.1734,0.06942531913488556
429376014,20.6247,19.3949,24.9462,0.1765,0.1672,0.2005,0.06904388481989716
429376015,18.4332,17.1352,22.3964,0.1508,0.1417,0.1703,0.06904388481989716
429376016,16.9108,15.7205,21.3738,0.1151,0.1044,0.1334,0.06444121395927624
429376017,14.5178,13.5493,18.6574,0.1317,0.1229,0.1509,0.06981099120988524
429376018,14.026,13.002,18.041,0.1005,0.0912,0.1192,0.07020097205976435
429376019,22.2134,20.9798,20.1825,0.3478,0.3153,0.249,0.07348500463068167
429376020,12.9687,11.85,15.9022,0.0644,0.0311,0.0537,0.09105580497377844
429376021,39.6814,37.5944,34.0265,0.9225,0.8466,0.6764,0.06792432131461863
429376022,30.7851,28.0013,34.2059,0.2826,0.2032,0.2424,0.06684048540909966
429376023,48.5321,46.3,42.1549,0.878,0.8112,0.6631,0.06346488289866778
429376024,36.6465,34.2048,41.8214,0.3683,0.3061,0.3692,0.06190178642991358
429376025,55.0826,53.4689,48.6375,0.9698,0.9032,0.7451,0.058176383157876974
429376026,43.9348,41.2949,48.5098,0.3784,0.3302,0.372,0.06190178642991358
429376027,53.1741,51.4816,48.6386,0.7177,0.6707,0.5919,0.06159836113714365
429376028,43.9492,41.8388,48.8186,0.3921,0.3513,0.3849,0.06129789587454133
429376029,44.7433,42.5399,50.3191,0.556,0.5028,0.552,0.05764267775279962
429376030,40.3497,38.6313,46.2013,0.3617,0.3317,0.3682,0.056098740702361524
429376031,37.7561,36.4379,44.2735,0.3545,0.3357,0.3716,0.05660411406725943
429376032,26.6128,25.3846,31.5017,0.2404,0.2316,0.2664,0.06684048540909966
429376033,22.6918,21.4465,27.1383,0.2068,0.1989,0.2348,0.06942531913488556
429376034,18.1825,16.9895,21.4272,0.1676,0.1586,0.1824,0.0752449975094086
429376035,16.244,15.34,20.5414,0.1802,0.1779,0.2045,0.06477336728387235
429376036,16.4995,15.3559,20.6842,0.1588,0.1541,0.1779,0.06510896233025722
429376042,28.1821,26.9989,34.7389,0.1747,0.1581,0.2081,0.06159836113714365
429376044,22.6659,21.9201,28.5428,0.162,0.145,0.1866,0.07221810771057427
429376045,5.9576,6.1843,14.4647,0.0167,0.0169,0.0425,0.07662132709270902
429376046,16.8409,16.1858,21.5667,0.1066,0.0941,0.1244,0.08433420746488306
429376118,9.6228,9.9519,18.647,0.2859,0.3,0.4607,0.07059533429497317
429376120,20.6783,22.0982,37.535,0.4919,0.5271,0.8035,0.042310529255340984
429376121,21.7947,21.9097,37.4155,0.3136,0.3264,0.4933,0.03807955914588565
429376123,42.8897,44.4279,64.0716,0.4896,0.5242,0.7883,0.04363270157106099
429376126,21.4654,20.868,32.0528,0.2516,0.2383,0.3666,0.05737948033237819
429376135,21.909,20.0309,27.0438,0.1778,0.1632,0.2023,0.07756719641593564
429376136,22.4657,20.697,28.7666,0.3008,0.2817,0.3501,0.07180546030797123
429376137,23.7339,22.1669,31.5213,0.3144,0.2982,0.3749,0.059274001684944774
429376141,25.3325,23.7982,32.5773,0.7912,0.7513,0.8887,0.06041383338136221
429376142,26.0781,24.4657,33.6528,0.8657,0.8147,0.9711,0.06041383338136221
429376145,20.6009,19.1936,26.7696,0.5197,0.4795,0.5847,0.07139750161301212
429376149,34.9686,32.3997,41.9937,1.5451,1.4259,1.6729,0.06159836113714365
429376211,23.774,23.3626,38.8861,0.138,0.138,0.2951,0.05635029433027713
429376213,20.1377,18.6729,29.147,0.5286,0.4875,0.6942,0.06684048540909966
429376214,20.904,19.3521,29.9861,0.5983,0.5507,0.7686,0.06942531913488556
429376217,16.5808,15.7706,23.0979,0.7774,0.751,0.9807,0.09816868357674101
429376220,16.7891,16.238,23.6171,0.4246,0.4148,0.5264,0.07804894248762141
429376221,17.9595,17.2984,25.6607,0.4301,0.4134,0.5363,0.06829345312829196
429376226,19.4298,18.2117,15.7203,0.4693,0.4399,0.3047,0.10832258979485408
429376227,19.2965,18.0013,15.7257,0.3389,0.3114,0.2217,0.11022268844923072
429376228,18.8677,17.6601,15.345,0.3187,0.2945,0.2101,0.11634512054520679
429376232,30.6374,28.248,39.4264,0.5802,0.5305,0.6793,0.06981099120988524
429376252,13.0233,12.4529,18.523,0.2525,0.2451,0.304,0.07903061153879146
429376258,7.7179,7.9269,15.5318,0.5656,0.5596,0.738,0.06829345312829196
429376310,17.1717,17.5101,30.3429,0.977,0.9745,1.4069,0.05463535211139932
429376311,22.9988,23.3658,39.0831,1.6193,1.6081,2.2603,0.04870612541107282
429376334,18.3167,16.4375,17.3235,0.4262,0.3778,0.3433,0.11527791973048969
429376337,18.6276,16.4176,17.4677,0.6839,0.5996,0.5418,0.1132011898318306
429376338,19.9342,17.6167,18.8384,0.7205,0.6365,0.5762,0.10471236017896915
429376355,32.8872,30.0464,26.7528,0.3583,0.3067,0.2562,0.07615699026400004
429376356,34.1421,31.2968,26.2224,0.2226,0.198,0.1525,0.07615699026400004
429376410,6.8616,7.265,15.3197,0.0062,0.0067,0.0259,0.07569824722699373
429376411,7.9867,8.3067,17.5294,0.1278,0.1307,0.2106,0.07020097205976435
429376412,8.6363,8.9989,18.8161,0.089,0.0884,0.1495,0.06684048540909966
429376414,12.4914,12.9554,25.1286,0.4413,0.4601,0.6957,0.06220821570931003
429376417,15.1169,15.4606,28.6607,0.6872,0.7019,1.0835,0.06190178642991358
429376418,15.8795,16.0989,30.572,0.6869,0.6821,1.138,0.06220821570931003
429376419,16.6044,16.6063,31.6655,0.7466,0.7397,1.202,0.06012478543760053
429376420,16.8847,17.0159,32.0576,0.8756,0.8853,1.4055,0.059274001684944774
429376421,16.1774,16.2844,30.5869,0.627,0.621,1.0248,0.06378702284985524
429376422,16.0532,16.2576,30.4949,0.622,0.6244,1.0137,0.06314598028335774
429376423,15.1338,15.2338,28.9737,0.4911,0.4879,0.8049,0.06411244968272661
429376424,15.6474,15.611,30.1669,0.4206,0.4143,0.7069,0.05764267775279962
429376425,15.8089,15.8029,31.9297,0.4948,0.4907,0.8401,0.047419586082077345
429376523,26.6306,27.7487,33.2559,0.3129,0.2941,0.3276,0.0752449975094086
429376525,28.4806,30.4447,36.529,0.2634,0.2573,0.2997,0.07139750161301212
429376611,45.2298,42.6773,47.9256,0.5429,0.499,0.5071,0.04927912092245134
429376613,20.0199,19.0837,22.2278,0.1188,0.1059,0.1197,0.10299600257653854
429376641,14.5742,15.057,29.7338,1.3544,1.389,2.2851,0.06159836113714365
429376642,17.2595,17.6667,34.4502,1.9696,2.0313,3.2919,0.056098740702361524
429376643,17.9666,18.1213,35.5738,2.2598,2.3363,3.7592,0.0539319190680174
429376644,16.8202,16.9441,33.3759,2.0117,2.0698,3.3632,0.05872006370526449
429376645,17.6873,17.6801,34.6244,1.8257,1.8826,2.9763,0.05347294092237722
429376651,12.1905,11.4316,18.8128,0.3128,0.2876,0.418,0.07756719641593564
429376653,12.9742,12.2093,19.3097,0.2578,0.238,0.3411,0.0815963233535219
429376654,12.63,11.8906,18.8735,0.2231,0.2016,0.2959,0.08266986501266944
429376656,11.7628,11.0224,17.5978,0.2056,0.18,0.2795,0.09040079679516942
429376658,7.7779,7.2501,12.4947,0.2014,0.1842,0.2571,0.09665858053229819
429376709,13.7381,17.6263,25.767,0.2782,0.3759,0.4611,0.05790830079919458
429376720,11.4255,12.1125,16.6389,0.2937,0.2936,0.3282,0.07804894248762141
429376727,33.2108,32.6233,45.2349,0.7951,0.792,0.9744,0.04927912092245134
429376733,13.2931,13.6586,23.9653,0.1455,0.1466,0.2288,0.05214171140333059
429376735,18.3678,17.2188,15.8951,0.6917,0.6476,0.493,0.11219063124580061
429376736,22.2223,20.7145,18.9142,1.0371,0.9655,0.7392,0.10299600257653854
429376738,30.3188,28.002,26.5809,1.2699,1.1696,0.9155,0.07263552511680024
429376739,30.3106,27.8594,26.6999,1.154,1.0547,0.8485,0.0752449975094086
429376740,28.0539,25.6691,25.067,0.9268,0.842,0.6704,0.07569824722699373
429376743,7.1922,7.2798,14.6733,0.4366,0.4421,0.7193,0.09105580497377844
429376757,7.0287,7.1482,12.3395,0.2261,0.2253,0.3001,0.08666044549832956
429376814,5.4587,5.7342,10.941,0.2197,0.2364,0.3358,0.09740778003073822
429376815,7.0198,7.3711,13.4775,0.5222,0.5455,0.7701,0.09172037375316221
429376816,7.3491,7.7258,14.3177,0.6588,0.6981,0.9759,0.08490398027194407
429376817,9.7503,10.1374,18.4011,0.4466,0.4631,0.6784,0.07263552511680024
429376818,15.3924,15.8583,29.2711,0.6698,0.693,1.0524,0.04778018079289879
429376819,27.6219,27.607,46.7312,0.4994,0.5075,0.8699,0.0539319190680174
429376820,28.2608,28.2831,47.4348,0.3208,0.3293,0.6156,0.05560231145909046
429376821,28.5794,28.4695,47.7991,0.3076,0.3112,0.6149,0.05584942297118333
429376830,11.6917,10.8593,20.546,0.2367,0.2173,0.3544,0.06190178642991358
429376831,11.3693,10.4198,18.9518,0.2813,0.2543,0.418,0.08212958633865283
429376832,12.4566,11.4078,20.5968,0.2861,0.2587,0.4225,0.08055030487456037
429376838,11.6466,11.0817,20.3395,0.155,0.144,0.262,0.07756719641593564
429376839,9.5898,9.2525,17.2372,0.1534,0.1471,0.2473,0.08212958633865283
429376840,8.3716,8.0833,15.2748,0.1859,0.1782,0.2865,0.08726219508235135
429376841,8.0773,7.9141,14.2415,0.1834,0.1804,0.2708,0.09239471398211957
429376842,8.151,7.917,14.7257,0.1612,0.1575,0.247,0.08490398027194407
429376843,7.6482,7.3791,14.0288,0.1633,0.1566,0.2461,0.08548150399146558
429377022,38.498,36.2288,61.6318,0.8829,0.8274,1.3575,0.04288813389916635
429377023,35.1039,32.674,55.8679,0.8789,0.8097,1.3479,0.04603003942056844
429377024,28.2327,26.6186,45.8174,0.7921,0.745,1.2,0.05046653131091824
429377029,17.8329,16.1159,27.3696,0.5335,0.459,0.6987,0.06792432131461863
429377119,14.5578,13.3452,15.3231,0.6991,0.6273,0.4984,0.0675591583065621
429377123,20.3266,18.3353,22.2924,1.0347,0.9195,0.7695,0.05535737701133239
429377124,17.263,15.4514,19.6991,0.4895,0.4212,0.3916,0.06041383338136221
429377130,11.1819,9.2702,13.2791,0.3567,0.2919,0.2964,0.07853670966610296
429377131,10.4822,8.7516,12.6449,0.3132,0.2546,0.2636,0.08003728818317192
429377134,12.7987,10.5607,14.8086,0.3279,0.2716,0.2853,0.07662132709270902
429377143,17.2616,16.0072,19.8942,0.1578,0.1463,0.1642,0.09972671719555438
429377146,19.8819,18.4563,22.9079,0.2669,0.244,0.2612,0.08003728818317192
429377147,20.1173,18.309,22.8646,0.272,0.2379,0.2642,0.08606693785815557
429377150,21.3002,19.4758,17.8138,0.8059,0.7352,0.541,0.09447856694680049
429377151,22.3123,20.396,18.4286,0.8763,0.7966,0.5815,0.09307904275505513
429377152,25.4018,23.4178,20.7588,0.974,0.8942,0.6477,0.08490398027194407
429377153,28.1875,25.7881,22.408,1.0533,0.9576,0.6845,0.08726219508235135
429377154,30.0533,27.7655,23.2844,1.0507,0.9612,0.6702,0.08490398027194407
429377155,26.4865,24.4649,20.9489,0.9121,0.8373,0.5804,0.08490398027194407
429377157,17.708,16.202,14.2877,0.7732,0.6971,0.4771,0.1021587506273488
429377209,8.3928,8.8221,19.4833,0.2086,0.2082,0.3783,0.06981099120988524
429377215,17.6674,16.4504,28.9072,0.3877,0.3631,0.5514,0.05214171140333059
429377218,7.7747,6.7831,13.464,0.1521,0.1264,0.1986,0.07569824722699373
