detection_id,B,G,R,nB,nG,nR,Compactness
430166041,20.4627,18.8515,22.3012,0.2208,0.2023,0.1989,0.07615699026400004
430166043,20.7404,19.4575,23.3294,0.2259,0.2186,0.2204,0.07853670966610296
430166049,21.2753,19.9683,24.0237,0.131,0.127,0.1395,0.07953076456813789
430166051,19.2133,17.7531,21.1018,0.145,0.1345,0.1389,0.08106994029334431
430166055,19.988,18.7663,21.8422,0.1749,0.1674,0.1678,0.08975514439115811
430166059,20.832,19.4221,22.0811,0.2088,0.2002,0.1909,0.07804894248762141
430166060,14.4517,13.9544,17.3407,0.1357,0.13,0.1334,0.0815963233535219
430166110,24.7068,23.8184,27.8556,0.2266,0.22,0.2085,0.05660411406725943
430166114,24.8908,23.8808,34.4401,0.2345,0.2269,0.2615,0.02963750090404334
430166120,23.6013,22.7633,26.9539,0.189,0.1821,0.1816,0.05686023067241032
430166132,17.2416,16.7488,18.1919,0.1331,0.1267,0.095,0.06346488289866778
430166138,15.6491,15.1988,16.878,0.1498,0.1446,0.11,0.06579069379816853
430166158,15.3314,15.5244,22.2,0.2815,0.2836,0.3291,0.05584942297118333
430166159,13.5764,13.7592,21.1349,0.1981,0.1997,0.2413,0.04889563761385481
430166386,26.0353,26.6628,27.8756,0.2434,0.2454,0.2341,0.05511459098459456
430166387,26.162,26.7783,28.0092,0.2228,0.2244,0.2203,0.05511459098459456
430166388,21.1355,20.3256,25.7418,0.7135,0.6812,0.7405,0.05560231145909046
430166389,25.9103,26.4911,27.7823,0.2072,0.2106,0.2016,0.05560231145909046
430166390,25.6532,26.2465,27.4473,0.206,0.2081,0.2011,0.05635029433027713
430166408,33.4991,33.8095,34.9016,0.1908,0.1911,0.1999,0.06411244968272661
430166409,29.0694,28.8323,31.5146,0.5569,0.5469,0.5438,0.06544805286939072
430166410,28.5278,28.2852,30.8637,0.5002,0.4918,0.4872,0.06684048540909966
430166411,27.6516,27.4754,29.9186,0.5828,0.5688,0.575,0.06719790044098876
430166412,13.3467,13.5647,21.1037,0.3532,0.3586,0.4257,0.05279893651282317
430166413,13.3528,13.609,20.9317,0.3112,0.317,0.3804,0.05463535211139932
430166414,12.6036,12.9056,20.1467,0.31,0.315,0.3766,0.05487392523583279
430166415,5.726,5.8937,12.4791,0.1591,0.1634,0.2036,0.05302170881884524
430166416,5.6765,5.8427,12.3991,0.1198,0.1228,0.1605,0.05324636892277132
430166479,20.9313,19.9448,21.2466,1.7747,1.6906,1.3965,0.06378702284985524
430166480,17.0178,16.141,16.9566,1.7077,1.6265,1.3411,0.08548150399146558
430166484,14.1259,14.3446,21.8325,0.2315,0.2364,0.2959,0.0539319190680174
430166485,13.5875,13.7068,20.9884,0.2794,0.2833,0.3424,0.05584942297118333
430166486,13.4112,13.583,20.9505,0.2917,0.297,0.3648,0.05487392523583279
430166492,23.8428,24.004,35.2275,0.4781,0.4826,0.57,0.03559849630068496
430166494,22.4307,22.5294,33.4719,0.3957,0.3974,0.4784,0.036529836633637666
430166496,22.2931,22.3798,33.3159,0.4428,0.4442,0.5303,0.03663633579132449
430166498,21.5593,21.6174,32.2042,0.3557,0.3564,0.4334,0.037964517283050205
430166506,13.5219,13.6492,21.1245,0.262,0.2653,0.3271,0.05487392523583279
430166508,13.651,13.8883,21.3442,0.2649,0.2721,0.3313,0.05511459098459456
430166510,13.4024,13.6418,21.029,0.2111,0.217,0.2717,0.05535737701133239
430166512,13.0974,13.313,20.6912,0.3012,0.3097,0.3681,0.05511459098459456
430166514,12.9374,13.1429,20.6447,0.2238,0.2311,0.285,0.0541643755046309
430166515,18.0506,17.7533,22.3159,0.3259,0.32,0.3161,0.05511459098459456
430166516,13.0994,13.3919,20.744,0.1796,0.1853,0.2356,0.05511459098459456
430166517,17.9468,17.6775,22.1951,0.2995,0.2945,0.2904,0.05560231145909046
430166518,13.0075,13.3094,20.5874,0.1986,0.2046,0.2545,0.05560231145909046
430166519,13.012,13.3139,20.5919,0.1926,0.1982,0.2479,0.05560231145909046
430166520,12.9534,13.26,20.5864,0.2199,0.2264,0.2791,0.05560231145909046
430166521,12.9534,13.26,20.5864,0.2199,0.2264,0.2791,0.05560231145909046
430166522,13.0289,13.3398,20.6405,0.2242,0.2311,0.2865,0.05584942297118333
430166523,13.0284,13.3393,20.64,0.2242,0.2313,0.2865,0.05584942297118333
430166525,13.0346,13.3457,20.7487,0.2058,0.2122,0.2639,0.05487392523583279
430166527,12.8688,13.1103,20.4539,0.1737,0.1771,0.2298,0.05535737701133239
430166528,12.8611,13.1025,20.4463,0.1982,0.2024,0.2569,0.05535737701133239
430166529,12.4873,12.7279,19.9417,0.1775,0.1816,0.2343,0.05635029433027713
430166531,12.8959,13.1101,20.3625,0.2276,0.2314,0.2893,0.05560231145909046
430166532,12.6343,12.9013,20.0677,0.2089,0.2152,0.267,0.05560231145909046
430166534,12.623,12.8061,20.0199,0.1924,0.1963,0.248,0.056098740702361524
430166535,18.5119,18.4917,22.2805,0.5328,0.5271,0.4945,0.05635029433027713
430166536,12.4065,12.6375,19.7576,0.1882,0.1935,0.2464,0.05660411406725943
430166538,12.3243,12.5111,19.6516,0.154,0.1569,0.2067,0.05635029433027713
430166540,12.3013,12.5032,19.6836,0.1846,0.1884,0.2402,0.056098740702361524
430166542,12.5668,12.7359,19.9334,0.1786,0.182,0.2334,0.05635029433027713
430166543,18.8622,18.8026,22.6558,0.4975,0.495,0.4629,0.05635029433027713
430166544,12.6956,12.9378,19.9986,0.2109,0.2154,0.2674,0.05764267775279962
430166546,12.5054,12.7079,19.9301,0.2719,0.2798,0.3393,0.056098740702361524
430166547,13.131,13.3354,20.6068,0.2467,0.2541,0.3128,0.05635029433027713
430166549,17.2552,16.9493,21.2395,0.2793,0.2732,0.2713,0.05764267775279962
430166550,12.1074,12.3691,19.3759,0.2076,0.2165,0.2693,0.05790830079919458
430166551,16.4116,16.1462,20.3713,0.3278,0.3216,0.3118,0.05790830079919458
430166552,12.0288,12.2775,19.5278,0.1954,0.1988,0.254,0.05584942297118333
430166557,11.0739,11.2235,18.2033,0.1946,0.1991,0.2532,0.05764267775279962
430166559,11.3197,11.4851,18.3249,0.1774,0.1783,0.2271,0.05844695914181379
430166563,6.5407,6.6839,13.0022,0.0974,0.1011,0.1397,0.059274001684944774
430166564,6.5001,6.639,12.9801,0.1185,0.1219,0.1621,0.0589957324588329
430166565,6.5843,6.728,13.1137,0.1241,0.1271,0.168,0.05872006370526449
430166566,6.6549,6.8003,13.1699,0.1054,0.1082,0.1481,0.05872006370526449
430166567,6.7161,6.8615,13.2311,0.1001,0.1035,0.1418,0.05872006370526449
430166569,6.4463,6.5339,13.2439,0.09,0.0922,0.1328,0.05584942297118333
430166570,6.5351,6.6344,13.3411,0.0928,0.095,0.1373,0.05584942297118333
430166572,6.5528,6.6577,13.3483,0.1243,0.1265,0.1715,0.05584942297118333
430166574,6.6988,6.7925,13.5494,0.1042,0.1061,0.1488,0.05535737701133239
430166575,9.5282,9.3462,14.3526,0.202,0.1973,0.2029,0.05535737701133239
430166576,6.6902,6.8112,13.4687,0.1284,0.1302,0.1738,0.05535737701133239
430166577,9.3932,9.236,14.2667,0.144,0.1401,0.1501,0.05511459098459456
430166578,6.5664,6.7258,13.4018,0.1116,0.1142,0.155,0.05511459098459456
430166579,9.2335,9.0715,14.0334,0.2235,0.2192,0.2201,0.05584942297118333
