detection_id,B,G,R,nB,nG,nR,Compactness
432678521,5.3529,5.3018,6.0487,0.0727,0.0698,0.0614,0.1495779344429456
432678522,2.3681,2.5016,3.9165,0.0989,0.1025,0.0711,0.13807493637999585
432678536,20.0445,20.1521,18.678,0.1152,0.1219,0.1205,0.07221810771057427
432678538,3.8591,3.8591,5.3199,0.0481,0.0474,0.0466,0.13807493637999585
432678540,6.5357,6.4852,7.4744,0.2058,0.204,0.1773,0.1351063003197879
432678550,6.0047,6.0215,7.2368,0.115,0.1093,0.1035,0.11634512054520679
432678552,2.6784,2.6387,4.2085,0.0099,0.0094,0.0165,0.15705446369492315
432678553,3.7274,3.8108,4.7402,0.0448,0.0448,0.0366,0.15511613727099602
432678554,2.9271,2.8804,4.385,0.0132,0.013,0.0193,0.15705446369492315
432678556,1.7021,1.6859,2.9262,0.0312,0.0283,0.0292,0.1963000700655754
432678560,0.0103,0.0618,2.6738,0.0,0.0,0.025,0.1794818739290955
432678563,0.046,0.1039,2.5576,0.0007,0.002,0.028,0.1794818739290955
432678564,3.7362,4.0477,6.2896,0.0111,0.0141,0.0249,0.1336693370934263
432678567,1.0094,1.4664,4.1855,0.0133,0.0163,0.0273,0.15137953892966877
432678568,0.0073,0.0188,2.6066,0.0,0.0,0.0293,0.1495779344429456
432678571,1.0185,1.0077,2.6233,0.013,0.0128,0.0174,0.2093793437612272
432678572,0.1122,0.2333,2.2219,0.0002,0.0004,0.0158,0.2059488517353309
432678573,6.0032,6.9371,10.1881,0.0421,0.0556,0.0794,0.11119795425652645
432678574,15.2254,15.2712,14.1377,0.1402,0.1377,0.1169,0.09040079679516942
432678576,1.1658,1.2483,2.7116,0.0119,0.0126,0.0182,0.224325293611701
432678584,16.6789,16.8219,16.9608,0.1439,0.1435,0.1363,0.06510896233025722
432678585,11.6821,12.5559,15.3806,0.3301,0.3578,0.3172,0.06829345312829196
432678587,6.7078,6.7884,7.2002,0.1201,0.1186,0.1068,0.13807493637999585
432678594,14.9051,15.0457,14.9178,0.0986,0.1031,0.1074,0.09447856694680049
432678595,0.0221,0.0682,5.2372,0.0,0.0,0.076,0.09972671719555438
432678598,0.1966,0.3429,4.2603,0.0,0.0,0.0204,0.12081909724428652
432678616,0.0357,0.0606,1.9502,0.0,0.0013,0.0118,0.1653175867489029
432678617,0.0587,0.1034,1.8299,0.0001,0.0024,0.0102,0.17695501477362918
432678618,0.0694,0.1541,2.0649,0.0005,0.0049,0.0129,0.16978395275546265
432678619,0.2445,0.3598,2.6919,0.0004,0.0002,0.0167,0.15322506464696445
432678621,0.7565,0.8345,3.08,0.0001,0.0001,0.0099,0.16108014280507627
432678626,1.1941,1.4046,3.4864,0.0048,0.0057,0.011,0.16978395275546265
432678627,1.5982,1.7822,4.113,0.0177,0.0188,0.0225,0.14610036423614817
