detection_id,B,G,R,nB,nG,nR,Compactness
430564567,20.0326,19.0607,23.0364,0.443,0.4189,0.4421,0.08787235948346774
430564568,16.8083,16.4394,20.7872,0.137,0.1342,0.1568,0.09816868357674101
430564569,21.5977,20.654,25.5997,0.3952,0.3797,0.4062,0.07099415216660818
430564570,27.1831,26.811,34.1195,0.4918,0.4852,0.5374,0.05790830079919458
430564571,32.2668,31.5865,40.048,0.2284,0.2125,0.2594,0.049668666921834095
430564580,18.0892,17.8235,22.5056,1.884,1.8712,1.9478,0.07903061153879146
430564589,24.038,23.4204,27.5527,0.2346,0.2286,0.2439,0.07180546030797123
430564597,31.1746,30.3379,39.5573,0.2834,0.2777,0.3226,0.04288813389916635
430564598,19.6062,18.5876,23.9951,0.1936,0.1821,0.2089,0.07221810771057427
430564612,24.702,24.1047,32.1833,0.3682,0.358,0.4077,0.047241322067509035
430564614,13.2542,12.8956,17.8639,0.4772,0.4708,0.5077,0.06981099120988524
430564617,27.9409,27.4974,34.13,1.5291,1.4944,1.5787,0.05660411406725943
430564620,16.5022,15.9157,20.3051,2.0108,1.9504,2.0007,0.07903061153879146
430564621,25.0158,23.8625,29.918,0.2483,0.2378,0.2648,0.06041383338136221
430564622,22.9507,22.198,27.855,1.1991,1.16,1.1916,0.05844695914181379
430564626,14.2555,13.8927,19.5925,0.0072,0.0026,0.0283,0.05660411406725943
430564628,22.2754,21.7789,27.7682,0.3001,0.2959,0.3219,0.056098740702361524
430564634,23.4921,22.6772,27.8241,0.3727,0.3605,0.3881,0.07479714303071543
430564636,14.767,14.309,18.9288,0.0013,0.0,0.0169,0.07348500463068167
430564643,28.7982,27.4895,34.1156,0.7277,0.6948,0.7462,0.06346488289866778
430564646,17.9952,17.3968,22.4256,0.1454,0.1389,0.1616,0.07756719641593564
430564647,32.1445,31.4471,39.0692,0.1318,0.1318,0.1578,0.047962542530693694
430564653,26.3292,25.8019,33.7135,0.1909,0.1826,0.2313,0.05279893651282317
430564654,13.824,13.355,17.8416,0.0,0.0,0.0167,0.07435458803139107
430564655,16.1787,15.8177,21.6892,0.1009,0.0948,0.1359,0.06719790044098876
430564656,11.4293,11.0266,15.2954,0.0,0.0,0.0159,0.07804894248762141
430564661,14.6797,14.0774,19.1464,0.0,0.0,0.019,0.06544805286939072
430564668,27.8661,27.2196,34.061,0.1135,0.1135,0.1368,0.05347294092237722
430564669,28.9702,27.704,34.7481,0.2455,0.2298,0.2621,0.0539319190680174
430564670,23.5105,23.0145,29.9009,0.3738,0.3645,0.413,0.058176383157876974
430564675,22.9656,22.6869,28.028,0.0949,0.0949,0.1138,0.06579069379816853
430564676,16.6839,15.8768,20.1953,0.3092,0.2938,0.3206,0.08849111644335216
430564678,15.1203,14.5701,18.8261,0.4298,0.4129,0.4378,0.08726219508235135
430564679,18.8203,18.4755,24.88,0.2462,0.2418,0.2784,0.05872006370526449
430564684,43.7219,42.1286,49.9133,0.7475,0.7189,0.7638,0.05487392523583279
430564690,30.7287,29.7816,36.5975,0.3403,0.33,0.3599,0.057118675464029094
430564691,19.8765,18.7832,24.1151,0.3598,0.3398,0.3689,0.06544805286939072
430564694,21.6793,20.8554,25.8915,0.3672,0.3524,0.3778,0.06942531913488556
430564723,20.785,20.1364,25.6217,0.2427,0.2273,0.2562,0.06346488289866778
430564728,25.3537,24.3611,30.9303,0.2517,0.2375,0.2751,0.0595549083537657
430564730,19.1051,18.0936,23.001,0.4158,0.3892,0.4168,0.07139750161301212
430564737,40.7524,38.5072,46.9799,0.5225,0.4954,0.5495,0.05006442052760694
430564741,13.2133,12.5153,17.3532,0.2542,0.2385,0.2708,0.08055030487456037
430564742,20.773,19.838,24.6352,0.2827,0.2704,0.2918,0.07020097205976435
430564746,32.6605,31.8099,38.1632,0.1917,0.1868,0.2125,0.05635029433027713
430564749,23.4471,23.1943,28.5482,0.0936,0.0936,0.1136,0.06220821570931003
430564756,18.2939,17.8175,22.7902,0.6399,0.6204,0.6576,0.07263552511680024
430564758,18.9329,18.3125,23.4715,1.1178,1.0793,1.1107,0.06684048540909966
430564764,60.3425,58.4251,70.0698,1.0506,1.0205,1.1041,0.036851207943492725
430564785,29.645,28.7746,36.2922,0.5008,0.4924,0.534,0.05129044711249124
430564786,28.3353,27.3857,33.6252,0.5753,0.5577,0.5977,0.06190178642991358
430564788,19.6611,18.7872,25.2805,0.3428,0.3269,0.3561,0.05560231145909046
430564795,13.6064,13.1074,17.9611,0.1411,0.1316,0.1522,0.07615699026400004
430564796,29.2807,28.1751,34.9668,0.9133,0.872,0.9437,0.06220821570931003
430564799,23.9333,22.5093,27.4004,0.245,0.2294,0.2525,0.08003728818317192
430564800,16.7919,15.7698,19.9281,0.2208,0.2035,0.2262,0.08975514439115811
430564809,19.0632,18.0663,24.5073,0.4158,0.391,0.4367,0.06314598028335774
430564810,28.8715,27.6441,34.6706,0.698,0.6685,0.7235,0.0607056738604871
430564822,20.7748,20.6926,25.2183,0.0827,0.0827,0.1,0.07180546030797123
430564828,25.0169,24.6802,30.0958,0.1012,0.1012,0.1209,0.06314598028335774
430564831,18.8517,18.0988,22.275,0.191,0.185,0.2021,0.08490398027194407
430564833,32.8484,31.7964,36.884,0.2709,0.263,0.285,0.07221810771057427
430564834,31.5804,30.359,35.2303,0.289,0.2778,0.2995,0.07804894248762141
430564835,27.676,26.3382,30.9314,0.2954,0.2828,0.3036,0.08266986501266944
430564851,20.8101,20.3222,24.8025,0.0965,0.0923,0.1111,0.08212958633865283
430564867,21.4476,20.9289,24.7598,0.0872,0.0871,0.1005,0.09307904275505513
430564868,24.0851,23.8344,27.7298,0.0993,0.0986,0.113,0.09040079679516942
430564869,18.213,17.6869,21.2837,0.1328,0.1291,0.1443,0.1021587506273488
430564870,25.3744,24.7281,31.2067,0.2371,0.2324,0.2609,0.0541643755046309
430564877,21.2783,20.5687,25.866,0.4079,0.3969,0.4267,0.06866661880204716
430564883,18.9917,18.2452,22.0947,0.0808,0.0804,0.094,0.09307904275505513
430564884,21.912,21.2344,25.3339,0.0914,0.091,0.1055,0.08606693785815557
430564886,22.6385,22.0825,26.4454,0.095,0.0944,0.1108,0.077091360650504
430564897,29.1315,28.3072,34.1467,0.1562,0.1523,0.1762,0.06283026644890574
430564901,22.6326,21.8678,27.8461,0.0917,0.0917,0.1126,0.0595549083537657
430564902,21.387,20.4053,24.8102,0.1046,0.102,0.1181,0.08548150399146558
430564904,40.0751,38.2972,45.2973,0.4905,0.4671,0.5083,0.05370144932732833
430564905,33.9365,32.419,38.9963,0.4789,0.4562,0.496,0.05764267775279962
430564906,25.0074,23.8892,29.3409,0.4296,0.4122,0.4446,0.06792432131461863
430564913,20.3865,19.9725,24.5953,0.0825,0.0825,0.0994,0.07348500463068167
430564921,26.6158,26.6545,31.1234,0.1136,0.1127,0.1308,0.07139750161301212
430564932,25.3712,24.9801,29.6651,0.1025,0.1025,0.1199,0.07139750161301212
430564944,34.7946,34.1188,41.2375,0.1401,0.1401,0.1664,0.047419586082077345
430564945,26.865,26.2758,32.4984,0.1087,0.1087,0.1315,0.05463535211139932
430564946,40.3678,39.9181,47.239,0.161,0.161,0.1884,0.04552972625896745
430564948,24.67,23.1398,27.4345,0.1254,0.1194,0.1354,0.07804894248762141
430564949,21.6984,20.4979,24.8535,0.1754,0.1749,0.1889,0.07615699026400004
430564950,17.8295,16.9544,21.2582,0.1907,0.1831,0.1991,0.07662132709270902
430564959,22.4103,21.8427,26.4978,0.0915,0.0914,0.1091,0.07020097205976435
430564960,23.2758,22.7356,27.3435,0.0937,0.0937,0.1113,0.07059533429497317
430564961,21.1757,20.6174,24.6018,0.0855,0.0855,0.1005,0.08266986501266944
430564964,20.88,20.5589,25.4887,0.0892,0.0883,0.1072,0.06719790044098876
430564965,19.1082,18.9459,24.0765,0.0912,0.0901,0.1105,0.06283026644890574
430564968,41.5516,41.2017,47.3451,0.1669,0.1669,0.1902,0.05347294092237722
430564975,22.7035,22.5265,26.3586,0.0912,0.0912,0.1058,0.08490398027194407
430564978,30.782,30.4169,35.9125,0.1244,0.1244,0.1456,0.05872006370526449
430564982,50.2432,49.1202,56.3813,0.4459,0.437,0.4725,0.050875153686925724
430564999,20.8235,20.6532,26.1936,0.2842,0.2802,0.3049,0.06411244968272661
430565003,29.1638,28.6371,34.738,0.1306,0.1269,0.1523,0.05872006370526449
430565004,29.023,28.2005,33.0157,0.7051,0.6878,0.7176,0.07348500463068167
430565006,35.9323,35.0079,41.0708,0.9205,0.8991,0.9342,0.059274001684944774
430565011,28.1925,27.5191,35.0163,0.508,0.4934,0.5377,0.04706439330664793
430565019,19.3932,18.5676,22.1302,0.091,0.0881,0.1021,0.0937735836449438
430565110,7.5132,7.676,15.3216,0.0,0.0,0.0252,0.04947312713553582
430565111,7.5016,7.6521,15.3075,0.0,0.0,0.0252,0.04947312713553582
430565112,4.7566,4.8097,11.3977,0.0,0.0,0.0226,0.054156094636737914
430565113,17.0134,16.7377,22.434,0.1799,0.1765,0.2002,0.056594650918487546
430565114,17.7009,16.9735,22.9777,0.0937,0.092,0.1145,0.05634095915942027
430565117,34.3244,33.2347,38.5425,0.3261,0.3164,0.3385,0.06378702284985524
430565152,8.923,8.7202,12.0767,0.5444,0.5266,0.5485,0.09740778003073822
430565153,9.4025,9.219,12.7638,0.6601,0.6424,0.6655,0.09172037375316221
430565154,10.4342,10.5177,14.2981,0.8436,0.8523,0.881,0.08726219508235135
430565155,11.2197,11.1601,15.0035,0.6018,0.602,0.6292,0.08849111644335216
430565156,12.4715,12.3523,16.6432,0.5415,0.5331,0.5683,0.0815963233535219
430565158,14.6229,14.3394,18.9649,0.4471,0.4258,0.4673,0.07756719641593564
430565159,16.3111,16.511,21.2572,0.1737,0.1746,0.1985,0.07903061153879146
430565160,16.5955,16.8083,21.7969,0.1645,0.1671,0.1907,0.07662132709270902
430565161,19.5263,19.3675,24.4235,0.1094,0.1086,0.1444,0.07662132709270902
