detection_id,B,G,R,nB,nG,nR,Compactness
430150039,6.1396,5.1557,7.7388,0.0222,0.0195,0.0258,0.10559216905199818
430150040,6.2097,5.2781,7.8133,0.0507,0.0444,0.0501,0.10926437976474195
430150042,0.2543,0.2967,5.7079,0.0,0.0,0.0913,0.08787235948346774
430150043,0.5026,0.8441,8.6161,0.0009,0.0011,0.1343,0.06378702284985524
430150044,1.0887,1.3578,10.0135,0.0256,0.0035,0.1075,0.050670018704328156
430150059,24.0796,23.6039,33.1643,0.4063,0.3946,0.5284,0.06251769380643689
430150066,13.7226,12.2729,17.447,0.3079,0.274,0.294,0.06719790044098876
430150068,12.7559,11.6979,16.3326,0.2976,0.2649,0.2931,0.07221810771057427
430150071,12.9173,11.8222,16.4739,0.3211,0.2916,0.3398,0.08726219508235135
430150073,10.1203,8.6553,13.1368,0.3024,0.2505,0.2693,0.07305779571290515
430150077,10.9538,9.9115,13.1182,0.2606,0.2197,0.2194,0.08212958633865283
430150078,12.456,11.6561,14.5497,0.2664,0.2384,0.2371,0.0937735836449438
430150079,12.6499,11.762,14.5022,0.3038,0.2752,0.2589,0.09172037375316221
430150080,12.9218,11.8471,14.643,0.3916,0.3512,0.3281,0.09040079679516942
430150081,12.8466,11.909,14.6493,0.3663,0.3277,0.3177,0.09172037375316221
430150082,11.983,10.8997,14.089,0.2285,0.1991,0.2004,0.09519422993221213
430150083,11.4939,10.4775,13.2155,0.2413,0.2058,0.2007,0.09972671719555438
430150084,10.8299,9.8595,12.2585,0.1927,0.1669,0.1621,0.10133499999681532
430150096,15.854,14.0596,14.1595,0.8904,0.7851,0.6135,0.09592081711552267
430150101,6.0681,5.8251,12.3721,0.0059,0.006,0.0247,0.06579069379816853
430150102,8.0394,6.9825,13.0252,0.0333,0.0298,0.0497,0.06648685222060789
430150103,8.7852,8.0387,17.6104,0.02,0.0188,0.0524,0.05279893651282317
430150104,8.1837,7.9638,16.8609,0.0,0.0,0.0217,0.05790830079919458
430150107,5.796,5.8064,15.467,0.0023,0.0025,0.0254,0.058176383157876974
430150109,0.8883,1.1773,7.9342,0.0,0.0,0.0276,0.07615699026400004
430150112,0.7207,0.6515,5.3854,0.0,0.0,0.0166,0.08666044549832956
430150121,6.7865,5.3872,15.1162,0.0,0.0,0.0426,0.04393781784522013
430150129,1.54,2.1153,11.7038,0.0,0.0,0.028,0.05235896091135454
430150131,2.1373,2.4497,13.7607,0.0214,0.0195,0.1095,0.04671448198421
430150132,1.4404,1.9384,13.5477,0.0,0.0008,0.1008,0.043784728166320654
430150135,0.8949,1.1994,8.8969,0.0121,0.0163,0.0567,0.06378702284985524
430150143,24.2922,20.8666,23.8998,1.1358,0.967,0.8839,0.06220821570931003
430150144,28.4553,24.5076,27.8208,1.14,0.972,0.8825,0.0539319190680174
430150146,33.5196,28.9741,32.3406,0.7571,0.6474,0.5935,0.04706439330664793
430150169,6.1615,5.1913,14.4402,0.0429,0.0354,0.0722,0.05790830079919458
430150200,6.7819,6.891,14.9419,0.038,0.0365,0.059,0.05584942297118333
430150228,60.0619,55.0519,49.2904,7.2379,6.6285,4.9209,0.04288813389916635
430150230,14.1895,13.2499,14.6975,1.7494,1.6271,1.212,0.07348500463068167
430150231,11.7544,11.1794,14.1504,0.1919,0.1871,0.1883,0.07059533429497317
430150232,10.0646,9.5696,15.0911,0.1304,0.1297,0.1534,0.07139750161301212
430150233,10.1288,10.907,21.059,0.2132,0.2245,0.3638,0.06829345312829196
430150234,14.3586,14.2547,20.305,0.2532,0.2589,0.3051,0.06544805286939072
430150235,11.5535,13.4685,24.5128,0.1724,0.2078,0.3466,0.06866661880204716
430150238,5.0245,4.7497,9.9488,0.008,0.0068,0.0228,0.09816868357674101
430150239,5.7997,5.241,11.4444,0.0031,0.003,0.0199,0.08055030487456037
430150241,6.5303,5.6372,11.3012,0.014,0.0121,0.0319,0.07903061153879146
430150242,6.6024,5.85,11.7035,0.0329,0.0302,0.0512,0.07348500463068167
430150243,7.0534,6.13,10.7459,0.0369,0.0333,0.0448,0.08490398027194407
430150244,7.5657,6.5955,11.6296,0.0646,0.0588,0.0809,0.07853670966610296
430150245,7.383,6.3451,11.1597,0.0651,0.0551,0.075,0.07662132709270902
430150246,8.8319,7.4839,11.7089,0.1255,0.1079,0.1157,0.08548150399146558
430150247,9.1095,7.645,11.702,0.1026,0.0856,0.098,0.08911864874469005
430150248,8.8352,7.846,10.9851,0.1587,0.1415,0.1353,0.09105580497377844
430150249,7.6729,6.8389,9.4074,0.2411,0.2125,0.2066,0.10648688664370398
430150250,9.2065,7.7151,9.8028,0.3568,0.2926,0.2857,0.1132011898318306
430150251,10.5282,8.6093,10.6608,0.1561,0.1283,0.1213,0.09894156757337469
430150252,11.5286,9.4886,11.3897,0.1579,0.132,0.1145,0.09239471398211957
430150253,11.4706,9.2607,11.4132,0.1802,0.1495,0.1358,0.09239471398211957
430150254,11.5452,9.4076,11.1869,0.1398,0.1204,0.0992,0.09447856694680049
430150255,11.2862,9.2975,10.8915,0.1285,0.1092,0.0923,0.09239471398211957
430150257,10.8071,9.1153,10.7713,0.1129,0.0985,0.0883,0.09172037375316221
430150258,10.2199,8.7384,10.4348,0.0964,0.0854,0.0773,0.08975514439115811
430150259,10.7683,8.9752,10.4291,0.2013,0.1683,0.1373,0.09307904275505513
430150262,11.2116,9.5358,10.7676,0.3623,0.3058,0.2631,0.10471236017896915
430150263,5.6336,5.2955,9.5408,0.0597,0.0607,0.081,0.0937735836449438
430150265,14.4949,13.8584,17.7845,0.1852,0.172,0.1675,0.06314598028335774
430150267,14.5046,13.7404,17.0569,0.261,0.2491,0.2285,0.0661369411690469
430150270,7.0821,6.3442,8.6736,0.1565,0.1444,0.1375,0.10832258979485408
430150274,3.6279,3.6728,10.9796,0.0,0.0,0.0198,0.0661369411690469
430150283,0.8071,0.8646,8.3449,0.0,0.0,0.0605,0.05584942297118333
430150295,6.0565,5.6636,9.8672,0.1469,0.1474,0.1869,0.1132011898318306
430150296,6.1975,5.8331,10.262,0.1467,0.148,0.1873,0.1038470904936626
430150297,5.6455,5.1809,9.4647,0.0429,0.0431,0.0624,0.10926437976474195
430150298,5.3226,4.9421,9.0631,0.0207,0.0214,0.0367,0.11219063124580061
430150300,6.1196,5.14,8.6273,0.0465,0.0372,0.0508,0.0937735836449438
430150302,8.2712,6.7973,10.1038,0.0514,0.0403,0.048,0.08911864874469005
430150304,9.4861,7.7498,11.1431,0.1181,0.0927,0.0993,0.0815963233535219
430150305,9.378,7.7231,11.0457,0.1051,0.084,0.0983,0.08433420746488306
430150306,9.885,8.161,11.5585,0.1277,0.1025,0.1146,0.08266986501266944
430150307,10.8811,8.8356,12.6435,0.1124,0.0856,0.1076,0.07804894248762141
430150309,12.6333,10.4839,13.3206,0.1833,0.1518,0.1481,0.07348500463068167
430150310,13.1233,10.9825,13.5862,0.1948,0.1634,0.1541,0.07435458803139107
430150311,13.7478,11.665,14.7719,0.1157,0.0949,0.0992,0.07263552511680024
430150312,13.9767,11.881,14.933,0.1499,0.1233,0.1249,0.07305779571290515
430150313,14.3131,12.0793,15.2815,0.1948,0.1624,0.1591,0.07180546030797123
430150314,14.977,12.9358,16.1841,0.1618,0.1369,0.1409,0.07348500463068167
430150318,15.471,13.3313,16.277,0.1836,0.1542,0.1458,0.07348500463068167
430150319,15.7429,13.5731,16.4903,0.1977,0.1612,0.1564,0.07348500463068167
430150327,15.1197,12.3317,15.2041,0.3857,0.3148,0.3153,0.07662132709270902
430150328,15.8763,13.0594,15.7021,0.3559,0.2957,0.2823,0.07391723900466864
430150329,15.8805,12.9472,15.4257,0.305,0.2507,0.2456,0.07479714303071543
430150338,0.5708,0.8668,6.1612,0.0,0.0,0.0266,0.08321729873508964
430150339,0.93,1.4575,8.1019,0.0,0.0,0.0292,0.07263552511680024
430150341,2.2799,1.6785,12.1202,0.0,0.0,0.042,0.0541643755046309
430150345,1.7751,1.9329,8.6783,0.0,0.0,0.0231,0.06942531913488556
430150349,1.6743,1.482,6.9303,0.0,0.0,0.0175,0.08321729873508964
430150353,1.3042,1.2693,6.2279,0.0,0.0,0.0142,0.09665858053229819
430150433,41.0226,37.1907,33.745,3.4406,3.1454,2.2449,0.05844695914181379
430150444,21.9411,20.3555,30.6809,0.3955,0.3739,0.4491,0.05535737701133239
430150445,20.5916,19.9479,29.8105,0.3141,0.3062,0.3607,0.05737948033237819
430150446,21.0106,20.1073,30.0678,0.3122,0.3008,0.369,0.05790830079919458
430150447,20.8385,19.813,29.6272,0.4163,0.4166,0.4752,0.059274001684944774
430150448,21.3115,20.4614,30.2638,0.2992,0.2952,0.3493,0.058176383157876974
430150451,22.3227,20.8401,32.0756,0.5099,0.4842,0.5841,0.05560231145909046
430150454,22.1342,21.6369,33.3039,0.2958,0.2824,0.355,0.056098740702361524
430150459,23.9133,23.5648,34.7405,0.2858,0.2671,0.315,0.04927912092245134
430150464,20.7192,20.4598,30.5102,0.2527,0.2396,0.2847,0.0539319190680174
430150465,20.1348,19.635,29.6553,0.2377,0.2195,0.2486,0.05347294092237722
430150466,19.1402,18.6563,29.1764,0.2325,0.216,0.2598,0.05302170881884524
430150467,19.2525,18.5217,29.0358,0.2297,0.2082,0.2596,0.0541643755046309
430150468,18.2824,17.5848,27.791,0.1852,0.1677,0.2107,0.05511459098459456
430150469,18.1084,17.2295,27.1407,0.2042,0.1868,0.2288,0.05635029433027713
430150470,17.5879,16.624,25.6865,0.1671,0.1473,0.1661,0.05872006370526449
430150471,18.0211,16.9006,25.9476,0.2482,0.2238,0.2423,0.0607056738604871
430150472,17.9962,16.9345,25.5955,0.1801,0.1622,0.1694,0.0607056738604871
430150473,18.0764,16.4022,25.4027,0.2138,0.1888,0.2185,0.06100034753906654
430150474,19.0832,17.5113,26.6434,0.2543,0.2251,0.2658,0.05983849013957345
430150475,19.4511,17.7436,27.1113,0.3093,0.2743,0.329,0.05660411406725943
430150476,19.8473,18.2567,26.975,0.2366,0.2106,0.2496,0.05584942297118333
430150477,19.885,18.225,26.8694,0.2186,0.1938,0.2292,0.05584942297118333
430150478,19.4848,17.8848,26.4898,0.2672,0.2365,0.2787,0.056098740702361524
430150485,20.0416,18.7067,26.4389,0.3258,0.2848,0.3288,0.05560231145909046
430150486,20.4086,19.0147,26.8918,0.3957,0.3474,0.4222,0.056098740702361524
430150487,20.6689,19.3776,26.5842,0.4873,0.4232,0.4948,0.05584942297118333
430150491,21.3514,20.3188,25.4993,0.4995,0.4724,0.5017,0.06314598028335774
430150492,20.7344,19.765,24.7407,0.4007,0.3807,0.414,0.06444121395927624
430150497,19.8863,20.2608,28.1105,0.3413,0.3524,0.4472,0.06684048540909966
430150498,20.3853,21.1627,29.4973,0.4584,0.4909,0.5886,0.05686023067241032
430150499,21.6021,22.1227,31.262,0.5468,0.5553,0.7008,0.05872006370526449
430150502,23.5005,23.8996,32.7898,0.373,0.3741,0.459,0.05463535211139932
