detection_id,B,G,R,nB,nG,nR,Compactness
403388232,19.9275,17.4198,21.1181,0.3141,0.272,0.2819,0.09040079679516942
403388235,12.7532,11.4396,16.4383,0.2251,0.1904,0.2252,0.07099415216660818
403388236,16.7215,15.6197,22.7553,0.2643,0.2511,0.3374,0.10052442674077641
403388237,16.2674,15.3961,22.0123,0.2864,0.2742,0.369,0.11219063124580061
403388238,19.9671,18.7557,26.6119,0.2964,0.2831,0.3808,0.09972671719555438
403388239,18.0135,17.0899,24.5377,0.4933,0.4765,0.6216,0.09447856694680049
403388240,19.0753,18.1799,25.8893,0.5789,0.5623,0.7167,0.08548150399146558
403388241,19.4793,18.439,25.7884,0.437,0.414,0.5428,0.09172037375316221
403388242,18.1291,17.0907,24.4555,0.4141,0.388,0.5114,0.09740778003073822
403388243,17.4528,16.4917,23.6654,0.434,0.4086,0.5411,0.09665858053229819
403388245,21.6297,20.52,28.5444,0.4555,0.4349,0.5691,0.08548150399146558
403388246,19.5926,18.6935,26.4032,0.4417,0.4215,0.5608,0.09665858053229819
403388247,18.0729,17.3017,24.6609,0.4044,0.3876,0.516,0.09972671719555438
403388248,16.0177,15.3485,22.4313,0.4155,0.3987,0.537,0.09665858053229819
403388250,14.5295,13.9795,20.8011,0.5151,0.5028,0.6846,0.10926437976474195
403388254,19.2361,18.5041,26.4427,0.5995,0.5914,0.7921,0.1038470904936626
403388265,22.0978,20.3135,28.766,0.2342,0.2201,0.2984,0.09040079679516942
403388267,35.4647,33.0472,49.4124,0.4627,0.4289,0.6415,0.049668666921834095
403388275,21.6646,19.1882,20.8443,0.8847,0.7715,0.7162,0.09307904275505513
403388276,23.3511,20.4821,22.4729,0.6711,0.586,0.5573,0.09307904275505513
403388277,26.8918,24.0913,27.3272,0.7411,0.6681,0.6699,0.08377203058083679
403388278,27.7442,24.7937,28.0741,0.9939,0.8918,0.8974,0.08377203058083679
403388279,27.7761,25.2579,28.4135,0.9412,0.8523,0.8529,0.08548150399146558
403388280,24.9683,22.8026,26.5757,1.4248,1.3124,1.3377,0.08377203058083679
403388497,11.6075,11.4272,19.2635,0.073,0.0722,0.1313,0.09105580497377844
403388498,16.0891,15.9407,26.1602,0.168,0.166,0.2794,0.07953076456813789
403388499,23.0814,21.0112,31.0668,0.525,0.4793,0.6882,0.0815963233535219
403388500,20.0954,19.5791,31.7433,0.2535,0.245,0.3898,0.06477336728387235
403388501,27.8252,25.7949,37.4104,0.6495,0.6078,0.8449,0.0675591583065621
403388502,20.8342,20.2864,32.1039,0.262,0.2573,0.397,0.07020097205976435
403388503,26.8839,24.7573,35.7481,0.5425,0.5003,0.6953,0.06981099120988524
403388504,20.6206,19.8312,31.7875,0.3539,0.3365,0.5173,0.0675591583065621
403388505,23.6095,21.4291,31.2186,0.295,0.2656,0.3699,0.06942531913488556
403388509,19.8641,18.0811,26.416,0.2579,0.2302,0.3222,0.07305779571290515
403388510,13.1385,13.3342,22.4963,0.1698,0.1732,0.2941,0.07903061153879146
403388511,18.392,16.9354,24.4836,0.2852,0.2591,0.3507,0.08266986501266944
403388512,11.4813,11.7256,20.1225,0.1155,0.1193,0.215,0.08266986501266944
403388513,18.9409,17.6176,25.0722,0.3492,0.326,0.4294,0.07903061153879146
403388514,20.8701,19.4675,27.6335,0.443,0.4101,0.5443,0.07391723900466864
403388515,19.7542,18.4036,26.0872,0.3112,0.2862,0.3818,0.07804894248762141
403388518,18.6034,17.3363,24.5565,0.4503,0.4156,0.5576,0.09105580497377844
403388519,19.0974,17.7276,25.1974,0.5127,0.4749,0.6357,0.09105580497377844
403388521,24.3718,22.7473,32.4073,0.7007,0.6602,0.8747,0.06981099120988524
403388522,26.9838,25.1724,35.4927,0.7093,0.6698,0.8947,0.07139750161301212
403388525,24.657,22.7349,27.1331,1.1909,1.0919,1.1757,0.08490398027194407
403388527,21.0251,19.2832,22.2041,0.6277,0.5658,0.5837,0.09447856694680049
403388530,18.6495,17.6631,24.842,0.3094,0.2911,0.3861,0.09447856694680049
403388531,15.7721,14.1872,17.4883,0.7958,0.7114,0.7214,0.09447856694680049
403388732,17.164,15.9723,22.9854,0.3408,0.3178,0.4237,0.09447856694680049
403388737,30.3094,27.1845,29.659,0.5641,0.4918,0.5003,0.09172037375316221
403388738,13.83,13.2409,20.4745,0.5578,0.5346,0.7354,0.10926437976474195
403388739,16.4371,14.098,16.8938,0.5272,0.4495,0.4504,0.10739689511380088
403388740,17.0175,14.5794,17.5236,0.514,0.4329,0.4435,0.1038470904936626
403388741,17.4441,14.8324,17.832,0.5043,0.4255,0.4319,0.10299600257653854
403388742,23.6905,20.3149,24.2767,0.5758,0.4832,0.4941,0.08849111644335216
403388743,26.7031,23.0689,27.2645,0.6246,0.5335,0.5345,0.08055030487456037
403388745,8.9798,9.2975,15.9858,0.031,0.0423,0.0926,0.09040079679516942
403388746,10.0579,10.3914,17.8582,0.0513,0.0607,0.1073,0.08321729873508964
403388747,10.9121,11.4056,19.1881,0.0727,0.0799,0.1185,0.08055030487456037
