detection_id,B,G,R,nB,nG,nR,Compactness
429992745,24.769,27.2973,28.1696,0.2202,0.2365,0.2446,0.04947312713553582
429992747,29.5533,32.4075,33.457,0.2614,0.2713,0.2858,0.04424723137071616
429992804,57.9757,61.8295,71.3409,2.9088,3.1312,2.9677,0.029429277210775245
429992811,67.5426,71.6309,77.4691,2.0447,2.1985,2.0913,0.04174827570770436
429992815,41.3328,45.001,53.6263,0.4067,0.4644,0.5067,0.03914718970684156
429992820,63.7516,71.0254,81.6611,1.5719,1.7645,1.719,0.02559331624498807
429992825,17.919,20.5193,27.0141,0.4487,0.5327,0.5671,0.056098740702361524
429992832,3.2169,4.8364,11.165,0.0,0.0049,0.0281,0.044403578072467774
429992833,4.791,6.8767,13.3662,0.0,0.0,0.0267,0.04671448198421
429992834,7.7121,10.8977,18.1893,0.0,0.0,0.0331,0.037736506326688256
429992873,22.1097,25.3979,33.8988,0.4589,0.5535,0.6406,0.05192625725187585
429992876,31.8756,35.8972,44.6676,0.1786,0.2341,0.2951,0.05235896091135454
429992887,51.4933,57.2001,64.8761,0.334,0.4004,0.4461,0.049668666921834095
429992890,53.001,58.1893,64.6401,0.2786,0.34,0.3856,0.04851807655625124
429992891,28.4422,32.5042,37.2672,0.5711,0.6448,0.6498,0.05235896091135454
429992893,29.7711,33.7744,41.5438,0.1847,0.2604,0.3132,0.059274001684944774
429992894,10.4136,11.8382,16.7735,0.3324,0.3724,0.4112,0.07435458803139107
429992898,11.2932,13.585,18.264,0.1507,0.1621,0.1681,0.07059533429497317
429992899,13.3794,14.7149,20.1439,0.1995,0.2275,0.2696,0.08003728818317192
429992900,5.5954,6.6923,9.9504,0.0,0.0,0.0166,0.07479714303071543
429992902,8.2065,9.4289,12.5567,0.0034,0.0036,0.0178,0.08377203058083679
429992903,7.8282,8.8508,12.1154,0.0408,0.0443,0.0538,0.08377203058083679
429992904,7.2804,8.124,11.3071,0.1211,0.1281,0.129,0.08055030487456037
429992906,7.0731,7.8131,11.727,0.318,0.3497,0.3721,0.08266986501266944
429992907,8.2353,9.614,12.4948,0.2533,0.2877,0.2749,0.08975514439115811
429992908,7.6674,8.8594,12.0798,0.3647,0.4126,0.4125,0.08666044549832956
429992909,9.1989,10.6898,13.4163,0.5333,0.6164,0.5987,0.08726219508235135
429992910,4.3634,5.6798,10.3552,0.0,0.0,0.023,0.0541643755046309
429992911,6.2012,8.0464,13.941,0.0,0.0,0.03,0.041610039451085
429992912,12.7564,15.9252,20.7908,0.0,0.0,0.0282,0.04424723137071616
429992913,12.9863,16.1962,22.4877,0.0,0.0,0.0288,0.043331793643939145
429992928,13.1584,16.1232,24.1362,0.0,0.0,0.0276,0.04520218287170602
429992935,9.2347,11.6506,19.0606,0.0,0.0,0.0261,0.04778018079289879
429992936,5.3362,6.8067,11.6478,0.0,0.0,0.0179,0.06942531913488556
429992964,4.4661,5.3218,9.5294,0.0,0.0,0.0148,0.08377203058083679
429992998,5.353,6.2828,9.457,0.0,0.0,0.0144,0.08606693785815557
429992999,5.3468,6.2893,9.4605,0.0,0.0,0.0144,0.08606693785815557
