detection_id,B,G,R,nB,nG,nR,Compactness
427704933,13.9169,13.2234,14.9271,0.0132,0.0105,0.0191,0.10832258979485408
427704934,15.7077,14.7676,16.6713,0.0607,0.0554,0.0598,0.1021587506273488
427704958,15.681,15.7563,15.9745,0.232,0.234,0.1757,0.08726219508235135
427704959,18.3404,18.244,17.8754,0.1534,0.153,0.1308,0.08666044549832956
427704962,24.2362,24.3025,23.2301,0.1488,0.158,0.0405,0.08106994029334431
427704966,41.4289,42.042,40.5169,0.3777,0.4027,0.2686,0.05686023067241032
427704967,44.5295,45.2134,43.1493,0.4898,0.5002,0.3789,0.05660411406725943
427704968,47.1616,47.3846,45.7203,0.4806,0.4798,0.3807,0.05635029433027713
427704969,42.1861,42.203,42.7091,0.189,0.1852,0.1719,0.06129789587454133
427704970,41.8708,41.3689,43.1119,0.2476,0.2424,0.2321,0.06190178642991358
427704974,33.6234,34.1088,37.2028,0.2038,0.1974,0.1941,0.06719790044098876
427704975,27.2735,27.8009,34.5249,0.0733,0.0734,0.0935,0.07263552511680024
427704976,23.1552,23.8165,30.1757,0.0636,0.064,0.0792,0.07903061153879146
427704977,23.2895,24.2778,30.0208,0.0806,0.0808,0.0937,0.07756719641593564
427704987,15.3565,14.868,14.6568,0.0941,0.0918,0.0787,0.10832258979485408
427704989,14.9471,14.6393,14.6392,0.0789,0.0776,0.0693,0.10299600257653854
427704990,14.9695,14.6993,14.7109,0.0934,0.0932,0.0814,0.1021587506273488
427704991,15.0359,14.6873,14.7908,0.0787,0.0769,0.0695,0.1021587506273488
427704992,15.2799,14.9267,14.9846,0.0873,0.0839,0.0758,0.1021587506273488
427704994,15.4267,15.0255,15.3325,0.0784,0.0764,0.0727,0.1021587506273488
427704995,15.4564,15.0585,15.3341,0.147,0.1434,0.1263,0.1021587506273488
427704996,20.0361,19.4355,20.2083,0.1982,0.1887,0.1734,0.07953076456813789
427704997,20.4468,19.8282,20.4446,0.2324,0.2249,0.1991,0.08055030487456037
427704998,20.9664,20.3532,20.7253,0.2966,0.2869,0.2504,0.0815963233535219
427705002,23.0718,23.0151,22.6705,0.167,0.1655,0.1511,0.07391723900466864
427705003,24.1229,24.0295,23.9647,0.2461,0.2433,0.214,0.06981099120988524
427705005,17.2329,17.2133,16.8911,0.0614,0.0676,0.0504,0.09519422993221213
427705006,17.506,17.482,17.0657,0.0557,0.0591,0.0353,0.09307904275505513
427705007,17.1513,17.1958,16.8752,0.0607,0.0682,0.0324,0.09172037375316221
427705008,17.3432,17.2673,17.2174,0.0507,0.056,0.0254,0.09105580497377844
427705010,17.796,17.4058,18.0269,0.1282,0.1136,0.0616,0.08975514439115811
427705011,25.7348,26.8138,30.4923,0.1859,0.2001,0.1991,0.05214171140333059
427705012,25.8133,26.7114,30.2963,0.1936,0.2038,0.2064,0.05511459098459456
427705013,25.3335,26.2945,29.7577,0.2432,0.2581,0.2594,0.0541643755046309
427705014,22.0457,22.7744,26.0468,0.193,0.1994,0.1651,0.05487392523583279
427705015,17.0108,16.88,19.4689,0.1503,0.1523,0.1,0.05301394572132677
427705016,17.1418,16.9287,17.7856,0.1661,0.1656,0.13,0.08003728818317192
427705017,16.7384,16.517,17.5738,0.1694,0.1681,0.1356,0.08055030487456037
427705018,8.455,9.0851,15.7096,0.1702,0.1779,0.2712,0.08212958633865283
427705019,16.1378,15.6906,16.875,0.1537,0.1471,0.1286,0.08548150399146558
427705020,28.4819,27.707,27.3149,0.1598,0.1459,0.1475,0.08321729873508964
427705021,16.0727,15.6584,16.7128,0.1473,0.1436,0.1182,0.08548150399146558
427705022,27.0341,26.4666,26.2074,0.2052,0.1981,0.1908,0.08787235948346774
427705023,14.0416,13.7221,15.0448,0.1508,0.1502,0.1264,0.09040079679516942
427705024,23.4176,22.8643,22.5555,0.1975,0.1879,0.1787,0.09740778003073822
427705025,12.8762,12.6392,13.7269,0.1245,0.1234,0.1065,0.09740778003073822
427705026,22.2645,21.8966,21.3007,0.1388,0.133,0.1309,0.09816868357674101
427705027,11.7744,11.4423,12.8311,0.098,0.0955,0.0845,0.09894156757337469
427705028,19.8022,19.4714,19.0734,0.088,0.0868,0.0934,0.1038470904936626
427705029,11.095,11.0361,11.7457,0.1129,0.1133,0.0959,0.10739689511380088
427705030,15.3923,15.0812,15.665,0.0745,0.0736,0.0752,0.10832258979485408
427705037,22.0859,22.0069,23.0061,0.7318,0.7334,0.5866,0.06220821570931003
427705042,17.6731,17.3106,18.7926,0.1045,0.1004,0.1013,0.07804894248762141
427705043,22.5305,22.5205,23.55,0.7137,0.7166,0.5689,0.06041383338136221
427705044,20.0797,20.491,28.5302,0.6821,0.7051,0.7754,0.051712576293637055
427705045,43.333,43.0254,44.4632,0.2728,0.2688,0.2715,0.04778018079289879
427705048,43.2971,43.3322,42.6498,0.2615,0.263,0.2623,0.06159836113714365
427705049,47.8619,48.8114,47.3701,0.9952,1.0168,0.8081,0.0595549083537657
427705051,70.2173,70.1349,68.79,0.361,0.3687,0.3665,0.04520218287170602
427705052,42.2036,43.4856,42.4013,0.7823,0.8096,0.659,0.05006442052760694
427705053,19.5568,19.6388,26.9043,0.4818,0.493,0.5561,0.05660411406725943
427705054,29.6421,29.1995,31.8204,0.2112,0.2075,0.2142,0.06719790044098876
427705055,32.6496,32.7026,32.4709,0.6132,0.6102,0.4852,0.0661369411690469
427705056,26.4285,26.4746,33.504,0.6651,0.6764,0.7563,0.06477336728387235
427705076,41.5441,41.8213,39.1957,0.5572,0.5663,0.4519,0.05635029433027713
427705078,29.2716,29.1124,30.4934,0.2212,0.2211,0.2125,0.07059533429497317
427705081,16.4983,16.7856,21.6318,0.3137,0.325,0.3517,0.07305779571290515
427705082,30.3434,30.1385,31.4155,0.258,0.258,0.243,0.07099415216660818
427705083,22.1245,22.3558,27.1623,0.2233,0.2264,0.2495,0.07099415216660818
427705084,33.2556,33.0433,33.7957,0.2284,0.2266,0.2215,0.06942531913488556
427705085,29.8794,30.4043,34.4839,0.5004,0.5171,0.5276,0.06792432131461863
427705086,37.4858,37.0757,37.3023,0.2737,0.2694,0.258,0.06829345312829196
427705087,40.3292,42.6179,48.863,0.6688,0.7145,0.7482,0.06251769380643689
427705088,62.729,62.3247,59.1161,0.4325,0.4316,0.4105,0.0607056738604871
427705089,49.2111,52.7652,61.3543,1.4684,1.5747,1.6503,0.05511459098459456
427705091,62.6468,65.6606,73.4307,3.0661,3.2213,3.2902,0.05129044711249124
427705092,79.1571,78.0709,73.6121,0.4041,0.3972,0.3943,0.05192625725187585
427705102,19.1475,20.6767,27.5251,0.0969,0.0995,0.13,0.07099415216660818
427705103,28.5486,27.8193,29.4117,0.191,0.1857,0.1884,0.07059533429497317
427705104,17.4702,18.6881,24.9479,0.1534,0.1563,0.1853,0.07263552511680024
427705105,26.3734,25.4693,26.5903,0.1929,0.1856,0.1863,0.08321729873508964
427705106,30.0007,28.7581,31.0421,0.2253,0.2138,0.2212,0.07391723900466864
427705107,30.615,29.6448,29.9675,0.2199,0.2089,0.2075,0.07305779571290515
427705109,23.6234,22.5648,24.9065,0.2125,0.2035,0.2107,0.08433420746488306
427705110,21.4917,20.4838,21.3215,0.1422,0.134,0.1334,0.09172037375316221
427705112,18.6567,17.7867,20.464,0.1643,0.1517,0.1528,0.0937735836449438
427705113,22.8696,21.77,22.5976,0.1793,0.1701,0.1618,0.08975514439115811
427705115,17.6053,16.9981,19.2976,0.14,0.1316,0.1346,0.09447856694680049
427705116,18.5251,17.5702,18.7871,0.1759,0.1649,0.1539,0.09447856694680049
427705118,16.0098,15.6128,17.6659,0.1274,0.1203,0.1207,0.09740778003073822
427705119,18.3924,17.3834,18.5401,0.1652,0.1574,0.145,0.09519422993221213
427705120,13.5047,12.3863,15.5066,0.2312,0.2133,0.204,0.07903061153879146
427705121,33.8215,32.609,33.6674,0.2245,0.2115,0.2127,0.07953076456813789
427705124,17.0331,16.3777,18.1747,0.1213,0.116,0.1137,0.10133499999681532
427705125,17.6406,16.6809,17.4704,0.1272,0.1202,0.1149,0.10299600257653854
427705126,10.5175,9.9359,12.3441,0.3971,0.3787,0.3433,0.0937735836449438
427705130,16.1354,15.4406,17.0076,0.0917,0.0837,0.0862,0.1021587506273488
427705138,25.5815,24.2065,26.1354,0.2087,0.1913,0.181,0.07853670966610296
427705139,13.1412,13.0153,14.6621,0.8282,0.8038,0.69,0.08433420746488306
427705140,14.2272,13.4909,14.9556,0.1455,0.1329,0.1219,0.11634512054520679
427705195,11.0717,11.0227,14.0918,0.122,0.12,0.1085,0.0589957324588329
427705199,16.067,16.0002,16.2232,0.1786,0.1795,0.1409,0.09972671719555438
427705201,16.7543,16.7774,16.8681,0.2235,0.2266,0.1672,0.09665858053229819
427705202,17.2904,17.3023,17.3049,0.2267,0.23,0.1661,0.09239471398211957
427705226,5.3213,5.4107,13.0799,0.0363,0.0406,0.0729,0.057118675464029094
427705228,6.1232,6.3799,13.1649,0.0222,0.024,0.0482,0.07139750161301212
427705230,4.9829,5.0605,11.984,0.0,0.0,0.0189,0.06579069379816853
427705231,4.5665,4.6608,11.5315,0.0,0.0,0.0192,0.06477336728387235
427705232,4.3787,4.4613,10.4214,0.0,0.0,0.0166,0.07479714303071543
427705234,3.8205,3.8961,9.1668,0.0,0.0,0.0145,0.08548150399146558
427705235,2.6556,3.1828,7.535,0.0,0.0,0.0119,0.1038470904936626
427705236,2.3327,2.9493,7.3491,0.0,0.0,0.0124,0.09972671719555438
427705237,2.295,2.9937,7.0099,0.0,0.0,0.012,0.10299600257653854
427705238,11.5821,11.2258,12.5308,0.6735,0.6482,0.5349,0.08548150399146558
427705239,2.2831,2.9346,7.0767,0.0,0.0,0.0114,0.10832258979485408
427705240,8.9753,8.4779,9.9772,0.7155,0.6743,0.5819,0.10832258979485408
427705241,3.0674,3.7569,8.138,0.0,0.0,0.0118,0.10471236017896915
427705242,9.9329,9.4394,11.0261,0.9784,0.9352,0.7713,0.09972671719555438
427705243,10.8152,10.4278,11.6137,0.4939,0.4817,0.3851,0.09972671719555438
427705244,11.2827,10.8807,12.8646,0.2014,0.1949,0.1769,0.09972671719555438
427705245,12.1328,11.7695,15.2282,0.1005,0.097,0.1118,0.09592081711552267
427705246,12.1644,12.0485,15.6039,0.0819,0.081,0.1005,0.09972671719555438
427705247,11.1886,11.3922,15.3254,0.0266,0.0307,0.0721,0.10052442674077641
427705248,12.4451,12.998,16.6251,0.0201,0.0201,0.0306,0.11219063124580061
427705250,13.8651,14.5229,18.345,0.2137,0.2264,0.2462,0.1038470904936626
427705252,13.4934,13.9035,17.7983,0.0476,0.0474,0.0604,0.09972671719555438
427705254,14.3468,14.6694,19.9004,0.3272,0.333,0.3841,0.10559216905199818
427705255,13.8957,14.0811,19.2277,0.2398,0.2386,0.278,0.1021587506273488
427705256,13.3032,13.5464,18.4092,0.0441,0.0456,0.0623,0.09740778003073822
427705257,12.5086,12.8875,16.6373,0.0757,0.0755,0.0885,0.10739689511380088
427705258,13.6406,13.9472,17.5368,0.0574,0.0553,0.0701,0.10926437976474195
427705259,14.4661,14.7455,18.5128,0.1243,0.1237,0.1411,0.10648688664370398
427705260,13.8304,13.767,18.4172,0.3334,0.3298,0.3472,0.07569824722699373
427705261,23.3052,23.5283,31.4844,0.6357,0.6344,0.6797,0.05487392523583279
427705262,21.2093,21.6399,30.4034,0.4538,0.4539,0.5017,0.05257802831020273
427705266,17.0872,17.0457,20.5823,0.2596,0.2561,0.2486,0.08003728818317192
427705268,20.9678,20.7006,21.3291,0.5291,0.5193,0.4441,0.07348500463068167
427705269,17.3877,16.8737,17.7249,0.5752,0.5549,0.4804,0.09105580497377844
427705270,9.2724,8.9851,11.7288,0.276,0.265,0.2532,0.09172037375316221
427705275,16.1056,15.8298,17.674,0.2931,0.2921,0.2688,0.08433420746488306
427705276,18.2238,17.9274,19.6552,0.1724,0.1703,0.154,0.08055030487456037
427705278,14.9257,14.6558,16.0615,0.1541,0.1556,0.132,0.09105580497377844
427705279,13.3709,13.2166,14.4368,0.1295,0.1311,0.1149,0.10052442674077641
427705280,12.1398,11.9266,13.1576,0.1022,0.1027,0.09,0.10471236017896915
427705282,11.6188,11.4451,12.2531,0.0892,0.0884,0.0738,0.10832258979485408
427705283,11.2525,11.159,11.7881,0.0877,0.0873,0.0722,0.1132011898318306
427705284,10.7917,10.6241,11.39,0.0799,0.0799,0.0651,0.11743226366213184
427705285,10.0532,10.0944,9.5622,0.1661,0.1704,0.113,0.11966865507387159
427705286,9.9817,9.9689,9.5531,0.169,0.1719,0.114,0.11853991327830876
427705287,10.09,10.0493,9.7489,0.1838,0.1856,0.129,0.11966865507387159
427705288,10.3971,10.4368,10.095,0.2086,0.2116,0.1403,0.11527791973048969
427705289,10.4391,10.1776,10.233,0.3618,0.3548,0.2383,0.10926437976474195
427705290,9.7371,9.8826,9.81,1.0926,1.1045,0.7618,0.1021587506273488
427705291,8.9458,8.908,9.4672,0.9198,0.9205,0.6617,0.10648688664370398
427705292,8.0347,7.9679,9.0499,0.5566,0.5529,0.4167,0.1038470904936626
427705300,47.7376,46.6482,44.0559,0.2152,0.2123,0.1938,0.05872006370526449
427705301,39.3528,38.2352,37.2772,0.4073,0.395,0.3407,0.06378702284985524
427705307,26.1499,25.3499,26.2209,0.4583,0.443,0.3964,0.07804894248762141
427705308,25.0059,24.3125,25.4754,0.5345,0.5126,0.4537,0.07953076456813789
427705309,24.1953,23.6563,24.777,0.4938,0.4776,0.422,0.08212958633865283
427705311,25.2734,24.9018,26.4623,0.5236,0.5117,0.4597,0.07804894248762141
427705320,16.0832,15.662,15.5572,0.7866,0.7716,0.6329,0.11219063124580061
427705321,16.4066,16.0186,15.836,0.74,0.7272,0.5908,0.10926437976474195
427705322,15.8647,15.3878,15.4885,0.6335,0.6197,0.5066,0.10926437976474195
427705327,20.8061,20.0217,20.5205,0.1596,0.1486,0.1328,0.08726219508235135
427705328,23.6488,22.6278,23.3047,0.1451,0.1293,0.1127,0.07853670966610296
427705330,27.0513,26.8621,27.788,0.1114,0.1151,0.0878,0.07139750161301212
427705331,27.0714,26.8719,27.9806,0.1651,0.1616,0.1346,0.06981099120988524
427705334,29.3237,28.9255,30.5957,0.2512,0.2416,0.2259,0.06648685222060789
427705335,29.0618,28.6693,30.2789,0.2376,0.2279,0.2111,0.06829345312829196
427705336,29.2084,28.9185,30.3498,0.3347,0.3242,0.2948,0.0675591583065621
427705337,28.9932,28.7723,30.3164,0.1632,0.1571,0.1466,0.06684048540909966
427705338,32.1157,31.8221,33.1509,0.1172,0.1123,0.1081,0.06510896233025722
427705340,40.2223,39.2108,40.3938,0.2597,0.2474,0.207,0.06251769380643689
427705345,40.7382,39.9547,43.4128,0.6196,0.595,0.5728,0.051712576293637055
427705346,38.4926,38.1547,41.5625,0.6735,0.6649,0.6194,0.05257802831020273
427705347,36.7896,36.7414,40.0369,0.6869,0.6801,0.6113,0.05302170881884524
427705349,29.642,30.4228,34.369,0.7259,0.731,0.6581,0.059274001684944774
427705351,21.9968,22.6967,28.304,0.9391,0.9479,0.8646,0.05764267775279962
427705352,17.5547,18.2302,24.9044,0.7944,0.8053,0.7637,0.05439884443645084
427705354,6.8965,7.4753,12.6895,0.4006,0.4451,0.5824,0.08787235948346774
427705358,11.5597,10.6992,13.1193,0.0332,0.01,0.0148,0.10739689511380088
427705361,12.0846,11.3003,13.6944,0.0542,0.0217,0.018,0.09816868357674101
427705362,12.2949,11.5751,13.6447,0.0726,0.0413,0.0293,0.10832258979485408
427705363,13.0567,12.2683,14.4108,0.0751,0.043,0.0345,0.10648688664370398
427705367,11.3317,10.5641,12.4757,0.0822,0.0713,0.0575,0.11219063124580061
427705368,11.4302,10.5989,12.5023,0.0814,0.0695,0.0564,0.11423011752805243
427705369,10.6196,9.8506,13.1038,0.6682,0.6204,0.6111,0.08666044549832956
427705370,10.6255,9.9506,13.3541,0.6302,0.587,0.5772,0.08433420746488306
427705372,9.7778,9.4133,12.4789,0.4748,0.4624,0.4372,0.08975514439115811
427705373,9.0969,8.8756,11.4972,0.3756,0.37,0.3435,0.09894156757337469
427705377,12.6253,12.5991,12.6139,0.1175,0.1174,0.0726,0.11119795425652645
427705379,13.5847,13.55,13.2094,0.0907,0.0904,0.0765,0.11853991327830876
427705380,14.384,14.4031,13.8743,0.0365,0.0377,0.035,0.11527791973048969
427705381,14.3081,14.2435,14.2474,0.0439,0.0456,0.0397,0.10832258979485408
427705382,14.5246,14.4001,14.4821,0.056,0.0581,0.0487,0.10471236017896915
427705383,14.4816,14.3221,14.4331,0.034,0.0345,0.0311,0.10471236017896915
427705384,12.2266,12.1549,11.9448,0.0689,0.062,0.0334,0.11423011752805243
427705387,12.3134,12.0872,12.2378,0.0726,0.0711,0.0138,0.1038470904936626
427705394,16.3055,15.3274,20.0886,0.1417,0.1334,0.1291,0.06829345312829196
427705395,17.4799,16.7057,22.6599,0.1272,0.12,0.1284,0.058176383157876974
427705396,16.9742,18.8513,27.5302,0.4532,0.4985,0.6169,0.06100034753906654
427705401,17.8616,17.4957,24.6159,0.2054,0.205,0.2453,0.05635029433027713
427705403,12.4251,12.301,18.989,0.2214,0.2284,0.2896,0.0661369411690469
427705405,10.078,10.6731,15.6441,0.1084,0.1121,0.1426,0.08266986501266944
427705408,12.9977,13.4701,21.3441,0.2331,0.2443,0.3235,0.05487392523583279
427705409,15.6176,16.1768,24.6734,0.3652,0.3859,0.4659,0.05129044711249124
427705410,17.6393,17.785,25.5528,0.532,0.5447,0.6426,0.06159836113714365
427705411,20.002,20.7301,27.4045,0.6923,0.7204,0.7985,0.06684048540909966
427705412,19.5017,19.9281,26.1525,0.6422,0.6598,0.735,0.06866661880204716
427705413,20.4163,20.5561,27.236,0.6959,0.6999,0.7728,0.0675591583065621
427705414,26.8297,27.1133,36.2363,0.6842,0.6891,0.7848,0.04536536335524013
427705415,18.3115,17.8799,22.8418,0.7891,0.7495,0.7478,0.06579069379816853
427705416,19.2053,18.7969,24.5582,0.7038,0.6638,0.6609,0.05463535211139932
427705417,11.8039,11.3325,14.1877,0.7707,0.7283,0.7092,0.08975514439115811
427705418,11.6786,10.7404,14.1161,0.4123,0.3764,0.3717,0.08490398027194407
427705419,10.3636,9.3707,12.7374,0.4742,0.4248,0.4263,0.08911864874469005
427705421,10.517,10.5723,15.5827,0.1178,0.1128,0.1593,0.09519422993221213
427705422,9.372,9.4878,14.0232,0.1063,0.1066,0.1464,0.1021587506273488
427705423,8.9281,9.2001,13.565,0.1047,0.1069,0.1485,0.10926437976474195
427705424,10.3877,10.6461,15.9366,0.0928,0.0972,0.127,0.07263552511680024
427705425,12.3001,12.6722,19.0942,0.116,0.1202,0.1599,0.06411244968272661
427705426,11.8418,12.3001,18.5991,0.2413,0.2548,0.3181,0.07059533429497317
427705427,17.7917,17.2036,18.38,1.9261,1.8713,1.6687,0.10739689511380088
427705428,20.0548,19.8627,21.122,1.0927,1.0817,0.9668,0.09816868357674101
427705430,16.3964,16.154,17.7011,0.831,0.8162,0.7509,0.10559216905199818
427705434,3.9609,4.4901,9.6985,0.0,0.0,0.0175,0.07099415216660818
427705441,14.0676,14.1513,14.0549,0.4412,0.4499,0.3051,0.08377203058083679
427705442,15.2131,15.2643,15.2175,0.2678,0.2674,0.1941,0.08849111644335216
427705473,12.8092,15.3998,22.6484,0.1842,0.2053,0.2744,0.06866661880204716
427705474,13.4196,16.2184,22.9422,0.1446,0.1675,0.2213,0.07391723900466864
427705475,11.0559,12.4795,18.4896,0.0973,0.1172,0.1451,0.07903061153879146
427705477,10.9688,12.9082,18.8309,0.0562,0.1009,0.1256,0.08666044549832956
427705483,12.978,17.4841,26.3818,0.1394,0.193,0.2811,0.06684048540909966
427705484,16.3146,20.6954,30.633,0.2839,0.3397,0.4623,0.05983849013957345
427705485,9.9093,9.7656,17.4573,0.1403,0.1442,0.1942,0.047962542530693694
427705487,10.6988,15.347,25.4052,0.0717,0.1389,0.2098,0.048146301614186766
427705496,34.6637,33.9347,39.6677,0.9103,0.8709,0.8988,0.06719790044098876
427705497,30.3312,29.8546,34.5586,0.8244,0.8106,0.8394,0.07756719641593564
427705498,21.3393,21.4283,26.0347,2.4557,2.4672,2.6311,0.08975514439115811
427705500,23.8646,24.2947,28.803,2.1818,2.229,2.3423,0.08787235948346774
427705504,16.4289,16.5579,20.8802,0.6539,0.6563,0.7043,0.09894156757337469
427705513,23.4513,23.4269,22.9948,0.1934,0.1989,0.1642,0.0661369411690469
427705517,22.5054,22.3634,21.6276,0.4138,0.407,0.3061,0.06283026644890574
427705518,14.4582,14.5102,16.6233,0.2034,0.2016,0.1632,0.06829345312829196
427705519,9.021,9.1085,12.3884,0.0572,0.0572,0.0598,0.077091360650504
427705529,14.4894,14.382,15.8669,0.1625,0.1617,0.1362,0.06444121395927624
427705532,20.082,19.8532,20.4722,0.3394,0.3373,0.2648,0.0607056738604871
427705533,19.9753,19.6661,20.4135,0.3389,0.3355,0.2731,0.05844695914181379
427705534,20.0011,19.785,20.0565,0.2768,0.2771,0.2209,0.0589957324588329
427705541,27.232,26.6658,25.8677,1.3489,1.3165,1.0375,0.05844695914181379
427705542,40.6769,41.046,38.083,1.6592,1.7007,1.2302,0.06190178642991358
427705545,19.0792,18.8355,17.731,0.9322,0.91,0.6977,0.07479714303071543
427705546,29.2674,29.6116,25.8056,1.2692,1.3027,0.9058,0.07569824722699373
427705547,21.4032,20.8866,20.8777,0.4264,0.4204,0.307,0.07180546030797123
427705551,14.3847,14.035,13.9006,0.1211,0.1161,0.0742,0.10739689511380088
