detection_id,B,G,R,nB,nG,nR,Compactness
164029339,9.3203,8.6355,16.1282,0.2077,0.1901,0.2912,0.07479714303071543
164029410,9.3445,8.666,16.1744,0.2061,0.1889,0.2899,0.07479714303071543
164029478,10.3032,10.1008,18.6711,0.2152,0.2081,0.3342,0.07221810771057427
164029544,10.2927,10.0828,18.6409,0.2291,0.2218,0.3547,0.07221810771057427
164029681,21.3934,20.8875,21.0913,0.4194,0.4288,0.3405,0.0815963233535219
164029815,23.5597,22.9397,23.9308,0.2378,0.2337,0.2079,0.0589957324588329
164029884,24.4518,23.5265,24.7389,0.216,0.2012,0.1917,0.06346488289866778
164030022,14.4444,14.1345,15.2261,0.2627,0.2508,0.2149,0.08726219508235135
164030294,13.438,12.9139,15.1175,0.1436,0.142,0.1309,0.06159836113714365
164030431,22.0632,21.2357,22.9893,0.4394,0.4252,0.3522,0.04759920052280796
164030628,12.7912,11.4983,13.3695,0.2856,0.272,0.2209,0.06544805286939072
164031877,16.3318,16.1289,20.7123,0.3329,0.3303,0.329,0.05737948033237819
164032016,16.6381,16.5497,21.6392,0.3813,0.3834,0.3869,0.05439884443645084
164032157,18.1373,17.8445,23.1086,0.4635,0.4589,0.4581,0.05324636892277132
164033275,24.2274,24.0522,38.3381,0.3132,0.3129,0.5285,0.0589957324588329
164033563,37.6825,37.6155,59.1438,0.3757,0.3688,0.6671,0.036529836633637666
164033632,42.2236,41.6626,62.1805,0.5485,0.5383,0.8415,0.03695959196015872
164034603,41.5721,41.6804,55.7288,1.1451,1.1723,1.5475,0.04569528448132631
164034883,41.9903,41.8448,55.6178,2.0157,2.0272,2.5303,0.0589957324588329
164035794,15.419,15.1322,27.5093,0.2911,0.2872,0.464,0.05192625725187585
164035938,19.1947,18.1069,22.5511,0.447,0.4163,0.4613,0.07804894248762141
164036011,20.3161,19.2218,23.5832,0.3233,0.2998,0.3199,0.08212958633865283
164036082,25.329,24.6582,25.8585,0.4789,0.4678,0.4368,0.08106994029334431
164036154,25.0301,24.3479,25.6996,0.4944,0.4834,0.4564,0.07903061153879146
164036508,23.2667,22.3377,25.4377,0.4599,0.442,0.4129,0.06159836113714365
164036791,6.328,5.635,7.6817,0.0318,0.0301,0.0383,0.09740778003073822
164038353,15.5917,14.3226,16.833,0.62,0.5646,0.5514,0.09307904275505513
164038566,20.091,18.4316,22.3322,0.685,0.6146,0.6091,0.07221810771057427
164038641,22.0186,20.2803,24.343,0.6867,0.618,0.6251,0.07099415216660818
164038712,22.0662,20.3164,24.3881,0.6733,0.6047,0.6107,0.07139750161301212
164039645,31.6952,29.167,34.1374,1.2546,1.136,1.1095,0.056098740702361524
164039937,31.2944,28.7153,33.3591,1.0501,0.9479,0.9334,0.0607056738604871
164040161,35.3861,32.3144,37.5583,1.264,1.1337,1.1267,0.05584942297118333
164040233,35.1338,32.0639,37.3701,1.2818,1.1454,1.1509,0.05535737701133239
164040306,36.6305,33.9637,39.8377,1.217,1.1042,1.1362,0.0541643755046309
164043190,8.8414,8.3714,10.0677,0.2569,0.2425,0.2029,0.08911864874469005
164043264,8.163,7.7606,9.3297,0.2361,0.2243,0.1869,0.09665858053229819
164043338,7.4044,7.0299,8.5225,0.2431,0.2295,0.1987,0.1021587506273488
164043489,7.3693,6.9921,8.5518,0.2378,0.2246,0.1861,0.10299600257653854
164043642,8.7733,8.2054,10.158,0.2032,0.1887,0.1628,0.08726219508235135
164043941,9.2605,8.7467,11.2687,0.195,0.1826,0.1676,0.07804894248762141
164044015,16.0762,14.6992,14.3886,0.1511,0.1322,0.0855,0.07615699026400004
164044092,8.0695,7.6647,10.7986,0.2183,0.2066,0.1921,0.06940774073705513
164044169,14.5215,13.2409,13.4572,0.1189,0.1013,0.0621,0.06940774073705513
164044240,8.0774,7.6163,10.3684,0.2232,0.2078,0.1892,0.07522254866566874
164044317,13.7802,12.499,11.5838,0.113,0.0968,0.0511,0.09894156757337469
164044394,7.8531,7.4012,9.2736,0.2203,0.2045,0.1854,0.09894156757337469
164044468,17.1941,15.7847,14.2532,0.1684,0.1473,0.0853,0.08911864874469005
164044541,8.7501,8.2446,10.314,0.1911,0.176,0.1613,0.08911864874469005
164044613,17.6098,16.2377,14.435,0.1906,0.1721,0.1014,0.08975514439115811
164044689,8.2382,7.7166,9.7837,0.1631,0.1527,0.1409,0.09239471398211957
164044764,21.224,20.551,18.1425,0.1677,0.1572,0.1117,0.08849111644335216
164044840,8.029,7.5544,9.7443,0.1525,0.1423,0.1317,0.08975514439115811
164044916,20.8551,20.1839,17.7956,0.1662,0.1557,0.11,0.09040079679516942
164044991,7.3713,6.9513,9.2752,0.1539,0.1437,0.1331,0.08911864874469005
164045063,17.385,16.7217,15.3732,0.1827,0.1689,0.1176,0.08726219508235135
164045284,7.1539,6.8031,9.4977,0.1811,0.166,0.154,0.08055030487456037
164045510,7.2012,6.679,9.2392,0.1385,0.1321,0.1247,0.08055030487456037
164045587,16.3266,14.9959,15.1438,0.228,0.2056,0.1466,0.0815963233535219
164045737,12.4039,11.5078,11.9493,0.1317,0.1212,0.0732,0.08490398027194407
164045886,17.6445,16.5642,18.4548,0.1881,0.1737,0.1246,0.05635029433027713
164045959,6.7305,6.2427,10.6882,0.076,0.0717,0.0817,0.056098740702361524
164046033,17.981,16.7852,18.6734,0.2328,0.2156,0.1593,0.05737948033237819
