detection_id,B,G,R,nB,nG,nR,Compactness
427570511,6.6095,11.2883,7.1417,0.1207,0.2134,0.0963,0.11119795425652645
427570512,7.0887,11.357,7.3905,0.1019,0.1598,0.0675,0.1132011898318306
427570513,9.0565,14.3285,9.2247,0.1887,0.3309,0.1513,0.09972671719555438
427570514,7.8663,14.8747,9.7152,0.124,0.2748,0.1116,0.10832258979485408
427570515,7.9533,13.7527,9.4468,0.1106,0.2344,0.101,0.10926437976474195
427570537,12.3886,14.4332,9.1595,0.3112,0.3675,0.1199,0.07615699026400004
427570539,12.4363,14.8265,9.4023,0.3286,0.4248,0.1533,0.07804894248762141
427570569,11.0039,15.12,9.5345,0.1448,0.1918,0.0853,0.07615699026400004
427570570,8.9089,11.0167,7.6607,0.1493,0.169,0.0738,0.0815963233535219
427570571,10.0548,11.9756,6.2028,0.1505,0.1806,0.0429,0.077091360650504
427570572,9.3306,11.1143,6.1184,0.1635,0.1893,0.049,0.0815963233535219
427570573,9.513,12.7852,7.108,0.2242,0.3029,0.0779,0.07569824722699373
427570574,1.2249,4.1449,3.4108,0.0,0.0111,0.0117,0.10559216905199818
427570577,2.2253,5.2401,4.1592,0.0026,0.011,0.014,0.10559216905199818
427570578,1.3393,5.5434,4.234,0.0,0.0078,0.0119,0.1038470904936626
427570579,1.8542,6.2525,4.8414,0.0045,0.0136,0.0142,0.10133499999681532
427570580,2.6146,6.4719,4.9127,0.0088,0.0178,0.0161,0.10299600257653854
427570581,2.8729,7.7652,5.3355,0.0291,0.0645,0.0268,0.10559216905199818
427570584,2.6968,7.9883,5.8322,0.0627,0.1189,0.0525,0.10739689511380088
427570585,2.4605,8.2343,5.9345,0.0519,0.1109,0.0473,0.11022268844923072
427570586,5.1907,9.0372,5.1197,0.0961,0.1615,0.0654,0.11634512054520679
427570587,5.6474,8.4525,4.9879,0.081,0.112,0.0511,0.10299600257653854
427570589,6.9203,11.5002,6.5491,0.0775,0.1192,0.0486,0.07853670966610296
427570590,7.6938,10.8031,5.4423,0.0934,0.1116,0.0403,0.07903061153879146
427570592,11.8672,14.888,7.2765,0.1421,0.1741,0.0527,0.07804894248762141
427570594,13.3919,15.4627,8.2034,0.1674,0.2031,0.0624,0.06866661880204716
427570596,13.7455,17.9472,8.5343,0.2333,0.3205,0.0838,0.0675591583065621
427570597,14.8703,17.9365,8.584,0.1976,0.2591,0.0675,0.06544805286939072
427570598,17.943,19.1376,9.6987,0.3791,0.4589,0.1324,0.0607056738604871
427570599,16.0812,18.6238,9.2448,0.3292,0.4314,0.1153,0.06190178642991358
427570600,15.4805,22.9239,12.4068,0.2578,0.4246,0.1113,0.06100034753906654
427570601,16.4675,20.4992,11.6956,0.6689,0.8778,0.3067,0.0675591583065621
427570602,7.8994,9.4419,5.1788,0.1144,0.1356,0.0286,0.08266986501266944
427570603,21.771,26.2978,15.2379,0.3098,0.4284,0.159,0.07804894248762141
427570604,9.9968,14.2071,7.2025,0.1384,0.1751,0.0463,0.06981099120988524
427570605,13.4506,15.1706,8.3955,0.1221,0.1349,0.0467,0.06648685222060789
427570607,15.2658,18.5046,10.0771,0.1515,0.1737,0.0636,0.06378702284985524
427570610,15.4165,19.8727,11.3246,0.1606,0.2426,0.0903,0.059274001684944774
427570614,16.8627,19.7137,11.172,0.1872,0.2203,0.0712,0.06346488289866778
427570629,8.8909,34.9765,25.754,0.0781,0.1126,0.0783,0.051712576293637055
427570639,4.1305,19.3108,16.5169,0.2186,1.0108,0.6852,0.07903061153879146
427570641,7.2699,22.9261,17.8128,0.1695,0.884,0.5517,0.06942531913488556
427570644,8.0203,20.5628,14.6805,0.2421,0.6164,0.3238,0.07756719641593564
427570649,4.3269,10.7209,7.233,0.0439,0.0621,0.0299,0.10133499999681532
427570651,2.9875,8.4044,6.2062,0.0228,0.0366,0.0236,0.10559216905199818
427570655,5.3117,16.4897,11.6429,0.1665,0.4402,0.2548,0.09040079679516942
427570659,7.9911,13.3768,7.6446,0.0583,0.0784,0.0385,0.0815963233535219
427570660,8.8242,13.6851,7.9077,0.0899,0.1132,0.0542,0.07953076456813789
427570661,9.5935,15.2701,8.6986,0.0754,0.102,0.0462,0.07391723900466864
427570662,8.8791,13.6779,8.0367,0.0549,0.0689,0.0341,0.07615699026400004
427570663,6.907,11.0067,6.7822,0.0798,0.1082,0.0496,0.08787235948346774
427570664,7.4392,10.6601,6.3786,0.0541,0.0701,0.0361,0.09105580497377844
