detection_id,B,G,R,nB,nG,nR,Compactness
427690611,18.838,23.1039,31.8338,0.4334,0.5491,0.6323,0.04536536335524013
427690622,20.9447,24.0684,31.9633,0.2541,0.3241,0.4047,0.05487392523583279
427690628,46.4353,51.4926,61.5273,0.3529,0.4562,0.5091,0.04001988008125082
427690632,23.4349,23.5525,25.754,0.7078,0.7088,0.6411,0.06346488289866778
427690633,24.1925,26.6801,34.2537,0.2256,0.2673,0.2973,0.05046653131091824
427690634,19.122,21.1112,27.8882,0.1678,0.2109,0.246,0.05535737701133239
427690636,38.5459,38.3409,39.8996,1.3178,1.3173,1.1683,0.04759920052280796
427690695,25.2119,25.3443,26.3577,0.9963,1.0069,0.88,0.06510896233025722
427690696,10.4468,11.7977,16.6813,0.0734,0.0991,0.1308,0.07221810771057427
427690697,16.4257,16.5309,18.3075,0.5106,0.5147,0.4552,0.07569824722699373
427690705,35.8698,38.58,44.6013,0.4181,0.4916,0.5096,0.04259737366383495
427690718,15.5952,15.7781,17.3963,1.1199,1.1341,1.0115,0.08849111644335216
427690724,20.1892,20.5798,23.0994,0.7374,0.7611,0.6713,0.05560231145909046
427690727,15.2089,15.7128,20.1281,0.2792,0.2858,0.2855,0.06012478543760053
427690728,18.6976,18.956,19.8101,1.1469,1.1738,1.0272,0.09040079679516942
427690729,15.7377,16.4558,19.6843,0.244,0.2494,0.2478,0.08433420746488306
427690732,46.0362,46.3614,48.2863,2.5388,2.5769,2.2962,0.04471960971181389
427690734,23.1066,23.5731,25.1037,2.7014,2.7858,2.4607,0.07099415216660818
427690736,30.4752,31.1615,31.3602,1.7994,1.8642,1.6118,0.07099415216660818
427690737,22.0848,23.2035,27.3915,0.4495,0.4677,0.4664,0.06942531913488556
427690738,23.277,24.2874,28.2655,0.5792,0.5931,0.5784,0.07099415216660818
427690739,23.9441,24.8815,28.9794,0.7937,0.8118,0.7777,0.06648685222060789
427690740,17.7392,18.5614,23.288,0.2698,0.2862,0.3006,0.06544805286939072
427690746,18.4067,19.649,25.2477,0.1646,0.1956,0.2301,0.05872006370526449
427690748,39.2689,40.0146,44.0694,0.5129,0.5205,0.4937,0.04536536335524013
427690751,14.5483,16.5923,21.8689,0.302,0.3607,0.4129,0.06792432131461863
427690753,8.6582,10.0743,13.8687,0.1432,0.1723,0.1917,0.08787235948346774
427690755,12.3836,13.4237,16.4749,0.0497,0.0659,0.0686,0.08055030487456037
427690756,5.3921,7.1447,11.8908,0.1032,0.1273,0.1524,0.07903061153879146
427690757,10.2803,14.0669,20.3193,0.2715,0.3408,0.391,0.07099415216660818
427690758,14.4391,18.8299,26.3465,0.3245,0.4077,0.4702,0.05872006370526449
427690759,13.6462,17.9699,25.6135,0.3365,0.4208,0.4897,0.05737948033237819
427690762,25.2877,30.5543,39.5868,0.3362,0.423,0.5021,0.04688878485347726
427690766,21.0362,25.1819,33.0789,0.2892,0.3573,0.404,0.049086630312145024
427690767,20.2154,22.9218,29.117,0.1889,0.267,0.314,0.06129789587454133
427690768,15.0797,17.0232,21.5932,0.1984,0.2433,0.2724,0.07263552511680024
427690769,13.5086,16.6321,23.5509,0.2501,0.325,0.3956,0.06544805286939072
427690770,27.0279,29.8806,36.9882,0.3123,0.3908,0.4226,0.04424723137071616
427690773,16.3164,19.5373,25.8874,0.226,0.3004,0.3603,0.06544805286939072
427690774,12.9267,15.1031,19.9812,0.2132,0.2776,0.3334,0.08548150399146558
427690776,11.8285,13.8309,18.8532,0.2218,0.2817,0.3447,0.08212958633865283
427690777,13.1957,15.5954,20.858,0.2145,0.2735,0.334,0.08003728818317192
427690786,12.9948,15.547,21.2434,0.2836,0.3794,0.4739,0.0815963233535219
427690789,14.204,17.3645,24.5115,0.2799,0.3815,0.472,0.06283026644890574
427690791,9.9839,11.735,16.759,0.1961,0.2601,0.3243,0.07756719641593564
427690793,15.1517,18.2777,25.5175,0.2567,0.3305,0.409,0.05872006370526449
427690852,19.2874,19.2646,21.3486,0.564,0.5644,0.5166,0.07435458803139107
427690859,17.936,18.2559,21.2131,0.5754,0.5867,0.5335,0.06251769380643689
427690876,44.4815,44.5344,50.4663,0.6118,0.6044,0.605,0.04133629519476816
427690877,38.3037,37.4838,40.5296,0.5706,0.5573,0.5432,0.05463535211139932
427690878,24.854,24.0875,26.4306,0.3748,0.3647,0.3537,0.06579069379816853
427690879,19.9153,19.255,20.9203,0.2334,0.2271,0.2193,0.07804894248762141
427690880,18.3517,17.7244,19.4922,0.309,0.2996,0.2821,0.08003728818317192
427690882,16.7804,16.1407,17.3996,0.2206,0.2133,0.2037,0.08911864874469005
427690890,16.4204,15.8225,18.0069,0.1721,0.1658,0.1654,0.07756719641593564
427690896,19.9994,19.4302,20.9112,0.5109,0.5002,0.4448,0.08321729873508964
427690953,11.0273,13.0686,19.0628,0.2844,0.3535,0.4167,0.06829345312829196
427690954,7.5545,9.584,14.6849,0.2396,0.2994,0.3592,0.08787235948346774
427690955,23.4578,23.6993,23.7347,0.6006,0.6043,0.5186,0.0815963233535219
427690965,50.7035,51.3844,52.6321,1.5993,1.6037,1.4975,0.0502646717369248
427690977,33.8101,34.1587,35.9421,1.1435,1.1496,1.0707,0.0595549083537657
427690978,15.8779,15.1471,17.1211,0.2323,0.2205,0.2181,0.0937735836449438
427690987,24.0161,24.5828,28.575,1.8597,1.9116,1.9433,0.06866661880204716
427690991,12.0987,15.2931,21.3828,0.2891,0.3595,0.4157,0.07221810771057427
427690993,25.3283,26.5005,28.4803,0.4964,0.5209,0.4797,0.07435458803139107
427690998,14.8349,17.0396,21.0881,0.2749,0.351,0.4058,0.08212958633865283
427691003,27.4835,25.8961,27.2224,0.6969,0.6625,0.5897,0.07305779571290515
427691004,27.7521,26.3233,26.5311,0.5853,0.5587,0.4947,0.07615699026400004
427691009,26.5676,25.3289,25.3614,0.9076,0.8577,0.7534,0.08106994029334431
427691011,25.2642,24.0075,24.245,0.8933,0.8484,0.7351,0.08212958633865283
427691012,11.9902,13.8194,18.2772,0.1847,0.2301,0.2724,0.08606693785815557
427691013,22.2857,21.0668,21.9164,0.9354,0.881,0.771,0.08606693785815557
427691015,18.8698,18.0472,18.1584,1.1481,1.0927,0.9284,0.10133499999681532
427691021,24.327,24.5213,25.1613,1.0715,1.0842,0.8859,0.06251769380643689
427691051,42.4108,43.1834,44.8365,1.1353,1.1499,1.013,0.04636973518878762
427691070,49.8696,49.8206,52.7347,1.3482,1.3409,1.1845,0.037288603279215585
427691096,12.2317,11.9039,15.2452,0.2888,0.2825,0.2528,0.058176383157876974
427691097,11.6361,11.4121,14.2268,0.1742,0.1728,0.1603,0.06314598028335774
427691098,15.5981,15.0087,15.7558,0.09,0.0851,0.0851,0.09105580497377844
427691099,28.2148,27.7761,23.8542,0.1165,0.1179,0.1283,0.08548150399146558
427691100,11.0577,11.7913,13.9699,0.0947,0.1075,0.095,0.08975514439115811
427691102,23.3721,21.9188,19.5636,0.1338,0.12,0.114,0.09172037375316221
427691104,25.7753,24.9174,25.5086,0.2619,0.2549,0.232,0.0675591583065621
427691105,27.0702,26.3115,26.6419,0.2138,0.2094,0.1907,0.06719790044098876
427691106,22.4444,21.0466,20.0566,0.1683,0.1552,0.1352,0.06942531913488556
427691107,27.4126,26.6827,26.7485,0.4085,0.3977,0.3508,0.06904388481989716
427691111,22.4825,22.3226,21.9713,0.1027,0.0998,0.1106,0.07180546030797123
427691112,22.116,24.9414,28.8973,0.1035,0.1264,0.1372,0.06378702284985524
427691115,29.0401,28.5609,28.389,0.3824,0.3752,0.3287,0.06444121395927624
427691119,23.963,23.5831,24.7945,0.237,0.2292,0.2098,0.06346488289866778
427691120,21.8135,21.4386,22.8843,0.2482,0.2418,0.2213,0.06444121395927624
427691121,19.685,19.1259,17.4802,0.1008,0.0918,0.0977,0.08726219508235135
427691125,20.0502,20.0368,20.6508,0.0792,0.0792,0.1005,0.05844695914181379
427691130,31.4343,30.757,27.6932,0.1259,0.1253,0.1433,0.06684048540909966
427691131,28.7772,28.1296,25.4925,0.1149,0.1143,0.1322,0.06904388481989716
427691132,29.1561,28.6809,26.1217,0.1168,0.1176,0.1345,0.06684048540909966
427691134,8.9022,10.6953,15.9373,0.2983,0.3789,0.4311,0.06719790044098876
427691135,17.2095,17.4587,19.0008,0.0924,0.0973,0.0924,0.08666044549832956
427691136,13.1281,15.254,20.217,0.3275,0.4211,0.4757,0.07391723900466864
427691137,34.8993,33.5598,33.9236,0.3348,0.321,0.3,0.06510896233025722
427691139,15.3761,14.5588,14.873,0.3352,0.3195,0.2727,0.10739689511380088
427691144,26.4119,26.0579,24.3875,0.1065,0.1047,0.1237,0.06283026644890574
427691145,19.7328,18.8226,19.3337,0.7513,0.7178,0.5839,0.07903061153879146
427691146,23.8564,23.7428,21.4936,0.097,0.0953,0.1097,0.07903061153879146
