detection_id,B,G,R,nB,nG,nR,Compactness
429774343,2.6891,4.401,9.2556,0.0,0.0,0.0168,0.07391723900466864
429774344,2.7515,4.9228,9.119,0.0,0.0,0.0137,0.09040079679516942
429774345,3.0125,5.2895,10.1349,0.0,0.0,0.0166,0.07479714303071543
429774346,3.4161,6.1557,10.8772,0.0,0.0,0.0164,0.07569824722699373
429774347,3.738,6.677,11.1398,0.0,0.0,0.0158,0.07853670966610296
429774348,3.6432,6.4897,10.8069,0.0,0.0,0.0157,0.07903061153879146
429774349,3.6047,6.2881,10.1653,0.0,0.0,0.0151,0.08212958633865283
429774351,3.6684,6.138,10.5633,0.0,0.0,0.0166,0.07479714303071543
429774352,3.1793,5.2903,9.9288,0.0,0.0,0.0179,0.06942531913488556
429774357,2.1755,3.9818,6.2389,0.0,0.0007,0.0154,0.08055030487456037
429774358,2.6442,4.5332,6.7582,0.0,0.0002,0.0157,0.07903061153879146
429774359,2.8541,5.0757,7.1705,0.0,0.0004,0.0158,0.07853670966610296
429774360,3.5362,5.9036,8.0412,0.0,0.0,0.0163,0.07615699026400004
429774361,3.7992,6.255,8.4071,0.0,0.0,0.0172,0.07221810771057427
429774371,10.4557,14.9713,17.6029,0.0,0.0,0.02,0.06220821570931003
429774372,10.5233,15.0764,17.9487,0.0,0.0,0.0199,0.06251769380643689
429774378,10.7787,14.7517,17.6133,0.0103,0.0115,0.0283,0.06378702284985524
429774379,11.1011,15.0282,18.0014,0.0219,0.0252,0.0396,0.06283026644890574
429774380,11.0459,14.7763,17.19,0.0322,0.0394,0.0457,0.06378702284985524
429774497,9.0698,11.8308,14.9529,0.2199,0.2801,0.2745,0.08490398027194407
429774499,8.2378,11.0844,14.0462,0.5295,0.7347,0.712,0.08666044549832956
429774500,7.9387,10.832,13.6124,0.517,0.7251,0.6958,0.08849111644335216
429774501,7.8309,10.8322,13.4198,0.4725,0.6562,0.6446,0.09172037375316221
429774502,6.8007,9.17,12.2157,0.211,0.2748,0.2726,0.0937735836449438
429774504,6.054,8.2198,11.3978,0.128,0.1651,0.1693,0.10052442674077641
429774505,5.3748,7.2332,10.2033,0.0753,0.0982,0.1041,0.10559216905199818
429774512,15.7727,25.9305,32.7166,0.7288,1.1948,1.2579,0.05686023067241032
429774518,2.6156,4.9759,7.3475,0.0,0.0002,0.0177,0.07020097205976435
429774952,11.5664,18.3151,14.9066,0.0963,0.1248,0.0698,0.06829345312829196
429774954,15.279,5.9228,7.1899,0.011,0.0141,0.0262,0.06346488289866778
429774991,16.492,5.3196,6.6461,0.0001,0.0,0.0192,0.06477336728387235
429775283,4.5424,7.3758,10.9508,0.039,0.0429,0.0279,0.08433420746488306
429775291,14.4298,8.8674,9.4903,0.0,0.0001,0.0157,0.07903061153879146
429775292,6.8373,13.5133,12.9757,0.0279,0.0431,0.046,0.08055030487456037
429775393,14.1981,10.0868,11.4898,0.0269,0.0509,0.0353,0.08212958633865283
429775411,8.2429,10.5451,11.36,0.6246,0.8118,0.6035,0.09040079679516942
429775420,8.4092,10.1389,11.211,0.4741,0.5833,0.4386,0.08726219508235135
429775422,7.9348,9.5526,10.9608,0.4006,0.4935,0.3848,0.08726219508235135
429775434,9.594,11.9602,13.4354,0.7762,0.9856,0.7715,0.07662132709270902
429775438,8.6285,10.8541,12.385,0.6058,0.7683,0.6221,0.07756719641593564
429775439,8.8573,11.2437,12.5949,0.4294,0.5412,0.4473,0.07615699026400004
429775442,9.328,11.7434,12.539,0.3875,0.4817,0.4072,0.07569824722699373
429775547,9.6607,11.8765,12.6521,0.1334,0.1625,0.1421,0.07391723900466864
429775548,9.6686,11.7652,12.5434,0.1408,0.1688,0.1528,0.07435458803139107
429775551,9.3515,11.6655,11.958,0.0573,0.0702,0.0685,0.0752449975094086
429775552,9.043,11.2142,11.7197,0.0558,0.0674,0.0686,0.07569824722699373
429775553,8.5374,10.6193,11.4389,0.0434,0.0542,0.0561,0.077091360650504
429775554,7.1539,8.9443,9.8224,0.047,0.0591,0.0572,0.08377203058083679
429775555,7.2821,9.1269,9.9647,0.0576,0.0727,0.067,0.08321729873508964
429775556,6.0129,7.5045,8.5275,0.051,0.0637,0.0599,0.09239471398211957
429775557,6.6853,8.4594,9.7096,0.5066,0.6552,0.524,0.10559216905199818
429775558,6.6387,8.4282,9.7964,0.648,0.8414,0.6934,0.10926437976474195
429775559,6.3827,8.1529,10.0861,0.6171,0.8119,0.6685,0.0937735836449438
429775560,7.1736,8.9584,10.4702,0.5506,0.7058,0.588,0.10133499999681532
429775561,7.0361,8.8117,10.1934,0.6009,0.773,0.6465,0.10739689511380088
429775562,6.8701,8.502,9.8211,0.4408,0.5671,0.4656,0.11022268844923072
