detection_id,B,G,R,nB,nG,nR,Compactness
430715850,13.9805,15.958,19.1188,0.1561,0.1888,0.1886,0.07479714303071543
430715851,26.5751,29.0406,23.3976,0.2084,0.2544,0.1918,0.06942531913488556
430715861,14.8115,15.6923,14.3297,0.0598,0.068,0.0649,0.07305779571290515
430715862,17.2563,19.1498,18.8753,0.1965,0.2291,0.2038,0.06866661880204716
430715864,22.0535,24.8125,31.8358,0.4235,0.4807,0.5442,0.06129789587454133
430715865,27.5785,29.2279,24.8672,0.1465,0.1927,0.1305,0.05214171140333059
430715867,27.5235,28.9999,30.5767,0.7802,0.8226,0.8149,0.07615699026400004
430715868,22.7011,26.1257,27.7429,0.2428,0.2907,0.2758,0.07662132709270902
430715869,33.7475,35.7902,35.166,1.1123,1.1715,1.1635,0.07180546030797123
430715873,33.3818,34.6848,32.2957,1.0855,1.1489,1.0116,0.06444121395927624
430715879,43.1603,45.8863,39.8685,0.3264,0.3668,0.3486,0.04520218287170602
430715881,42.5542,46.1545,41.0638,0.3439,0.3991,0.2993,0.04603003942056844
430715882,56.966,60.6298,56.2109,1.382,1.4834,1.3509,0.049086630312145024
430715886,55.647,60.5391,54.6961,0.5039,0.6067,0.5979,0.04409198179755562
430715899,41.1149,42.234,46.0366,1.3817,1.4528,1.4213,0.06477336728387235
430715900,33.0741,35.4652,34.5379,0.309,0.3507,0.3603,0.06544805286939072
430715901,44.4644,47.6889,52.1005,1.081,1.1886,1.1745,0.06190178642991358
430715903,46.4486,49.3625,49.8348,1.1314,1.231,1.0625,0.056098740702361524
430715904,45.3452,48.7625,51.1619,1.0079,1.1138,1.0487,0.05560231145909046
430715905,38.0356,41.0828,30.9201,0.1019,0.1499,0.1216,0.05535737701133239
430715907,37.6028,40.446,30.0216,0.088,0.1299,0.0968,0.05235896091135454
430715908,45.4641,49.0927,50.6269,0.5738,0.6184,0.578,0.05192625725187585
430715909,30.5993,32.8663,23.6391,0.0722,0.0977,0.0762,0.06684048540909966
430715910,25.2296,26.6845,19.5541,0.0814,0.1025,0.0715,0.06283026644890574
430715911,24.2629,25.6263,18.6845,0.0628,0.0824,0.0572,0.06159836113714365
430715913,23.8962,25.1893,17.4046,0.0117,0.0254,0.0219,0.06942531913488556
430715914,23.9088,25.3349,17.3046,0.0096,0.0243,0.0202,0.07305779571290515
430715915,20.1267,21.4243,14.9226,0.0003,0.0012,0.0152,0.0815963233535219
430715916,22.8545,23.8228,21.6898,0.3897,0.4178,0.3563,0.08433420746488306
430715917,18.1015,19.2611,13.444,0.0,0.0003,0.0142,0.08726219508235135
430715918,15.5194,16.5184,11.4704,0.0,0.0,0.012,0.10299600257653854
430715919,17.8678,18.473,18.0542,0.2805,0.2988,0.2586,0.11022268844923072
430715920,16.5298,17.5268,12.031,0.0,0.0002,0.0126,0.09816868357674101
430715922,16.7137,17.723,12.0201,0.0,0.0002,0.0122,0.10133499999681532
430715926,16.4619,16.8833,19.3911,0.1819,0.1907,0.1942,0.08975514439115811
430715927,17.16,18.2933,13.5233,0.0089,0.0129,0.0235,0.07479714303071543
430715929,18.6597,19.1548,21.8798,0.1299,0.1387,0.1384,0.06411244968272661
430715930,18.1669,19.4122,13.6797,0.0209,0.026,0.0296,0.0937735836449438
430715932,25.596,26.4569,29.1034,0.1922,0.1995,0.2037,0.08787235948346774
430715933,24.6674,26.3811,19.5586,0.07,0.0835,0.0842,0.07221810771057427
430715956,21.4209,21.0625,23.5939,0.4995,0.4808,0.3525,0.0406674373693737
430715959,19.1851,19.754,22.6878,0.1063,0.1101,0.1154,0.0752449975094086
430715961,13.3501,13.0294,14.0898,0.6146,0.5813,0.415,0.06942531913488556
430715962,27.865,28.5001,31.5204,0.1721,0.1779,0.184,0.07569824722699373
