detection_id,B,G,R,nB,nG,nR,Compactness
602692309,2.4866,4.8551,8.5688,0.0306,0.0542,0.0798,0.1351063003197879
602692329,5.2572,4.5575,5.8543,0.3507,0.3051,0.2843,0.18751471302418415
602692330,1.5946,2.1728,3.5502,0.0633,0.0934,0.0878,0.18475840065665078
602692333,1.3111,1.001,2.6977,0.0011,0.0011,0.0078,0.18208192715442573
602692341,14.6107,12.4712,16.0367,0.2832,0.232,0.2267,0.06346488289866778
602692342,6.3373,5.4922,7.2019,0.0502,0.0353,0.0353,0.1396087127968195
602692344,2.698,2.6196,4.537,0.027,0.0277,0.0351,0.15322506464696445
602692345,5.0769,4.4601,6.1797,0.0368,0.0297,0.0264,0.14781870195462177
602692346,3.1505,2.8629,3.7566,0.0602,0.0552,0.0462,0.1721088567938853
602692351,21.2222,18.7899,20.0329,0.6222,0.5366,0.4857,0.08849111644335216
602692353,6.8996,5.9627,7.4457,0.072,0.0579,0.0564,0.13226261511265314
602692406,7.2877,6.3545,8.0414,0.0727,0.0589,0.0593,0.12081909724428652
602692407,11.2492,9.9059,11.2914,0.6761,0.5987,0.5376,0.11966865507387159
602692409,11.7673,10.3802,11.8954,1.6621,1.47,1.3173,0.11634512054520679
602692411,3.3669,2.9876,4.2749,0.3367,0.2982,0.2702,0.1903544897796419
602692413,10.275,9.1926,10.9939,1.6023,1.4282,1.2736,0.11022268844923072
602692414,1.5737,2.0198,6.0161,0.0376,0.0447,0.0669,0.10299600257653854
602692415,9.6861,8.6053,10.7556,0.511,0.4579,0.4202,0.10052442674077641
602692416,2.2718,2.7566,8.2401,0.0239,0.0329,0.0561,0.077091360650504
602692417,23.2342,21.3101,22.676,0.2739,0.241,0.2282,0.077091360650504
602692418,5.6168,6.7132,13.2452,0.0891,0.0988,0.1118,0.07263552511680024
602692419,6.178,7.3486,14.5684,0.0632,0.075,0.0991,0.06314598028335774
602692423,13.8869,12.1224,14.6916,0.1599,0.1263,0.106,0.08490398027194407
602692429,14.2336,11.8519,14.2235,0.3654,0.2912,0.2509,0.08266986501266944
602692442,2.9499,3.3159,7.9602,0.0426,0.0438,0.0454,0.08321729873508964
602692443,5.8624,5.3776,8.5539,0.0837,0.0734,0.0804,0.08433420746488306
602692451,8.1959,7.3874,10.1997,0.0978,0.0849,0.0871,0.0937735836449438
602692504,4.8781,4.3192,6.0185,0.112,0.0954,0.087,0.1396087127968195
602692506,2.4042,2.3688,4.1557,0.0198,0.019,0.0266,0.17449830252036147
602692510,7.1108,7.0684,10.0048,0.2094,0.2029,0.1988,0.09894156757337469
602692511,8.752,7.8685,10.6763,0.1405,0.124,0.1235,0.09105580497377844
602692513,11.3381,10.3845,13.7675,0.273,0.2446,0.2259,0.07221810771057427
602692515,12.2373,12.4424,17.635,0.2685,0.2661,0.2873,0.06544805286939072
602692518,9.1209,8.4809,11.6091,0.1202,0.1093,0.1099,0.08321729873508964
602692519,4.967,5.098,9.7818,0.1023,0.1021,0.1051,0.0815963233535219
602692520,6.407,6.323,8.631,0.2088,0.2053,0.2026,0.1256508846247525
602692538,2.9436,2.8192,4.6778,0.0507,0.05,0.0545,0.15322506464696445
602692540,4.6752,4.4957,6.5386,0.1061,0.1032,0.1056,0.1396087127968195
602692546,4.1982,4.0697,6.0151,0.0931,0.0885,0.0862,0.13807493637999585
602692547,1.566,2.8272,6.7267,0.0197,0.0345,0.0839,0.16978395275546265
602692552,3.978,4.2643,7.2935,0.0799,0.0862,0.0811,0.0937735836449438
602692604,3.7285,3.3031,5.464,0.0445,0.0396,0.0393,0.1411769425941694
602692606,4.2284,3.9142,5.9819,0.0346,0.0317,0.0321,0.1256508846247525
602692607,1.9472,1.7553,3.37,0.0534,0.0497,0.0447,0.19941430995731257
602692609,2.7874,2.5045,4.383,0.0382,0.0344,0.0374,0.14610036423614817
602692612,4.8891,4.4452,6.4658,0.038,0.03,0.026,0.13088518977836702
602692613,2.7526,2.583,4.4191,0.0329,0.0304,0.0315,0.14610036423614817
