detection_id,B,G,R,nB,nG,nR,Compactness
432568160,3.9255,4.0275,6.2878,0.034,0.0341,0.0439,0.16108014280507627
432568162,2.1652,2.3263,3.9374,0.0369,0.0401,0.0463,0.19328157927359077
432568163,4.061,4.3706,6.4085,0.0655,0.0729,0.0802,0.15322506464696445
432568178,6.6853,7.2596,10.58,0.0586,0.0618,0.0749,0.09447856694680049
432568180,12.2785,13.2712,17.5169,0.1044,0.1111,0.1273,0.07139750161301212
432568181,10.8024,11.6986,15.9768,0.1067,0.1143,0.1312,0.06829345312829196
432568182,8.5876,9.3917,12.7448,0.1323,0.1436,0.1562,0.09172037375316221
432568183,1.8501,2.0159,3.4316,0.029,0.0313,0.0369,0.21659487670178934
432568192,1.959,2.3988,6.5501,0.019,0.0225,0.0397,0.09665858053229819
432568200,2.9507,3.2286,5.0292,0.0345,0.0408,0.0474,0.18475840065665078
432568201,2.7032,3.0179,4.7888,0.1613,0.1833,0.1868,0.17695501477362918
432568202,4.0574,4.3324,6.3982,0.035,0.0364,0.0443,0.15705446369492315
432568203,3.0688,3.3032,4.8915,0.0382,0.0421,0.0476,0.18751471302418415
432568205,6.0919,6.2622,7.8264,0.2149,0.2154,0.2109,0.1794818739290955
432568206,11.8271,12.2957,14.7488,0.1167,0.1185,0.1224,0.11966865507387159
432568207,4.4927,4.6197,6.3538,0.0111,0.0112,0.0175,0.17695501477362918
