detection_id,B,G,R,nB,nG,nR,Compactness
432953601,0.2722,3.5336,3.6376,0.0,0.0373,0.0137,0.09040079679516942
432953602,0.2134,2.9252,3.4063,0.0,0.0383,0.0129,0.09592081711552267
432953603,0.3633,3.9726,4.2543,0.0,0.0313,0.0146,0.08490398027194407
432953604,0.3596,4.1118,4.0509,0.0,0.0315,0.0135,0.09172037375316221
432953605,0.4135,3.5094,3.7692,0.0,0.0429,0.0139,0.08911864874469005
432953606,0.3279,3.7299,4.0566,0.0,0.0423,0.0146,0.08490398027194407
432953607,0.8742,4.7986,4.3494,0.0,0.0469,0.0157,0.07903061153879146
432953608,1.2736,4.2247,4.1972,0.0,0.0326,0.0157,0.07903061153879146
432953609,0.8673,4.007,4.1501,0.0,0.0455,0.0156,0.07953076456813789
432953610,0.5781,2.7194,3.7507,0.0,0.0409,0.0142,0.08726219508235135
432953611,1.3356,4.7701,7.407,0.0159,0.0764,0.0407,0.049086630312145024
432953612,1.2584,4.0789,6.5116,0.0004,0.059,0.0236,0.05347294092237722
432953613,1.0628,4.0004,6.2831,0.0071,0.0719,0.0295,0.05463535211139932
432953614,0.5728,3.1193,5.6297,0.007,0.0754,0.0261,0.05872006370526449
432953615,1.6488,5.5402,7.707,0.02,0.0997,0.0424,0.04706439330664793
432953623,2.5042,7.098,5.911,0.0256,0.0815,0.0379,0.06684048540909966
432953626,4.2084,10.4113,7.1857,0.0338,0.089,0.0337,0.06129789587454133
432953632,6.9818,9.9822,6.6086,0.1049,0.1284,0.0419,0.09447856694680049
432953635,7.3666,11.5491,7.4935,0.0933,0.1504,0.0502,0.08321729873508964
432953636,7.7551,11.6675,7.5002,0.0833,0.1246,0.0386,0.08321729873508964
432953637,5.5063,10.697,6.7646,0.072,0.1582,0.0479,0.08377203058083679
432953638,5.9821,10.8454,7.0478,0.0752,0.1467,0.0421,0.08377203058083679
432953639,6.875,12.211,7.8435,0.068,0.1315,0.0435,0.08433420746488306
432953640,2.4029,7.953,6.0196,0.037,0.1071,0.0456,0.08490398027194407
432953642,2.5476,8.144,5.2689,0.0493,0.1351,0.0394,0.08490398027194407
432953646,1.9868,5.1392,3.9247,0.0106,0.0316,0.0184,0.09894156757337469
432953647,2.015,5.9045,3.6561,0.0181,0.06,0.0197,0.09816868357674101
432953650,3.8436,9.6386,6.5032,0.0337,0.0857,0.0353,0.059274001684944774
432953651,3.0707,8.5176,5.7902,0.006,0.0498,0.0218,0.06411244968272661
432953652,3.3168,7.7421,5.7186,0.0278,0.0627,0.0279,0.06719790044098876
432953653,2.1404,6.454,4.141,0.0147,0.0601,0.0198,0.08548150399146558
432953656,3.3207,12.9354,5.6808,0.0479,0.1595,0.0458,0.0752449975094086
432953657,4.9849,14.3769,6.7319,0.0777,0.1671,0.0575,0.06544805286939072
432953658,4.811,16.4016,7.0747,0.0569,0.1702,0.0487,0.06648685222060789
432953659,4.8787,15.3138,6.6363,0.0852,0.1863,0.0504,0.06792432131461863
432953660,6.6359,17.4075,7.585,0.0841,0.1636,0.0437,0.06220821570931003
432953661,6.7371,16.9822,7.4522,0.0903,0.2054,0.0544,0.06378702284985524
432953662,6.4755,16.6468,7.4303,0.0997,0.1982,0.0595,0.06444121395927624
432953663,7.2795,17.1629,8.0505,0.0911,0.1701,0.0489,0.06220821570931003
432953664,6.2702,16.9435,7.8375,0.1016,0.2269,0.0752,0.06378702284985524
432953665,7.8128,16.224,7.5466,0.1156,0.175,0.067,0.06648685222060789
432953666,7.5148,16.0712,7.3367,0.0923,0.148,0.0388,0.06314598028335774
432953667,8.4362,14.9181,6.9518,0.0979,0.1538,0.0456,0.06719790044098876
432953668,8.3154,16.5763,7.5915,0.0753,0.1259,0.0359,0.06477336728387235
432953669,7.7483,15.0947,7.4334,0.104,0.139,0.0451,0.06477336728387235
432953670,7.8731,14.4725,8.0019,0.0715,0.1067,0.0511,0.06544805286939072
432953671,7.8983,14.8587,8.1313,0.1014,0.1565,0.0582,0.06579069379816853
432953672,7.1184,14.065,7.4203,0.0913,0.1386,0.0476,0.06544805286939072
432953673,6.6123,12.9003,6.8567,0.1017,0.1404,0.0516,0.06544805286939072
432953674,6.2112,12.6881,6.4766,0.0957,0.1257,0.0372,0.06719790044098876
432953675,5.8931,12.5499,6.3104,0.0523,0.0835,0.0357,0.06792432131461863
432953676,6.0513,12.3319,6.6356,0.0831,0.1306,0.052,0.06792432131461863
432953677,5.6231,11.8916,6.2454,0.0891,0.1536,0.0659,0.06942531913488556
432953678,5.9128,11.4681,6.21,0.131,0.1513,0.0784,0.06942531913488556
432953679,5.8838,10.5497,5.9836,0.0743,0.1155,0.0479,0.07221810771057427
432953680,5.6172,9.7873,5.8546,0.086,0.1064,0.0378,0.07139750161301212
432953681,5.4702,9.3604,5.5276,0.0846,0.1117,0.0432,0.07059533429497317
432953683,4.7392,8.457,5.4017,0.0642,0.0812,0.0333,0.07263552511680024
