detection_id,B,G,R,nB,nG,nR,Compactness
165329152,6.5367,7.9979,16.4488,0.1604,0.185,0.2922,0.06792432131461863
165329233,6.5445,8.0132,16.3385,0.1243,0.1414,0.2297,0.06981099120988524
165329392,5.3606,6.5241,14.1176,0.0937,0.1011,0.1501,0.07059533429497317
165329471,5.5086,7.6331,17.0363,0.062,0.0733,0.1201,0.06012478543760053
165329552,5.4593,7.6656,17.0455,0.0611,0.0728,0.1195,0.06012478543760053
165329634,4.8416,6.5343,15.2076,0.0444,0.0507,0.0914,0.06346488289866778
165329715,4.787,6.5719,15.5253,0.0455,0.0537,0.0966,0.06012478543760053
165329793,4.1892,5.7771,13.4956,0.0384,0.0513,0.0953,0.0675591583065621
165329874,4.2494,6.0578,14.116,0.0258,0.0347,0.0761,0.06378702284985524
165329954,4.2083,5.9849,13.9045,0.0514,0.0679,0.1237,0.06411244968272661
165330028,6.0081,7.2196,15.841,0.0603,0.0711,0.1396,0.0661369411690469
165330106,7.0691,8.401,18.0491,0.1341,0.147,0.2434,0.059274001684944774
165330188,6.9279,8.2766,17.8468,0.1086,0.1226,0.2126,0.0589957324588329
165330270,6.917,8.2604,17.8473,0.108,0.1217,0.2114,0.05872006370526449
165330352,6.2167,8.1034,17.1672,0.1867,0.2117,0.3172,0.0589957324588329
165330431,6.2087,8.1013,17.1557,0.1377,0.1612,0.2491,0.0589957324588329
165330507,5.2656,7.4024,16.4717,0.0684,0.0838,0.1568,0.06220821570931003
165330588,4.8697,7.0516,15.7878,0.0541,0.0665,0.1192,0.06444121395927624
165330666,4.686,6.8368,15.5556,0.0402,0.0576,0.1165,0.06477336728387235
165330747,4.713,6.8257,15.5079,0.0429,0.0621,0.1246,0.06510896233025722
165330827,4.6297,6.7763,15.4177,0.0544,0.0657,0.1115,0.06477336728387235
165330905,4.4256,6.5449,14.9935,0.0371,0.0462,0.0835,0.06579069379816853
165330985,4.5337,6.7079,15.2353,0.0395,0.0514,0.0968,0.06477336728387235
165331066,4.563,6.7674,15.1864,0.0519,0.0632,0.107,0.06579069379816853
165331139,4.4824,6.7489,15.0361,0.0597,0.0759,0.1192,0.06648685222060789
165331219,4.6416,7.0695,16.4789,0.0347,0.0413,0.0756,0.05764267775279962
165331299,4.6828,7.1249,16.5065,0.0295,0.0365,0.0636,0.05764267775279962
165331772,5.5966,8.5085,17.5588,0.0688,0.0826,0.1146,0.06411244968272661
165331847,5.7867,8.6744,17.7196,0.0538,0.0626,0.0866,0.06378702284985524
165332086,5.2894,8.0871,17.5666,0.0247,0.0312,0.055,0.0607056738604871
165332244,5.887,8.578,18.4648,0.097,0.1312,0.1958,0.0607056738604871
165332487,6.2074,8.8268,17.9551,0.135,0.1842,0.2741,0.0595549083537657
165332558,6.1838,8.8063,17.907,0.132,0.18,0.2671,0.0595549083537657
165332640,4.9187,6.6668,12.1577,0.2169,0.3025,0.426,0.09665858053229819
165333033,5.5889,7.2771,13.9698,0.1661,0.2249,0.3561,0.07900454898080841
165333117,5.554,7.2156,13.8753,0.1673,0.2271,0.3593,0.08001020251173196
165333275,4.1429,5.7769,10.9283,0.0468,0.0596,0.0813,0.08548150399146558
165333354,4.2935,5.9682,11.0753,0.0735,0.093,0.1161,0.08666044549832956
165333435,4.2784,5.9484,11.0772,0.0732,0.0925,0.1157,0.08606693785815557
165333513,4.2338,5.803,11.124,0.0558,0.0725,0.099,0.08726219508235135
165333594,4.2665,5.8017,11.12,0.0555,0.0713,0.0978,0.08787235948346774
165333674,4.5422,6.0562,11.6206,0.0475,0.0613,0.0846,0.08321729873508964
165333754,4.5041,5.9864,11.5408,0.0663,0.0819,0.1061,0.08321729873508964
165333835,4.5108,5.9688,11.6146,0.0668,0.0834,0.1074,0.08266986501266944
165333919,4.4181,6.1061,11.7133,0.0647,0.0824,0.113,0.08548150399146558
165333998,4.4563,6.0855,11.6076,0.0715,0.0874,0.1192,0.08606693785815557
165334080,4.5043,6.1239,11.4877,0.0733,0.0906,0.1231,0.08787235948346774
165334159,4.5522,6.1364,11.4768,0.0738,0.0922,0.1247,0.08911864874469005
165334235,4.5571,6.1472,11.4941,0.0862,0.1085,0.1451,0.08911864874469005
165334632,4.6163,6.1447,10.5838,0.094,0.1216,0.1379,0.09105580497377844
165334714,4.5984,6.1379,10.6103,0.0915,0.1171,0.1313,0.09040079679516942
165334793,4.8349,6.4032,11.0765,0.066,0.0857,0.0936,0.07903061153879146
165335120,4.9112,6.3586,11.0242,0.1046,0.1278,0.157,0.08212958633865283
165335280,4.1566,5.6632,11.0836,0.0619,0.073,0.1026,0.09239471398211957
165335361,4.0896,5.5308,10.8976,0.0629,0.0748,0.1049,0.09239471398211957
165335440,4.7513,6.1118,11.7648,0.0755,0.092,0.1243,0.08606693785815557
165335516,4.6544,5.897,11.3707,0.0814,0.0952,0.1289,0.09105580497377844
165335595,4.8231,6.2029,11.7402,0.0525,0.066,0.0855,0.09040079679516942
165335676,4.8596,6.2365,11.7573,0.0586,0.0705,0.097,0.09040079679516942
165335834,7.686,9.656,20.167,0.1644,0.2245,0.4274,0.08266986501266944
165335916,7.4433,9.3541,20.0513,0.1411,0.1911,0.3717,0.07662132709270902
165335996,6.036,7.636,16.7006,0.0573,0.0884,0.2032,0.09172037375316221
165336553,9.0191,10.2612,13.7712,0.1929,0.2333,0.2747,0.09972671719555438
165336628,8.9445,10.177,13.6948,0.1929,0.2327,0.2747,0.09972671719555438
165337112,14.3495,16.5917,20.8335,0.562,0.6775,0.7523,0.07853670966610296
165337191,14.3954,16.6077,20.8617,0.4748,0.5702,0.6297,0.07853670966610296
165337435,21.383,24.3533,27.7524,0.493,0.5759,0.5583,0.06100034753906654
165338401,25.6467,28.6216,30.7414,0.7664,0.9011,0.7895,0.05535737701133239
165344139,7.5059,8.2387,9.649,0.0452,0.0525,0.037,0.09172037375316221
165344219,7.4924,8.2432,9.6545,0.0349,0.0409,0.0316,0.09105580497377844
165344303,8.281,8.9836,9.8776,0.0447,0.0532,0.0348,0.09105580497377844
165344382,10.6533,11.6576,12.7409,0.0773,0.0926,0.0479,0.08212958633865283
165344464,10.6533,11.6576,12.7409,0.0773,0.0926,0.0479,0.08212958633865283
165344543,13.1899,14.4885,15.7791,0.1547,0.1772,0.1093,0.06904388481989716
165344621,13.1558,14.4962,15.7334,0.1554,0.1779,0.1093,0.06904388481989716
