detection_id,B,G,R,nB,nG,nR,Compactness
164556563,5.208,4.8955,10.0521,0.098,0.0936,0.1116,0.059274001684944774
164557058,6.7964,5.7549,10.037,0.002,0.0017,0.0204,0.06648685222060789
164557160,6.7796,5.7571,10.0364,0.002,0.0017,0.0204,0.06648685222060789
164557360,6.4973,5.5784,9.5143,0.0001,0.0,0.0166,0.07479714303071543
164557856,12.104,10.0711,15.7393,0.0164,0.0148,0.0402,0.05006442052760694
164557957,12.146,10.0365,15.7157,0.025,0.0225,0.0495,0.05006442052760694
164558059,12.1069,10.0035,15.6603,0.025,0.0225,0.0494,0.0502646717369248
164558359,18.0748,15.7291,23.7895,0.1202,0.1161,0.1557,0.0396411506922282
164558457,18.005,15.7051,23.6846,0.1188,0.1148,0.1552,0.0396411506922282
164559557,24.4063,22.0332,29.7449,0.2601,0.2482,0.3154,0.0404059159192194
164559949,23.9534,21.2354,28.0148,0.2895,0.2921,0.3476,0.04174827570770436
164560148,23.8606,21.2122,27.9255,0.2502,0.2533,0.3044,0.041610039451085
164560350,20.9665,18.6778,25.3039,0.1716,0.173,0.215,0.04318289069619264
164562916,15.093,14.3113,20.8555,0.2482,0.2457,0.2828,0.047962542530693694
164563016,19.2655,19.5944,27.9633,0.8079,0.8052,0.9378,0.047962542530693694
164563707,17.247,16.3286,23.0109,0.3566,0.3469,0.3778,0.04586205110904071
164563810,21.4145,22.0797,31.3499,0.8097,0.8188,0.9578,0.04586205110904071
164563912,17.2529,16.5247,23.3659,0.2853,0.2913,0.336,0.04586205110904071
164566872,10.2295,10.098,14.8606,0.25,0.2394,0.2595,0.0675591583065621
164567064,10.2819,10.1162,14.8968,0.235,0.2237,0.242,0.0675591583065621
164567264,16.8967,16.1133,23.8782,0.1511,0.142,0.1697,0.03926952226654826
164567362,16.0176,17.4088,26.6769,0.3948,0.4331,0.5185,0.04106612917780369
164567455,17.5098,16.998,24.171,0.1778,0.1747,0.2034,0.04245346694193159
164567550,15.2095,16.4191,25.3829,0.3998,0.4353,0.5176,0.0427422593087034
164567645,17.3071,16.6959,23.8518,0.1478,0.1404,0.1695,0.04288813389916635
164567746,14.9503,16.1796,25.1507,0.4602,0.5124,0.6089,0.04318289069619264
164568238,17.8687,17.614,25.1853,0.1473,0.1462,0.1758,0.04106612917780369
164568338,15.2412,16.7093,26.115,0.3155,0.3454,0.4214,0.04120076930564869
164568533,16.8989,18.6322,28.7231,0.2996,0.3304,0.4054,0.037964517283050205
164569318,8.1656,7.833,12.6181,0.2169,0.2033,0.2447,0.07479714303071543
164569418,8.3261,8.0612,12.0162,0.1035,0.105,0.1235,0.07479714303071543
164569513,8.1451,7.8213,12.5897,0.1832,0.1715,0.2077,0.07479714303071543
164569613,8.0319,7.5207,11.3983,0.1429,0.1354,0.1538,0.0752449975094086
164569709,8.4568,8.0888,13.0986,0.1769,0.1736,0.2125,0.07305779571290515
164569804,8.7147,8.2545,12.3052,0.1135,0.1081,0.1256,0.07305779571290515
164569902,8.5503,8.0957,13.0789,0.1785,0.1713,0.2142,0.07305779571290515
164570003,8.7229,8.2654,12.321,0.1249,0.1176,0.1364,0.07305779571290515
