detection_id,B,G,R,nB,nG,nR,Compactness
432949956,7.0974,7.4454,9.2538,0.4899,0.5113,0.5027,0.15322506464696445
432949957,10.3389,10.8092,13.0745,0.5894,0.6173,0.5999,0.11119795425652645
432949958,9.5191,9.9539,12.1119,0.4943,0.5163,0.5021,0.11423011752805243
432949960,8.7893,9.3329,11.6001,0.3376,0.3591,0.3392,0.10471236017896915
432949963,49.7506,53.3498,67.2316,0.9733,1.0622,1.1822,0.030799742041484248
432949967,27.9047,30.7799,39.4929,0.0681,0.1221,0.1787,0.04456103357379679
432949980,7.2777,6.503,6.8089,0.0189,0.0181,0.0293,0.09105580497377844
432949987,9.4694,9.6816,12.4316,0.0724,0.0748,0.0881,0.11219063124580061
432949990,3.3739,3.9531,6.303,0.0674,0.0744,0.0955,0.1495779344429456
432949993,3.0514,3.2743,4.9733,0.0444,0.0487,0.0669,0.2129260181386661
