detection_id,B,G,R,nB,nG,nR,Compactness
432417220,1.4364,4.8777,7.8123,0.0207,0.0445,0.0481,0.09740778003073822
432417221,1.8692,5.3925,9.8661,0.0095,0.0175,0.0302,0.0815963233535219
432417222,1.7157,4.8514,9.5795,0.0048,0.009,0.0258,0.07615699026400004
432417223,0.4634,2.4212,6.5477,0.0027,0.0067,0.0186,0.0937735836449438
432417227,0.8848,2.9303,7.4978,0.0034,0.0081,0.0225,0.08726219508235135
432417228,1.3488,3.3767,9.2557,0.0038,0.007,0.0276,0.07348500463068167
432417229,0.7789,2.2099,7.3644,0.0041,0.0121,0.0265,0.08849111644335216
432417230,0.6837,2.1033,6.1492,0.0185,0.0308,0.0536,0.08548150399146558
432417231,0.3076,1.959,7.9003,0.0012,0.003,0.038,0.07221810771057427
432417232,0.4968,2.2414,8.5953,0.0019,0.0056,0.0457,0.07221810771057427
432417233,0.2617,1.0293,6.5669,0.0112,0.0233,0.057,0.09105580497377844
432417234,0.6913,1.6722,7.1445,0.0112,0.0199,0.0514,0.08606693785815557
432417242,13.164,18.1454,18.6905,0.1948,0.2847,0.2175,0.06411244968272661
432417243,13.2367,18.1599,18.7288,0.1991,0.2806,0.2166,0.06411244968272661
432417244,13.3399,18.3164,18.7746,0.197,0.29,0.2199,0.06378702284985524
432417245,12.904,17.7893,18.4711,0.179,0.2631,0.2018,0.06283026644890574
432417246,13.3798,18.2996,18.8474,0.2043,0.2982,0.2299,0.06378702284985524
432417247,2.5596,5.2176,8.0895,0.0112,0.0234,0.0238,0.09972671719555438
432417248,3.0352,5.6814,9.0907,0.0063,0.0129,0.0197,0.09040079679516942
432417249,3.1224,5.7877,9.2382,0.0071,0.0131,0.0233,0.09239471398211957
432417250,12.0576,16.1722,17.7269,0.1421,0.2071,0.1673,0.06378702284985524
432417251,12.82,16.7451,18.2683,0.1009,0.1485,0.1236,0.06346488289866778
432417252,12.8862,16.8382,18.3811,0.1444,0.2114,0.1781,0.06283026644890574
432417253,12.634,16.6709,18.2321,0.1483,0.2117,0.1686,0.06251769380643689
432417254,12.7047,16.8715,18.3228,0.2294,0.3208,0.242,0.06283026644890574
432417256,13.2947,16.9582,18.4452,0.1622,0.2106,0.1843,0.06411244968272661
432417270,4.6611,6.9077,14.3784,0.154,0.1602,0.2961,0.077091360650504
432417271,5.1902,7.9883,14.9794,0.2044,0.2376,0.3978,0.08548150399146558
432417272,5.6131,8.6915,16.0525,0.214,0.2471,0.4186,0.08666044549832956
432417273,8.8424,11.1305,20.6634,0.2825,0.2657,0.489,0.07569824722699373
432417274,7.9764,11.0653,20.6186,0.2529,0.2415,0.4242,0.06684048540909966
432417275,9.2066,10.0342,20.9902,0.2188,0.1992,0.3748,0.06283026644890574
432417276,9.4201,11.9829,22.3681,0.2488,0.2435,0.4248,0.06579069379816853
432417277,8.9865,10.2117,21.8222,0.3696,0.3671,0.6033,0.0502646717369248
432417278,7.1828,9.3556,18.5951,0.1879,0.1702,0.3233,0.07391723900466864
432417279,9.0828,11.4577,21.3112,0.3297,0.3162,0.5142,0.07020097205976435
432417280,8.3998,12.086,22.2389,0.2639,0.2676,0.4438,0.06159836113714365
432417281,8.894,11.7826,22.8904,0.2497,0.2873,0.469,0.06129789587454133
432417282,10.8013,16.4474,27.1758,0.2397,0.3485,0.524,0.06012478543760053
432417283,10.2163,16.8448,25.6164,0.1644,0.2468,0.3481,0.06981099120988524
432417284,10.4043,15.6178,25.7008,0.1769,0.2812,0.405,0.06579069379816853
432417288,10.2473,14.3523,25.2491,0.1094,0.2017,0.3463,0.06942531913488556
432417289,5.033,6.547,13.3506,0.1259,0.1385,0.2539,0.09894156757337469
432417291,4.2927,7.2844,13.6537,0.0321,0.0559,0.0706,0.08003728818317192
432417292,3.4804,5.5231,11.2005,0.01,0.0114,0.0285,0.08975514439115811
432417293,3.144,4.3778,9.3407,0.0053,0.0049,0.0189,0.1038470904936626
432417311,6.3315,9.6463,16.822,0.1338,0.2478,0.3512,0.08377203058083679
432417313,1.6821,5.6759,9.6432,0.0047,0.0158,0.0302,0.06792432131461863
432417314,1.556,5.6642,9.9893,0.0045,0.0199,0.0316,0.06544805286939072
432417315,1.0777,3.4678,6.8715,0.0049,0.0139,0.0247,0.08606693785815557
432417323,6.3419,10.3848,14.3369,0.1538,0.3009,0.3374,0.10133499999681532
432417326,5.1671,8.2735,12.8793,0.0908,0.1416,0.1785,0.08975514439115811
432417327,5.7289,8.8373,13.9932,0.1009,0.1352,0.2005,0.09447856694680049
432417328,4.656,7.1901,12.6013,0.121,0.1861,0.2638,0.09239471398211957
432417330,4.914,7.6685,12.9435,0.127,0.183,0.2666,0.09592081711552267
432417331,8.5019,10.072,13.9927,0.1923,0.221,0.2646,0.09172037375316221
432417332,9.6107,10.9148,13.9791,0.1852,0.2137,0.2121,0.08666044549832956
432417333,7.7026,9.4496,11.9577,0.1286,0.1479,0.1378,0.09894156757337469
432417334,7.2621,8.9244,10.9284,0.1173,0.1442,0.1332,0.09740778003073822
432417335,7.2185,8.5667,10.3673,0.135,0.1596,0.1378,0.10052442674077641
432417336,7.6157,8.7443,10.5375,0.1057,0.1261,0.118,0.1038470904936626
432417337,7.3262,8.5031,9.7187,0.1153,0.1331,0.1314,0.10832258979485408
432417338,7.3675,8.2014,8.9853,0.1547,0.1973,0.1632,0.11119795425652645
432417339,7.36,8.7056,9.1218,0.1006,0.143,0.1265,0.10926437976474195
432417340,4.5463,8.8752,12.3897,0.0975,0.1932,0.226,0.09816868357674101
432417341,4.8214,9.6221,13.7577,0.1042,0.2223,0.2615,0.09519422993221213
432417342,4.9507,10.5827,14.7597,0.0715,0.22,0.2543,0.10052442674077641
432417343,6.3432,13.9276,19.2701,0.0795,0.2746,0.3191,0.08975514439115811
432417344,5.5155,12.2511,17.1722,0.0411,0.1614,0.1952,0.09519422993221213
432417353,7.2627,10.5648,18.4558,0.1488,0.199,0.2789,0.0752449975094086
432417355,7.4676,9.5215,18.1709,0.1642,0.1888,0.3367,0.07756719641593564
432417356,8.2436,10.7213,20.5728,0.1957,0.2392,0.405,0.06792432131461863
432417357,6.7286,11.6227,21.1216,0.1544,0.2309,0.3649,0.06648685222060789
432417364,6.3918,10.1311,16.2759,0.0913,0.2175,0.2967,0.09972671719555438
432417365,5.8462,8.2325,15.8288,0.1552,0.2155,0.3599,0.07662132709270902
432417366,6.3742,9.1121,16.2769,0.158,0.2074,0.3473,0.08606693785815557
432417367,4.9881,7.0076,13.4638,0.1864,0.2528,0.3781,0.07953076456813789
432417368,5.4468,15.8322,16.3164,0.115,0.4243,0.3203,0.07569824722699373
432417369,6.2822,19.0153,18.9817,0.1557,0.5784,0.436,0.07263552511680024
432417370,7.1493,20.1876,19.36,0.1469,0.4799,0.3539,0.07305779571290515
432417371,5.4574,12.0687,12.4735,0.0825,0.2022,0.1552,0.08726219508235135
432417372,7.5342,15.1618,13.1059,0.0626,0.1732,0.1087,0.1038470904936626
432417375,13.702,28.191,25.1753,0.1938,0.4934,0.3394,0.06904388481989716
432417379,4.825,12.081,14.4214,0.1825,0.4675,0.354,0.05584942297118333
432417381,12.9354,24.6863,22.0564,0.0871,0.2355,0.1579,0.08548150399146558
432417389,8.4668,16.0737,15.4432,0.145,0.3462,0.2796,0.11743226366213184
432417391,9.5284,17.5342,17.5602,0.2068,0.4007,0.3436,0.11022268844923072
432417398,5.8641,10.6304,17.4678,0.1491,0.2391,0.3678,0.07853670966610296
432417399,5.1341,11.2929,17.5697,0.1161,0.1935,0.2968,0.08548150399146558
432417400,5.1411,11.1947,17.3974,0.1268,0.2064,0.309,0.08321729873508964
432417401,4.2997,9.3841,15.6419,0.0753,0.1276,0.1852,0.07391723900466864
432417402,4.3528,9.4614,14.7084,0.0906,0.1549,0.1943,0.08787235948346774
432417403,3.3293,7.393,11.8976,0.0407,0.0738,0.0846,0.09105580497377844
432417404,13.3688,24.1812,17.3608,0.2482,0.4712,0.253,0.06579069379816853
432417406,16.2276,27.05,20.0455,0.4116,0.7222,0.3796,0.05560231145909046
432417410,30.091,47.4945,33.0261,0.5595,1.007,0.5121,0.04706439330664793
432417411,30.1169,45.6878,32.7622,0.6369,1.1423,0.6037,0.05302170881884524
432417412,26.9306,35.3422,28.7664,0.3655,0.5742,0.3447,0.05235896091135454
432417413,21.6843,27.1714,24.0464,0.1935,0.2849,0.1918,0.06129789587454133
432417414,17.0045,20.9356,20.6222,0.1301,0.1843,0.1394,0.06684048540909966
432417416,3.9867,7.8166,14.218,0.0481,0.0664,0.1096,0.07756719641593564
432417424,8.5107,16.0004,10.7149,0.1455,0.2826,0.1204,0.07305779571290515
432417425,8.5569,16.7996,10.753,0.1849,0.3813,0.1643,0.07756719641593564
432417426,11.2231,22.6807,14.5324,0.2049,0.4306,0.2011,0.06942531913488556
432417427,10.8959,20.506,13.877,0.2514,0.4715,0.2133,0.06100034753906654
432417428,6.9931,11.5814,11.8235,0.1618,0.2825,0.1549,0.0502646717369248
432417431,9.2287,9.2027,7.3802,0.1092,0.0969,0.0369,0.0815963233535219
432417432,8.164,7.8225,6.5491,0.0749,0.0663,0.0299,0.09172037375316221
432417433,7.4249,14.0839,11.599,0.0769,0.1907,0.1163,0.10739689511380088
432417434,9.5652,21.4329,19.364,0.0906,0.2896,0.1963,0.07348500463068167
