detection_id,B,G,R,nB,nG,nR,Compactness
429421144,8.1994,12.492,24.4,0.1218,0.2004,0.3879,0.06904388481989716
429421147,20.4103,18.9304,21.7719,0.0917,0.0902,0.103,0.09172037375316221
429421148,14.8105,13.5834,17.5743,0.1536,0.1359,0.1619,0.09592081711552267
429421149,22.3517,20.6314,23.294,0.0986,0.0982,0.1109,0.09592081711552267
429421150,13.7323,12.4828,17.2125,0.1166,0.097,0.1343,0.09592081711552267
429421151,22.3281,20.6385,23.2211,0.0945,0.0945,0.1074,0.09592081711552267
429421165,21.8683,20.1998,22.7027,0.0928,0.0928,0.1056,0.09665858053229819
429421166,21.75,20.2496,22.7992,0.0925,0.0925,0.1053,0.09665858053229819
429421167,21.7557,20.2728,22.8078,0.0925,0.0925,0.1053,0.09665858053229819
429421168,21.7532,20.2629,22.8021,0.0925,0.0925,0.1053,0.09665858053229819
429421169,21.7199,20.2423,22.7915,0.0924,0.0924,0.1052,0.09665858053229819
429421170,21.699,20.251,22.766,0.0924,0.0924,0.1052,0.09665858053229819
429421171,21.6049,20.1645,22.6804,0.092,0.092,0.1048,0.09665858053229819
429421172,21.5639,20.2343,22.6509,0.092,0.092,0.1048,0.09665858053229819
429421173,21.4616,20.1428,22.4825,0.0915,0.0915,0.1041,0.09816868357674101
429421174,14.1504,13.3535,12.5763,0.2041,0.1883,0.1205,0.09816868357674101
429421175,21.5022,20.129,22.468,0.0915,0.0915,0.1041,0.09816868357674101
429421176,13.7618,12.9866,13.3777,0.2061,0.1891,0.1307,0.09972671719555438
429421177,21.215,19.865,22.1165,0.0903,0.0903,0.1025,0.10133499999681532
429421178,14.2261,13.3322,13.8641,0.1697,0.1472,0.1067,0.10133499999681532
429421179,21.215,19.865,22.1165,0.0903,0.0903,0.1025,0.10133499999681532
429421180,15.3415,14.4118,14.3782,0.2065,0.1903,0.1383,0.10133499999681532
429421181,21.1448,19.7983,22.0545,0.09,0.09,0.1022,0.10133499999681532
429421182,15.7377,14.7169,14.851,0.1809,0.1643,0.1247,0.10133499999681532
429421183,20.2316,18.918,21.2428,0.0862,0.0862,0.0983,0.1021587506273488
429421184,19.8319,18.5528,20.8332,0.0845,0.0845,0.0965,0.10299600257653854
429421187,29.8162,29.7062,32.1782,0.182,0.179,0.1728,0.06544805286939072
429421189,20.5274,19.2268,21.3535,0.0874,0.0874,0.099,0.10648688664370398
429421190,17.7152,17.1199,21.161,0.1572,0.1509,0.1941,0.10648688664370398
429421192,20.1476,18.8346,21.0016,0.0857,0.0857,0.0972,0.10739689511380088
429421193,16.6488,15.8249,20.5676,0.1535,0.1468,0.1855,0.10739689511380088
429421245,20.243,18.9707,21.4834,0.0861,0.0861,0.0997,0.09105580497377844
429421247,18.8889,17.7209,22.3393,0.0809,0.0809,0.1021,0.05872006370526449
429421257,20.709,19.4529,22.3515,0.0897,0.0888,0.104,0.0815963233535219
429421259,20.7316,19.3814,21.6337,0.0883,0.0883,0.1005,0.10133499999681532
429421260,25.1097,23.2716,26.1046,0.1061,0.1061,0.1208,0.08433420746488306
429421261,25.6117,23.8697,26.5026,0.1085,0.1085,0.1234,0.08321729873508964
429421262,23.0393,21.6259,24.0489,0.0986,0.0983,0.1123,0.08849111644335216
429421263,16.4208,15.6018,23.6376,0.137,0.1327,0.2029,0.09665858053229819
429421264,22.3356,20.2987,24.4201,0.1601,0.1494,0.1653,0.06981099120988524
429421265,18.6911,17.1319,23.6671,0.2855,0.2574,0.3205,0.07903061153879146
429421266,48.3345,44.4562,50.3823,0.2926,0.2805,0.31,0.03976659483909075
429421267,52.6942,48.4774,54.3375,0.3027,0.291,0.3202,0.03902561695436705
429421275,23.347,21.1504,25.7199,0.1152,0.1078,0.1298,0.06100034753906654
429421276,18.2729,16.9428,20.7499,0.0792,0.0789,0.0975,0.06719790044098876
429421277,25.9093,24.2089,27.3145,0.1127,0.1118,0.1311,0.06444121395927624
429421283,20.4427,18.8781,22.1237,0.1003,0.0971,0.1134,0.07435458803139107
429421284,19.4536,17.9922,19.8496,0.0897,0.0889,0.1,0.10648688664370398
429421285,20.1739,18.617,20.4806,0.0932,0.0924,0.1036,0.10471236017896915
429421286,20.0428,18.4629,20.2989,0.085,0.085,0.0966,0.10648688664370398
429421287,20.0342,18.4421,20.2821,0.0847,0.0847,0.0962,0.10739689511380088
429421288,20.1477,18.5581,20.4307,0.0853,0.0853,0.0968,0.10739689511380088
429421290,20.1196,18.506,20.4022,0.0852,0.0852,0.0967,0.10739689511380088
429421292,20.0494,18.4413,20.3681,0.0849,0.0849,0.0965,0.10648688664370398
429421293,20.0203,18.4416,20.3833,0.0849,0.0849,0.0964,0.10739689511380088
429421344,19.9919,18.4545,20.3106,0.0842,0.0842,0.0957,0.10739689511380088
429421345,19.8132,18.272,20.1392,0.0833,0.0833,0.0948,0.10739689511380088
429421349,19.6863,18.1544,19.8709,0.0821,0.0821,0.0934,0.10926437976474195
429421350,19.6482,18.1657,19.8514,0.0821,0.0821,0.0934,0.10926437976474195
429421351,19.6627,18.1707,19.8526,0.0821,0.0821,0.0934,0.10926437976474195
429421352,19.6355,18.1486,19.8853,0.087,0.0864,0.0975,0.10739689511380088
429421353,19.6148,18.1255,19.8345,0.089,0.0882,0.0993,0.10832258979485408
429421354,19.407,17.9639,19.6475,0.1073,0.104,0.1131,0.10832258979485408
429421355,19.2168,17.6934,19.4411,0.0937,0.0914,0.101,0.10832258979485408
429421356,10.3791,8.9856,10.5239,0.1652,0.1398,0.1277,0.11743226366213184
429421357,13.2346,11.5596,14.0932,0.2017,0.1801,0.182,0.1021587506273488
429421358,12.5917,10.8181,13.5595,0.1845,0.156,0.162,0.1038470904936626
429421359,13.2124,11.6191,14.5328,0.1913,0.1706,0.1747,0.10052442674077641
429421360,13.3254,11.6104,13.7515,0.2388,0.1938,0.1779,0.09665858053229819
429421361,14.7062,12.7342,15.3697,0.2666,0.214,0.2063,0.09172037375316221
429421362,13.3356,11.7194,14.8398,0.2375,0.2047,0.1984,0.08975514439115811
429421363,15.2481,13.7099,17.713,0.2643,0.226,0.2509,0.09040079679516942
429421364,13.8271,12.3775,16.1239,0.2653,0.2307,0.2451,0.09040079679516942
429421365,15.0899,13.3457,18.0153,0.2005,0.1751,0.2009,0.09105580497377844
429421366,14.216,12.5181,16.984,0.205,0.177,0.2009,0.09447856694680049
