detection_id,B,G,R,nB,nG,nR,Compactness
432397551,6.1762,7.2467,13.987,0.1221,0.1428,0.1918,0.07305779571290515
432397556,3.0672,4.0372,10.4981,0.0538,0.059,0.0998,0.07020097205976435
432397557,3.1507,4.1889,10.2772,0.0882,0.1006,0.1441,0.07180546030797123
432397558,3.4872,4.2462,10.0777,0.0446,0.0468,0.0886,0.06981099120988524
432397560,8.0993,8.8897,14.1483,0.1524,0.1718,0.2201,0.08666044549832956
432397561,8.0638,8.9233,14.1843,0.1577,0.1821,0.2396,0.08548150399146558
432397562,8.2822,9.0355,14.4195,0.1572,0.1772,0.2376,0.08548150399146558
432397563,9.0405,9.8666,15.3458,0.1908,0.2118,0.2786,0.08377203058083679
432397564,9.4354,10.2866,15.7405,0.1845,0.2077,0.2786,0.08055030487456037
432397565,7.883,8.5297,14.0858,0.1531,0.1697,0.2408,0.08548150399146558
432397567,3.8242,5.9003,14.6467,0.0862,0.1414,0.2418,0.07305779571290515
432397568,4.1467,6.4395,15.018,0.0806,0.134,0.2484,0.08003728818317192
432397569,7.7752,7.7447,13.9776,0.1485,0.1522,0.1956,0.08321729873508964
432397570,8.4427,8.5352,13.7077,0.1227,0.1238,0.1506,0.0815963233535219
432397572,1.0777,2.3527,8.6904,0.0005,0.0019,0.0319,0.0675591583065621
432397574,1.3909,1.9102,9.2719,0.0232,0.0218,0.1086,0.04889563761385481
432397575,3.1506,5.5335,13.5007,0.0641,0.1026,0.1589,0.04671448198421
432397576,5.8987,7.4771,14.034,0.1429,0.1577,0.227,0.06792432131461863
432397577,4.3383,5.4375,9.322,0.0946,0.1157,0.1264,0.08003728818317192
432397585,13.1048,12.2208,14.4769,0.1077,0.0981,0.095,0.09239471398211957
432397586,13.7046,13.0301,15.1594,0.1556,0.1425,0.1314,0.08975514439115811
432397587,17.2099,16.2105,18.1706,0.2956,0.2631,0.2343,0.08433420746488306
432397588,7.8663,7.9408,10.0667,0.2153,0.2324,0.2138,0.1132011898318306
432397589,8.3482,8.0044,11.4179,0.192,0.1905,0.2133,0.1038470904936626
432397590,7.5768,7.1157,9.9891,0.1637,0.1584,0.1709,0.11423011752805243
432397591,11.592,11.5344,14.9424,0.1944,0.1919,0.2032,0.08975514439115811
432397592,15.9651,15.7774,22.0675,0.2648,0.2619,0.2942,0.07348500463068167
432397593,17.3862,17.5246,23.5798,0.3428,0.3339,0.374,0.07435458803139107
432397594,23.1748,22.8728,33.4854,0.3902,0.3951,0.4939,0.05790830079919458
432397605,7.1519,6.4154,11.1809,0.1082,0.0898,0.1063,0.07139750161301212
432397615,9.9726,8.7899,11.4986,0.2215,0.1935,0.1821,0.07953076456813789
432397616,13.9097,12.054,15.8937,0.2077,0.1736,0.1767,0.06251769380643689
432397617,14.6961,12.7102,16.5271,0.221,0.1836,0.1852,0.0607056738604871
432397618,16.3649,14.3749,18.3527,0.2983,0.2517,0.2483,0.05872006370526449
432397619,14.3125,12.8795,16.9274,0.2395,0.2079,0.2016,0.05660411406725943
432397620,12.309,10.9108,15.6677,0.2854,0.2497,0.2518,0.05214171140333059
432397621,6.0335,4.9448,8.7226,0.1231,0.1009,0.1015,0.07059533429497317
432397625,1.0353,3.0065,7.0437,0.0,0.0,0.0147,0.08433420746488306
432397626,1.2824,1.227,5.1621,0.0145,0.0128,0.0612,0.08726219508235135
432397630,0.8561,0.8504,5.5061,0.0193,0.01,0.0454,0.06904388481989716
432397634,45.1579,45.5369,41.6607,0.5958,0.5953,0.4153,0.048331474165630606
432397635,40.3886,40.7739,37.3798,0.3911,0.3971,0.2829,0.05439884443645084
432397636,30.8094,31.6758,30.6601,0.329,0.341,0.2371,0.0539319190680174
432397637,20.652,21.3321,22.0985,0.7453,0.7792,0.6198,0.06220821570931003
432397639,2.6715,5.7692,12.0833,0.0504,0.0876,0.1262,0.08055030487456037
432397641,1.6092,1.9827,8.3944,0.0204,0.0311,0.0873,0.07391723900466864
432397642,1.146,1.321,7.4963,0.0301,0.033,0.1049,0.07391723900466864
432397643,1.1166,1.1553,8.2869,0.02,0.0199,0.0861,0.06477336728387235
432397649,5.0222,4.081,6.1344,0.0439,0.0357,0.0374,0.11219063124580061
432397650,7.5172,6.4805,8.3662,0.1226,0.1098,0.099,0.08849111644335216
432397651,8.5106,7.4508,9.448,0.1442,0.1286,0.1134,0.08433420746488306
432397652,8.9484,7.9999,10.1982,0.1399,0.127,0.1162,0.08055030487456037
432397653,9.2509,7.7698,10.1419,0.1198,0.1056,0.0979,0.08106994029334431
432397654,9.2287,7.736,9.9124,0.1423,0.1217,0.1092,0.08321729873508964
432397655,9.561,8.4804,10.2591,0.1509,0.1298,0.1094,0.08787235948346774
432397656,7.9663,7.0852,9.3735,0.1139,0.0962,0.0926,0.09894156757337469
432397664,0.3373,0.8864,4.8935,0.0015,0.0019,0.0411,0.09105580497377844
432397665,1.7025,2.673,8.7119,0.0126,0.0184,0.0478,0.05439884443645084
432397666,2.2357,4.1399,8.2341,0.0236,0.0349,0.0528,0.08490398027194407
432397667,1.4719,2.2251,6.8214,0.0225,0.0319,0.057,0.07569824722699373
432397674,2.4948,2.9077,12.9672,0.0276,0.0321,0.1228,0.03674345773498782
432397675,2.4331,2.8746,13.0002,0.0384,0.0393,0.1306,0.03819530033179143
432397676,2.7108,3.5956,14.2301,0.027,0.0263,0.1013,0.03902561695436705
432397679,3.487,4.0405,12.081,0.0291,0.0368,0.0793,0.045040172094838404
432397685,2.6556,2.8767,8.4814,0.0274,0.0255,0.0544,0.06904388481989716
432397686,1.8813,2.2526,6.4592,0.0248,0.0247,0.043,0.08975514439115811
432397687,5.0523,4.8617,8.7576,0.0708,0.0642,0.0591,0.06942531913488556
432397688,5.0298,4.8997,8.3963,0.0455,0.0415,0.0433,0.07615699026400004
432397692,9.0124,8.1687,11.1087,0.202,0.1946,0.2067,0.09592081711552267
432397693,8.9044,8.6079,11.512,0.2717,0.2632,0.2623,0.09816868357674101
432397694,10.7367,10.822,14.082,0.2568,0.2583,0.2712,0.08726219508235135
432397695,10.8532,11.1267,14.5918,0.2743,0.2847,0.3002,0.08548150399146558
432397696,10.4898,11.6274,15.4075,0.2704,0.3172,0.3169,0.08321729873508964
432397697,10.8644,11.6548,15.896,0.2626,0.31,0.3218,0.07853670966610296
432397698,10.58,11.406,15.8594,0.2018,0.2372,0.2482,0.07348500463068167
432397699,7.9891,7.4263,10.9243,0.0894,0.0843,0.0817,0.07615699026400004
432397700,7.973,7.0507,10.6957,0.1099,0.0954,0.1016,0.07099415216660818
432397701,6.3301,5.1487,8.7569,0.1304,0.1079,0.1192,0.07853670966610296
432397702,4.1503,3.1437,6.0559,0.0841,0.0675,0.0692,0.09239471398211957
432397703,2.61,1.8373,4.956,0.0346,0.02,0.0296,0.0937735836449438
432397753,3.1508,3.8457,12.251,0.0262,0.0222,0.0955,0.0430350075951413
432397756,5.9058,7.9545,15.1342,0.0814,0.0933,0.1296,0.04759920052280796
432397760,13.761,14.7892,23.7389,0.2224,0.237,0.3177,0.05302170881884524
432397771,11.1944,18.1049,25.4248,0.1425,0.2143,0.2538,0.04889563761385481
432397774,21.964,28.2707,36.6918,0.4947,0.6194,0.7047,0.046199262889625364
432397775,20.5947,23.4331,31.4573,0.3797,0.4216,0.5086,0.0595549083537657
432397779,1.6304,4.575,14.5872,0.008,0.0025,0.0971,0.04671448198421
432397788,6.9808,10.7562,14.5756,0.1376,0.235,0.2492,0.0815963233535219
432397791,13.1783,15.92,17.9261,0.173,0.2258,0.2133,0.09665858053229819
432397793,18.2241,20.938,22.8373,0.2567,0.3153,0.2972,0.09172037375316221
432397794,8.3774,8.7045,12.1797,0.1121,0.1203,0.1373,0.0937735836449438
432397795,12.4335,14.1851,18.1683,0.1364,0.1581,0.1656,0.06904388481989716
432397797,8.7408,9.3721,13.2094,0.0961,0.106,0.1216,0.07804894248762141
432397798,16.3084,18.0403,22.4327,0.1818,0.2136,0.2208,0.06129789587454133
432397808,16.5259,18.19,24.7249,0.2327,0.271,0.2891,0.04409198179755562
432397809,12.009,14.2695,20.2483,0.22,0.2804,0.2874,0.04603003942056844
432397810,12.1107,15.0189,20.3211,0.2167,0.3104,0.2992,0.047962542530693694
432397812,9.0725,11.9646,15.7795,0.1338,0.2207,0.2139,0.06314598028335774
432397817,9.4245,9.5838,14.3952,0.1329,0.1389,0.1686,0.08003728818317192
432397818,6.8761,7.6946,11.0611,0.1681,0.1882,0.1893,0.08212958633865283
432397820,5.3174,4.4632,8.2399,0.0317,0.0278,0.043,0.08106994029334431
432397821,5.3543,4.5391,8.4097,0.0196,0.0176,0.0331,0.077091360650504
432397824,10.6662,12.3792,18.8378,0.1757,0.2272,0.2434,0.04671448198421
432397825,26.2392,27.3046,33.4977,0.3144,0.3244,0.3536,0.05686023067241032
432397826,15.3032,15.2326,20.0388,0.1734,0.1732,0.1968,0.07020097205976435
432397828,15.1831,16.8119,30.126,0.3875,0.4211,0.5295,0.029777961408651785
432397831,21.5885,19.837,24.2877,0.3376,0.3027,0.2969,0.06510896233025722
432397832,17.2214,19.3694,26.9538,0.4341,0.4745,0.546,0.0539319190680174
432397833,15.43,19.2045,25.6088,0.352,0.418,0.4627,0.057118675464029094
