detection_id,B,G,R,nB,nG,nR,Compactness
427621902,8.1331,15.3557,8.875,0.1594,0.3197,0.1191,0.09040079679516942
427621903,9.6617,18.257,10.5935,0.1761,0.3673,0.1515,0.07853670966610296
427621904,10.1306,20.2301,11.2743,0.1705,0.3526,0.1441,0.07903061153879146
427621905,9.9772,20.5845,11.1814,0.1559,0.3363,0.1308,0.08055030487456037
427621906,9.6961,21.1643,11.0847,0.1688,0.3492,0.141,0.07435458803139107
427621907,8.448,20.5545,10.4461,0.1118,0.265,0.1096,0.07305779571290515
427621908,5.3566,15.732,7.805,0.0995,0.2387,0.1023,0.07263552511680024
427621910,2.6593,8.8654,5.3536,0.0087,0.0402,0.0198,0.0752449975094086
427621911,0.8923,4.698,3.6474,0.001,0.0409,0.014,0.09105580497377844
427621912,1.4425,5.4778,5.3415,0.0183,0.0836,0.0322,0.07479714303071543
427621913,1.6694,6.1747,5.636,0.0154,0.0849,0.0278,0.07139750161301212
427621914,2.4301,8.2039,7.0627,0.0345,0.1256,0.0425,0.06159836113714365
427621915,2.6275,8.607,8.0724,0.0489,0.1571,0.0633,0.05192625725187585
427621916,2.2065,7.1695,7.9813,0.0515,0.1474,0.0663,0.05108195634991484
427621917,1.7818,4.8227,5.4132,0.0237,0.079,0.0385,0.07479714303071543
427621918,1.4798,3.8148,4.8419,0.0282,0.0863,0.0323,0.07903061153879146
427621919,0.13,0.4885,3.6007,0.001,0.017,0.0156,0.09239471398211957
427621926,0.3237,1.2801,3.6483,0.0065,0.0843,0.0215,0.09816868357674101
427621927,5.1563,18.3841,14.6261,0.0957,0.3394,0.1991,0.10133499999681532
427621928,5.566,21.5332,16.8312,0.1049,0.3546,0.2049,0.09105580497377844
427621929,5.0259,21.9434,16.6235,0.0697,0.3151,0.2009,0.08548150399146558
427621930,4.5853,21.3032,15.5891,0.0492,0.3286,0.2173,0.08975514439115811
427621931,4.6163,20.2215,14.2241,0.0767,0.4192,0.2617,0.08548150399146558
427621932,4.3829,20.6579,14.3341,0.0773,0.4221,0.262,0.08377203058083679
427621933,4.2942,20.498,14.8429,0.0736,0.4261,0.2733,0.08321729873508964
427621935,3.8199,19.636,13.6489,0.0771,0.3489,0.209,0.08548150399146558
427621938,1.1054,2.9548,3.6191,0.0009,0.0146,0.014,0.09105580497377844
427621939,1.0602,2.9639,3.5912,0.0044,0.0238,0.016,0.09239471398211957
427621940,1.0732,3.0713,3.5638,0.009,0.0269,0.0184,0.09307904275505513
427621942,1.3496,3.0264,3.4878,0.0013,0.009,0.0136,0.0937735836449438
427621943,3.6881,6.5174,3.9446,0.0221,0.0267,0.0173,0.1038470904936626
427621949,4.7289,8.8884,4.5579,0.0387,0.0455,0.0232,0.08849111644335216
427621950,4.6397,9.0423,4.6986,0.0266,0.0338,0.0218,0.08911864874469005
427621951,4.6728,9.1352,4.4969,0.0529,0.07,0.0273,0.08787235948346774
427621952,4.4489,8.6517,4.2021,0.042,0.0548,0.0263,0.08911864874469005
427621956,2.3292,7.5434,4.7576,0.0006,0.0561,0.018,0.07020097205976435
427621957,2.5118,7.3475,5.1921,0.0003,0.0737,0.0196,0.06346488289866778
427621960,1.1898,3.3996,3.555,0.0021,0.0337,0.0156,0.09447856694680049
427621961,1.2184,3.2432,3.5545,0.0011,0.0295,0.0147,0.09447856694680049
427621962,1.3405,3.1899,3.563,0.0,0.0194,0.0133,0.09307904275505513
427621963,1.343,3.2915,3.6706,0.0,0.0242,0.0137,0.09040079679516942
427621964,1.4533,3.2107,3.5394,0.0,0.0252,0.0132,0.0937735836449438
427621965,1.4427,3.3895,3.557,0.0,0.0299,0.0133,0.09307904275505513
427621966,1.5991,3.7022,3.6686,0.0003,0.0268,0.014,0.09105580497377844
427621967,1.2852,3.3107,3.5191,0.0,0.0311,0.0132,0.0937735836449438
427621987,1.3379,4.4161,2.8502,0.0,0.0147,0.0108,0.11423011752805243
427621988,1.3513,4.2986,2.8374,0.0,0.0157,0.0107,0.11527791973048969
427621989,1.1102,4.9541,2.8888,0.0,0.0247,0.0106,0.11634512054520679
427621990,1.329,5.4304,3.1098,0.0,0.0249,0.0112,0.11022268844923072
427621991,1.2082,4.931,2.9839,0.0,0.0257,0.0109,0.1132011898318306
427621992,1.1242,5.056,3.034,0.0,0.0263,0.0111,0.11119795425652645
427621993,1.1853,5.3296,3.1291,0.0028,0.0404,0.0145,0.10832258979485408
427621994,1.2121,4.9048,3.0198,0.0013,0.0262,0.0125,0.11219063124580061
427621995,1.1941,4.9476,3.096,0.0008,0.0217,0.0121,0.11119795425652645
427621996,2.2497,9.8111,6.304,0.0389,0.1081,0.0589,0.1021587506273488
