detection_id,B,G,R,nB,nG,nR,Compactness
432924610,4.0799,5.4334,8.0692,0.0476,0.0704,0.0888,0.13657449043501094
432924613,4.2798,5.9632,9.5272,0.0561,0.0847,0.12,0.11853991327830876
432924614,3.2247,4.6141,7.7788,0.0387,0.0608,0.0874,0.1396087127968195
432924615,3.6547,5.2396,8.5548,0.0536,0.0762,0.1022,0.13226261511265314
432924618,1.9219,2.3954,4.467,0.0377,0.0468,0.0668,0.2129260181386661
432924627,3.3424,3.7821,6.0878,0.0484,0.0603,0.0797,0.14610036423614817
432924628,2.203,2.8438,4.8222,0.0252,0.0366,0.0517,0.1963000700655754
432924631,3.6587,3.8203,6.1257,0.0704,0.0733,0.092,0.1721088567938853
432924632,1.7823,2.0522,4.3662,0.0372,0.0371,0.0701,0.2093793437612272
432924635,4.649,5.0629,7.3072,0.0717,0.0753,0.0829,0.16317136358672749
432924638,2.6353,3.5898,6.2652,0.0313,0.0502,0.0777,0.15322506464696445
432924639,1.7938,2.5752,5.1182,0.0239,0.0424,0.0671,0.16108014280507627
432924654,6.7148,5.6138,10.2009,0.0288,0.0275,0.0501,0.06041383338136221
432924656,1.4988,1.1061,2.8081,0.0067,0.0059,0.0133,0.15904183716398032
432924661,2.3563,1.9078,3.7286,0.0189,0.0161,0.0223,0.1495779344429456
432924664,4.1178,4.0695,6.1505,0.0511,0.0496,0.0689,0.19941430995731257
432924669,6.9523,5.9568,8.9612,0.1156,0.1009,0.1149,0.1021587506273488
432924671,3.5455,3.9724,6.4239,0.0606,0.0687,0.0937,0.16317136358672749
432924672,2.172,2.3616,4.5888,0.0162,0.019,0.0345,0.1963000700655754
432924673,1.6612,1.8436,3.9706,0.0324,0.0367,0.0672,0.2059488517353309
432924674,2.2744,2.2142,3.5885,0.0284,0.0278,0.0321,0.2059488517353309
432924678,7.5902,7.829,12.8183,0.0885,0.1022,0.1838,0.11966865507387159
432924684,7.102,8.33,13.7321,0.0776,0.1023,0.1682,0.11219063124580061
432924688,4.131,4.1781,5.5891,0.0421,0.0415,0.0444,0.19328157927359077
432924689,3.3397,3.8957,6.2298,0.0502,0.0666,0.0955,0.16978395275546265
432924691,2.6375,3.0768,5.9678,0.0517,0.0667,0.1251,0.16752101074657041
432924696,24.1343,25.601,32.6525,0.4573,0.4778,0.5277,0.0539319190680174
432924698,18.4814,16.3411,21.1341,0.2998,0.2571,0.2401,0.037964517283050205
432924706,2.5063,1.9828,5.275,0.0,0.0,0.0144,0.08606693785815557
432924710,9.9978,8.8119,13.8644,0.0212,0.0212,0.0445,0.05439884443645084
432924711,20.8189,22.0044,26.5995,0.3376,0.3591,0.3765,0.06477336728387235
432924712,11.8478,10.3963,13.7298,0.0406,0.0411,0.0584,0.06251769380643689
432924724,3.7715,4.3467,7.7348,0.0508,0.0605,0.0938,0.13807493637999585
432924725,2.7243,3.244,6.9304,0.0628,0.0791,0.1267,0.12440706908215582
432924727,5.2391,4.6583,7.4556,0.0785,0.0729,0.0898,0.12440706908215582
432924729,9.6282,8.9662,12.923,0.1442,0.1366,0.1612,0.08975514439115811
432924731,2.525,3.0213,6.1163,0.0415,0.0545,0.0896,0.15904183716398032
432924732,5.3773,5.1821,7.8556,0.2069,0.1927,0.1902,0.11219063124580061
432924734,6.0979,7.0528,11.9582,0.093,0.108,0.1567,0.10559216905199818
432924748,4.5015,4.3274,6.3545,0.0867,0.0744,0.0825,0.14610036423614817
432924750,2.3367,2.4416,4.7231,0.0336,0.0353,0.0555,0.18751471302418415
432924752,2.5287,3.1312,6.6269,0.0404,0.0537,0.0962,0.16978395275546265
432924753,2.3904,2.9744,5.7409,0.0386,0.0535,0.0782,0.14610036423614817
432924763,1.7735,1.385,2.4691,0.0034,0.0027,0.0074,0.2059488517353309
432924764,1.9458,1.547,2.3822,0.0384,0.0309,0.0259,0.23701364694242527
432924765,2.2049,1.7509,2.6676,0.0448,0.0363,0.0301,0.2093793437612272
432924766,1.9378,1.5393,2.4447,0.0422,0.0347,0.0307,0.224325293611701
432924772,13.426,11.1012,13.8843,0.0665,0.0612,0.0707,0.05584942297118333
432924773,8.5362,7.0045,10.4046,0.0187,0.0174,0.0344,0.0675591583065621
432924774,16.3908,16.136,22.1593,0.387,0.3702,0.4094,0.0589957324588329
432924775,9.1054,8.1358,11.8403,0.0708,0.0782,0.0997,0.07139750161301212
432924784,6.5304,6.5507,9.2046,0.1682,0.1698,0.1761,0.11119795425652645
432924792,5.5338,5.3409,9.5523,0.1255,0.123,0.1467,0.08055030487456037
432924794,1.861,1.6832,3.357,0.0439,0.0383,0.0415,0.1721088567938853
432924798,8.7695,8.313,11.7032,0.1368,0.1278,0.1336,0.08490398027194407
432924799,5.0646,4.8228,9.1478,0.0831,0.0845,0.1019,0.07059533429497317
432924805,16.362,19.7122,31.9474,0.2756,0.3305,0.467,0.04245346694193159
432924806,8.1462,7.175,10.8773,0.1574,0.1471,0.156,0.07903061153879146
432924808,5.7455,8.2841,13.8492,0.0618,0.0962,0.1566,0.0937735836449438
432924809,5.8302,5.4393,9.1747,0.1028,0.0977,0.1112,0.08321729873508964
432924811,11.154,13.5769,21.5575,0.1942,0.2285,0.2986,0.05560231145909046
432924812,3.646,3.5024,6.0305,0.0377,0.0363,0.0451,0.12199187159268324
432924815,13.0067,15.2534,22.4907,0.1689,0.2062,0.2781,0.07756719641593564
432924824,0.8262,0.6397,2.3382,0.0023,0.0017,0.0084,0.18475840065665078
432924832,5.9423,7.2944,12.962,0.0793,0.1004,0.1517,0.08606693785815557
432924833,1.5155,1.5349,3.3647,0.0973,0.0987,0.0963,0.16108014280507627
432924840,3.8601,3.7556,6.2012,0.0666,0.0641,0.074,0.12821464331793822
432924842,2.2037,1.9724,4.2323,0.1,0.0869,0.0955,0.13807493637999585
432924850,2.3044,2.0194,3.3386,0.0828,0.0686,0.0575,0.16752101074657041
432924853,11.1649,10.7833,11.4128,0.1139,0.1035,0.0973,0.09239471398211957
