detection_id,B,G,R,nB,nG,nR,Compactness
432768185,3.7889,4.1317,6.2559,0.0771,0.0855,0.1002,0.15511613727099602
432768187,8.9057,9.5015,12.6639,0.1074,0.1193,0.1435,0.09665858053229819
432768189,7.3251,7.8667,10.8773,0.1252,0.1406,0.1667,0.10832258979485408
432768191,7.8457,8.2725,10.7231,0.0188,0.0225,0.0292,0.10133499999681532
432768196,35.2994,36.979,42.6477,1.748,1.8295,1.855,0.05370144932732833
432768200,12.5599,13.2267,17.1735,0.1603,0.1798,0.183,0.06792432131461863
432768201,4.3507,4.4591,6.0667,0.0134,0.0145,0.02,0.17449830252036147
432768214,3.889,3.8435,5.038,0.0633,0.0624,0.0636,0.21659487670178934
432768215,3.7687,3.707,4.9382,0.0559,0.055,0.0576,0.2129260181386661
432768216,4.9886,4.9517,6.8391,0.0393,0.0382,0.0444,0.14781870195462177
432768217,5.3568,5.3417,6.8311,0.0318,0.0309,0.0371,0.1794818739290955
432768218,5.5286,5.5148,7.0285,0.0329,0.0325,0.0388,0.17695501477362918
432768219,4.9433,4.8762,6.4718,0.0229,0.0228,0.0292,0.1903544897796419
432768222,8.5307,8.1719,9.213,0.0357,0.0357,0.0428,0.1721088567938853
432768223,6.344,6.1184,7.0254,0.0268,0.0268,0.0325,0.2129260181386661
432768231,4.7064,4.8936,5.8931,0.0088,0.0134,0.0081,0.16978395275546265
432768232,10.8971,11.5416,13.5298,0.0361,0.0491,0.0302,0.08433420746488306
