detection_id,B,G,R,nB,nG,nR,Compactness
432709391,6.0172,6.6954,8.7206,0.0364,0.045,0.0373,0.10739689511380088
432709393,15.5247,16.3655,20.3738,0.1402,0.1518,0.1768,0.10471236017896915
432709394,13.6107,14.0787,21.1165,0.1104,0.115,0.1427,0.03976659483909075
432709396,24.8972,24.6172,29.7476,0.2006,0.194,0.2134,0.06378702284985524
432709398,4.8826,5.1583,6.7713,0.009,0.0136,0.0121,0.15705446369492315
432709401,7.9442,8.2442,11.3191,0.0817,0.0853,0.1067,0.13657449043501094
432709402,2.2448,2.2401,4.0614,0.0147,0.0133,0.0192,0.15705446369492315
432709404,23.1784,24.8348,29.9917,0.2046,0.2192,0.2421,0.08321729873508964
432709405,34.0479,34.7215,39.8234,0.1426,0.1426,0.1609,0.06866661880204716
432709406,3.5649,3.7235,5.5925,0.0106,0.0131,0.0162,0.1495779344429456
432709407,6.7388,6.9486,8.9488,0.185,0.1906,0.1894,0.1351063003197879
432709408,9.627,10.1905,13.3663,0.052,0.0539,0.0676,0.13226261511265314
432709409,7.0884,7.0096,8.6803,0.0512,0.0516,0.0576,0.15137953892966877
432709410,6.7424,6.9284,9.858,0.031,0.031,0.0407,0.1351063003197879
432709413,4.7273,4.82,6.5542,0.1164,0.117,0.1192,0.15904183716398032
432709418,17.3869,18.0848,22.752,0.1792,0.1872,0.2177,0.09592081711552267
432709420,8.1306,7.2557,7.3322,0.086,0.0744,0.0576,0.13226261511265314
432709421,16.1125,16.5376,20.8359,0.0911,0.0918,0.1086,0.1038470904936626
432709422,16.8213,16.6852,19.5877,0.0844,0.0836,0.0954,0.1021587506273488
432709423,14.1804,14.9247,18.4209,0.193,0.2027,0.2214,0.10133499999681532
432709424,5.0949,5.5892,7.2071,0.0344,0.0468,0.0419,0.1427807996875266
432709425,16.4343,16.951,21.7363,0.0767,0.0771,0.0973,0.1038470904936626
432709426,8.7727,9.1982,12.51,0.0648,0.068,0.0887,0.13226261511265314
432709427,8.9844,8.011,8.357,0.0739,0.0656,0.0558,0.12953615542145414
432709428,9.9371,10.365,13.8132,0.0744,0.0775,0.1007,0.12821464331793822
432709429,10.1633,9.0071,8.9697,0.1413,0.1231,0.0966,0.12081909724428652
432709430,12.6313,13.0959,17.0956,0.0863,0.0889,0.1143,0.11022268844923072
432709431,19.1565,19.6464,23.5352,0.088,0.088,0.1048,0.1021587506273488
432709432,14.9574,15.7186,19.6804,0.1099,0.1145,0.1357,0.10471236017896915
432709433,15.0229,15.5074,19.1414,0.068,0.0682,0.082,0.10832258979485408
432709434,9.407,9.4879,10.3136,0.4548,0.4576,0.3891,0.13226261511265314
432709435,11.0426,11.5514,14.856,0.0533,0.0554,0.0708,0.12440706908215582
432709436,12.9373,13.206,14.0029,0.6683,0.6776,0.5902,0.10926437976474195
432709437,9.2345,9.5215,11.8992,0.2965,0.3019,0.3195,0.12953615542145414
432709438,5.8661,6.2891,7.9927,0.0545,0.0638,0.0436,0.12691981982432735
432709439,5.2337,5.7608,7.2476,0.0447,0.0464,0.0447,0.1396087127968195
432709440,8.2628,8.6748,11.5572,0.0408,0.0424,0.0569,0.13657449043501094
432709441,9.6333,10.2506,12.4313,0.1224,0.1467,0.1334,0.10299600257653854
432709442,6.4344,7.084,8.9818,0.0568,0.062,0.0625,0.11219063124580061
432709443,5.2267,5.6274,7.6165,0.1341,0.1463,0.1308,0.11853991327830876
432709444,7.8274,8.0763,10.6957,0.0522,0.0546,0.0673,0.14610036423614817
432709445,15.8698,16.4068,20.5252,0.0934,0.0971,0.1168,0.10133499999681532
432709446,8.9124,9.3917,11.6198,0.1244,0.1345,0.1172,0.10052442674077641
432709447,12.0612,11.8633,14.1514,0.1974,0.1916,0.195,0.11743226366213184
432709448,10.1171,10.5055,13.571,0.0906,0.0962,0.1181,0.12821464331793822
432709449,5.6008,6.0507,7.7293,0.0555,0.0567,0.0617,0.13088518977836702
432709450,9.0663,8.9037,11.003,0.0901,0.088,0.0943,0.13657449043501094
432709451,8.7566,9.0322,11.7491,0.0639,0.0663,0.0805,0.1351063003197879
432709452,8.0058,8.3695,9.2299,0.2238,0.2324,0.1984,0.1351063003197879
432709453,9.2868,9.3737,11.1751,0.0562,0.0558,0.0633,0.13807493637999585
432709454,13.7148,13.788,15.8377,0.076,0.076,0.0841,0.11634512054520679
432709455,6.042,6.7262,8.339,0.1043,0.1181,0.0998,0.12199187159268324
432709456,5.7097,5.9008,7.5,0.0695,0.0744,0.0698,0.11219063124580061
432709457,9.5356,9.8824,12.6163,0.0501,0.0532,0.0662,0.1351063003197879
432709458,5.0672,5.4842,7.0087,0.3275,0.3507,0.3311,0.15511613727099602
432709459,4.5875,4.8686,7.6212,0.0324,0.0357,0.05,0.1336693370934263
432709460,6.5484,6.855,9.2862,0.027,0.027,0.0367,0.12691981982432735
432709461,18.6944,19.4205,22.5796,0.1487,0.1539,0.1662,0.10299600257653854
432709462,9.5222,10.056,13.0594,0.0569,0.0607,0.0738,0.1351063003197879
432709463,9.9276,10.5599,13.2198,0.121,0.1309,0.1463,0.1336693370934263
432709464,13.3502,13.8051,16.4429,0.0615,0.0624,0.073,0.12318763468639518
432709465,8.1994,8.6424,11.3222,0.0713,0.0771,0.0925,0.14610036423614817
432709466,8.9164,8.0329,8.5087,0.0776,0.0711,0.0551,0.1427807996875266
432709467,3.6738,3.8865,5.1875,0.03,0.03,0.0286,0.14781870195462177
432709468,5.0363,5.1455,6.3605,0.2728,0.2764,0.2384,0.15322506464696445
432709469,10.5271,10.5854,12.6839,0.0602,0.0598,0.0674,0.1336693370934263
432709470,7.3522,7.7339,10.146,0.2695,0.288,0.3125,0.1427807996875266
432709471,4.0076,4.2345,5.0276,0.1975,0.2117,0.1777,0.19328157927359077
432709473,6.0186,6.3043,8.6223,0.0291,0.0291,0.0396,0.17695501477362918
432709476,12.1343,12.6715,16.771,0.0596,0.0607,0.0794,0.11743226366213184
432709477,5.189,5.5103,7.7674,0.0161,0.0199,0.0289,0.14442151192814084
432709479,6.2366,6.5808,9.2801,0.0375,0.0396,0.0557,0.15511613727099602
432709480,4.9225,5.0124,5.9141,0.1143,0.1172,0.1033,0.16978395275546265
432709481,4.1538,4.3729,6.181,0.0199,0.0199,0.0259,0.2093793437612272
432709482,8.1142,8.3047,10.8639,0.0877,0.0913,0.1059,0.13807493637999585
432709486,22.2908,23.4258,30.0437,0.186,0.1973,0.2374,0.057118675464029094
432709488,3.2239,3.3855,4.3181,0.1358,0.1424,0.1239,0.19941430995731257
432709492,2.8904,3.0341,5.6371,0.0215,0.0226,0.0328,0.12199187159268324
432709494,3.2945,3.4653,5.8445,0.0645,0.0681,0.0752,0.13226261511265314
432709516,6.2398,6.7057,8.7781,0.0396,0.044,0.0534,0.16752101074657041
432709518,2.5042,2.7926,4.5377,0.0386,0.041,0.0472,0.16752101074657041
432709519,12.9987,13.5172,17.3692,0.0831,0.0864,0.1058,0.10052442674077641
432709521,5.8347,5.8509,7.9459,0.0256,0.0255,0.0339,0.14610036423614817
432709524,5.3454,5.387,7.5147,0.0278,0.0278,0.0362,0.1411769425941694
432709528,3.8162,3.935,5.1654,0.0603,0.0625,0.0601,0.15904183716398032
432709533,6.042,6.0156,7.5992,0.0519,0.0517,0.0577,0.16752101074657041
432709534,6.269,6.6437,10.5824,0.0504,0.0556,0.0758,0.09172037375316221
432709536,6.2463,6.5054,9.4364,0.0446,0.0469,0.0613,0.12953615542145414
432709541,4.9331,4.903,6.89,0.027,0.027,0.0342,0.14442151192814084
432709543,5.6605,5.9082,8.1506,0.0954,0.1001,0.116,0.15904183716398032
432709544,14.232,15.0212,19.704,0.1081,0.115,0.1383,0.08666044549832956
432709548,8.1444,7.9806,9.9372,0.0765,0.0752,0.0829,0.15322506464696445
432709550,21.8907,22.5133,27.3126,0.1403,0.143,0.1675,0.07853670966610296
432709552,4.3778,4.5156,6.3613,0.0359,0.0379,0.0482,0.18208192715442573
432709556,21.4917,21.001,26.1099,0.3004,0.2894,0.2955,0.04889563761385481
432709558,7.1731,7.3919,10.2998,0.0523,0.0549,0.0685,0.11966865507387159
432709559,6.4514,6.5467,9.064,0.0325,0.0325,0.0448,0.13226261511265314
432709561,25.273,25.658,30.1547,0.106,0.106,0.1289,0.07479714303071543
432709562,12.8759,12.5619,16.1435,0.2443,0.2362,0.2464,0.0675591583065621
432709563,12.5598,12.1783,15.5878,0.3381,0.3241,0.3276,0.06942531913488556
432709565,20.7831,21.4067,25.7026,0.1049,0.1095,0.1291,0.07903061153879146
432709567,8.6462,8.8935,12.5005,0.1095,0.1128,0.1349,0.09447856694680049
432709568,11.1799,11.783,15.6538,0.2227,0.237,0.2667,0.09894156757337469
432709576,11.1029,11.7373,15.6483,0.086,0.0928,0.1167,0.10559216905199818
432709578,8.4583,8.9091,11.8836,0.196,0.2138,0.2005,0.08666044549832956
432709579,3.0352,3.2715,5.1751,0.0395,0.0435,0.0471,0.15322506464696445
432709583,2.3689,2.4764,4.1354,0.0198,0.0217,0.0248,0.16978395275546265
432709584,44.3931,45.6498,56.183,0.6585,0.6901,0.7754,0.036006495270037596
432709587,11.2953,11.5669,17.0453,0.0467,0.0467,0.0677,0.059274001684944774
432709590,1.8477,1.9214,3.6772,0.0275,0.0287,0.0348,0.17449830252036147
432709591,5.7872,5.8678,8.0825,0.0436,0.0437,0.0519,0.1336693370934263
432709592,4.7857,5.0737,7.9668,0.3372,0.3595,0.3608,0.10559216905199818
432709594,4.5385,4.9213,7.9805,0.0652,0.0704,0.0841,0.10926437976474195
432709596,3.3604,3.6753,6.7454,0.0249,0.0278,0.0422,0.11527791973048969
432709598,3.5194,3.8964,6.2946,0.0404,0.0448,0.0601,0.15322506464696445
432709600,7.1034,7.1345,9.3304,0.1639,0.1644,0.1678,0.13226261511265314
432709604,6.5503,6.3981,8.5548,0.3311,0.3246,0.3202,0.1336693370934263
432709606,5.8546,5.6724,7.9115,0.3226,0.3119,0.3105,0.12953615542145414
432709612,8.564,8.8479,11.1951,0.3199,0.3319,0.3316,0.12199187159268324
432709617,18.4983,20.2157,24.9126,0.1399,0.1527,0.1583,0.04671448198421
432709618,2.6458,2.8234,4.2004,0.0643,0.0688,0.0674,0.18751471302418415
432709621,12.2891,11.8455,13.8366,0.4201,0.4034,0.3708,0.09447856694680049
432709622,23.633,23.304,27.7374,0.4258,0.4149,0.4141,0.058176383157876974
432709625,4.5432,4.4161,6.1765,0.2861,0.2773,0.2827,0.17449830252036147
432709626,5.2806,5.6886,7.5082,0.1375,0.1496,0.1565,0.1721088567938853
432709627,10.5821,11.0125,13.6212,0.4989,0.5167,0.5166,0.10926437976474195
432709631,18.2964,19.2228,23.3646,0.6015,0.64,0.6459,0.06444121395927624
432709632,3.8873,3.8397,5.5001,0.1889,0.1846,0.1871,0.18208192715442573
432709633,4.4992,4.6291,6.2897,0.0981,0.1011,0.106,0.1794818739290955
432709635,9.307,9.1479,11.3285,0.576,0.5606,0.5439,0.11527791973048969
432709637,9.5562,10.0871,13.502,0.1429,0.1518,0.173,0.10648688664370398
432709638,9.513,10.1648,13.6864,0.1659,0.1779,0.1986,0.10052442674077641
432709639,4.487,4.8178,7.0544,0.3395,0.3684,0.4041,0.1721088567938853
432709640,7.189,7.5349,9.9796,0.1772,0.1867,0.1944,0.12953615542145414
