detection_id,B,G,R,nB,nG,nR,Compactness
1162312158,1.9824,1.9803,3.0598,0.0,0.0,0.0077,0.15904183716398032
1162312165,1.8322,1.875,2.8535,0.0,0.0,0.0072,0.16978395275546265
1162312178,6.5734,6.4178,8.1358,0.0018,0.002,0.0217,0.06220821570931003
1162312179,6.1626,6.0399,7.7908,0.0,0.0,0.0195,0.06378702284985524
1162312190,12.6098,13.3833,15.5904,0.3185,0.3423,0.2998,0.07756719641593564
1162312198,6.9674,6.6434,7.4213,0.0,0.0,0.0172,0.07221810771057427
1162312201,4.0215,3.7271,5.7082,0.0182,0.0204,0.0323,0.09519422993221213
1162312206,2.4959,2.3983,3.7902,0.0,0.0,0.0093,0.13226261511265314
1162312331,3.6525,3.2383,4.6479,0.0123,0.0115,0.0197,0.14610036423614817
1162312332,1.9422,1.8122,3.2292,0.0118,0.0119,0.02,0.18475840065665078
1162312333,1.6016,1.4848,2.7741,0.0147,0.0146,0.0199,0.19328157927359077
1162312339,15.2023,15.9871,18.3416,0.4077,0.4288,0.3766,0.06579069379816853
1162312352,2.41,2.2738,3.7236,0.0033,0.003,0.0116,0.1396087127968195
1162312460,2.242,2.1887,4.4435,0.0109,0.0109,0.0218,0.11743226366213184
1162312467,1.6234,1.4919,3.3535,0.0,0.0,0.0101,0.12199187159268324
1162312473,4.0807,3.8934,4.9256,0.0,0.0,0.0118,0.10471236017896915
1162312478,1.6048,1.5135,2.7385,0.0068,0.006,0.0109,0.2093793437612272
1162312494,8.6278,7.451,8.5279,0.0711,0.0684,0.0668,0.07804894248762141
1162312502,2.066,1.8704,3.2847,0.0983,0.0885,0.0803,0.18208192715442573
1162312504,1.8237,1.627,3.1895,0.062,0.055,0.0555,0.18208192715442573
1162312617,2.6314,2.6433,4.2605,0.0787,0.079,0.0696,0.13657449043501094
1162312631,3.6516,3.6341,4.3413,0.0702,0.0689,0.0574,0.19328157927359077
1162312632,3.0506,3.1448,4.0115,0.0514,0.0524,0.046,0.20262892686416292
1162312633,5.6609,5.8749,7.0849,0.0589,0.0652,0.0657,0.13657449043501094
1162312634,6.2,6.4272,7.6768,0.0615,0.0669,0.0632,0.12821464331793822
1162312635,7.663,7.746,8.956,0.0761,0.0779,0.0705,0.11634512054520679
1162312636,7.1729,7.453,8.8526,0.1634,0.1772,0.1467,0.10648688664370398
1162312637,7.2788,7.1549,7.6823,0.1125,0.1129,0.0925,0.13807493637999585
1162312642,3.2699,3.2271,4.488,0.0,0.0,0.01,0.12318763468639518
1162312644,2.9707,2.9291,4.7305,0.0,0.0,0.0117,0.10559216905199818
1162312645,2.7965,2.7828,4.484,0.0,0.0,0.0111,0.11119795425652645
1162312646,2.9131,2.8539,4.1838,0.0,0.0,0.0104,0.11853991327830876
1162312647,2.8428,2.8419,4.2003,0.0,0.0,0.0105,0.11743226366213184
1162312648,2.4796,2.2762,3.495,0.0,0.0,0.0091,0.1351063003197879
1162312649,2.8869,2.6988,3.9392,0.0018,0.0017,0.0116,0.12199187159268324
1162312650,2.8819,2.6706,3.9617,0.0033,0.0035,0.013,0.12199187159268324
1162312651,2.883,2.696,3.9072,0.0056,0.006,0.0146,0.12318763468639518
1162312808,1.3788,1.5103,2.3923,0.0,0.0,0.0054,0.224325293611701
