detection_id,B,G,R,nB,nG,nR,Compactness
432464501,4.9426,12.9044,8.3773,0.1255,0.2994,0.1015,0.0675591583065621
432464502,5.0341,13.1356,8.3011,0.1433,0.3387,0.1309,0.06792432131461863
432464503,5.1126,13.2595,8.351,0.1564,0.3731,0.1218,0.0675591583065621
432464504,5.0434,13.2584,8.3562,0.1452,0.346,0.1165,0.0675591583065621
432464505,5.0876,13.5114,8.3525,0.1723,0.408,0.1301,0.06829345312829196
432464506,5.0748,13.4942,8.3331,0.1571,0.3768,0.1318,0.06866661880204716
432464507,4.9702,14.0634,8.2485,0.1624,0.4312,0.1376,0.06792432131461863
432464522,5.3411,5.7952,4.9422,0.0761,0.0733,0.0367,0.09740778003073822
432464523,5.5917,6.114,4.8999,0.0525,0.0532,0.0266,0.09894156757337469
432464524,5.4058,5.7332,5.2045,0.0759,0.0763,0.037,0.09239471398211957
432464528,14.1216,30.9172,30.8099,0.2604,0.6878,0.534,0.06012478543760053
432464529,9.244,21.975,21.0517,0.185,0.5358,0.3872,0.06411244968272661
432464530,6.3119,12.8101,10.8704,0.1742,0.3851,0.2284,0.10648688664370398
432464532,4.4255,11.4565,9.8403,0.1158,0.367,0.2072,0.11853991327830876
432464533,4.4065,12.6564,14.5009,0.0395,0.1951,0.1628,0.059274001684944774
432464534,5.9865,14.4127,16.3282,0.0976,0.3068,0.2585,0.05737948033237819
432464535,7.2479,16.7826,17.7727,0.11,0.3365,0.2591,0.058176383157876974
432464538,12.0945,26.3881,22.9629,0.2031,0.5088,0.3584,0.08787235948346774
432464539,10.6546,25.5438,24.5554,0.2164,0.6388,0.4776,0.056098740702361524
432464540,1.7208,3.4115,6.1671,0.0042,0.0178,0.0255,0.0541643755046309
432464541,2.6166,4.4364,7.6442,0.0125,0.0217,0.0365,0.04603003942056844
432464542,3.2077,4.8392,8.3727,0.0058,0.0201,0.0318,0.0406674373693737
432464544,1.7052,3.1097,6.8356,0.0034,0.014,0.0276,0.049086630312145024
432464545,2.1743,3.3645,7.231,0.0047,0.0147,0.0293,0.04706439330664793
432464546,10.1347,19.87,20.9491,0.1378,0.2928,0.2315,0.04927912092245134
432464548,18.1315,34.8712,34.4875,0.2373,0.5291,0.4163,0.04536536335524013
432464553,4.4637,6.8336,9.2794,0.0616,0.0997,0.0864,0.04603003942056844
432464554,3.9225,6.9231,9.9952,0.0388,0.0779,0.0719,0.04288813389916635
432464558,7.2668,8.774,7.0357,0.074,0.0979,0.0549,0.09894156757337469
432464559,13.6178,15.9305,11.7786,0.4592,0.4947,0.2249,0.059274001684944774
432464560,7.9411,11.3672,9.758,0.2408,0.2916,0.1382,0.06041383338136221
432464566,0.9695,5.1343,6.4858,0.0082,0.0741,0.0322,0.07435458803139107
432464567,0.8664,4.4489,5.7901,0.0134,0.0902,0.0334,0.077091360650504
432464568,2.0467,4.5196,7.0028,0.0401,0.0853,0.0668,0.08106994029334431
432464570,6.4304,7.0566,4.7928,0.0549,0.0526,0.0296,0.08726219508235135
432464571,10.4046,11.6745,7.4087,0.1969,0.1956,0.1113,0.07180546030797123
432464572,11.1113,13.5936,8.352,0.1153,0.1133,0.058,0.06544805286939072
432464573,12.414,13.623,8.5932,0.0735,0.0723,0.0456,0.06411244968272661
432464574,13.1631,13.677,8.4076,0.1126,0.1007,0.0451,0.06346488289866778
432464575,13.322,14.2791,8.5063,0.1493,0.1387,0.0685,0.06283026644890574
432464576,12.5065,15.095,8.4938,0.1247,0.1286,0.0473,0.0661369411690469
432464577,18.7457,22.9776,14.7656,0.3327,0.4073,0.2021,0.06544805286939072
432464578,11.172,13.6007,10.1132,0.1809,0.221,0.1062,0.07903061153879146
432464583,14.6711,20.3953,14.4884,0.1795,0.2503,0.1656,0.04870612541107282
432464584,13.3136,18.1583,13.8428,0.1769,0.2323,0.1598,0.048146301614186766
432464586,4.7337,16.6455,16.057,0.1338,0.6011,0.4422,0.08106994029334431
432464587,3.4574,15.5573,16.3022,0.0761,0.4724,0.3554,0.06477336728387235
432464590,14.1079,22.3899,23.6981,0.1497,0.2534,0.2246,0.09040079679516942
432464591,14.1661,21.389,22.6887,0.1009,0.149,0.1418,0.10739689511380088
432464593,14.6641,24.3085,27.1149,0.1081,0.2012,0.1846,0.0650944959801985
432464594,17.2267,28.1065,29.8492,0.1312,0.2509,0.2194,0.07615699026400004
432464595,10.8425,22.9614,22.7047,0.1993,0.4595,0.3187,0.05370144932732833
432464596,19.6865,28.6109,29.1122,0.1473,0.2176,0.1886,0.07391723900466864
432464600,6.8601,23.2719,23.8237,0.138,0.5696,0.4533,0.05279893651282317
432464601,5.4264,18.8685,19.4529,0.0818,0.3311,0.2733,0.07479714303071543
432464602,5.3916,18.9517,20.0971,0.1123,0.3987,0.3429,0.07221810771057427
432464603,4.5905,16.5408,17.3092,0.0885,0.348,0.3006,0.0937735836449438
432464604,12.0998,24.498,22.3738,0.342,0.7294,0.5151,0.08606693785815557
432464605,9.1154,19.1233,20.8187,0.2251,0.5348,0.3878,0.049668666921834095
432464607,9.302,21.5623,19.0938,0.1259,0.3698,0.2488,0.07263552511680024
432464608,8.3728,20.9606,18.389,0.1068,0.4073,0.2588,0.07479714303071543
432464609,8.36,21.2309,17.8414,0.0972,0.3604,0.2224,0.08377203058083679
432464610,9.7862,23.6755,22.6741,0.158,0.4392,0.3319,0.0595549083537657
432464611,5.143,16.9733,16.3241,0.107,0.4317,0.3079,0.06866661880204716
432464614,4.5359,11.1922,11.1713,0.077,0.3017,0.2038,0.08606693785815557
432464615,9.2251,18.1991,16.1218,0.0495,0.1904,0.116,0.08726219508235135
432464616,6.5859,15.9506,17.0704,0.1071,0.4432,0.3253,0.05584942297118333
432464617,5.9769,12.3081,10.7685,0.1375,0.3107,0.1933,0.10832258979485408
432464618,5.5678,13.7969,12.0116,0.1329,0.3577,0.2197,0.09816868357674101
432464619,5.2532,13.2752,11.825,0.1627,0.3972,0.2586,0.09592081711552267
432464620,10.3799,20.208,18.3292,0.2402,0.5766,0.4194,0.10299600257653854
432464621,11.6058,23.8741,21.6916,0.2276,0.571,0.4204,0.08490398027194407
432464624,4.9503,13.0764,13.0415,0.1004,0.2832,0.2047,0.08055030487456037
432464625,13.0601,20.92,21.1816,0.1068,0.183,0.1641,0.11022268844923072
432464626,10.7384,22.0362,20.2606,0.2257,0.5108,0.3728,0.08606693785815557
432464627,7.4464,19.0466,16.8847,0.1564,0.3779,0.2608,0.09816868357674101
432464630,4.7595,14.9464,16.2235,0.1035,0.3016,0.2319,0.05535737701133239
432464631,4.4815,15.0205,15.7959,0.0738,0.2522,0.2007,0.06041383338136221
432464634,4.6953,15.1003,16.0691,0.0552,0.2653,0.2124,0.06190178642991358
432464635,3.9125,13.5399,15.3405,0.056,0.3104,0.2643,0.06411244968272661
432464645,1.4065,5.8772,5.6022,0.0046,0.0271,0.0206,0.08975514439115811
432464659,1.8628,7.4044,6.357,0.0192,0.0511,0.0362,0.07615699026400004
432464660,3.1166,7.7388,7.3335,0.034,0.0646,0.0527,0.07348500463068167
432464661,3.7632,8.9854,8.454,0.0417,0.0844,0.0611,0.07391723900466864
432464662,5.961,12.7263,12.4886,0.1,0.2034,0.1342,0.05535737701133239
432464663,5.1556,12.4379,12.7243,0.0574,0.2086,0.1409,0.07221810771057427
432464664,6.2262,15.2188,15.1143,0.0576,0.2437,0.1678,0.06378702284985524
432464665,6.7592,16.434,16.7452,0.0492,0.1928,0.1381,0.05737948033237819
