detection_id,B,G,R,nB,nG,nR,Compactness
432953685,2.8362,3.0805,5.1365,0.062,0.0682,0.0877,0.20262892686416292
432953687,2.9648,3.2344,5.8484,0.0188,0.0228,0.0389,0.15705446369492315
432953692,4.6905,5.1349,8.9472,0.0001,0.0013,0.0192,0.11022268844923072
432953694,3.3778,3.7045,6.2858,0.032,0.0343,0.0502,0.1794818739290955
432953695,23.9351,28.2013,42.563,0.4697,0.5788,0.7668,0.03785016842433463
432953700,17.9332,20.1926,29.0018,0.3618,0.4188,0.5172,0.06220821570931003
432953702,22.6104,24.1198,31.3017,0.5375,0.5814,0.6743,0.05487392523583279
432953703,2.3094,2.8431,5.6587,0.0568,0.0813,0.1107,0.15904183716398032
432953706,7.8573,8.5816,13.1736,0.2399,0.2641,0.3245,0.09894156757337469
432953707,10.8534,11.6356,16.3968,0.237,0.2518,0.3024,0.09592081711552267
432953709,12.6333,13.465,19.8966,0.2983,0.3204,0.379,0.06378702284985524
432953710,11.7528,12.809,17.4336,0.1786,0.1978,0.2347,0.09239471398211957
432953713,5.6563,6.2859,10.4789,0.1161,0.1272,0.156,0.09519422993221213
432953715,13.9162,15.295,21.734,0.3335,0.3719,0.4642,0.08787235948346774
432953717,7.0238,7.112,8.9425,0.0407,0.0419,0.0492,0.17449830252036147
432953718,7.3345,7.4174,9.1986,0.0514,0.0521,0.0592,0.1721088567938853
432953719,5.4109,5.4327,6.9394,0.0323,0.0323,0.0377,0.2093793437612272
432953720,5.2306,5.2555,6.762,0.0305,0.0305,0.0363,0.2093793437612272
432953721,4.0383,4.0569,5.3791,0.0277,0.0275,0.0327,0.23262772230212783
432953723,4.1421,4.1472,5.4765,0.0374,0.0368,0.0417,0.224325293611701
432953724,7.5267,7.4517,9.0443,0.2457,0.2406,0.2399,0.16752101074657041
432953726,9.0918,8.9502,11.1311,0.1389,0.137,0.1473,0.16317136358672749
432953728,3.5034,3.5354,4.7224,0.0739,0.075,0.0776,0.23701364694242527
432953729,4.3942,4.3405,5.5044,0.3869,0.3801,0.3609,0.2129260181386661
432953730,5.0813,5.0372,6.2195,0.2791,0.2756,0.2563,0.1963000700655754
432953731,4.8433,4.8162,5.9861,0.2698,0.2653,0.253,0.1963000700655754
432953736,6.196,6.2221,7.6659,0.1817,0.1814,0.1768,0.17449830252036147
432953740,9.1367,9.1523,10.563,0.1387,0.1398,0.1317,0.1396087127968195
432953741,8.8808,8.9358,10.5284,0.5947,0.5961,0.583,0.15705446369492315
