detection_id,B,G,R,nB,nG,nR,Compactness
432388155,4.407,4.5231,6.4142,0.0917,0.094,0.1055,0.18208192715442573
432388156,3.8411,3.948,5.7014,0.0822,0.0846,0.0945,0.19328157927359077
432388157,3.5353,3.639,5.094,0.0844,0.0865,0.0942,0.22039234176969208
432388158,3.0388,3.1398,4.8194,0.0848,0.0871,0.0948,0.1903544897796419
432388159,3.1196,3.2175,5.0286,0.0872,0.0903,0.0994,0.1794818739290955
432388196,3.461,3.6419,5.1785,0.1431,0.147,0.1294,0.15705446369492315
432388228,0.3644,0.4426,1.7497,0.0,0.0,0.0052,0.23262772230212783
432388234,9.5695,10.2014,13.6305,0.1243,0.1334,0.1476,0.08666044549832956
432388236,7.7737,7.521,9.4019,0.0329,0.0318,0.0399,0.09105580497377844
432388237,20.1207,20.348,21.467,0.223,0.2208,0.2025,0.06100034753906654
432388265,10.5606,10.598,15.0002,0.2294,0.229,0.2612,0.0607056738604871
432388266,8.0394,8.0256,10.8539,0.0451,0.0426,0.0633,0.0752449975094086
432388268,15.6751,15.762,17.8531,0.057,0.0565,0.0737,0.05983849013957345
432388271,23.3836,23.696,27.0166,0.2205,0.2302,0.2368,0.04778018079289879
432388307,4.1542,4.352,6.8095,0.0069,0.0067,0.02,0.08849111644335216
432388356,3.7523,4.2969,6.2242,0.0958,0.1102,0.1087,0.1256508846247525
432388360,8.0247,8.6869,12.367,0.1382,0.1418,0.1403,0.05764267775279962
432388366,3.8741,3.3688,4.7848,0.0626,0.0531,0.0588,0.21659487670178934
432388368,5.4799,4.8415,6.269,0.0915,0.0798,0.0829,0.18475840065665078
432388369,5.0029,4.4262,5.8867,0.1292,0.1119,0.1125,0.18475840065665078
432388372,5.4608,4.8726,6.3756,0.1143,0.1,0.0994,0.1721088567938853
432388373,4.9751,4.3446,5.8353,0.1083,0.0927,0.0941,0.18475840065665078
432388375,19.1058,19.9257,27.3818,0.6485,0.6823,0.807,0.0595549083537657
432388376,12.6552,13.1925,15.1056,0.056,0.0579,0.0662,0.0607056738604871
432388380,30.2615,31.2019,40.2074,0.5738,0.5986,0.681,0.049086630312145024
432388382,30.1214,30.7416,37.4646,0.4441,0.4567,0.5116,0.06544805286939072
432388400,20.0924,19.8786,23.593,0.552,0.5366,0.5558,0.07391723900466864
432388407,21.1875,21.0031,25.7343,0.5211,0.5201,0.5227,0.06041383338136221
432388418,18.7612,19.6064,22.1576,0.369,0.3847,0.3581,0.06866661880204716
432388420,24.7888,25.8462,31.9251,0.3889,0.4142,0.4277,0.04778018079289879
432388424,19.0007,19.8736,22.0529,0.2555,0.2674,0.2714,0.08490398027194407
432388428,19.435,20.4163,23.5231,0.2596,0.2746,0.2731,0.07348500463068167
432388434,2.7687,2.8853,4.0378,0.1237,0.1302,0.1158,0.2059488517353309
432388460,4.1327,4.4236,5.707,0.1925,0.2064,0.1738,0.1495779344429456
