detection_id,B,G,R,nB,nG,nR,Compactness
427982847,31.7061,30.6789,37.5109,1.2237,1.1879,1.2935,0.0675591583065621
427982848,25.6275,25.1919,30.8759,0.7225,0.7022,0.7687,0.07391723900466864
427982850,19.0554,18.9975,24.0731,0.0696,0.0674,0.0879,0.07756719641593564
427982851,18.9993,19.0894,24.0326,0.0,0.0,0.0157,0.0815963233535219
427982856,20.9297,22.8997,29.8218,0.472,0.5282,0.6068,0.07569824722699373
427982858,15.7695,17.2012,22.0563,0.4316,0.4707,0.5195,0.07569824722699373
427982875,26.6311,28.9878,37.6955,0.4506,0.4904,0.5769,0.04927912092245134
427982925,14.804,14.9105,19.079,0.3557,0.3577,0.3676,0.06159836113714365
427982926,17.5537,18.0868,22.6216,0.7303,0.7633,0.7818,0.058176383157876974
427982958,7.8358,8.425,12.8209,0.4166,0.4546,0.5323,0.09665858053229819
427982965,13.8128,13.4221,18.4802,1.1173,1.0614,1.1981,0.08212958633865283
427982973,23.1775,21.6727,29.5897,2.1387,2.0026,2.2704,0.0595549083537657
427982981,23.9562,22.7571,30.2412,1.4829,1.4128,1.5648,0.06041383338136221
427982983,25.4373,24.3581,31.7832,1.6278,1.5694,1.7114,0.057118675464029094
427982986,25.9008,24.8924,32.328,1.7947,1.7541,1.8866,0.05790830079919458
427982987,25.0699,24.0333,31.419,1.5244,1.4601,1.6155,0.05737948033237819
427982988,25.1062,24.0623,31.5462,1.4595,1.4041,1.551,0.05737948033237819
427982989,25.2027,24.2123,31.5821,1.451,1.4083,1.5273,0.05560231145909046
427982990,24.747,23.6711,30.7544,1.2683,1.2235,1.3216,0.05764267775279962
427982991,24.8478,23.4962,30.4048,1.1051,1.0375,1.1296,0.058176383157876974
427982993,24.2218,23.0643,29.3825,0.9152,0.8744,0.9459,0.06283026644890574
427983013,18.2788,17.5112,20.222,0.4173,0.3974,0.3669,0.07305779571290515
427983014,18.162,17.3274,20.2237,0.4476,0.4223,0.3929,0.07221810771057427
427983015,18.1192,17.4309,20.1582,0.443,0.4166,0.3855,0.07305779571290515
427983016,17.9693,17.2184,19.5174,0.5363,0.508,0.4604,0.077091360650504
427983017,17.3301,16.7354,18.9754,0.4884,0.4663,0.4159,0.07569824722699373
427983018,17.0873,16.445,18.9539,0.7787,0.7509,0.671,0.0752449975094086
427983019,16.7995,16.0646,18.3499,0.819,0.7774,0.6722,0.07615699026400004
427983020,16.7267,16.1412,18.0948,0.5769,0.5535,0.4909,0.08055030487456037
427983047,5.4293,5.6365,11.7026,0.0225,0.0235,0.0419,0.07953076456813789
427983048,5.5614,5.8,11.6332,0.0447,0.0444,0.0659,0.08106994029334431
427983049,5.3042,5.8411,11.0712,0.0397,0.0453,0.0635,0.08666044549832956
