detection_id,B,G,R,nB,nG,nR,Compactness
602690733,4.2728,4.259,5.9105,0.0212,0.0209,0.027,0.19941430995731257
602690734,4.0726,4.0861,5.5521,0.0209,0.0208,0.026,0.2093793437612272
602690735,4.8118,4.7266,6.2327,0.0285,0.0282,0.0342,0.1903544897796419
602690736,5.0605,4.9824,6.4271,0.0334,0.0329,0.0383,0.19328157927359077
602690738,6.1609,6.0399,7.7023,0.0393,0.039,0.0446,0.1721088567938853
602690742,3.8298,3.7781,5.5186,0.021,0.0205,0.0273,0.224325293611701
602690743,3.8976,3.843,5.5564,0.022,0.0216,0.0282,0.22840111198938143
602690745,4.7301,5.7318,11.7739,0.0642,0.0819,0.1666,0.13088518977836702
602690748,1.2702,1.4047,3.4798,0.1229,0.1375,0.1827,0.18208192715442573
602690765,4.8451,4.8827,6.0132,0.0548,0.0555,0.0558,0.20262892686416292
602690771,5.6536,5.5048,7.0404,0.0293,0.0289,0.0347,0.16978395275546265
602690772,5.7539,5.6043,7.2319,0.03,0.0296,0.0356,0.16108014280507627
602690773,4.6783,4.5668,6.1529,0.0225,0.0219,0.0279,0.18475840065665078
602690774,5.8002,5.7263,7.5586,0.0272,0.0272,0.0348,0.16108014280507627
602690775,5.6104,5.5724,7.3414,0.0261,0.0259,0.033,0.1721088567938853
602690778,2.5125,2.5614,4.0602,0.027,0.0277,0.0322,0.1963000700655754
602690786,5.709,5.6024,6.6083,0.0563,0.055,0.0551,0.1963000700655754
602690788,5.6736,5.5236,6.7911,0.0424,0.0416,0.0443,0.19328157927359077
602690789,4.5116,4.466,5.7104,0.025,0.0248,0.0297,0.21659487670178934
