detection_id,B,G,R,nB,nG,nR,Compactness
432444122,11.7779,13.3721,7.8545,0.1276,0.1517,0.0374,0.11634512054520679
432444133,0.9445,5.6493,5.3669,0.003,0.0099,0.0186,0.08212958633865283
432444134,1.3531,5.8071,5.4974,0.0001,0.0033,0.0148,0.08490398027194407
432444135,6.1494,10.6729,8.9934,0.0651,0.136,0.0998,0.07435458803139107
432444145,11.3427,13.3676,7.1482,0.0861,0.083,0.0334,0.07903061153879146
432444147,8.2802,10.3431,6.9804,0.0233,0.0275,0.0254,0.07479714303071543
432444148,6.4502,6.7403,5.0152,0.0188,0.0187,0.0189,0.09740778003073822
432444149,3.3281,5.2662,5.4654,0.0,0.0,0.014,0.08849111644335216
432444150,4.359,7.1048,8.7543,0.0,0.0,0.0235,0.05302170881884524
432444159,6.0602,12.5795,9.5722,0.0071,0.0148,0.0282,0.0589957324588329
432444173,4.5331,7.8796,6.1135,0.0738,0.148,0.0886,0.08787235948346774
432444174,7.8089,10.6091,7.3626,0.119,0.1429,0.0706,0.10832258979485408
432444175,2.1092,5.7598,5.8457,0.0053,0.0187,0.0255,0.08490398027194407
432444176,4.4529,12.5687,10.9957,0.0035,0.0135,0.0292,0.05660411406725943
432444177,5.3857,15.6305,11.3255,0.0234,0.054,0.0496,0.06866661880204716
432444178,1.2093,4.6983,5.2439,0.0039,0.0195,0.0199,0.0815963233535219
432444179,2.7796,8.4469,7.5238,0.034,0.0932,0.0556,0.07391723900466864
432444180,5.5497,17.9054,13.3302,0.1032,0.3051,0.1466,0.04471960971181389
432444182,2.4261,11.2806,8.1089,0.005,0.1241,0.0286,0.0539319190680174
432444187,0.8209,3.6362,5.2381,0.0029,0.033,0.0211,0.07569824722699373
432444188,0.6182,2.765,4.3458,0.0014,0.0173,0.0164,0.08377203058083679
432444189,0.4953,2.6557,4.2761,0.0013,0.0261,0.0165,0.08266986501266944
432444190,1.1659,4.0426,6.9132,0.0,0.0,0.0162,0.07662132709270902
432444191,1.1413,3.5424,5.7462,0.0382,0.0926,0.0648,0.07099415216660818
432444206,8.0295,17.5572,21.3233,0.2059,0.412,0.4121,0.06041383338136221
432444207,5.3503,11.6566,15.6684,0.1117,0.2247,0.2428,0.07615699026400004
432444210,0.6955,4.621,7.4765,0.0021,0.0798,0.0294,0.04671448198421
432444211,0.4012,2.8944,5.0096,0.001,0.0306,0.0192,0.06942531913488556
432444212,1.2764,5.2044,5.0542,0.0043,0.026,0.02,0.0815963233535219
432444213,1.0905,4.8325,5.5001,0.0031,0.0259,0.0203,0.06942531913488556
432444214,1.8604,6.4854,5.5916,0.0018,0.0299,0.0202,0.06792432131461863
432444216,1.295,4.9315,5.1135,0.0014,0.0179,0.0187,0.07059533429497317
432444217,1.2395,3.7991,4.0278,0.001,0.0067,0.0144,0.09105580497377844
432444219,10.2477,19.0259,13.3368,0.0958,0.2596,0.1015,0.09307904275505513
432444220,9.1852,16.863,12.0534,0.2055,0.4186,0.2109,0.1038470904936626
