detection_id,B,G,R,nB,nG,nR,Compactness
432748677,0.1019,5.9476,10.5082,0.0,0.0,0.0115,0.10739689511380088
432748680,0.4634,10.5673,17.0947,0.0061,0.1662,0.2635,0.08726219508235135
432748684,0.4002,11.1731,18.1746,0.0069,0.353,0.5469,0.08666044549832956
432748685,2.1534,7.6862,6.5145,0.0534,0.2077,0.0864,0.08106994029334431
432748686,0.2867,8.4629,16.5775,0.0055,0.0939,0.173,0.08975514439115811
432748687,0.5125,2.6456,3.6513,0.0,0.0285,0.0131,0.09447856694680049
432748688,0.1348,5.988,12.8308,0.0057,0.0309,0.061,0.10052442674077641
432748690,1.8386,10.308,12.6795,0.0073,0.0151,0.0239,0.08003728818317192
432748691,7.3613,14.3504,9.6452,0.1016,0.158,0.0835,0.05235896091135454
432748694,21.6761,33.3227,22.7904,0.4423,0.7019,0.3593,0.0502646717369248
432748695,0.871,2.4365,4.4053,0.0,0.0196,0.0171,0.07263552511680024
432748696,1.9927,4.173,4.7209,0.0032,0.0236,0.0189,0.07305779571290515
432748697,1.8333,5.2109,5.919,0.0007,0.0161,0.0226,0.05660411406725943
432748701,8.7342,21.5293,19.1204,0.147,0.4224,0.3169,0.08266986501266944
432748702,12.4259,26.5521,23.7628,0.211,0.5965,0.4487,0.06719790044098876
432748703,11.7757,24.9124,22.2721,0.2288,0.6018,0.4479,0.06477336728387235
432748706,7.8299,21.0237,20.3935,0.1766,0.4288,0.3222,0.05560231145909046
432748707,8.2761,21.3768,20.8984,0.1652,0.3821,0.282,0.05214171140333059
432748708,8.6153,20.5133,19.8142,0.2152,0.483,0.3526,0.05737948033237819
432748709,8.5099,18.2922,17.5897,0.2217,0.4597,0.3324,0.06477336728387235
432748710,7.5047,12.9751,13.3187,0.2533,0.4514,0.313,0.06129789587454133
432748711,7.39,15.5801,14.9561,0.2099,0.3566,0.2196,0.0661369411690469
432748712,6.6691,14.5348,14.4824,0.123,0.2242,0.1419,0.06190178642991358
432748713,6.8141,14.4456,14.3678,0.1521,0.2696,0.1667,0.06159836113714365
432748715,11.9387,18.6017,17.3554,0.2922,0.4466,0.3152,0.07615699026400004
432748716,34.3472,51.623,46.7197,0.4315,0.8535,0.692,0.06444121395927624
432748717,39.126,58.2296,53.479,0.4606,0.8141,0.6456,0.05257802831020273
432748718,37.8705,57.0712,52.2298,0.3726,0.6576,0.5255,0.0607056738604871
432748719,37.7525,56.8715,53.1467,0.3424,0.5994,0.4937,0.05737948033237819
432748721,33.51,56.8518,51.6706,0.3822,0.7673,0.6174,0.05560231145909046
432748726,7.8584,13.2577,13.4889,0.2652,0.4851,0.32,0.05686023067241032
432748733,12.9492,10.9146,7.0596,0.2895,0.2365,0.0536,0.09172037375316221
432748734,12.8905,10.8949,6.6747,0.4981,0.4173,0.105,0.10052442674077641
432748735,14.6763,11.7755,7.3378,0.7217,0.5771,0.1537,0.08726219508235135
432748736,13.9448,11.8366,7.1429,0.6757,0.5703,0.169,0.08911864874469005
432748737,13.2644,11.4123,7.1978,0.5089,0.4319,0.1352,0.08377203058083679
432748745,9.9191,6.1872,4.5116,0.1096,0.0764,0.0363,0.09592081711552267
432748747,10.2744,6.027,4.3315,0.1128,0.0725,0.0332,0.10133499999681532
432748751,7.9596,5.286,5.0761,0.0105,0.0078,0.0206,0.07059533429497317
432748768,10.1977,20.1079,15.5031,0.1965,0.3667,0.1588,0.04259737366383495
432748777,27.9005,50.3085,25.706,0.4647,0.9651,0.283,0.043784728166320654
432748779,31.2383,50.3578,28.6809,0.497,0.9147,0.3273,0.034334088223882446
432748780,7.7254,11.995,8.6519,0.1479,0.2546,0.0968,0.08321729873508964
432748786,8.4908,13.688,9.5036,0.067,0.1451,0.0415,0.08055030487456037
432748787,11.1554,13.8851,8.8361,0.1868,0.2515,0.0848,0.07903061153879146
432748788,16.2177,21.5064,11.533,0.4437,0.6329,0.224,0.06012478543760053
432748789,18.9751,26.1774,12.8902,0.5846,0.8716,0.3188,0.05764267775279962
432748790,19.8154,30.9288,12.1504,0.1623,0.2317,0.1027,0.04870612541107282
432748791,19.0279,29.2856,13.3096,0.1577,0.2146,0.1,0.0393926217787257
432748792,10.3655,16.999,9.5666,0.0613,0.0989,0.0578,0.04889563761385481
432748793,10.074,15.2301,10.0433,0.2064,0.3296,0.13,0.050670018704328156
432748794,9.2691,13.4751,9.4004,0.2451,0.3855,0.1526,0.05511459098459456
432748795,10.5763,16.6179,11.4645,0.2529,0.388,0.1737,0.06129789587454133
432748796,12.3142,20.0032,12.489,0.2459,0.4163,0.182,0.06159836113714365
432748797,13.3408,21.0894,12.0903,0.2307,0.3643,0.1506,0.06579069379816853
432748798,15.9209,23.1685,12.5874,0.2711,0.4241,0.1738,0.06942531913488556
432748799,19.3598,27.0326,14.7935,0.2569,0.3656,0.138,0.05686023067241032
432748800,20.6319,28.5636,15.368,0.2961,0.4321,0.1575,0.057118675464029094
432748801,23.5206,31.5918,16.265,0.3349,0.4674,0.1569,0.05584942297118333
432748802,26.8098,36.8983,18.5287,0.3454,0.5097,0.1672,0.05347294092237722
432748803,26.3116,38.0034,18.6036,0.3294,0.5193,0.1755,0.0539319190680174
432748804,23.9937,38.3524,18.6581,0.3477,0.5511,0.1913,0.05108195634991484
432748805,23.5789,41.9286,20.8993,0.2918,0.5565,0.1973,0.04688878485347726
432748808,14.8604,34.3124,18.9601,0.1879,0.4402,0.1772,0.04870612541107282
432748810,13.0566,32.0271,22.2455,0.2363,0.5931,0.3009,0.04147271561468917
432748811,17.6203,35.2967,22.9915,0.4827,0.9202,0.4719,0.05737948033237819
432748815,13.4386,29.1959,20.2942,0.2436,0.5347,0.2474,0.04536052049245212
432748817,11.7772,23.036,15.6188,0.2695,0.4794,0.2348,0.06866661880204716
432748821,15.4368,28.6946,18.8118,0.3796,0.691,0.3563,0.07953076456813789
432748823,27.5099,54.5966,32.9562,0.6271,1.248,0.6165,0.04174827570770436
432748824,30.1147,53.5547,32.4994,0.6741,1.3025,0.6567,0.0430350075951413
432748825,30.4588,58.6664,35.0455,0.7224,1.4179,0.6925,0.035497937197589494
432748826,30.4135,61.0516,33.4992,0.7403,1.4038,0.653,0.04079947169724779
432748827,29.1756,60.4005,33.4584,0.7353,1.413,0.652,0.0401477364918814
432748828,26.133,58.4433,31.3544,0.5279,1.0639,0.4515,0.042027522098831975
432748829,25.7284,55.2137,33.297,0.7373,1.3442,0.5927,0.029223958916468205
432748830,23.1261,55.8345,29.9604,0.3863,0.8269,0.3278,0.03989283543241531
432748831,22.1747,48.9105,32.3856,0.4426,0.8631,0.3793,0.027082568952758745
432748832,21.5921,50.2595,32.7135,0.4166,0.8418,0.3892,0.030951463058686814
432748833,19.6434,50.2931,33.8208,0.4509,0.9506,0.456,0.028559785021296684
432748834,22.7753,57.4929,33.255,0.5438,1.1447,0.5125,0.035903621265810565
432748835,13.892,39.5962,22.5732,0.2792,0.642,0.2691,0.04947312713553582
432748836,29.021,61.3062,37.4006,0.495,1.0676,0.5289,0.044403578072467774
432748837,31.7482,59.0055,39.0332,0.5783,1.2058,0.6423,0.04027641246938456
432748838,34.4051,53.3444,41.3223,0.478,1.0085,0.6417,0.03621402203509902
432748839,32.225,50.3221,39.3912,0.6053,1.3454,0.8838,0.04066395719756108
432748842,41.4279,68.6779,48.6107,0.8169,1.7121,0.9817,0.033510082066658835
432748843,37.9338,64.5124,42.1733,0.6954,1.4072,0.7556,0.046541470193173916
432748844,14.9807,41.2203,24.6637,0.1958,0.5659,0.2121,0.04947312713553582
432748845,13.5191,33.3803,20.0656,0.2731,0.6209,0.2618,0.07020097205976435
