detection_id,B,G,R,nB,nG,nR,Compactness
428152299,13.3324,13.5287,20.5971,0.1866,0.1961,0.2597,0.07391723900466864
428152301,14.5917,12.5186,14.8252,0.0439,0.0378,0.0477,0.10133499999681532
428152302,14.6508,12.5562,14.9609,0.0378,0.0323,0.0433,0.09894156757337469
428152303,14.8712,12.789,15.0355,0.0531,0.0468,0.0561,0.10299600257653854
428152304,14.106,12.1164,14.5288,0.0834,0.0729,0.0803,0.09972671719555438
428152305,13.6944,11.9434,14.0779,0.0142,0.0033,0.0131,0.1132011898318306
428152306,13.7091,11.9661,14.1503,0.0127,0.0036,0.0137,0.11119795425652645
428152307,13.9756,12.2422,14.4545,0.0098,0.0015,0.012,0.10832258979485408
428152308,13.1285,11.4521,13.5679,0.0066,0.0019,0.0111,0.11527791973048969
428152391,16.1781,14.8014,20.5827,0.8477,0.7662,0.8863,0.07903061153879146
428152397,56.5433,51.575,66.4312,1.5706,1.3965,1.6376,0.034713464607924294
428152399,21.3549,20.34,30.789,0.5894,0.5507,0.6351,0.03750849118272035
428152400,3.353,2.7409,6.5076,0.0,0.0,0.013,0.09519422993221213
428152401,14.8764,13.2574,17.491,0.5334,0.4724,0.5161,0.09447856694680049
428152402,5.2226,4.2746,9.5387,0.0,0.0,0.0179,0.06942531913488556
428152403,18.0907,16.1527,21.6659,0.747,0.6727,0.7364,0.07139750161301212
428152404,17.7931,15.8092,21.2387,0.5655,0.5081,0.5639,0.07435458803139107
428152405,17.2418,15.2977,20.6988,0.5798,0.5125,0.5732,0.07479714303071543
428152420,16.3047,14.4778,21.2986,0.6633,0.5837,0.657,0.05686023067241032
428152459,17.6653,15.3277,22.1672,0.3822,0.3093,0.3795,0.058176383157876974
428152473,7.944,6.6557,12.9472,0.1812,0.1531,0.2122,0.06684048540909966
428152475,9.6364,9.091,16.5341,0.1557,0.1469,0.2079,0.05844695914181379
428152481,15.311,14.2148,23.1294,0.233,0.2097,0.2792,0.04705898086472314
428152482,19.5782,22.3694,32.2953,0.1826,0.2084,0.2756,0.04552972625896745
428152488,14.957,14.221,25.4732,0.1858,0.1758,0.2562,0.038784722731202766
428152492,14.201,16.3804,23.2573,0.1552,0.1776,0.2368,0.07020097205976435
428152504,10.0325,11.6393,19.0819,0.1954,0.2307,0.3405,0.08726219508235135
428152518,13.8809,12.8821,19.1796,0.1454,0.13,0.1705,0.06159836113714365
428152520,20.9641,20.4643,31.0866,0.3238,0.3166,0.3719,0.03529851376697597
428152523,27.0006,26.206,35.6364,0.3315,0.3171,0.3909,0.05235896091135454
428152529,16.2593,13.9508,18.6364,0.0811,0.0682,0.0876,0.08212958633865283
