detection_id,B,G,R,nB,nG,nR,Compactness
427916907,3.9002,4.4009,7.7153,0.0055,0.0055,0.0169,0.1038470904936626
427916914,7.163,8.3794,12.2006,0.0035,0.0035,0.0186,0.08003728818317192
427916915,8.7546,10.5093,15.519,0.0118,0.0133,0.0313,0.06477336728387235
427916917,12.1788,14.1254,19.0225,0.0516,0.0558,0.07,0.06444121395927624
427916948,3.6457,4.3175,8.7173,0.0011,0.0011,0.0162,0.0815963233535219
427916949,4.9082,5.7954,9.8245,0.0012,0.0014,0.0171,0.07804894248762141
427916952,8.4799,9.47,13.5439,0.0284,0.031,0.0445,0.06866661880204716
427916953,9.0027,9.8828,13.8098,0.0438,0.0462,0.0574,0.06942531913488556
427916955,9.8027,10.6368,14.8635,0.1222,0.1284,0.1377,0.06942531913488556
427916956,9.5344,10.2161,14.0708,0.1533,0.155,0.1679,0.07221810771057427
427917007,9.7072,10.4124,13.9152,0.3069,0.3204,0.3284,0.08055030487456037
427917011,7.6365,8.0082,10.4811,0.4286,0.4513,0.4377,0.1021587506273488
427917013,12.1331,12.9538,15.8687,0.2368,0.2487,0.2476,0.08377203058083679
427917018,14.6218,15.97,19.8539,0.0962,0.1073,0.1288,0.06829345312829196
427917019,10.53,11.8055,16.2795,0.062,0.07,0.0858,0.07020097205976435
427917023,11.2739,11.8255,13.6336,0.1017,0.1055,0.0989,0.09519422993221213
427917025,12.7984,13.3219,15.7703,0.1555,0.1625,0.1609,0.08666044549832956
427917031,12.6802,13.7745,16.7306,0.3409,0.3667,0.3553,0.08377203058083679
427917038,13.3415,14.1882,15.9076,0.6229,0.6566,0.5649,0.07804894248762141
427917039,13.6395,14.3454,16.2171,1.0416,1.1042,0.961,0.07953076456813789
427917040,15.8002,16.3021,18.3222,0.42,0.4411,0.3852,0.07953076456813789
427917047,16.9671,16.754,19.7233,0.1676,0.1657,0.1628,0.09307904275505513
427917048,17.0196,16.8216,19.7372,0.1181,0.1144,0.1192,0.09307904275505513
427917050,16.4825,16.6007,19.1889,0.1722,0.1709,0.1775,0.09740778003073822
427917052,15.6759,15.5604,18.084,0.2221,0.2207,0.2232,0.10471236017896915
427917055,15.4665,15.2955,18.0413,0.3606,0.3583,0.3616,0.10052442674077641
427917056,15.3532,15.1743,17.6456,0.5144,0.5076,0.5068,0.1038470904936626
427917110,12.2092,11.8228,15.8333,0.5711,0.5542,0.5718,0.08266986501266944
427917111,15.6613,15.12,18.663,0.6876,0.6669,0.6836,0.09894156757337469
427917112,15.2759,14.7836,18.2584,0.5557,0.5396,0.5571,0.10133499999681532
427917113,15.1566,14.6304,18.0881,0.4868,0.4732,0.4902,0.10299600257653854
427917114,14.5296,14.3839,17.3304,1.0575,1.0466,1.0469,0.10052442674077641
427917115,14.3468,14.2955,16.9824,0.6326,0.6224,0.6299,0.09972671719555438
427917116,14.0992,14.2494,16.6408,0.0887,0.0888,0.0979,0.09519422993221213
427917117,13.6916,13.7651,15.9982,0.0628,0.063,0.0494,0.09665858053229819
427917118,14.0377,14.2412,16.6613,0.0583,0.0578,0.054,0.09307904275505513
427917119,14.0378,14.6174,16.7011,0.1159,0.1224,0.1134,0.08666044549832956
427917120,13.1778,13.6326,15.6529,0.1121,0.1192,0.1117,0.09239471398211957
427917121,13.6769,13.9938,16.2378,0.1636,0.168,0.1505,0.08606693785815557
427917122,13.2852,13.6432,15.9561,0.7291,0.7541,0.6741,0.08055030487456037
427917123,11.2472,11.791,13.9402,0.5661,0.599,0.5359,0.08666044549832956
427917124,10.4633,10.8909,13.63,0.2633,0.2736,0.2569,0.08548150399146558
427917125,9.1059,9.9057,12.813,0.2038,0.2157,0.2049,0.09040079679516942
427917128,6.5459,7.2471,8.9253,0.1056,0.1149,0.1024,0.1038470904936626
427917129,6.8251,7.5188,9.0463,0.2206,0.2362,0.1996,0.10471236017896915
