detection_id,B,G,R,nB,nG,nR,Compactness
433075965,4.3789,5.8006,7.7254,0.0924,0.1223,0.1323,0.15904183716398032
433075971,1.3217,1.9533,4.9918,0.0124,0.0231,0.0473,0.19941430995731257
433075918,4.4615,5.855,11.0306,0.203,0.2414,0.3446,0.13226261511265314
433075923,12.0653,11.8277,16.3723,0.443,0.4481,0.5199,0.08666044549832956
433075924,11.2744,11.2709,15.5865,0.29,0.2983,0.3571,0.08787235948346774
433075925,5.4829,5.5562,8.62,0.1874,0.2015,0.2282,0.11219063124580061
433075927,6.3362,5.9104,7.0386,0.0694,0.0629,0.0534,0.1427807996875266
433075928,5.3873,4.8974,5.9439,0.1076,0.0975,0.079,0.15137953892966877
433075930,4.521,4.8052,6.8338,0.0658,0.0711,0.0807,0.16752101074657041
433075932,2.7448,3.0745,4.7415,0.0628,0.072,0.0856,0.1963000700655754
433075933,4.6131,4.7541,7.2326,0.0419,0.0415,0.058,0.15705446369492315
433075934,5.8736,6.2525,8.8942,0.0779,0.0813,0.0979,0.15511613727099602
433075949,2.9108,3.3861,5.9824,0.0739,0.096,0.1464,0.17695501477362918
433075950,6.4894,7.6907,9.8607,0.0528,0.0723,0.0903,0.15137953892966877
433075952,6.8683,8.1586,10.8325,0.0836,0.1044,0.1337,0.1411769425941694
433075953,3.8003,4.1124,6.5433,0.0665,0.0709,0.0796,0.1256508846247525
433075954,3.5248,3.8466,6.3512,0.1549,0.1666,0.1737,0.12081909724428652
433075955,7.4106,8.5773,11.7847,0.0683,0.084,0.1015,0.11634512054520679
433075956,3.4756,3.7727,6.4702,0.1203,0.1287,0.1419,0.11423011752805243
433075957,7.7608,8.8765,12.0135,0.0564,0.0681,0.0877,0.11634512054520679
433075958,6.4913,7.3106,11.3805,0.0876,0.111,0.1639,0.11423011752805243
433075959,6.2258,6.9414,10.8112,0.0681,0.0843,0.1304,0.13088518977836702
433075960,6.4378,7.1906,11.7273,0.0846,0.102,0.1595,0.10832258979485408
433075961,5.8404,6.812,9.3324,0.138,0.1692,0.1759,0.12821464331793822
433075962,4.9532,5.1376,8.5349,0.036,0.0436,0.0734,0.12199187159268324
433075891,2.4701,2.8146,4.6949,0.0529,0.0631,0.0643,0.15904183716398032
433075892,4.2799,5.0036,9.6963,0.0683,0.0923,0.1691,0.10299600257653854
433075893,3.2371,3.3929,6.7029,0.0598,0.068,0.1086,0.1132011898318306
